Date,Open,High,Low,Close,Volume
2017.02.15 22:55,12.46000000,12.500000002017.02.01 21:25,11.55,11.56,11.55,11.55,6
2017.02.01 21:26,11.55,11.55,11.54,11.55,3
2017.02.01 21:27,11.56,11.56,11.54,11.55,4
2017.02.01 21:28,11.56,11.56,11.54,11.54,6
2017.02.01 21:29,11.53,11.53,11.51,11.51,6
2017.02.01 21:30,11.52,11.53,11.51,11.52,5
2017.02.01 21:32,11.52,11.52,11.50,11.50,3
2017.02.01 21:33,11.51,11.51,11.48,11.48,4
2017.02.01 21:34,11.48,11.48,11.46,11.46,10
2017.02.01 21:35,11.47,11.48,11.46,11.48,7
2017.02.01 21:36,11.47,11.47,11.46,11.47,3
2017.02.01 21:37,11.48,11.48,11.48,11.48,2
2017.02.01 21:39,11.49,11.49,11.48,11.48,2
2017.02.01 21:40,11.48,11.48,11.47,11.48,3
2017.02.01 21:45,11.47,11.47,11.46,11.46,4
2017.02.01 21:47,11.45,11.45,11.45,11.45,1
2017.02.01 21:48,11.46,11.46,11.46,11.46,2
2017.02.01 21:49,11.47,11.47,11.46,11.46,2
2017.02.01 21:50,11.45,11.45,11.45,11.45,1
2017.02.01 21:51,11.46,11.46,11.46,11.46,2
2017.02.01 21:53,11.45,11.46,11.45,11.46,2
2017.02.01 21:54,11.45,11.45,11.45,11.45,1
2017.02.01 21:55,11.45,11.45,11.44,11.44,5
2017.02.01 21:56,11.43,11.43,11.43,11.43,1
2017.02.01 21:58,11.44,11.44,11.44,11.44,1
2017.02.01 22:00,11.44,11.44,11.44,11.44,1
2017.02.01 22:04,11.43,11.43,11.43,11.43,1
2017.02.01 22:05,11.44,11.44,11.43,11.43,2
2017.02.01 22:06,11.42,11.42,11.42,11.42,1
2017.02.01 22:07,11.41,11.41,11.39,11.39,3
2017.02.01 22:08,11.38,11.38,11.37,11.37,4
2017.02.01 22:09,11.36,11.37,11.35,11.36,5
2017.02.01 22:10,11.37,11.37,11.37,11.37,1
