Date,Open,High,Low,Close,Volume
2017.02.15 22:55,40.42000000,40.460000002017.02.01 21:52,41.37,41.37,41.37,41.37,1
2017.02.01 21:53,41.38,41.38,41.38,41.38,1
2017.02.01 21:54,41.39,41.39,41.39,41.39,1
2017.02.01 21:55,41.38,41.38,41.38,41.38,1
2017.02.01 21:56,41.37,41.37,41.37,41.37,1
2017.02.01 21:57,41.38,41.38,41.36,41.37,6
2017.02.01 21:58,41.36,41.38,41.36,41.38,3
2017.02.01 22:00,41.38,41.40,41.38,41.40,3
2017.02.01 22:01,41.39,41.40,41.39,41.39,3
2017.02.01 22:02,41.38,41.38,41.37,41.37,2
2017.02.01 22:03,41.38,41.38,41.37,41.38,3
2017.02.01 22:04,41.39,41.39,41.38,41.38,2
2017.02.01 22:05,41.39,41.39,41.37,41.38,6
2017.02.01 22:06,41.39,41.39,41.39,41.39,1
2017.02.01 22:08,41.38,41.39,41.37,41.37,4
2017.02.01 22:10,41.38,41.38,41.38,41.38,1
2017.02.01 22:12,41.37,41.38,41.37,41.38,2
2017.02.01 22:14,41.37,41.37,41.36,41.37,3
2017.02.01 22:15,41.38,41.38,41.38,41.38,1
2017.02.01 22:16,41.39,41.39,41.38,41.39,3
2017.02.01 22:17,41.40,41.40,41.39,41.40,3
2017.02.01 22:18,41.39,41.39,41.39,41.39,1
2017.02.01 22:19,41.40,41.40,41.39,41.39,2
2017.02.01 22:20,41.40,41.40,41.39,41.39,2
2017.02.01 22:21,41.40,41.41,41.40,41.40,3
2017.02.01 22:22,41.41,41.41,41.40,41.40,2
2017.02.01 22:26,41.39,41.41,41.39,41.40,4
2017.02.01 22:27,41.41,41.41,41.40,41.40,2
2017.02.01 22:28,41.39,41.39,41.39,41.39,1
2017.02.01 22:29,41.40,41.41,41.40,41.41,2
2017.02.01 22:30,41.40,41.40,41.39,41.40,3
2017.02.01 22:31,41.39,41.40,41.39,41.40,4
2017.02.01 22:32,41.41,41.41,41.41,41.41,1
2017.02.01 22:33,41.42,41.42,41.41,41.41,2
2017.02.01 22:34,41.40,41.40,41.40,41.40,1
2017.02.01 22:37,41.39,41.39,41.39,41.39,1
2017.02.01 22:38,41.40,41.40,41.38,41.39,4
2017.02.01 22:39,41.40,41.41,41.40,41.41,2
2017.02.01 22:43,41.40,41.40,41.40,41.40,1
2017.02.01 22:45,41.39,41.39,41.36,41.36,4
2017.02.01 22:46,41.37,41.37,41.36,41.36,2
2017.02.01 22:47,41.35,41.35,41.35,41.35,1
2017.02.01 22:48,41.34,41.34,41.34,41.34,1
2017.02.01 22:50,41.33,41.34,41.33,41.34,2
2017.02.01 22:51,41.33,41.33,41.33,41.33,1
2017.02.01 22:52,41.32,41.33,41.32,41.32,3
2017.02.01 22:54,41.31,41.31,41.30,41.30,2
2017.02.01 22:55,41.31,41.31,41.31,41.31,1
2017.02.01 22:57,41.32,41.32,41.30,41.30,3
2017.02.01 22:58,41.29,41.29,41.24,41.24,6
2017.02.01 22:59,41.23,41.25,41.23,41.24,12
2017.02.02 16:31,41.31,41.32,41.25,41.26,30
2017.02.02 16:32,41.25,41.26,41.23,41.24,40
2017.02.02 16:33,41.25,41.30,41.25,41.29,35
2017.02.02 16:34,41.30,41.30,41.26,41.26,18
2017.02.02 16:35,41.27,41.32,41.25,41.31,25
2017.02.02 16:36,41.32,41.34,41.32,41.32,9
2017.02.02 16:37,41.31,41.33,41.31,41.32,8
2017.02.02 16:38,41.33,41.37,41.32,41.35,11
2017.02.02 16:39,41.36,41.40,41.36,41.39,6
2017.02.02 16:40,41.39,41.39,41.36,41.38,16
2017.02.02 16:41,41.39,41.42,41.39,41.42,6
2017.02.02 16:42,41.41,41.42,41.40,41.41,10
2017.02.02 16:43,41.40,41.40,41.39,41.40,5
2017.02.02 16:44,41.41,41.44,41.41,41.41,8
2017.02.02 16:45,41.42,41.46,41.42,41.44,9
2017.02.02 16:46,41.43,41.44,41.42,41.43,5
2017.02.02 16:47,41.43,41.44,41.40,41.40,9
2017.02.02 16:48,41.41,41.41,41.37,41.39,7
2017.02.02 16:49,41.40,41.41,41.38,41.41,8
2017.02.02 16:50,41.40,41.40,41.38,41.40,5
2017.02.02 16:51,41.41,41.43,41.41,41.43,5
