Date,Open,High,Low,Close,Volume
2017.02.15 22:55,42.14000000,42.180000002017.02.03 20:11,40.34,40.35,40.34,40.35,3
2017.02.03 20:12,40.36,40.36,40.35,40.35,11
2017.02.03 20:15,40.34,40.35,40.34,40.35,2
2017.02.03 20:16,40.36,40.36,40.35,40.35,5
2017.02.03 20:20,40.34,40.34,40.34,40.34,1
2017.02.03 20:22,40.34,40.34,40.29,40.30,5
2017.02.03 20:23,40.31,40.33,40.31,40.32,6
2017.02.03 20:26,40.32,40.32,40.31,40.31,2
2017.02.03 20:27,40.31,40.31,40.30,40.31,3
2017.02.03 20:28,40.31,40.31,40.29,40.29,6
2017.02.03 20:30,40.28,40.29,40.28,40.29,2
2017.02.03 20:31,40.28,40.28,40.23,40.25,11
2017.02.03 20:32,40.26,40.27,40.26,40.27,4
2017.02.03 20:33,40.28,40.28,40.28,40.28,1
2017.02.03 20:34,40.29,40.30,40.29,40.30,3
2017.02.03 20:35,40.29,40.29,40.28,40.28,2
2017.02.03 20:36,40.28,40.29,40.27,40.29,13
2017.02.03 20:37,40.30,40.31,40.30,40.31,3
2017.02.03 20:39,40.32,40.33,40.32,40.33,2
2017.02.03 20:40,40.33,40.33,40.32,40.33,3
2017.02.03 20:41,40.33,40.34,40.32,40.34,6
2017.02.03 20:42,40.34,40.34,40.33,40.33,2
2017.02.03 20:43,40.33,40.33,40.32,40.32,2
2017.02.03 20:44,40.33,40.33,40.33,40.33,1
2017.02.03 20:46,40.32,40.32,40.32,40.32,1
2017.02.03 20:48,40.32,40.32,40.31,40.31,2
2017.02.03 20:50,40.32,40.32,40.32,40.32,2
2017.02.03 20:51,40.33,40.34,40.33,40.34,3
2017.02.03 20:52,40.33,40.34,40.33,40.34,2
2017.02.03 20:53,40.33,40.33,40.31,40.32,5
2017.02.03 20:54,40.33,40.33,40.33,40.33,2
2017.02.03 20:56,40.33,40.33,40.29,40.30,6
2017.02.03 20:59,40.31,40.32,40.31,40.32,3
2017.02.03 21:00,40.33,40.33,40.33,40.33,2
2017.02.03 21:02,40.33,40.33,40.30,40.31,14
2017.02.03 21:03,40.32,40.34,40.29,40.29,16
2017.02.03 21:04,40.29,40.30,40.27,40.28,11
2017.02.03 21:07,40.28,40.28,40.27,40.27,2
2017.02.03 21:10,40.28,40.28,40.27,40.27,2
2017.02.03 21:13,40.27,40.27,40.23,40.23,5
2017.02.03 21:14,40.24,40.24,40.22,40.22,6
2017.02.03 21:16,40.23,40.23,40.23,40.23,2
2017.02.03 21:19,40.23,40.23,40.21,40.21,4
2017.02.03 21:20,40.20,40.21,40.16,40.17,15
2017.02.03 21:21,40.17,40.17,40.13,40.15,5
2017.02.03 21:22,40.14,40.14,40.14,40.14,1
2017.02.03 21:23,40.15,40.15,40.15,40.15,1
2017.02.03 21:24,40.14,40.14,40.14,40.14,1
2017.02.03 21:26,40.15,40.15,40.09,40.11,10
