Date,Open,High,Low,Close,Volume
2017.02.15 22:50,9.43000000,9.480000002017.01.19 17:00,9.28,9.28,9.26,9.26,8
2017.01.19 17:02,9.26,9.26,9.25,9.25,2
2017.01.19 17:04,9.26,9.26,9.26,9.26,6
2017.01.19 17:05,9.26,9.26,9.25,9.25,2
2017.01.19 17:06,9.25,9.25,9.23,9.23,7
2017.01.19 17:08,9.23,9.23,9.21,9.21,5
2017.01.19 17:12,9.22,9.22,9.21,9.21,4
2017.01.19 17:16,9.21,9.21,9.19,9.19,3
2017.01.19 17:19,9.19,9.19,9.18,9.18,4
2017.01.19 17:24,9.18,9.18,9.16,9.17,6
2017.01.19 17:25,9.16,9.16,9.16,9.16,1
2017.01.19 17:26,9.17,9.17,9.17,9.17,1
2017.01.19 17:30,9.17,9.17,9.16,9.16,6
2017.01.19 17:31,9.17,9.17,9.16,9.16,7
2017.01.19 17:32,9.17,9.17,9.17,9.17,1
2017.01.19 17:33,9.18,9.18,9.17,9.17,3
2017.01.19 17:34,9.17,9.17,9.16,9.16,2
2017.01.19 17:45,9.15,9.15,9.15,9.15,1
2017.01.19 17:47,9.15,9.15,9.14,9.14,2
2017.01.19 17:48,9.14,9.14,9.13,9.14,4
2017.01.19 17:54,9.13,9.13,9.13,9.13,1
2017.01.19 17:58,9.14,9.14,9.14,9.14,1
2017.01.19 18:03,9.14,9.14,9.10,9.10,9
2017.01.19 18:09,9.09,9.09,9.08,9.08,2
2017.01.19 18:12,9.08,9.08,9.06,9.06,5
2017.01.19 18:13,9.07,9.07,9.07,9.07,1
2017.01.19 18:19,9.07,9.07,9.07,9.07,1
2017.01.19 18:22,9.07,9.08,9.07,9.08,6
2017.01.19 18:35,9.07,9.07,9.07,9.07,1
2017.01.19 18:42,9.09,9.09,9.09,9.09,2
2017.01.19 18:48,9.09,9.09,9.09,9.09,1
2017.01.19 18:53,9.09,9.09,9.09,9.09,1
2017.01.19 18:57,9.09,9.10,9.08,9.09,5
2017.01.19 19:10,9.08,9.08,9.07,9.07,3
2017.01.19 19:11,9.06,9.06,9.06,9.06,1
2017.01.19 19:23,9.05,9.05,9.04,9.04,2
2017.01.19 19:57,9.04,9.04,9.04,9.04,2
2017.01.19 20:00,9.05,9.05,9.05,9.05,2
2017.01.19 20:15,9.04,9.04,9.03,9.03,3
2017.01.19 20:19,9.03,9.03,9.02,9.02,2
2017.01.19 20:24,9.01,9.01,9.01,9.01,1
2017.01.19 20:25,9.00,9.00,9.00,9.00,1
2017.01.19 20:26,9.01,9.01,9.01,9.01,2
2017.01.19 20:33,9.01,9.01,9.01,9.01,1
2017.01.19 20:52,9.00,9.00,9.00,9.00,1
2017.01.19 21:03,9.00,9.00,9.00,9.00,1
2017.01.19 21:07,9.00,9.00,9.00,9.00,1
2017.01.19 21:08,9.00,9.00,8.98,8.98,4
2017.01.19 21:10,8.99,8.99,8.98,8.98,4
2017.01.19 21:13,8.99,9.00,8.99,8.99,7
2017.01.19 21:15,8.99,8.99,8.98,8.98,2
2017.01.19 21:19,8.99,8.99,8.99,8.99,4
2017.01.19 21:22,9.00,9.00,8.99,8.99,4
2017.01.19 21:24,9.00,9.00,9.00,9.00,2
2017.01.19 21:29,9.01,9.01,9.01,9.01,2
2017.01.19 21:42,9.01,9.01,9.01,9.01,1
2017.01.19 21:49,9.01,9.01,9.00,9.00,2
2017.01.19 21:56,8.99,8.99,8.99,8.99,1
2017.01.19 22:15,8.99,8.99,8.99,8.99,1
2017.01.19 22:17,9.02,9.02,9.02,9.02,2
2017.01.19 22:25,9.02,9.02,9.02,9.02,1
2017.01.19 22:37,9.03,9.03,9.03,9.03,1
2017.01.19 22:41,9.04,9.04,9.04,9.04,2
2017.01.19 22:44,9.05,9.05,9.05,9.05,2
2017.01.19 22:45,9.05,9.05,9.03,9.03,4
2017.01.19 22:55,9.03,9.03,9.03,9.03,2
2017.01.19 22:58,9.03,9.03,9.02,9.02,2
2017.01.19 22:59,9.02,9.03,9.02,9.02,7
2017.01.20 16:31,9.02,9.05,9.02,9.05,4
2017.01.20 16:32,9.06,9.09,9.04,9.09,15
2017.01.20 16:33,9.09,9.09,9.08,9.08,2
2017.01.20 16:34,9.09,9.11,9.09,9.11,4
2017.01.20 16:35,9.12,9.15,9.12,9.14,9
2017.01.20 16:36,9.13,9.13,9.09,9.09,11
2017.01.20 16:37,9.08,9.09,9.08,9.08,3
2017.01.20 16:38,9.09,9.09,9.07,9.07,5
2017.01.20 16:39,9.08,9.09,9.08,9.08,3
2017.01.20 16:40,9.09,9.10,9.08,9.09,8
2017.01.20 16:41,9.09,9.09,9.08,9.08,2
2017.01.20 16:42,9.09,9.09,9.08,9.08,4
2017.01.20 16:45,9.08,9.08,9.07,9.08,4
2017.01.20 16:46,9.08,9.08,9.07,9.08,4
2017.01.20 16:51,9.09,9.09,9.09,9.09,1
2017.01.20 16:53,9.10,9.10,9.09,9.09,6
2017.01.20 16:56,9.10,9.11,9.10,9.11,4
2017.01.20 16:57,9.11,9.11,9.10,9.10,2
2017.01.20 16:58,9.10,9.10,9.09,9.09,4
2017.01.20 17:01,9.10,9.10,9.09,9.09,4
2017.01.20 17:03,9.10,9.10,9.10,9.10,2
2017.01.20 17:05,9.11,9.11,9.11,9.11,2
2017.01.20 17:07,9.12,9.12,9.12,9.12,4
2017.01.20 17:09,9.11,9.11,9.11,9.11,1
2017.01.20 17:10,9.12,9.12,9.12,9.12,2
2017.01.20 17:14,9.13,9.14,9.13,9.13,4
2017.01.20 17:15,9.14,9.14,9.13,9.13,4
2017.01.20 17:16,9.14,9.14,9.14,9.14,2
2017.01.20 17:19,9.15,9.16,9.15,9.15,6
2017.01.20 17:26,9.15,9.15,9.15,9.15,1
2017.01.20 17:27,9.15,9.15,9.15,9.15,1
2017.01.20 17:28,9.14,9.14,9.14,9.14,1
2017.01.20 17:29,9.14,9.14,9.13,9.14,4
2017.01.20 17:30,9.15,9.15,9.15,9.15,1
2017.01.20 17:31,9.15,9.15,9.14,9.14,2
2017.01.20 17:32,9.15,9.15,9.15,9.15,2
2017.01.20 17:34,9.15,9.15,9.14,9.14,2
2017.01.20 17:40,9.13,9.13,9.13,9.13,1
2017.01.20 17:41,9.14,9.14,9.13,9.13,3
2017.01.20 17:42,9.14,9.14,9.14,9.14,2
2017.01.20 17:46,9.14,9.14,9.13,9.14,4
2017.01.20 17:47,9.14,9.14,9.13,9.13,2
2017.01.20 17:49,9.12,9.12,9.12,9.12,1
2017.01.20 17:50,9.13,9.13,9.12,9.12,3
2017.01.20 17:51,9.13,9.13,9.12,9.13,5
2017.01.20 17:52,9.13,9.14,9.12,9.14,5
2017.01.20 17:58,9.14,9.14,9.14,9.14,1
2017.01.20 18:23,9.13,9.13,9.13,9.13,1
