Date,Open,High,Low,Close,Volume
2017.02.15 22:50,28.49000000,28.530000002017.02.02 22:53,27.74,27.74,27.73,27.73,4
2017.02.02 22:54,27.72,27.72,27.72,27.72,1
2017.02.02 22:56,27.73,27.75,27.73,27.75,3
2017.02.02 22:57,27.74,27.74,27.73,27.73,2
2017.02.02 22:58,27.72,27.72,27.70,27.72,5
2017.02.02 22:59,27.73,27.80,27.73,27.76,13
2017.02.03 16:31,27.79,27.79,27.74,27.74,11
2017.02.03 16:32,27.77,27.78,27.75,27.77,8
2017.02.03 16:33,27.78,27.78,27.72,27.75,19
2017.02.03 16:34,27.76,27.79,27.75,27.79,11
2017.02.03 16:35,27.80,27.83,27.80,27.83,10
2017.02.03 16:36,27.84,27.86,27.84,27.85,8
2017.02.03 16:37,27.86,27.87,27.84,27.87,11
2017.02.03 16:38,27.86,27.87,27.85,27.87,12
2017.02.03 16:39,27.86,27.87,27.86,27.86,3
2017.02.03 16:40,27.87,27.90,27.85,27.87,22
2017.02.03 16:41,27.88,27.89,27.85,27.87,18
2017.02.03 16:42,27.88,27.91,27.88,27.90,24
2017.02.03 16:43,27.90,27.94,27.89,27.92,18
2017.02.03 16:44,27.93,27.97,27.93,27.97,7
2017.02.03 16:45,27.98,27.99,27.97,27.97,10
2017.02.03 16:46,27.96,27.98,27.95,27.98,12
2017.02.03 16:47,27.99,28.03,27.98,28.03,12
2017.02.03 16:48,28.04,28.05,27.98,27.98,11
2017.02.03 16:49,27.97,28.00,27.97,27.98,6
2017.02.03 16:50,27.99,28.03,27.98,28.03,11
2017.02.03 16:51,28.04,28.04,28.02,28.03,8
2017.02.03 16:52,28.02,28.02,28.01,28.02,6
2017.02.03 16:53,28.03,28.04,28.01,28.04,8
2017.02.03 16:54,28.05,28.10,28.04,28.09,22
2017.02.03 16:55,28.09,28.09,28.07,28.07,5
2017.02.03 16:56,28.07,28.08,28.06,28.07,8
2017.02.03 16:57,28.08,28.10,28.08,28.09,13
2017.02.03 16:58,28.08,28.09,28.08,28.09,4
2017.02.03 16:59,28.10,28.12,28.10,28.12,3
2017.02.03 17:00,28.11,28.12,28.08,28.08,8
2017.02.03 17:01,28.09,28.10,28.09,28.10,2
2017.02.03 17:02,28.09,28.13,28.09,28.13,6
2017.02.03 17:03,28.13,28.13,28.11,28.11,14
2017.02.03 17:04,28.12,28.13,28.10,28.13,8
2017.02.03 17:05,28.13,28.13,28.11,28.13,6
2017.02.03 17:06,28.14,28.15,28.14,28.15,2
2017.02.03 17:07,28.16,28.16,28.13,28.13,7
2017.02.03 17:08,28.12,28.13,28.10,28.10,7
2017.02.03 17:09,28.10,28.10,28.08,28.10,6
2017.02.03 17:10,28.09,28.10,28.09,28.10,3
2017.02.03 17:11,28.10,28.13,28.09,28.13,6
2017.02.03 17:12,28.12,28.12,28.10,28.11,14
2017.02.03 17:13,28.12,28.16,28.12,28.16,14
2017.02.03 17:14,28.17,28.18,28.16,28.18,7
2017.02.03 17:15,28.18,28.18,28.16,28.17,7
2017.02.03 17:16,28.18,28.21,28.18,28.20,8
2017.02.03 17:17,28.20,28.20,28.14,28.14,9
2017.02.03 17:18,28.13,28.15,28.13,28.15,5
2017.02.03 17:19,28.16,28.20,28.16,28.19,14
2017.02.03 17:20,28.18,28.18,28.16,28.16,5
