Date,Open,High,Low,Close,Volume
2017.02.15 22:55,16.62000000,16.870000002017.02.02 21:50,17.35,17.35,17.34,17.34,2
2017.02.02 21:52,17.35,17.35,17.34,17.34,2
2017.02.02 21:55,17.35,17.36,17.35,17.36,2
2017.02.02 21:57,17.35,17.36,17.35,17.36,2
2017.02.02 22:00,17.32,17.32,17.32,17.32,1
2017.02.02 22:01,17.33,17.33,17.32,17.32,2
2017.02.02 22:02,17.31,17.31,17.30,17.30,2
2017.02.02 22:03,17.29,17.29,17.29,17.29,1
2017.02.02 22:04,17.30,17.30,17.30,17.30,1
2017.02.02 22:05,17.31,17.31,17.30,17.30,2
2017.02.02 22:06,17.29,17.30,17.29,17.30,2
2017.02.02 22:09,17.31,17.31,17.31,17.31,1
2017.02.02 22:10,17.32,17.32,17.32,17.32,1
2017.02.02 22:19,17.33,17.37,17.33,17.36,8
2017.02.02 22:20,17.35,17.39,17.34,17.34,24
2017.02.02 22:21,17.35,17.36,17.31,17.34,14
2017.02.02 22:22,17.35,17.35,17.34,17.35,3
2017.02.02 22:23,17.34,17.35,17.34,17.35,2
2017.02.02 22:24,17.36,17.36,17.33,17.33,4
2017.02.02 22:25,17.34,17.34,17.34,17.34,1
2017.02.02 22:26,17.35,17.35,17.35,17.35,1
2017.02.02 22:29,17.34,17.36,17.34,17.36,3
2017.02.02 22:30,17.35,17.35,17.35,17.35,1
2017.02.02 22:31,17.34,17.34,17.34,17.34,1
2017.02.02 22:32,17.33,17.33,17.33,17.33,1
2017.02.02 22:33,17.32,17.33,17.32,17.33,2
2017.02.02 22:34,17.34,17.34,17.34,17.34,1
2017.02.02 22:35,17.33,17.33,17.33,17.33,1
2017.02.02 22:36,17.32,17.32,17.32,17.32,1
2017.02.02 22:38,17.31,17.31,17.31,17.31,1
2017.02.02 22:39,17.32,17.32,17.32,17.32,1
2017.02.02 22:40,17.33,17.33,17.33,17.33,1
2017.02.02 22:43,17.34,17.57,17.34,17.47,62
2017.02.02 22:44,17.46,17.46,17.39,17.43,29
2017.02.02 22:45,17.42,17.46,17.41,17.44,11
2017.02.02 22:46,17.45,17.48,17.45,17.48,4
2017.02.02 22:47,17.49,17.49,17.47,17.48,4
2017.02.02 22:48,17.47,17.52,17.46,17.52,8
2017.02.02 22:49,17.53,17.63,17.53,17.63,32
2017.02.02 22:50,17.62,17.72,17.62,17.66,32
2017.02.02 22:51,17.67,17.72,17.64,17.68,29
2017.02.02 22:52,17.67,17.69,17.61,17.65,33
2017.02.02 22:53,17.66,17.73,17.66,17.67,21
2017.02.02 22:54,17.66,17.66,17.64,17.65,10
2017.02.02 22:55,17.64,17.64,17.61,17.61,6
2017.02.02 22:56,17.62,17.66,17.62,17.66,5
2017.02.02 22:57,17.65,17.65,17.63,17.63,5
2017.02.02 22:58,17.62,17.64,17.62,17.64,5
2017.02.02 22:59,17.65,17.66,17.65,17.66,2
2017.02.03 16:31,17.70,17.72,17.64,17.66,27
2017.02.03 16:32,17.65,17.66,17.64,17.66,4
2017.02.03 16:33,17.65,17.65,17.59,17.60,12
2017.02.03 16:34,17.62,17.63,17.55,17.60,19
2017.02.03 16:35,17.59,17.65,17.59,17.63,16
2017.02.03 16:36,17.64,17.64,17.62,17.64,4
2017.02.03 16:37,17.63,17.63,17.60,17.60,4
2017.02.03 16:38,17.59,17.59,17.52,17.52,17
2017.02.03 16:39,17.53,17.55,17.52,17.53,11
2017.02.03 16:40,17.59,17.59,17.53,17.54,8
2017.02.03 16:41,17.53,17.54,17.51,17.52,10
2017.02.03 16:42,17.51,17.53,17.48,17.52,15
2017.02.03 16:43,17.53,17.54,17.51,17.53,13
2017.02.03 16:44,17.54,17.56,17.54,17.56,7
2017.02.03 16:45,17.55,17.55,17.53,17.54,6
2017.02.03 16:46,17.53,17.54,17.53,17.53,3
2017.02.03 16:47,17.52,17.53,17.51,17.53,6
2017.02.03 16:48,17.52,17.54,17.51,17.51,6
2017.02.03 16:49,17.52,17.56,17.52,17.53,8
2017.02.03 16:50,17.54,17.54,17.53,17.53,2
2017.02.03 16:52,17.54,17.55,17.54,17.54,5
2017.02.03 16:53,17.53,17.54,17.53,17.54,2
2017.02.03 16:54,17.53,17.53,17.48,17.50,8
2017.02.03 16:55,17.49,17.49,17.46,17.47,7
2017.02.03 16:56,17.46,17.46,17.43,17.44,9
2017.02.03 16:57,17.43,17.43,17.43,17.43,1
2017.02.03 16:58,17.42,17.46,17.40,17.45,12
2017.02.03 16:59,17.44,17.45,17.43,17.43,4
2017.02.03 17:00,17.42,17.42,17.39,17.39,8
2017.02.03 17:01,17.38,17.40,17.38,17.40,5
2017.02.03 17:02,17.41,17.41,17.38,17.38,4
2017.02.03 17:03,17.37,17.38,17.37,17.38,2
2017.02.03 17:05,17.39,17.41,17.39,17.39,5
2017.02.03 17:06,17.40,17.42,17.40,17.41,4
2017.02.03 17:07,17.42,17.46,17.42,17.44,9
2017.02.03 17:08,17.45,17.47,17.45,17.46,6
2017.02.03 17:09,17.45,17.46,17.45,17.46,2
2017.02.03 17:10,17.47,17.47,17.46,17.46,2
2017.02.03 17:11,17.45,17.46,17.42,17.42,6
2017.02.03 17:12,17.41,17.41,17.41,17.41,1
2017.02.03 17:13,17.40,17.41,17.40,17.40,3
2017.02.03 17:14,17.39,17.40,17.39,17.40,2
2017.02.03 17:15,17.41,17.42,17.41,17.41,3
2017.02.03 17:16,17.42,17.47,17.42,17.47,6
2017.02.03 17:17,17.48,17.48,17.46,17.46,3
2017.02.03 17:18,17.45,17.45,17.44,17.44,2
2017.02.03 17:19,17.45,17.46,17.45,17.46,2
2017.02.03 17:20,17.45,17.45,17.43,17.43,5
2017.02.03 17:21,17.44,17.45,17.44,17.45,2
2017.02.03 17:22,17.44,17.44,17.44,17.44,1
2017.02.03 17:23,17.43,17.43,17.43,17.43,1
2017.02.03 17:25,17.44,17.48,17.44,17.47,6
2017.02.03 17:26,17.46,17.46,17.44,17.44,3
2017.02.03 17:27,17.43,17.45,17.43,17.44,4
2017.02.03 17:28,17.45,17.45,17.44,17.44,2
2017.02.03 17:29,17.43,17.43,17.43,17.43,1
2017.02.03 17:30,17.42,17.42,17.42,17.42,1
2017.02.03 17:31,17.41,17.41,17.41,17.41,1
2017.02.03 17:32,17.42,17.42,17.40,17.41,4
2017.02.03 17:33,17.42,17.42,17.41,17.41,2
2017.02.03 17:34,17.42,17.42,17.42,17.42,1
2017.02.03 17:35,17.43,17.44,17.43,17.44,2
2017.02.03 17:36,17.43,17.43,17.43,17.43,1
2017.02.03 17:37,17.44,17.44,17.44,17.44,1
2017.02.03 17:38,17.43,17.43,17.43,17.43,1
2017.02.03 17:39,17.42,17.42,17.42,17.42,1
2017.02.03 17:41,17.43,17.43,17.42,17.42,2
2017.02.03 17:42,17.41,17.41,17.41,17.41,1
2017.02.03 17:43,17.42,17.42,17.42,17.42,1
2017.02.03 17:44,17.43,17.45,17.43,17.45,3
2017.02.03 17:45,17.44,17.44,17.43,17.43,2
2017.02.03 17:46,17.42,17.42,17.42,17.42,1
2017.02.03 17:47,17.41,17.41,17.39,17.40,4
2017.02.03 17:48,17.41,17.41,17.41,17.41,1
2017.02.03 17:49,17.42,17.42,17.42,17.42,1
2017.02.03 17:51,17.41,17.41,17.40,17.41,3
2017.02.03 17:52,17.42,17.42,17.41,17.41,2
2017.02.03 17:53,17.42,17.42,17.42,17.42,1
2017.02.03 17:54,17.41,17.42,17.41,17.41,3
2017.02.03 17:55,17.42,17.42,17.41,17.41,2
2017.02.03 17:56,17.42,17.45,17.42,17.45,6
2017.02.03 17:57,17.44,17.44,17.42,17.42,3
2017.02.03 17:58,17.41,17.43,17.41,17.43,5
2017.02.03 17:59,17.42,17.42,17.41,17.42,3
2017.02.03 18:00,17.43,17.43,17.43,17.43,1
2017.02.03 18:01,17.44,17.45,17.43,17.45,4
2017.02.03 18:02,17.46,17.48,17.46,17.46,5
2017.02.03 18:03,17.47,17.47,17.44,17.44,4
2017.02.03 18:05,17.45,17.45,17.45,17.45,1
2017.02.03 18:06,17.44,17.45,17.44,17.45,2
2017.02.03 18:07,17.44,17.44,17.44,17.44,1
2017.02.03 18:10,17.45,17.45,17.44,17.44,2
2017.02.03 18:12,17.45,17.48,17.45,17.47,5
2017.02.03 18:13,17.46,17.46,17.46,17.46,1
2017.02.03 18:15,17.47,17.47,17.47,17.47,1
2017.02.03 18:16,17.48,17.50,17.48,17.50,5
2017.02.03 18:17,17.49,17.49,17.48,17.48,2
2017.02.03 18:18,17.49,17.51,17.49,17.51,3
2017.02.03 18:19,17.50,17.50,17.49,17.49,2
2017.02.03 18:20,17.50,17.51,17.50,17.51,2
2017.02.03 18:22,17.50,17.50,17.49,17.49,2
2017.02.03 18:23,17.50,17.53,17.50,17.52,11
2017.02.03 18:24,17.51,17.53,17.50,17.53,9
2017.02.03 18:25,17.52,17.52,17.52,17.52,1
2017.02.03 18:28,17.53,17.54,17.53,17.54,2
2017.02.03 18:29,17.55,17.55,17.55,17.55,1
2017.02.03 18:30,17.56,17.56,17.56,17.56,1
2017.02.03 18:31,17.55,17.55,17.55,17.55,1
2017.02.03 18:32,17.54,17.54,17.52,17.52,5
2017.02.03 18:34,17.51,17.51,17.51,17.51,1
2017.02.03 18:36,17.52,17.53,17.52,17.52,3
2017.02.03 18:37,17.53,17.53,17.52,17.52,2
2017.02.03 18:38,17.53,17.53,17.52,17.52,2
2017.02.03 18:39,17.51,17.51,17.51,17.51,1
2017.02.03 18:40,17.52,17.52,17.52,17.52,1
2017.02.03 18:41,17.53,17.53,17.52,17.52,2
2017.02.03 18:42,17.51,17.52,17.51,17.52,4
2017.02.03 18:43,17.51,17.51,17.50,17.51,5
2017.02.03 18:45,17.52,17.52,17.52,17.52,1
2017.02.03 18:46,17.53,17.53,17.53,17.53,1
2017.02.03 18:47,17.54,17.55,17.54,17.55,2
2017.02.03 18:50,17.56,17.56,17.56,17.56,1
2017.02.03 18:51,17.57,17.57,17.56,17.56,2
2017.02.03 18:53,17.57,17.57,17.57,17.57,1
2017.02.03 18:54,17.56,17.56,17.56,17.56,1
2017.02.03 18:56,17.55,17.56,17.55,17.56,2
2017.02.03 18:57,17.57,17.57,17.56,17.56,2
2017.02.03 18:59,17.57,17.60,17.57,17.60,4
2017.02.03 19:00,17.61,17.61,17.59,17.59,3
2017.02.03 19:01,17.60,17.60,17.60,17.60,1
2017.02.03 19:02,17.61,17.61,17.60,17.61,5
2017.02.03 19:03,17.60,17.60,17.60,17.60,1
2017.02.03 19:08,17.59,17.59,17.57,17.58,4
2017.02.03 19:10,17.57,17.57,17.56,17.56,4
2017.02.03 19:11,17.55,17.56,17.55,17.56,2
2017.02.03 19:12,17.57,17.59,17.57,17.58,4
2017.02.03 19:13,17.59,17.59,17.59,17.59,1
2017.02.03 19:15,17.58,17.58,17.58,17.58,1
2017.02.03 19:16,17.59,17.60,17.59,17.60,4
2017.02.03 19:18,17.59,17.59,17.59,17.59,1
2017.02.03 19:20,17.60,17.61,17.60,17.60,5
2017.02.03 19:21,17.59,17.59,17.59,17.59,1
2017.02.03 19:22,17.60,17.60,17.60,17.60,1
2017.02.03 19:24,17.61,17.62,17.61,17.61,3
2017.02.03 19:25,17.62,17.63,17.62,17.63,2
2017.02.03 19:26,17.62,17.62,17.61,17.61,2
2017.02.03 19:29,17.62,17.65,17.62,17.65,6
2017.02.03 19:30,17.66,17.66,17.65,17.65,2
2017.02.03 19:31,17.66,17.66,17.65,17.65,2
2017.02.03 19:32,17.66,17.66,17.66,17.66,1
2017.02.03 19:33,17.67,17.67,17.65,17.65,3
2017.02.03 19:34,17.64,17.64,17.64,17.64,1
2017.02.03 19:35,17.63,17.63,17.63,17.63,1
2017.02.03 19:36,17.62,17.64,17.62,17.64,3
2017.02.03 19:37,17.63,17.63,17.62,17.62,4
2017.02.03 19:38,17.63,17.63,17.62,17.62,2
2017.02.03 19:39,17.63,17.63,17.63,17.63,1
2017.02.03 19:40,17.62,17.62,17.62,17.62,1
2017.02.03 19:41,17.63,17.63,17.63,17.63,1
2017.02.03 19:42,17.64,17.64,17.62,17.63,3
2017.02.03 19:43,17.62,17.62,17.62,17.62,1
2017.02.03 19:46,17.63,17.63,17.61,17.61,3
2017.02.03 19:47,17.62,17.63,17.62,17.63,2
2017.02.03 19:48,17.62,17.64,17.62,17.63,4
2017.02.03 20:00,17.64,17.65,17.64,17.65,2
2017.02.03 20:01,17.66,17.66,17.65,17.65,2
2017.02.03 20:02,17.66,17.66,17.66,17.66,1
2017.02.03 20:03,17.67,17.69,17.67,17.69,3
2017.02.03 20:04,17.70,17.70,17.70,17.70,1
2017.02.03 20:05,17.69,17.70,17.69,17.70,2
2017.02.03 20:06,17.69,17.69,17.69,17.69,1
2017.02.03 20:08,17.70,17.70,17.70,17.70,1
2017.02.03 20:09,17.71,17.71,17.70,17.70,2
2017.02.03 20:17,17.71,17.71,17.70,17.70,2
2017.02.03 20:18,17.69,17.69,17.68,17.68,2
2017.02.03 20:19,17.67,17.67,17.67,17.67,1
2017.02.03 20:22,17.66,17.66,17.66,17.66,1
2017.02.03 20:23,17.67,17.68,17.67,17.67,3
2017.02.03 20:24,17.66,17.66,17.66,17.66,1
2017.02.03 20:26,17.67,17.67,17.67,17.67,1
2017.02.03 20:27,17.66,17.66,17.66,17.66,1
2017.02.03 20:28,17.67,17.67,17.66,17.66,2
2017.02.03 20:29,17.65,17.65,17.65,17.65,1
2017.02.03 20:31,17.64,17.64,17.64,17.64,1
2017.02.03 20:33,17.63,17.63,17.62,17.62,2
2017.02.03 20:34,17.63,17.63,17.61,17.61,3
2017.02.03 20:35,17.62,17.62,17.61,17.61,2
2017.02.03 20:36,17.60,17.61,17.59,17.59,4
2017.02.03 20:37,17.60,17.62,17.60,17.62,3
2017.02.03 20:41,17.63,17.64,17.63,17.63,3
2017.02.03 20:44,17.64,17.64,17.64,17.64,1
2017.02.03 20:45,17.65,17.65,17.65,17.65,1
2017.02.03 20:46,17.66,17.66,17.65,17.65,2
2017.02.03 20:47,17.66,17.66,17.65,17.66,3
2017.02.03 20:49,17.65,17.65,17.65,17.65,1
2017.02.03 20:53,17.66,17.66,17.65,17.65,2
2017.02.03 20:56,17.64,17.64,17.64,17.64,1
2017.02.03 21:00,17.65,17.66,17.65,17.66,2
2017.02.03 21:04,17.67,17.67,17.67,17.67,1
2017.02.03 21:05,17.66,17.66,17.66,17.66,1
2017.02.03 21:06,17.65,17.65,17.65,17.65,1
2017.02.03 21:08,17.63,17.63,17.62,17.62,2
2017.02.03 21:11,17.63,17.63,17.61,17.61,5
2017.02.03 21:13,17.60,17.60,17.59,17.60,7
2017.02.03 21:14,17.61,17.61,17.61,17.61,1
2017.02.03 21:15,17.60,17.60,17.60,17.60,1
2017.02.03 21:22,17.61,17.61,17.61,17.61,1
2017.02.03 21:24,17.62,17.62,17.62,17.62,1
2017.02.03 21:25,17.63,17.63,17.63,17.63,1
2017.02.03 21:27,17.64,17.64,17.63,17.64,3
2017.02.03 21:29,17.63,17.63,17.63,17.63,1
2017.02.03 21:30,17.61,17.61,17.61,17.61,1
2017.02.03 21:36,17.62,17.62,17.62,17.62,1
2017.02.03 21:37,17.63,17.63,17.63,17.63,1
2017.02.03 21:38,17.62,17.62,17.62,17.62,1
2017.02.03 21:40,17.61,17.61,17.61,17.61,1
2017.02.03 21:41,17.62,17.62,17.62,17.62,1
2017.02.03 21:43,17.63,17.63,17.63,17.63,1
2017.02.03 21:44,17.62,17.62,17.62,17.62,1
2017.02.03 21:45,17.61,17.61,17.61,17.61,1
2017.02.03 21:48,17.60,17.60,17.58,17.58,5
2017.02.03 21:49,17.57,17.57,17.57,17.57,1
2017.02.03 21:51,17.58,17.58,17.57,17.57,2
2017.02.03 21:57,17.55,17.56,17.55,17.55,3
2017.02.03 21:59,17.54,17.55,17.54,17.54,3
2017.02.03 22:01,17.50,17.53,17.50,17.53,4
2017.02.03 22:02,17.54,17.55,17.54,17.55,2
2017.02.03 22:05,17.54,17.54,17.52,17.53,4
2017.02.03 22:07,17.52,17.52,17.52,17.52,1
2017.02.03 22:09,17.51,17.51,17.50,17.50,2
2017.02.03 22:10,17.51,17.51,17.51,17.51,1
2017.02.03 22:11,17.50,17.51,17.50,17.51,2
2017.02.03 22:12,17.50,17.50,17.50,17.50,1
2017.02.03 22:13,17.51,17.52,17.51,17.52,2
2017.02.03 22:16,17.53,17.54,17.53,17.54,4
2017.02.03 22:17,17.55,17.55,17.55,17.55,1
2017.02.03 22:18,17.54,17.54,17.54,17.54,1
2017.02.03 22:21,17.53,17.54,17.53,17.53,3
2017.02.03 22:22,17.52,17.52,17.52,17.52,1
2017.02.03 22:24,17.51,17.51,17.51,17.51,1
2017.02.03 22:25,17.50,17.51,17.50,17.51,4
2017.02.03 22:26,17.50,17.51,17.50,17.51,2
2017.02.03 22:28,17.52,17.52,17.52,17.52,1
2017.02.03 22:29,17.53,17.54,17.53,17.53,3
2017.02.03 22:31,17.52,17.52,17.51,17.51,2
2017.02.03 22:32,17.50,17.50,17.50,17.50,1
2017.02.03 22:35,17.51,17.51,17.51,17.51,1
2017.02.03 22:36,17.50,17.50,17.50,17.50,1
2017.02.03 22:37,17.51,17.51,17.51,17.51,1
2017.02.03 22:38,17.52,17.52,17.51,17.51,2
2017.02.03 22:39,17.50,17.50,17.50,17.50,1
2017.02.03 22:41,17.49,17.49,17.49,17.49,1
2017.02.03 22:42,17.50,17.51,17.50,17.51,2
2017.02.03 22:43,17.52,17.52,17.51,17.51,2
2017.02.03 22:46,17.50,17.50,17.50,17.50,1
2017.02.03 22:47,17.49,17.49,17.49,17.49,1
2017.02.03 22:48,17.48,17.48,17.47,17.47,2
2017.02.03 22:49,17.46,17.46,17.45,17.46,3
2017.02.03 22:50,17.47,17.48,17.47,17.47,3
2017.02.03 22:51,17.48,17.48,17.48,17.48,1
2017.02.03 22:52,17.49,17.49,17.49,17.49,1
2017.02.03 22:53,17.50,17.50,17.49,17.49,2
2017.02.03 22:55,17.48,17.48,17.48,17.48,1
2017.02.03 22:57,17.47,17.47,17.47,17.47,1
2017.02.03 22:58,17.48,17.48,17.47,17.47,2
2017.02.03 22:59,17.48,17.48,17.48,17.48,1
2017.02.06 16:31,17.55,17.55,17.46,17.47,12
2017.02.06 16:32,17.48,17.49,17.45,17.47,27
2017.02.06 16:33,17.48,17.54,17.48,17.51,26
2017.02.06 16:34,17.50,17.56,17.50,17.55,11
2017.02.06 16:35,17.56,17.57,17.56,17.57,6
2017.02.06 16:36,17.56,17.59,17.55,17.56,11
2017.02.06 16:37,17.57,17.57,17.53,17.53,5
2017.02.06 16:38,17.54,17.56,17.53,17.55,10
2017.02.06 16:39,17.54,17.59,17.54,17.58,9
2017.02.06 16:40,17.59,17.59,17.58,17.59,3
2017.02.06 16:41,17.58,17.60,17.58,17.60,5
2017.02.06 16:42,17.59,17.59,17.58,17.59,7
2017.02.06 16:43,17.58,17.59,17.57,17.57,14
2017.02.06 16:44,17.58,17.58,17.56,17.56,3
2017.02.06 16:45,17.55,17.56,17.55,17.56,2
2017.02.06 16:46,17.57,17.57,17.56,17.56,2
2017.02.06 16:47,17.55,17.56,17.55,17.55,3
2017.02.06 16:49,17.54,17.54,17.51,17.51,6
2017.02.06 16:50,17.50,17.50,17.48,17.48,5
2017.02.06 16:51,17.47,17.48,17.47,17.48,2
2017.02.06 16:52,17.47,17.48,17.44,17.44,6
2017.02.06 16:53,17.45,17.46,17.45,17.46,2
2017.02.06 16:54,17.45,17.46,17.45,17.46,2
2017.02.06 16:55,17.47,17.48,17.46,17.47,7
2017.02.06 16:56,17.46,17.46,17.44,17.44,3
2017.02.06 16:57,17.43,17.43,17.34,17.34,7
2017.02.06 16:58,17.40,17.40,17.40,17.40,1
2017.02.06 16:59,17.39,17.40,17.38,17.40,4
2017.02.06 17:00,17.41,17.42,17.41,17.41,3
2017.02.06 17:03,17.42,17.46,17.42,17.46,5
2017.02.06 17:04,17.47,17.47,17.43,17.43,5
2017.02.06 17:06,17.42,17.42,17.40,17.40,7
2017.02.06 17:07,17.41,17.41,17.40,17.40,4
2017.02.06 17:09,17.39,17.39,17.38,17.38,4
2017.02.06 17:10,17.37,17.37,17.37,17.37,1
2017.02.06 17:11,17.36,17.36,17.34,17.35,4
2017.02.06 17:12,17.36,17.37,17.36,17.37,2
2017.02.06 17:13,17.38,17.40,17.38,17.40,5
2017.02.06 17:15,17.41,17.42,17.41,17.42,2
2017.02.06 17:16,17.43,17.46,17.43,17.46,6
2017.02.06 17:17,17.45,17.46,17.45,17.46,2
2017.02.06 17:18,17.45,17.45,17.44,17.44,4
2017.02.06 17:20,17.45,17.45,17.45,17.45,1
2017.02.06 17:21,17.46,17.46,17.46,17.46,1
2017.02.06 17:22,17.45,17.45,17.43,17.43,3
2017.02.06 17:24,17.42,17.42,17.41,17.42,3
2017.02.06 17:25,17.43,17.44,17.43,17.44,2
2017.02.06 17:26,17.43,17.43,17.43,17.43,1
2017.02.06 17:27,17.42,17.44,17.42,17.44,3
2017.02.06 17:28,17.45,17.45,17.45,17.45,1
2017.02.06 17:29,17.46,17.47,17.46,17.47,2
2017.02.06 17:31,17.48,17.49,17.48,17.48,3
2017.02.06 17:32,17.47,17.47,17.46,17.46,2
2017.02.06 17:33,17.45,17.45,17.45,17.45,1
2017.02.06 17:35,17.44,17.44,17.44,17.44,1
2017.02.06 17:36,17.45,17.45,17.45,17.45,1
2017.02.06 17:37,17.44,17.44,17.44,17.44,1
2017.02.06 17:40,17.45,17.46,17.45,17.46,2
2017.02.06 17:44,17.45,17.45,17.45,17.45,1
2017.02.06 17:45,17.46,17.46,17.44,17.44,3
2017.02.06 17:47,17.43,17.44,17.43,17.44,2
2017.02.06 17:48,17.43,17.43,17.43,17.43,1
2017.02.06 17:49,17.42,17.42,17.42,17.42,1
2017.02.06 17:54,17.43,17.43,17.43,17.43,1
2017.02.06 17:56,17.44,17.45,17.44,17.45,4
2017.02.06 17:57,17.46,17.46,17.45,17.45,8
2017.02.06 17:58,17.44,17.44,17.42,17.42,3
2017.02.06 17:59,17.41,17.43,17.41,17.42,4
2017.02.06 18:03,17.41,17.41,17.40,17.40,2
2017.02.06 18:05,17.41,17.41,17.41,17.41,1
2017.02.06 18:07,17.42,17.42,17.41,17.41,4
2017.02.06 18:17,17.40,17.40,17.39,17.39,2
2017.02.06 18:18,17.40,17.41,17.40,17.41,2
2017.02.06 18:21,17.42,17.42,17.42,17.42,1
2017.02.06 18:25,17.43,17.43,17.43,17.43,1
2017.02.06 18:26,17.44,17.45,17.44,17.45,2
2017.02.06 18:28,17.46,17.51,17.46,17.51,6
2017.02.06 18:29,17.52,17.52,17.52,17.52,1
2017.02.06 18:30,17.53,17.53,17.52,17.52,2
2017.02.06 18:31,17.51,17.51,17.50,17.51,3
2017.02.06 18:32,17.52,17.52,17.51,17.51,4
2017.02.06 18:33,17.52,17.52,17.51,17.51,2
2017.02.06 18:34,17.52,17.52,17.52,17.52,1
2017.02.06 18:35,17.53,17.54,17.53,17.53,3
2017.02.06 18:36,17.54,17.54,17.54,17.54,1
2017.02.06 18:37,17.55,17.55,17.55,17.55,1
2017.02.06 18:38,17.54,17.54,17.54,17.54,1
2017.02.06 18:40,17.53,17.53,17.52,17.52,2
2017.02.06 18:41,17.53,17.53,17.53,17.53,1
2017.02.06 18:43,17.52,17.55,17.52,17.55,4
2017.02.06 18:44,17.56,17.56,17.56,17.56,1
2017.02.06 18:45,17.55,17.55,17.55,17.55,1
2017.02.06 18:47,17.54,17.55,17.54,17.55,2
2017.02.06 18:50,17.54,17.54,17.54,17.54,1
2017.02.06 18:52,17.53,17.54,17.53,17.54,2
2017.02.06 18:55,17.55,17.55,17.54,17.54,2
2017.02.06 18:56,17.53,17.54,17.53,17.54,2
2017.02.06 18:57,17.53,17.53,17.53,17.53,1
2017.02.06 18:58,17.54,17.54,17.54,17.54,1
2017.02.06 18:59,17.55,17.55,17.55,17.55,1
2017.02.06 19:00,17.54,17.54,17.54,17.54,1
2017.02.06 19:01,17.55,17.56,17.55,17.56,2
2017.02.06 19:04,17.55,17.55,17.54,17.55,3
2017.02.06 19:07,17.56,17.56,17.56,17.56,1
2017.02.06 19:08,17.57,17.57,17.57,17.57,1
2017.02.06 19:09,17.58,17.58,17.58,17.58,1
2017.02.06 19:11,17.59,17.62,17.59,17.61,5
2017.02.06 19:12,17.60,17.61,17.59,17.61,4
2017.02.06 19:13,17.62,17.62,17.62,17.62,1
2017.02.06 19:14,17.61,17.61,17.61,17.61,1
2017.02.06 19:15,17.60,17.60,17.60,17.60,1
2017.02.06 19:16,17.59,17.59,17.58,17.58,2
2017.02.06 19:17,17.59,17.60,17.59,17.60,2
