Date,Open,High,Low,Close,Volume
2017.02.13 22:55,11.33000000,11.370000002017.02.01 17:35,10.40,10.40,10.38,10.39,4
2017.02.01 17:36,10.40,10.41,10.40,10.40,7
2017.02.01 17:37,10.39,10.40,10.39,10.40,6
2017.02.01 17:38,10.39,10.39,10.39,10.39,3
2017.02.01 17:39,10.39,10.39,10.37,10.37,5
2017.02.01 17:40,10.38,10.38,10.36,10.36,3
2017.02.01 17:41,10.37,10.38,10.35,10.35,7
2017.02.01 17:42,10.36,10.36,10.35,10.36,3
2017.02.01 17:44,10.37,10.37,10.37,10.37,2
2017.02.01 17:45,10.38,10.38,10.37,10.37,2
2017.02.01 17:46,10.36,10.37,10.35,10.36,10
2017.02.01 17:47,10.36,10.36,10.35,10.35,6
2017.02.01 17:48,10.36,10.36,10.36,10.36,2
2017.02.01 17:49,10.37,10.38,10.36,10.38,6
2017.02.01 17:50,10.38,10.38,10.36,10.36,3
2017.02.01 17:52,10.35,10.35,10.34,10.34,2
2017.02.01 17:53,10.35,10.35,10.35,10.35,2
2017.02.01 17:54,10.36,10.37,10.36,10.37,6
2017.02.01 17:55,10.38,10.38,10.37,10.37,3
2017.02.01 17:57,10.38,10.38,10.36,10.37,8
2017.02.01 17:59,10.37,10.37,10.36,10.37,4
2017.02.01 18:00,10.38,10.38,10.38,10.38,2
2017.02.01 18:01,10.39,10.39,10.38,10.38,4
2017.02.01 18:02,10.39,10.39,10.39,10.39,2
2017.02.01 18:03,10.40,10.40,10.40,10.40,2
2017.02.01 18:04,10.40,10.40,10.39,10.39,2
2017.02.01 18:05,10.38,10.38,10.38,10.38,1
2017.02.01 18:06,10.39,10.40,10.39,10.40,2
2017.02.01 18:07,10.39,10.39,10.39,10.39,1
2017.02.01 18:09,10.38,10.39,10.38,10.39,2
2017.02.01 18:10,10.40,10.40,10.37,10.37,5
2017.02.01 18:11,10.38,10.38,10.38,10.38,2
2017.02.01 18:13,10.39,10.39,10.39,10.39,1
2017.02.01 18:14,10.38,10.38,10.38,10.38,2
2017.02.01 18:16,10.39,10.39,10.38,10.38,2
2017.02.01 18:19,10.38,10.38,10.37,10.38,9
2017.02.01 18:21,10.38,10.38,10.37,10.37,2
2017.02.01 18:24,10.38,10.38,10.38,10.38,2
2017.02.01 18:28,10.39,10.39,10.37,10.37,4
2017.02.01 18:29,10.38,10.38,10.37,10.37,2
2017.02.01 18:31,10.38,10.38,10.38,10.38,2
2017.02.01 18:33,10.38,10.38,10.37,10.37,2
2017.02.01 18:35,10.36,10.37,10.36,10.37,3
2017.02.01 18:36,10.37,10.37,10.36,10.37,4
2017.02.01 18:37,10.37,10.37,10.36,10.36,2
2017.02.01 18:38,10.37,10.37,10.37,10.37,2
2017.02.01 18:42,10.38,10.38,10.38,10.38,2
2017.02.01 18:47,10.38,10.38,10.35,10.35,5
2017.02.01 18:48,10.34,10.35,10.34,10.35,3
2017.02.01 18:49,10.36,10.36,10.35,10.35,4
