Date,Open,High,Low,Close,Volume
2017.02.15 22:55,45.63000000,45.680000002017.02.03 18:25,43.81,43.81,43.81,43.81,2
2017.02.03 18:26,43.80,43.80,43.80,43.80,1
2017.02.03 18:27,43.79,43.80,43.79,43.80,3
2017.02.03 18:28,43.81,43.81,43.80,43.81,5
2017.02.03 18:29,43.80,43.80,43.80,43.80,1
2017.02.03 18:30,43.80,43.80,43.78,43.80,8
2017.02.03 18:33,43.80,43.80,43.78,43.78,3
2017.02.03 18:35,43.78,43.78,43.76,43.76,3
2017.02.03 18:36,43.76,43.76,43.73,43.73,5
2017.02.03 18:37,43.74,43.74,43.73,43.73,2
2017.02.03 18:38,43.74,43.75,43.74,43.74,5
2017.02.03 18:39,43.75,43.75,43.75,43.75,2
2017.02.03 18:40,43.76,43.76,43.75,43.76,4
2017.02.03 18:41,43.76,43.76,43.75,43.75,2
2017.02.03 18:42,43.75,43.75,43.74,43.75,4
2017.02.03 18:43,43.75,43.75,43.71,43.71,7
2017.02.03 18:44,43.72,43.73,43.72,43.72,4
2017.02.03 18:45,43.72,43.72,43.71,43.72,3
2017.02.03 18:46,43.72,43.72,43.71,43.71,2
2017.02.03 18:48,43.72,43.72,43.72,43.72,1
2017.02.03 18:50,43.73,43.74,43.73,43.74,3
2017.02.03 18:51,43.74,43.75,43.73,43.75,4
2017.02.03 18:52,43.75,43.75,43.73,43.73,2
2017.02.03 18:56,43.74,43.74,43.74,43.74,2
2017.02.03 18:57,43.74,43.74,43.72,43.72,4
2017.02.03 18:58,43.72,43.72,43.71,43.72,4
2017.02.03 18:59,43.73,43.74,43.73,43.74,2
2017.02.03 19:00,43.75,43.75,43.74,43.75,6
2017.02.03 19:01,43.76,43.77,43.76,43.77,9
2017.02.03 19:03,43.76,43.76,43.75,43.75,3
2017.02.03 19:05,43.76,43.76,43.75,43.75,4
2017.02.03 19:07,43.75,43.75,43.74,43.75,3
2017.02.03 19:09,43.76,43.76,43.76,43.76,2
2017.02.03 19:11,43.76,43.76,43.74,43.74,3
2017.02.03 19:13,43.75,43.75,43.75,43.75,2
2017.02.03 19:14,43.75,43.75,43.73,43.73,4
2017.02.03 19:16,43.74,43.74,43.74,43.74,1
2017.02.03 19:17,43.75,43.75,43.74,43.74,4
2017.02.03 19:20,43.75,43.76,43.75,43.75,6
2017.02.03 19:22,43.76,43.76,43.76,43.76,2
2017.02.03 19:24,43.77,43.77,43.76,43.76,4
2017.02.03 19:25,43.77,43.77,43.76,43.77,5
2017.02.03 19:26,43.77,43.77,43.76,43.77,3
2017.02.03 19:28,43.77,43.77,43.75,43.75,4
2017.02.03 19:30,43.76,43.76,43.75,43.76,6
2017.02.03 19:35,43.75,43.75,43.75,43.75,1
2017.02.03 19:37,43.75,43.75,43.74,43.74,2
2017.02.03 19:38,43.75,43.75,43.74,43.75,4
2017.02.03 19:39,43.75,43.75,43.74,43.74,2
2017.02.03 19:41,43.75,43.75,43.75,43.75,2
2017.02.03 19:44,43.76,43.76,43.75,43.75,4
2017.02.03 19:45,43.75,43.75,43.74,43.74,2
2017.02.03 19:46,43.74,43.74,43.73,43.74,3
2017.02.03 19:48,43.75,43.75,43.75,43.75,2
2017.02.03 19:49,43.76,43.76,43.76,43.76,2
2017.02.03 19:50,43.77,43.77,43.75,43.75,4
2017.02.03 19:55,43.75,43.75,43.73,43.73,4
2017.02.03 19:56,43.72,43.72,43.72,43.72,1
2017.02.03 20:04,43.71,43.71,43.71,43.71,1
2017.02.03 20:05,43.71,43.71,43.70,43.71,3
2017.02.03 20:06,43.72,43.72,43.70,43.70,5
2017.02.03 20:07,43.71,43.72,43.70,43.70,9
2017.02.03 20:08,43.71,43.71,43.71,43.71,1
2017.02.03 20:10,43.71,43.71,43.70,43.70,2
2017.02.03 20:12,43.71,43.73,43.70,43.73,12
2017.02.03 20:18,43.73,43.74,43.73,43.74,4
2017.02.03 20:19,43.73,43.75,43.72,43.75,11
2017.02.03 20:20,43.76,43.76,43.74,43.74,6
2017.02.03 20:23,43.75,43.75,43.75,43.75,2
2017.02.03 20:27,43.75,43.75,43.74,43.75,4
2017.02.03 20:28,43.74,43.74,43.74,43.74,1
2017.02.03 20:29,43.75,43.75,43.75,43.75,1
2017.02.03 20:30,43.75,43.75,43.74,43.74,2
2017.02.03 20:31,43.74,43.74,43.73,43.73,2
2017.02.03 20:32,43.73,43.75,43.72,43.75,11
2017.02.03 20:33,43.76,43.76,43.75,43.75,3
2017.02.03 20:34,43.75,43.75,43.74,43.74,6
2017.02.03 20:35,43.75,43.75,43.74,43.74,3
2017.02.03 20:36,43.74,43.74,43.68,43.68,10
2017.02.03 20:37,43.69,43.71,43.69,43.71,6
2017.02.03 20:38,43.71,43.71,43.69,43.69,7
2017.02.03 20:39,43.70,43.71,43.70,43.71,4
2017.02.03 20:40,43.71,43.71,43.70,43.71,4
2017.02.03 20:41,43.70,43.70,43.70,43.70,1
2017.02.03 20:44,43.71,43.71,43.70,43.70,4
2017.02.03 20:50,43.70,43.70,43.70,43.70,1
2017.02.03 20:51,43.72,43.72,43.71,43.71,2
2017.02.03 20:52,43.72,43.72,43.72,43.72,2
2017.02.03 20:54,43.73,43.74,43.73,43.74,8
