Date,Open,High,Low,Close,Volume
2016.10.19 21:30,175.34,175.43,175.26,175.30,142
2016.10.19 21:45,175.31,175.33,175.01,175.01,152
2016.10.19 22:00,175.02,175.10,174.80,174.81,171
2016.10.19 22:15,174.80,174.98,174.80,174.94,144
2016.10.19 22:30,174.89,174.91,174.76,174.91,164
2016.10.19 22:45,174.90,174.96,174.37,174.45,307
2016.10.20 16:30,174.27,175.34,174.27,174.43,360
2016.10.20 16:45,174.44,175.49,174.36,175.28,278
2016.10.20 17:00,175.29,175.69,175.25,175.32,323
2016.10.20 17:15,175.32,175.33,174.48,174.85,277
2016.10.20 17:30,174.86,174.86,173.76,174.05,329
2016.10.20 17:45,174.03,174.29,173.82,174.10,271
2016.10.20 18:00,174.11,174.12,173.83,173.87,161
2016.10.20 18:15,173.87,174.55,173.87,174.35,259
2016.10.20 18:30,174.35,174.60,174.28,174.53,216
2016.10.20 18:45,174.54,175.12,174.46,175.12,191
2016.10.20 19:00,175.11,175.38,175.09,175.15,231
2016.10.20 19:15,175.16,175.20,174.80,174.84,137
2016.10.20 19:30,174.85,175.17,174.74,175.06,133
2016.10.20 19:45,175.06,175.13,174.69,174.76,152
2016.10.20 20:00,174.75,175.07,174.71,174.94,204
2016.10.20 20:15,174.96,174.96,174.71,174.78,163
2016.10.20 20:30,174.79,174.90,174.72,174.80,169
2016.10.20 20:45,174.81,174.87,174.29,174.40,287
2016.10.20 21:00,174.38,174.61,174.37,174.56,188
2016.10.20 21:15,174.57,174.61,174.42,174.60,120
2016.10.20 21:30,174.61,174.81,174.55,174.72,150
2016.10.20 21:45,174.73,174.91,174.60,174.77,206
2016.10.20 22:00,174.78,174.90,174.70,174.85,135
2016.10.20 22:15,174.84,174.85,174.57,174.59,214
2016.10.20 22:30,174.53,174.82,174.47,174.80,181
2016.10.20 22:45,174.79,174.87,174.39,174.43,257
2016.10.21 16:30,172.57,174.10,172.57,174.01,321
2016.10.21 16:45,174.02,174.04,173.20,173.24,284
2016.10.21 17:00,173.32,173.41,173.01,173.25,339
2016.10.21 17:15,173.25,173.78,173.25,173.67,300
2016.10.21 17:30,173.67,174.08,173.67,174.04,186
2016.10.21 17:45,174.04,174.14,173.89,174.11,171
2016.10.21 18:00,174.09,174.19,173.86,174.08,132
2016.10.21 18:15,174.07,174.07,173.69,173.75,117
2016.10.21 18:30,173.76,174.15,173.66,174.11,180
2016.10.21 18:45,174.12,174.63,174.12,174.54,196
2016.10.21 19:00,174.55,174.64,174.45,174.61,110
2016.10.21 19:15,174.59,174.77,174.58,174.60,163
2016.10.21 19:30,174.61,174.83,174.51,174.76,144
2016.10.21 19:45,174.77,174.85,174.59,174.63,84
2016.10.21 20:00,174.64,174.66,174.26,174.29,103
2016.10.21 20:15,174.27,174.44,174.27,174.28,83
2016.10.21 20:30,174.27,174.33,174.00,174.21,120
2016.10.21 20:45,174.24,174.52,174.11,174.40,121
2016.10.21 21:00,174.38,174.46,174.23,174.41,80
2016.10.21 21:15,174.42,174.64,174.41,174.58,190
2016.10.21 21:30,174.57,174.75,174.51,174.63,125
2016.10.21 21:45,174.64,174.71,174.44,174.62,149
2016.10.21 22:00,174.63,174.76,174.58,174.61,151
2016.10.21 22:15,174.62,174.68,174.54,174.61,109
2016.10.21 22:30,174.58,174.62,174.46,174.54,84
2016.10.21 22:45,174.56,174.70,174.35,174.52,278
2016.10.24 16:30,175.37,175.57,175.11,175.32,339
2016.10.24 16:45,175.33,175.65,175.16,175.29,278
2016.10.24 17:00,175.32,175.34,174.59,174.72,241
2016.10.24 17:15,174.73,175.03,174.32,174.32,207
2016.10.24 17:30,174.32,174.83,174.32,174.50,220
2016.10.24 17:45,174.50,175.19,174.50,175.08,175
2016.10.24 18:00,175.07,175.22,174.95,175.02,184
2016.10.24 18:15,175.03,175.19,174.99,175.16,131
2016.10.24 18:30,175.17,175.28,175.03,175.11,102
2016.10.24 18:45,175.10,175.15,175.04,175.11,99
2016.10.24 19:00,175.10,175.12,174.86,174.98,123
2016.10.24 19:15,174.99,175.16,174.92,175.12,135
2016.10.24 19:30,175.11,175.20,174.87,174.88,139
2016.10.24 19:45,174.87,175.02,174.77,175.02,98
2016.10.24 20:00,175.01,175.01,174.92,174.94,69
2016.10.24 20:15,174.95,175.03,174.92,174.99,71
2016.10.24 20:30,175.00,175.12,174.95,175.10,92
2016.10.24 20:45,175.11,175.20,175.01,175.12,167
2016.10.24 21:00,175.11,175.19,175.04,175.08,135
2016.10.24 21:15,175.09,175.25,175.03,175.19,94
2016.10.24 21:30,175.22,175.25,175.13,175.20,61
2016.10.24 21:45,175.21,175.24,175.09,175.15,127
2016.10.24 22:00,175.16,175.21,175.11,175.17,76
2016.10.24 22:15,175.18,175.22,175.05,175.13,89
2016.10.24 22:30,175.07,175.18,175.00,175.11,117
2016.10.24 22:45,175.10,175.18,174.99,175.02,154
2016.10.25 16:30,174.66,175.67,174.66,175.40,442
2016.10.25 16:45,175.39,175.62,175.13,175.46,234
2016.10.25 17:00,175.45,175.87,175.30,175.87,211
2016.10.25 17:15,175.87,175.91,175.34,175.40,264
2016.10.25 17:30,175.39,175.54,175.10,175.10,190
2016.10.25 17:45,175.09,175.27,174.82,175.27,344
2016.10.25 18:00,175.26,175.42,175.19,175.31,223
