Date,Open,High,Low,Close,Volume
2016.10.19 21:30,203.91,204.47,203.42,204.18,394
2016.10.19 21:45,204.19,204.67,203.90,204.09,326
2016.10.19 22:00,204.09,204.47,204.00,204.41,293
2016.10.19 22:15,204.41,204.53,202.15,202.27,639
2016.10.19 22:30,202.21,204.05,202.21,203.67,469
2016.10.19 22:45,203.66,203.71,202.85,203.47,600
2016.10.20 16:30,200.71,200.80,196.91,196.98,1070
2016.10.20 16:45,196.95,199.13,196.95,198.85,893
2016.10.20 17:00,198.76,199.01,197.88,197.96,619
2016.10.20 17:15,197.96,199.79,197.88,199.52,617
2016.10.20 17:30,199.34,199.34,198.31,198.78,541
2016.10.20 17:45,198.79,199.72,198.63,198.88,520
2016.10.20 18:00,198.98,199.01,198.63,198.77,291
2016.10.20 18:15,198.77,198.89,198.51,198.71,243
2016.10.20 18:30,198.79,199.21,198.54,199.08,278
2016.10.20 18:45,199.10,199.78,198.93,199.72,306
2016.10.20 19:00,199.73,201.55,199.63,201.34,543
2016.10.20 19:15,201.34,202.69,201.14,201.59,719
2016.10.20 19:30,201.44,201.88,200.68,200.87,472
2016.10.20 19:45,200.95,201.18,200.33,200.44,366
2016.10.20 20:00,200.44,200.65,200.06,200.14,264
2016.10.20 20:15,200.15,200.31,199.68,200.08,323
2016.10.20 20:30,200.15,200.40,199.89,200.05,215
2016.10.20 20:45,200.05,200.05,199.43,199.43,250
2016.10.20 21:00,199.43,200.08,199.38,199.90,259
2016.10.20 21:15,199.91,200.30,199.68,199.86,259
2016.10.20 21:30,199.68,199.92,199.39,199.63,244
2016.10.20 21:45,199.68,200.09,199.68,199.91,278
2016.10.20 22:00,199.93,200.02,199.49,199.75,294
2016.10.20 22:15,199.76,200.21,199.68,200.18,332
2016.10.20 22:30,200.19,200.30,199.02,199.10,280
2016.10.20 22:45,199.11,199.63,198.72,198.93,526
2016.10.21 16:30,199.25,199.25,197.25,198.39,504
2016.10.21 16:45,198.39,199.35,198.13,199.22,360
2016.10.21 17:00,199.22,199.97,198.88,199.79,604
2016.10.21 17:15,199.79,200.61,199.72,200.07,393
2016.10.21 17:30,200.07,200.53,199.88,200.42,349
2016.10.21 17:45,200.42,201.35,200.33,200.85,518
2016.10.21 18:00,200.85,200.90,200.31,200.52,318
2016.10.21 18:15,200.52,200.58,199.93,200.06,272
2016.10.21 18:30,200.07,200.07,199.74,200.06,186
2016.10.21 18:45,200.06,200.52,199.87,199.97,268
2016.10.21 19:00,199.97,200.01,199.58,199.69,200
2016.10.21 19:15,199.69,199.73,199.16,199.31,216
2016.10.21 19:30,199.31,199.43,198.99,199.24,229
2016.10.21 19:45,199.24,199.97,199.23,199.70,173
2016.10.21 20:00,199.70,199.75,199.16,199.24,164
2016.10.21 20:15,199.28,199.39,199.05,199.06,180
2016.10.21 20:30,199.06,199.73,198.69,199.64,230
2016.10.21 20:45,199.64,199.85,199.38,199.46,140
2016.10.21 21:00,199.46,199.46,198.89,199.00,160
2016.10.21 21:15,199.00,199.54,199.00,199.38,222
2016.10.21 21:30,199.48,199.58,199.36,199.41,105
2016.10.21 21:45,199.46,199.48,198.81,199.13,159
2016.10.21 22:00,199.14,199.33,199.09,199.22,143
2016.10.21 22:15,199.25,199.34,199.08,199.17,213
2016.10.21 22:30,199.18,199.54,199.18,199.48,176
2016.10.21 22:45,199.50,199.93,199.44,199.87,345
2016.10.24 16:30,201.12,203.26,201.12,201.63,590
2016.10.24 16:45,201.64,202.59,201.63,202.02,414
2016.10.24 17:00,202.09,202.23,200.68,200.79,483
2016.10.24 17:15,200.88,200.98,200.13,200.89,394
2016.10.24 17:30,200.89,201.28,200.63,200.69,256
2016.10.24 17:45,200.69,201.59,200.57,201.55,262
2016.10.24 18:00,201.55,202.27,201.55,201.83,277
2016.10.24 18:15,201.87,202.71,201.83,202.43,279
2016.10.24 18:30,202.45,203.31,202.43,202.77,302
2016.10.24 18:45,202.76,203.67,202.76,203.40,316
2016.10.24 19:00,203.40,203.40,202.38,202.79,255
2016.10.24 19:15,202.79,203.23,202.79,202.96,249
