Date,Open,High,Low,Close,Volume
2016.10.19 21:30,63.84,63.89,63.80,63.85,80
2016.10.19 21:45,63.84,63.95,63.83,63.90,50
2016.10.19 22:00,63.91,64.00,63.91,63.95,53
2016.10.19 22:15,63.96,64.07,63.96,64.05,62
2016.10.19 22:30,64.04,64.04,63.90,63.90,41
2016.10.19 22:45,63.89,63.95,63.80,63.83,125
2016.10.20 16:30,63.61,63.63,61.98,62.27,589
2016.10.20 16:45,62.28,62.91,62.28,62.65,205
2016.10.20 17:00,62.66,62.77,62.46,62.46,221
2016.10.20 17:15,62.41,62.54,62.18,62.28,219
2016.10.20 17:30,62.28,62.36,61.88,62.11,323
2016.10.20 17:45,62.11,62.38,62.02,62.30,248
2016.10.20 18:00,62.29,62.30,62.08,62.25,166
2016.10.20 18:15,62.24,62.45,62.20,62.33,140
2016.10.20 18:30,62.34,62.56,62.34,62.51,155
2016.10.20 18:45,62.51,62.62,62.38,62.57,150
2016.10.20 19:00,62.56,62.75,62.45,62.62,218
2016.10.20 19:15,62.63,62.68,62.52,62.54,105
2016.10.20 19:30,62.53,62.62,62.47,62.62,153
2016.10.20 19:45,62.63,62.65,62.45,62.47,67
2016.10.20 20:00,62.47,62.56,62.41,62.51,103
2016.10.20 20:15,62.52,62.64,62.47,62.56,110
2016.10.20 20:30,62.55,62.56,62.40,62.40,61
2016.10.20 20:45,62.41,62.43,62.09,62.10,118
2016.10.20 21:00,62.11,62.26,62.11,62.13,75
2016.10.20 21:15,62.12,62.14,62.03,62.07,69
2016.10.20 21:30,62.06,62.15,62.03,62.08,54
2016.10.20 21:45,62.08,62.20,62.03,62.11,97
2016.10.20 22:00,62.12,62.16,62.06,62.12,66
2016.10.20 22:15,62.11,62.11,61.89,61.90,68
2016.10.20 22:30,61.90,62.02,61.90,61.98,73
2016.10.20 22:45,61.99,62.08,61.93,61.99,170
2016.10.21 16:30,61.80,62.27,61.77,62.10,219
2016.10.21 16:45,62.09,62.43,62.03,62.33,221
2016.10.21 17:00,62.32,62.33,62.05,62.10,165
2016.10.21 17:15,62.11,62.29,62.05,62.15,135
2016.10.21 17:30,62.16,62.29,62.13,62.14,117
2016.10.21 17:45,62.13,62.42,62.13,62.34,142
2016.10.21 18:00,62.35,63.44,62.26,63.42,595
2016.10.21 18:15,63.42,63.59,63.16,63.27,279
2016.10.21 18:30,63.23,63.64,63.16,63.53,180
2016.10.21 18:45,63.54,63.61,63.40,63.44,155
2016.10.21 19:00,63.45,63.47,63.17,63.18,131
2016.10.21 19:15,63.16,63.28,63.07,63.20,126
2016.10.21 19:30,63.21,63.28,63.13,63.15,68
2016.10.21 19:45,63.14,63.16,62.96,63.03,79
2016.10.21 20:00,63.04,63.35,62.98,63.34,123
2016.10.21 20:15,63.33,63.37,63.22,63.25,97
2016.10.21 20:30,63.21,63.22,62.97,63.02,126
2016.10.21 20:45,63.01,63.04,62.92,62.96,136
2016.10.21 21:00,62.95,63.01,62.92,62.92,71
2016.10.21 21:15,62.93,63.01,62.87,62.92,48
2016.10.21 21:30,62.94,62.99,62.90,62.92,61
2016.10.21 21:45,62.92,62.92,62.77,62.82,59
2016.10.21 22:00,62.83,62.86,62.80,62.83,50
2016.10.21 22:15,62.82,62.99,62.77,62.93,131
2016.10.21 22:30,62.92,62.92,62.70,62.83,56
2016.10.21 22:45,62.82,62.95,62.77,62.91,99
2016.10.24 16:30,63.35,63.67,63.27,63.44,232
2016.10.24 16:45,63.44,63.83,63.42,63.83,148
2016.10.24 17:00,63.83,63.90,63.74,63.77,114
2016.10.24 17:15,63.78,63.91,63.74,63.82,130
2016.10.24 17:30,63.81,63.81,63.48,63.49,131
2016.10.24 17:45,63.49,63.55,63.34,63.51,135
2016.10.24 18:00,63.52,63.68,63.49,63.64,81
2016.10.24 18:15,63.63,63.70,63.49,63.51,50
2016.10.24 18:30,63.52,63.54,63.37,63.46,48
2016.10.24 18:45,63.47,63.63,63.47,63.62,64
2016.10.24 19:00,63.62,63.64,63.52,63.64,60
2016.10.24 19:15,63.65,63.67,63.46,63.49,75
2016.10.24 19:30,63.50,63.59,63.47,63.57,53
2016.10.24 19:45,63.58,63.65,63.57,63.59,34
2016.10.24 20:00,63.58,63.66,63.58,63.61,43
2016.10.24 20:15,63.60,63.62,63.55,63.61,24
2016.10.24 20:30,63.62,63.62,63.56,63.61,49
2016.10.24 20:45,63.61,63.73,63.59,63.73,36
2016.10.24 21:00,63.74,63.77,63.66,63.68,57
2016.10.24 21:15,63.67,63.76,63.67,63.69,34
