Date,Open,High,Low,Close,Volume
2016.10.19 16:30,5.83,5.91,5.80,5.83,48
2016.10.19 16:45,5.82,5.83,5.77,5.82,22
2016.10.19 17:00,5.83,5.84,5.79,5.80,27
2016.10.19 17:15,5.80,5.84,5.78,5.84,24
2016.10.19 17:30,5.84,5.89,5.83,5.89,45
2016.10.19 17:45,5.90,5.90,5.88,5.88,18
2016.10.19 18:00,5.88,5.91,5.88,5.90,9
2016.10.19 18:15,5.91,5.91,5.88,5.89,18
2016.10.19 18:30,5.90,5.91,5.88,5.91,27
2016.10.19 18:45,5.92,5.92,5.89,5.92,14
2016.10.19 19:00,5.91,5.91,5.89,5.89,5
2016.10.19 19:15,5.88,5.88,5.87,5.87,4
2016.10.19 19:30,5.88,5.88,5.86,5.86,5
2016.10.19 19:45,5.84,5.86,5.84,5.84,13
2016.10.19 20:00,5.85,5.86,5.85,5.86,8
2016.10.19 20:15,5.86,5.88,5.86,5.86,13
2016.10.19 20:30,5.87,5.87,5.85,5.86,8
2016.10.19 20:45,5.86,5.86,5.86,5.86,1
2016.10.19 21:00,5.88,5.90,5.86,5.86,21
2016.10.19 21:15,5.87,5.88,5.85,5.87,20
2016.10.19 21:30,5.86,5.86,5.84,5.84,7
2016.10.19 21:45,5.84,5.84,5.84,5.84,2
2016.10.19 22:00,5.84,5.85,5.84,5.85,3
2016.10.19 22:15,5.85,5.87,5.85,5.86,6
2016.10.19 22:30,5.85,5.85,5.85,5.85,1
2016.10.19 22:45,5.85,5.85,5.82,5.83,5
2016.10.20 16:30,5.88,5.93,5.86,5.89,46
2016.10.20 16:45,5.90,5.93,5.88,5.92,19
2016.10.20 17:00,5.94,5.95,5.91,5.92,22
2016.10.20 17:15,5.93,5.93,5.89,5.89,20
2016.10.20 17:30,5.88,5.90,5.87,5.89,20
2016.10.20 17:45,5.90,5.92,5.88,5.92,20
2016.10.20 18:00,5.93,5.94,5.90,5.91,22
2016.10.20 18:15,5.90,5.95,5.90,5.93,23
2016.10.20 18:30,5.93,5.93,5.90,5.91,7
2016.10.20 18:45,5.93,5.94,5.92,5.94,13
2016.10.20 19:00,5.94,5.95,5.94,5.94,5
2016.10.20 19:15,5.94,5.96,5.94,5.96,7
2016.10.20 19:30,5.96,5.98,5.96,5.97,8
2016.10.20 19:45,5.97,5.99,5.97,5.99,16
2016.10.20 20:00,5.99,6.02,5.99,6.00,13
2016.10.20 20:15,6.00,6.00,5.98,5.98,5
2016.10.20 20:30,5.99,6.03,5.99,6.03,9
2016.10.20 20:45,6.03,6.03,5.99,6.02,32
2016.10.20 21:00,6.02,6.03,6.01,6.02,12
2016.10.20 21:15,6.02,6.02,5.99,6.00,9
2016.10.20 21:30,6.00,6.01,6.00,6.01,5
2016.10.20 21:45,6.01,6.02,6.00,6.01,14
2016.10.20 22:00,6.01,6.05,6.00,6.04,18
2016.10.20 22:15,6.04,6.04,6.03,6.03,5
2016.10.20 22:30,6.03,6.04,6.02,6.04,8
2016.10.20 22:45,6.03,6.03,6.01,6.02,9
2016.10.21 16:30,5.99,6.01,5.95,5.97,40
2016.10.21 16:45,5.96,5.99,5.95,5.99,24
2016.10.21 17:00,6.00,6.08,5.99,6.07,65
2016.10.21 17:15,6.08,6.17,6.08,6.17,37
2016.10.21 17:30,6.17,6.19,6.16,6.17,30
2016.10.21 17:45,6.18,6.21,6.18,6.20,22
2016.10.21 18:00,6.20,6.22,6.20,6.20,11
2016.10.21 18:15,6.20,6.21,6.17,6.20,17
2016.10.21 18:30,6.20,6.22,6.19,6.22,11
2016.10.21 18:45,6.23,6.27,6.23,6.26,16
2016.10.21 19:00,6.27,6.30,6.27,6.29,15
2016.10.21 19:15,6.28,6.31,6.28,6.31,19
2016.10.21 19:30,6.32,6.33,6.31,6.33,13
2016.10.21 19:45,6.33,6.34,6.30,6.30,18
2016.10.21 20:00,6.29,6.31,6.29,6.30,14
2016.10.21 20:15,6.30,6.30,6.29,6.29,5
2016.10.21 20:30,6.30,6.30,6.29,6.30,6
2016.10.21 20:45,6.30,6.33,6.30,6.33,8
2016.10.21 21:00,6.33,6.33,6.31,6.31,3
2016.10.21 21:15,6.30,6.30,6.29,6.29,3
2016.10.21 21:30,6.29,6.29,6.27,6.28,12
2016.10.21 21:45,6.27,6.28,6.23,6.25,17
2016.10.21 22:00,6.25,6.26,6.25,6.25,4
2016.10.21 22:30,6.24,6.24,6.24,6.24,1
2016.10.21 22:45,6.24,6.25,6.22,6.24,13
2016.10.24 16:30,6.47,6.53,6.44,6.51,63
2016.10.24 16:45,6.51,6.56,6.51,6.51,14
2016.10.24 17:00,6.51,6.51,6.42,6.43,20
2016.10.24 17:15,6.43,6.44,6.39,6.39,34
2016.10.24 17:30,6.40,6.45,6.40,6.40,20
2016.10.24 17:45,6.41,6.41,6.37,6.41,27
2016.10.24 18:00,6.41,6.43,6.41,6.41,12
2016.10.24 18:15,6.43,6.43,6.41,6.41,7
2016.10.24 18:30,6.43,6.43,6.43,6.43,2
2016.10.24 18:45,6.43,6.48,6.43,6.48,11
2016.10.24 19:00,6.48,6.48,6.48,6.48,1
2016.10.24 19:15,6.47,6.47,6.43,6.43,10
2016.10.24 19:30,6.43,6.45,6.43,6.45,13
2016.10.24 19:45,6.45,6.46,6.45,6.46,6
2016.10.24 20:00,6.47,6.48,6.47,6.47,5
2016.10.24 20:15,6.46,6.49,6.46,6.48,11
2016.10.24 20:45,6.48,6.48,6.45,6.45,6
2016.10.24 21:00,6.46,6.50,6.46,6.49,15
2016.10.24 21:15,6.49,6.52,6.49,6.51,14
2016.10.24 21:30,6.51,6.51,6.48,6.49,14
2016.10.24 21:45,6.49,6.49,6.49,6.49,1
2016.10.24 22:00,6.50,6.50,6.50,6.50,1
2016.10.24 22:15,6.50,6.50,6.48,6.49,6
2016.10.24 22:30,6.48,6.49,6.48,6.49,4
2016.10.24 22:45,6.48,6.49,6.47,6.49,11
2016.10.25 16:30,6.61,6.73,6.60,6.72,48
2016.10.25 16:45,6.74,6.78,6.73,6.77,50
2016.10.25 17:00,6.76,6.76,6.67,6.68,66
2016.10.25 17:15,6.70,6.73,6.63,6.63,51
2016.10.25 17:30,6.64,6.66,6.63,6.64,18
2016.10.25 17:45,6.64,6.65,6.61,6.63,28
2016.10.25 18:00,6.63,6.69,6.63,6.67,24
2016.10.25 18:15,6.67,6.70,6.65,6.70,28
2016.10.25 18:30,6.71,6.72,6.69,6.70,20
2016.10.25 18:45,6.71,6.73,6.71,6.73,26
2016.10.25 19:00,6.73,6.77,6.73,6.74,13
2016.10.25 19:15,6.74,6.75,6.72,6.72,12
2016.10.25 19:30,6.71,6.75,6.71,6.74,28
2016.10.25 19:45,6.74,6.77,6.74,6.75,23
2016.10.25 20:00,6.76,6.76,6.74,6.74,8
2016.10.25 20:15,6.74,6.76,6.74,6.75,10
2016.10.25 20:30,6.74,6.76,6.74,6.76,22
2016.10.25 20:45,6.76,6.77,6.75,6.77,14
2016.10.25 21:00,6.77,6.78,6.77,6.78,8
2016.10.25 21:30,6.79,6.80,6.78,6.80,10
2016.10.25 21:45,6.81,6.81,6.78,6.78,10
2016.10.25 22:00,6.78,6.79,6.78,6.78,13
2016.10.25 22:15,6.78,6.80,6.76,6.79,17
2016.10.25 22:30,6.79,6.81,6.78,6.81,7
2016.10.25 22:45,6.80,6.80,6.76,6.77,28
2016.10.26 16:30,6.78,6.88,6.76,6.83,62
2016.10.26 16:45,6.84,6.84,6.74,6.74,50
2016.10.26 17:00,6.75,6.80,6.72,6.77,80
2016.10.26 17:15,6.77,6.77,6.70,6.70,26
2016.10.26 17:30,6.70,6.82,6.70,6.77,44
2016.10.26 17:45,6.77,6.78,6.76,6.77,31
2016.10.26 18:00,6.78,6.78,6.73,6.73,28
2016.10.26 18:15,6.73,6.73,6.69,6.69,21
2016.10.26 18:30,6.70,6.70,6.66,6.66,24
2016.10.26 18:45,6.65,6.68,6.62,6.66,33
2016.10.26 19:00,6.66,6.70,6.66,6.70,23
2016.10.26 19:15,6.70,6.71,6.69,6.70,7
2016.10.26 19:30,6.69,6.69,6.69,6.69,2
2016.10.26 19:45,6.72,6.75,6.72,6.73,25
2016.10.26 20:00,6.73,6.73,6.70,6.71,11
2016.10.26 20:15,6.71,6.73,6.70,6.73,10
2016.10.26 20:30,6.74,6.74,6.72,6.73,18
2016.10.26 20:45,6.73,6.75,6.73,6.73,11
2016.10.26 21:00,6.72,6.74,6.72,6.74,6
2016.10.26 21:15,6.74,6.75,6.72,6.75,19
2016.10.26 21:30,6.75,6.81,6.75,6.81,26
2016.10.26 21:45,6.81,6.84,6.78,6.84,22
2016.10.26 22:00,6.84,6.86,6.84,6.86,5
2016.10.26 22:15,6.86,6.93,6.86,6.93,16
2016.10.26 22:30,6.93,6.93,6.89,6.90,14
2016.10.26 22:45,6.89,6.89,6.80,6.83,17
2016.10.27 16:30,6.93,6.95,6.85,6.86,80
2016.10.27 16:45,6.87,6.95,6.80,6.80,27
2016.10.27 17:00,6.89,6.89,6.79,6.80,15
2016.10.27 17:15,6.81,6.90,6.65,6.68,17
2016.10.27 17:30,6.69,6.89,6.69,6.82,28
2016.10.27 17:45,6.90,6.91,6.74,6.74,18
2016.10.27 18:00,6.83,6.83,6.74,6.76,12
2016.10.27 18:15,6.85,6.89,6.77,6.80,22
2016.10.27 18:30,6.88,6.91,6.80,6.83,9
2016.10.27 18:45,6.82,6.87,6.82,6.86,19
2016.10.27 19:00,6.85,6.97,6.85,6.89,9
2016.10.27 19:15,6.97,6.98,6.88,6.88,8
2016.10.27 19:30,6.97,6.97,6.86,6.87,10
2016.10.27 19:45,6.95,6.95,6.87,6.87,2
2016.10.27 20:00,6.96,6.96,6.94,6.94,7
2016.10.27 20:15,6.95,6.96,6.95,6.96,4
2016.10.27 20:30,6.95,6.96,6.95,6.96,2
2016.10.27 20:45,6.96,6.96,6.95,6.95,5
2016.10.27 21:00,6.96,7.02,6.96,7.02,27
2016.10.27 21:15,7.02,7.03,7.00,7.02,19
2016.10.27 21:30,7.01,7.01,6.97,6.98,17
2016.10.27 21:45,6.97,6.98,6.97,6.97,4
2016.10.27 22:00,6.96,6.96,6.93,6.93,8
2016.10.27 22:15,6.92,6.93,6.92,6.93,2
2016.10.27 22:30,6.93,6.94,6.93,6.93,7
2016.10.27 22:45,6.94,6.95,6.92,6.94,16
2016.10.28 16:30,6.96,7.03,6.93,7.01,66
2016.10.28 16:45,7.02,7.02,6.97,6.97,17
2016.10.28 17:00,6.98,7.00,6.92,6.92,46
2016.10.28 17:15,6.93,6.94,6.91,6.92,49
2016.10.28 17:30,6.92,6.93,6.92,6.93,8
2016.10.28 17:45,6.94,6.94,6.92,6.94,8
2016.10.28 18:00,6.94,6.99,6.94,6.96,33
2016.10.28 18:15,6.95,6.95,6.93,6.93,24
2016.10.28 18:30,6.95,6.96,6.92,6.94,15
2016.10.28 18:45,6.94,6.96,6.93,6.95,11
2016.10.28 19:00,6.95,6.98,6.94,6.97,11
2016.10.28 19:15,6.97,6.99,6.96,6.96,12
2016.10.28 19:30,6.97,6.97,6.96,6.96,4
2016.10.28 19:45,6.96,6.98,6.96,6.97,13
2016.10.28 20:00,6.97,6.97,6.95,6.96,24
2016.10.28 20:15,6.96,6.97,6.95,6.95,18
2016.10.28 20:30,6.95,6.95,6.93,6.93,4
2016.10.28 20:45,6.92,6.93,6.92,6.92,5
2016.10.28 21:00,6.92,6.94,6.89,6.90,24
2016.10.28 21:15,6.89,6.91,6.88,6.88,37
2016.10.28 21:30,6.89,6.89,6.85,6.85,30
2016.10.28 21:45,6.86,6.90,6.86,6.90,10
2016.10.28 22:00,6.90,6.90,6.88,6.89,26
2016.10.28 22:15,6.88,6.91,6.88,6.90,10
2016.10.28 22:30,6.91,6.91,6.85,6.87,18
2016.10.28 22:45,6.86,6.90,6.86,6.88,14
2016.10.31 15:30,6.91,6.95,6.86,6.88,52
2016.10.31 15:45,6.89,6.91,6.85,6.85,31
2016.10.31 16:00,6.86,6.91,6.85,6.89,39
2016.10.31 16:15,6.90,6.90,6.85,6.85,15
2016.10.31 16:30,6.85,6.85,6.78,6.79,19
2016.10.31 16:45,6.79,6.79,6.76,6.76,18
2016.10.31 17:00,6.77,6.79,6.77,6.78,12
2016.10.31 17:15,6.79,6.81,6.79,6.81,12
2016.10.31 17:30,6.82,6.82,6.80,6.82,7
2016.10.31 17:45,6.83,6.92,6.83,6.92,23
2016.10.31 18:00,6.92,6.92,6.87,6.87,12
2016.10.31 18:15,6.87,6.89,6.87,6.88,18
2016.10.31 18:30,6.87,6.88,6.87,6.87,3
2016.10.31 18:45,6.87,6.89,6.87,6.88,17
2016.10.31 19:00,6.88,6.89,6.87,6.87,11
2016.10.31 19:15,6.87,6.88,6.85,6.88,13
2016.10.31 19:30,6.88,6.88,6.86,6.88,12
2016.10.31 19:45,6.89,6.89,6.88,6.88,7
2016.10.31 20:00,6.90,6.92,6.87,6.88,21
2016.10.31 20:15,6.89,6.90,6.88,6.88,9
2016.10.31 20:30,6.90,6.95,6.90,6.95,18
2016.10.31 20:45,6.95,6.95,6.91,6.93,18
2016.10.31 21:00,6.93,6.93,6.91,6.92,6
2016.10.31 21:15,6.92,6.92,6.90,6.91,8
2016.10.31 21:30,6.91,6.91,6.91,6.91,1
2016.10.31 21:45,6.91,6.91,6.88,6.90,9
2016.11.01 15:30,6.96,7.01,6.92,6.94,63
2016.11.01 15:45,6.95,6.95,6.91,6.93,29
2016.11.01 16:00,6.93,6.95,6.91,6.95,82
2016.11.01 16:15,6.95,6.99,6.94,6.95,38
2016.11.01 16:30,6.95,6.96,6.87,6.87,42
2016.11.01 16:45,6.87,6.89,6.84,6.88,23
