Date,Open,High,Low,Close,Volume
2010.09.10 02:00,34.45,35.09,34.39,34.85,1897300
2010.09.13 02:00,35.37,35.93,35.19,35.48,3532400
2010.09.14 02:00,35.95,37.16,35.84,36.84,3535400
2010.09.15 02:00,36.46,36.87,36.11,36.58,1780000
2010.09.16 02:00,36.50,36.78,36.11,36.14,1767400
2010.09.17 02:00,36.54,37.00,36.23,36.93,2571200
2010.09.20 02:00,37.40,38.19,36.94,38.07,2193200
2010.09.21 02:00,38.12,38.12,37.03,37.31,2235900
2010.09.22 02:00,37.12,37.18,35.88,36.39,2757500
2010.09.23 02:00,36.11,37.12,35.95,36.75,1980600
2010.09.24 02:00,37.47,38.81,37.23,38.79,2297800
2010.09.27 02:00,38.55,38.89,38.06,38.54,1478500
2010.09.28 02:00,38.50,39.26,38.18,39.19,1806300
2010.09.29 02:00,38.98,39.70,38.84,39.29,1862200
2010.09.30 02:00,39.63,40.17,38.78,39.32,2916900
2010.10.01 02:00,39.76,39.98,37.47,37.75,4842200
2010.10.04 02:00,37.73,38.09,37.30,37.92,2371800
2010.10.05 02:00,38.34,39.12,38.19,38.81,2481000
2010.10.06 02:00,38.98,39.55,38.04,38.59,2783300
2010.10.07 02:00,42.08,42.77,41.60,42.03,9884000
2010.10.08 02:00,42.03,43.10,41.51,42.87,3003600
2010.10.11 02:00,43.49,44.74,43.26,43.76,3701300
2010.10.12 02:00,43.49,45.24,43.29,45.03,3119900
2010.10.13 02:00,45.38,45.45,44.35,44.56,2924100
2010.10.14 02:00,44.75,45.51,44.41,44.66,2804700
2010.10.15 02:00,45.20,45.70,44.79,45.25,2469800
2010.10.18 02:00,45.48,45.75,44.55,45.60,2249800
2010.10.19 02:00,44.37,44.70,42.95,43.25,4392300
2010.10.20 02:00,43.64,43.80,42.56,42.96,3784500
2010.10.21 02:00,43.02,43.10,41.60,42.19,3543300
2010.10.22 02:00,42.27,42.80,42.04,42.40,1898300
2010.10.25 02:00,42.71,43.57,42.54,42.78,1764900
2010.10.26 02:00,42.51,45.65,42.17,44.84,5392400
2010.10.27 02:00,44.23,44.28,42.36,42.97,3923300
2010.10.28 02:00,43.55,43.75,41.71,42.71,3220800
2010.10.29 02:00,42.60,43.17,42.47,42.86,2335700
2010.11.01 02:00,43.10,43.26,41.97,42.55,2920100
2010.11.02 02:00,42.63,43.00,41.55,42.86,2390300
2010.11.03 02:00,42.92,43.21,41.64,43.00,3784300
2010.11.04 02:00,43.76,45.82,43.62,45.74,5464100
2010.11.05 02:00,45.82,47.51,45.49,47.03,3608600
2010.11.08 02:00,46.64,47.27,46.17,47.24,2305200
2010.11.09 02:00,47.11,47.53,46.00,46.44,2072500
2010.11.10 02:00,46.50,47.11,46.16,46.86,1833000
2010.11.11 02:00,46.46,47.27,44.47,46.83,1848100
2010.11.12 02:00,46.24,47.04,45.71,45.92,2544400
2010.11.15 02:00,46.44,46.44,44.98,45.33,3699400
2010.11.16 02:00,46.04,46.85,44.31,45.68,5102000
2010.11.17 02:00,45.96,47.57,45.72,47.06,3723800
2010.11.18 02:00,47.56,48.00,46.57,46.68,3396300
2010.11.19 02:00,46.76,47.61,46.64,47.30,2082900
2010.11.22 02:00,47.20,47.79,46.90,47.70,2530300
2010.11.23 02:00,47.33,49.60,47.33,48.44,7106000
2010.11.24 02:00,49.10,50.00,47.94,48.19,3126700
2010.11.26 02:00,48.21,48.76,47.68,48.46,1599700
2010.11.29 02:00,48.12,51.15,47.86,48.76,5573600
2010.11.30 02:00,48.26,50.44,48.23,50.25,5772900
2010.12.01 02:00,51.04,51.49,49.66,50.44,3916400
2010.12.02 02:00,54.74,56.49,53.81,56.02,12465500
2010.12.03 02:00,55.95,56.45,55.38,56.15,4563900
2010.12.06 02:00,57.01,57.11,56.12,56.24,3205600
2010.12.07 02:00,57.00,57.05,55.83,56.10,2452300
2010.12.08 02:00,55.83,56.06,55.23,55.65,2028900
2010.12.09 02:00,56.12,56.22,55.30,55.47,2302600
2010.12.10 02:00,55.84,56.09,54.88,55.98,1794000
2010.12.13 02:00,56.15,56.30,54.62,54.69,2336000
2010.12.14 02:00,55.07,55.67,54.40,55.14,1757500
2010.12.15 02:00,55.06,55.38,54.45,54.71,1611600
2010.12.16 02:00,54.71,55.96,54.35,55.67,1796000
2010.12.17 02:00,55.68,57.32,55.61,57.11,3257100
2010.12.20 02:00,57.22,57.28,56.06,56.99,1822600
2010.12.21 02:00,57.76,58.40,56.87,58.14,2034500
2010.12.22 02:00,58.19,58.43,56.79,56.97,1503300
2010.12.23 02:00,57.02,57.99,56.57,57.34,1875200
2010.12.27 02:00,57.02,57.87,56.65,57.15,1307500
2010.12.28 02:00,57.36,57.87,57.07,57.75,891800
2010.12.29 02:00,57.78,58.50,57.52,58.05,1418300
2010.12.30 02:00,58.05,58.38,57.69,58.11,1102600
2010.12.31 02:00,58.02,58.25,57.50,57.63,788900
2011.01.03 02:00,58.37,58.42,57.43,58.03,2086200
2011.01.04 02:00,58.11,58.40,55.37,56.22,3417600
2011.01.05 02:00,56.06,56.79,54.83,55.35,5245500
2011.01.06 02:00,55.20,55.33,52.49,53.53,6074700
2011.01.07 02:00,53.73,54.55,52.60,53.57,2615500
2011.01.10 02:00,53.35,54.48,52.85,54.24,1943500
2011.01.11 02:00,54.40,54.46,52.29,52.88,2651100
2011.01.12 02:00,53.41,53.64,52.59,52.69,1948500
2011.01.13 02:00,52.68,52.93,52.13,52.43,1631000
2011.01.14 02:00,52.59,52.80,51.45,51.55,2680900
2011.01.18 02:00,52.13,52.31,49.90,51.28,3655500
2011.01.19 02:00,51.37,52.03,50.74,50.87,2015100
2011.01.20 02:00,50.58,52.07,50.58,51.05,2218400
2011.01.21 02:00,51.57,51.76,50.60,50.68,1916200
2011.01.24 02:00,50.64,51.02,49.87,50.59,1634600
2011.01.25 02:00,50.30,50.50,48.44,49.28,3435800
2011.01.26 02:00,49.55,50.13,48.77,49.59,2130600
2011.01.27 02:00,48.99,50.10,48.71,49.73,2111100
2011.01.28 02:00,49.67,49.99,48.20,48.36,2359900
2011.01.31 02:00,48.61,50.47,48.40,50.41,3518900
2011.02.01 02:00,50.61,51.15,50.15,50.73,3185500
2011.02.02 02:00,50.70,50.94,49.02,49.13,2421400
2011.02.03 02:00,49.47,50.94,48.51,49.79,4745300
2011.02.04 02:00,49.91,51.76,49.62,51.43,2334100
2011.02.07 02:00,51.44,52.38,51.44,51.85,1935100
2011.02.08 02:00,51.94,52.52,51.41,52.47,1164200
2011.02.09 02:00,52.53,52.84,51.78,52.05,1630300
2011.02.10 02:00,51.78,53.20,51.57,53.03,1886600
2011.02.11 02:00,52.90,55.10,52.70,54.89,3208500
2011.02.14 02:00,55.18,55.50,54.04,54.50,2452300
2011.02.15 02:00,54.33,54.70,53.40,53.41,3462200
2011.02.16 02:00,55.48,57.62,55.33,57.46,7024200
2011.02.17 02:00,57.71,59.15,56.96,58.67,3459000
2011.02.18 02:00,58.55,59.55,58.02,59.05,1781800
2011.02.22 02:00,58.07,59.02,56.44,56.58,3001700
2011.02.23 02:00,56.05,56.65,54.57,55.01,3960200
