Date,Open,High,Low,Close,Volume
2010.12.15 00:00,12.33,12.49,12.24,12.27,401
2010.12.16 00:00,12.42,12.72,12.34,12.47,850
2010.12.17 00:00,12.50,12.60,12.41,12.52,313
2010.12.20 00:00,12.54,12.70,12.53,12.57,296
2010.12.21 00:00,12.68,12.93,12.66,12.93,233
2010.12.22 00:00,12.97,13.40,12.96,13.34,406
2010.12.23 00:00,13.23,13.25,12.93,13.01,395
2010.12.24 00:00,13.00,13.00,13.00,13.00,1
2010.12.27 00:00,12.92,13.35,12.92,13.22,288
2010.12.28 00:00,13.33,13.44,13.29,13.30,234
2010.12.29 00:00,13.34,13.37,13.27,13.28,134
2010.12.30 00:00,13.29,13.35,13.22,13.25,145
2010.12.31 00:00,13.19,13.30,13.18,13.28,56
2011.01.03 00:00,13.83,14.22,13.79,14.18,570
2011.01.04 00:00,14.21,14.24,14.02,14.24,475
2011.01.05 00:00,14.19,14.59,14.15,14.49,541
2011.01.06 00:00,14.55,14.68,14.34,14.42,648
2011.01.07 00:00,14.53,14.67,13.98,14.25,1225
2011.01.10 00:00,14.16,14.42,14.09,14.40,577
2011.01.11 00:00,14.61,14.72,14.53,14.68,583
2011.01.12 00:00,14.89,14.98,14.85,14.97,334
2011.01.13 00:00,15.01,15.01,14.72,14.76,324
2011.01.14 00:00,14.73,15.31,14.68,15.23,679
2011.01.17 00:00,15.26,15.26,15.26,15.26,1
2011.01.18 00:00,15.07,15.15,14.85,14.99,501
2011.01.19 00:00,14.84,14.94,14.35,14.37,610
2011.01.20 00:00,14.27,14.60,13.94,14.52,1056
2011.01.21 00:00,14.41,14.70,14.22,14.25,918
2011.01.24 00:00,14.24,14.24,13.88,13.93,380
2011.01.25 00:00,13.77,13.83,13.40,13.62,651
2011.01.26 00:00,13.71,13.76,13.55,13.55,442
2011.01.27 00:00,13.58,13.66,13.48,13.66,386
2011.01.28 00:00,13.82,14.05,13.58,13.60,868
2011.01.31 00:00,13.71,13.78,13.64,13.72,378
2011.02.01 00:00,13.89,14.36,13.87,14.29,458
2011.02.02 00:00,14.31,14.31,14.13,14.24,375
2011.02.03 00:00,14.15,14.46,14.15,14.42,517
2011.02.04 00:00,14.44,14.46,14.11,14.29,352
2011.02.07 00:00,14.51,14.76,14.43,14.65,321
2011.02.08 00:00,14.63,14.75,14.50,14.61,348
2011.02.09 00:00,14.46,14.68,14.41,14.65,424
2011.02.10 00:00,14.51,14.63,14.47,14.49,477
2011.02.11 00:00,14.36,14.86,14.35,14.77,473
2011.02.14 00:00,14.76,14.94,14.71,14.90,342
2011.02.15 00:00,14.81,14.87,14.69,14.76,303
2011.02.16 00:00,14.81,14.87,14.70,14.83,352
2011.02.17 00:00,14.74,14.90,14.73,14.81,253
2011.02.18 00:00,14.86,14.88,14.67,14.74,191
2011.02.21 00:00,14.72,14.72,14.72,14.72,1
2011.02.22 00:00,14.37,14.51,14.09,14.17,703
2011.02.23 00:00,14.16,14.43,13.92,14.17,912
2011.02.24 00:00,14.11,14.15,13.79,13.96,976
2011.02.25 00:00,14.15,14.31,14.11,14.19,464
2011.02.28 00:00,14.28,14.47,14.16,14.28,476
2011.03.01 00:00,14.31,14.34,13.91,13.93,871
2011.03.02 00:00,13.92,14.06,13.81,13.83,586
2011.03.03 00:00,14.05,14.28,14.05,14.26,462
2011.03.04 00:00,14.30,14.30,13.98,14.10,629
2011.03.07 00:00,14.17,14.26,13.92,14.05,700
2011.03.08 00:00,14.27,14.69,14.20,14.69,794
2011.03.09 00:00,14.66,14.68,14.48,14.59,629
2011.03.10 00:00,14.42,14.45,14.26,14.26,667
2011.03.11 00:00,14.10,14.42,14.10,14.37,502
2011.03.14 00:00,14.24,14.34,14.07,14.24,381
2011.03.15 00:00,13.77,14.05,13.71,13.96,613
2011.03.16 00:00,14.00,14.09,13.66,13.70,805
2011.03.17 00:00,13.89,14.03,13.75,13.96,426
2011.03.18 00:00,14.19,14.28,13.98,14.02,630
2011.03.21 00:00,14.20,14.21,13.90,14.03,265
2011.03.22 00:00,14.04,14.04,13.88,13.88,169
2011.03.23 00:00,13.71,13.73,13.37,13.64,467
2011.03.24 00:00,13.56,13.58,13.32,13.47,452
2011.03.25 00:00,13.50,13.52,13.32,13.33,238
2011.03.28 00:00,13.41,13.55,13.37,13.37,218
2011.03.29 00:00,13.40,13.40,13.16,13.34,279
2011.03.30 00:00,13.40,13.55,13.27,13.42,303
2011.03.31 00:00,13.34,13.38,13.29,13.33,167
2011.04.01 00:00,13.44,13.60,13.35,13.37,214
2011.04.04 00:00,13.41,13.58,13.40,13.43,157
2011.04.05 00:00,13.42,13.49,13.37,13.46,188
2011.04.06 00:00,13.59,13.77,13.53,13.73,330
2011.04.07 00:00,13.79,13.87,13.54,13.60,494
2011.04.08 00:00,13.63,13.71,13.45,13.47,264
2011.04.11 00:00,13.49,13.58,13.43,13.50,228
2011.04.12 00:00,13.39,13.57,13.31,13.47,313
2011.04.13 00:00,13.61,13.61,13.21,13.27,375
2011.04.14 00:00,13.16,13.25,13.07,13.13,317
2011.04.15 00:00,13.19,13.32,12.82,12.82,637
2011.04.18 00:00,12.58,12.59,12.24,12.41,523
2011.04.19 00:00,12.52,12.53,12.15,12.33,380
2011.04.20 00:00,12.43,12.47,12.31,12.34,114
2011.04.25 00:00,12.32,12.59,12.32,12.43,215
2011.04.27 00:00,12.23,12.39,12.23,12.32,252
2011.04.28 00:00,12.30,12.44,12.25,12.42,168
2011.04.29 00:00,12.40,12.41,12.29,12.30,163
2011.05.02 00:00,12.35,12.46,12.33,12.34,156
2011.05.03 00:00,12.35,12.70,12.33,12.59,386
2011.05.04 00:00,12.64,12.67,12.42,12.48,419
2011.05.05 00:00,12.40,12.46,12.20,12.29,404
2011.05.06 00:00,12.39,12.44,12.28,12.30,515
2011.05.09 00:00,12.27,12.31,12.11,12.17,345
2011.05.10 00:00,12.21,12.36,12.18,12.27,260
2011.05.11 00:00,12.27,12.42,12.23,12.24,548
2011.05.12 00:00,12.20,12.26,12.09,12.20,445
2011.05.13 00:00,12.18,12.20,11.91,11.93,533
2011.05.16 00:00,11.89,12.11,11.85,11.85,414
2011.05.17 00:00,11.81,11.93,11.80,11.89,459
2011.05.18 00:00,11.88,11.88,11.73,11.78,352
2011.05.19 00:00,11.88,11.88,11.68,11.69,284
2011.05.20 00:00,11.65,11.77,11.53,11.57,330
2011.05.23 00:00,11.46,11.51,11.38,11.42,460
2011.05.24 00:00,11.44,11.50,11.29,11.46,383
2011.05.25 00:00,11.36,11.57,11.36,11.38,471
2011.05.26 00:00,11.39,11.55,11.39,11.46,441
2011.05.27 00:00,11.57,11.77,11.54,11.69,347
2011.05.30 00:00,11.70,11.70,11.70,11.70,1
2011.05.31 00:00,11.87,11.91,11.62,11.74,345
2011.06.01 00:00,11.70,11.72,11.23,11.24,618
2011.06.02 00:00,11.27,11.41,11.08,11.29,951
2011.06.03 00:00,11.19,11.44,11.16,11.27,606
2011.06.06 00:00,11.18,11.19,10.75,10.82,531
2011.06.07 00:00,10.95,11.04,10.60,10.62,580
2011.06.08 00:00,10.59,10.78,10.50,10.54,603
2011.06.09 00:00,10.57,10.74,10.50,10.66,431
2011.06.10 00:00,10.61,11.01,10.41,10.81,739
2011.06.13 00:00,10.88,10.91,10.64,10.82,512
2011.06.14 00:00,11.10,11.11,10.75,10.79,564
2011.06.15 00:00,10.61,10.67,10.41,10.51,1097
2011.06.16 00:00,10.45,10.68,10.40,10.59,943
2011.06.17 00:00,10.73,10.75,10.58,10.67,463
2011.06.20 00:00,10.59,10.65,10.53,10.59,479
2011.06.21 00:00,10.67,10.83,10.53,10.82,501
2011.06.22 00:00,10.78,10.93,10.78,10.79,545
2011.06.23 00:00,10.66,10.76,10.56,10.74,900
2011.06.24 00:00,10.72,10.76,10.49,10.52,432
2011.06.27 00:00,10.53,10.94,10.52,10.84,628
2011.06.28 00:00,10.90,10.91,10.77,10.82,341
2011.06.29 00:00,11.17,11.25,11.00,11.14,890
2011.06.30 00:00,11.17,11.17,10.84,10.95,696
2011.07.01 00:00,10.98,11.13,10.92,11.07,312
2011.07.04 00:00,10.80,10.80,10.80,10.80,1
2011.07.05 00:00,11.05,11.06,10.91,10.98,331
2011.07.06 00:00,10.81,10.84,10.66,10.73,278
2011.07.07 00:00,10.91,10.95,10.85,10.91,300
2011.07.08 00:00,10.74,10.79,10.61,10.70,262
2011.07.11 00:00,10.51,10.54,10.30,10.34,301
2011.07.12 00:00,10.24,10.39,10.20,10.21,392
2011.07.13 00:00,10.24,10.36,10.15,10.20,402
2011.07.14 00:00,10.31,10.32,10.06,10.07,437
2011.07.15 00:00,10.14,10.17,9.88,10.00,423
2011.07.18 00:00,9.87,9.92,9.53,9.72,533
2011.07.19 00:00,9.75,9.84,9.40,9.56,832
2011.07.20 00:00,9.66,9.99,9.63,9.84,685
2011.07.21 00:00,10.02,10.27,10.00,10.23,587
2011.07.22 00:00,10.26,10.26,10.06,10.13,338
2011.07.25 00:00,9.97,10.06,9.88,10.00,393
2011.07.26 00:00,9.97,10.08,9.91,9.99,219
2011.07.27 00:00,9.93,9.93,9.68,9.68,412
2011.07.28 00:00,9.73,9.85,9.69,9.78,228
2011.07.29 00:00,9.64,9.94,9.60,9.71,632
2011.08.01 00:00,10.03,10.04,9.70,9.81,718
2011.08.02 00:00,9.76,9.85,9.47,9.49,517
2011.08.03 00:00,9.48,9.58,9.32,9.53,594
2011.08.04 00:00,9.35,9.46,8.77,8.80,1194
2011.08.05 00:00,8.98,9.04,8.03,8.14,2091
2011.08.08 00:00,7.41,7.68,6.31,6.52,2008
2011.08.09 00:00,7.04,7.64,6.68,7.59,1338
2011.08.10 00:00,7.50,7.54,6.74,6.78,2364
2011.08.11 00:00,7.08,7.41,6.96,7.23,853
2011.08.12 00:00,7.48,7.70,7.13,7.19,1303
2011.08.15 00:00,7.47,7.83,7.35,7.75,878
2011.08.16 00:00,7.61,7.65,7.34,7.40,1050
2011.08.17 00:00,7.46,7.58,7.40,7.45,486
2011.08.18 00:00,7.01,7.08,6.78,6.99,1116
2011.08.19 00:00,6.79,7.11,6.75,6.92,972
2011.08.22 00:00,7.21,7.22,6.42,6.42,993
2011.08.23 00:00,6.37,6.43,6.01,6.30,1896
2011.08.24 00:00,6.36,7.03,6.32,6.98,1626
2011.08.25 00:00,8.31,8.79,7.38,7.65,3475
2011.08.26 00:00,7.61,7.97,7.45,7.74,2214
2011.08.29 00:00,8.09,8.41,7.96,8.38,975
2011.08.30 00:00,8.28,8.38,8.05,8.12,1052
2011.08.31 00:00,8.27,8.28,8.11,8.17,746
2011.09.01 00:00,8.16,8.16,7.91,7.91,844
2011.09.02 00:00,7.29,7.44,7.17,7.25,828
2011.09.06 00:00,6.90,7.05,6.80,6.99,877
2011.09.07 00:00,7.24,7.51,7.10,7.47,707
2011.09.08 00:00,7.37,7.43,7.20,7.20,719
2011.09.09 00:00,7.10,7.20,6.96,6.98,926
2011.09.12 00:00,6.84,7.10,6.83,7.04,1153
2011.09.13 00:00,7.09,7.17,6.97,6.99,682
2011.09.14 00:00,7.07,7.12,6.92,7.05,518
2011.09.15 00:00,7.18,7.33,7.13,7.32,564
2011.09.16 00:00,7.38,7.38,7.08,7.22,745
2011.09.19 00:00,7.05,7.06,6.94,6.99,519
2011.09.20 00:00,7.04,7.05,6.90,6.90,300
2011.09.21 00:00,6.94,6.96,6.36,6.37,1270
2011.09.22 00:00,6.23,6.27,6.00,6.06,1153
2011.09.23 00:00,6.09,6.38,6.07,6.30,971
2011.09.26 00:00,6.47,6.59,6.31,6.58,677
2011.09.27 00:00,6.83,6.83,6.41,6.48,751
2011.09.28 00:00,6.52,6.52,6.16,6.16,823
2011.09.29 00:00,6.40,6.44,6.15,6.34,927
2011.09.30 00:00,6.19,6.31,6.11,6.11,755
2011.10.03 00:00,6.08,6.17,5.52,5.52,1072
2011.10.04 00:00,5.48,5.75,5.13,5.74,1437
2011.10.05 00:00,5.70,5.82,5.51,5.76,1307
2011.10.06 00:00,5.74,6.30,5.65,6.28,1303
2011.10.07 00:00,6.32,6.32,5.88,5.90,1261
2011.10.10 00:00,6.14,6.28,6.12,6.28,588
2011.10.11 00:00,6.18,6.46,6.13,6.37,702
2011.10.12 00:00,6.50,6.73,6.34,6.57,863
2011.10.13 00:00,6.43,6.43,6.17,6.21,721
2011.10.14 00:00,6.31,6.35,6.12,6.18,621
2011.10.17 00:00,6.17,6.26,6.03,6.04,572
2011.10.18 00:00,6.27,6.78,6.16,6.62,1319
2011.10.19 00:00,6.69,6.85,6.37,6.38,1162
2011.10.20 00:00,6.43,6.47,6.18,6.46,860
2011.10.21 00:00,6.60,6.64,6.38,6.46,600
2011.10.24 00:00,6.59,6.73,6.49,6.72,639
2011.10.25 00:00,6.65,6.66,6.46,6.46,763
2011.10.26 00:00,6.59,6.65,6.44,6.60,810
2011.10.27 00:00,7.12,7.22,6.90,7.21,955
2011.10.28 00:00,7.08,7.42,7.05,7.34,1091
2011.10.31 00:00,7.09,7.15,6.82,6.82,766
2011.11.01 00:00,6.37,6.67,6.33,6.40,1648
2011.11.02 00:00,6.71,6.74,6.57,6.72,843
2011.11.03 00:00,6.91,6.97,6.58,6.90,906
2011.11.04 00:00,6.72,6.74,6.45,6.48,633
2011.11.07 00:00,6.43,6.58,6.30,6.44,550
2011.11.08 00:00,6.54,6.58,6.40,6.53,819
2011.11.09 00:00,6.31,6.35,6.16,6.17,597
2011.11.10 00:00,6.31,6.32,6.01,6.02,946
2011.11.11 00:00,6.12,6.28,6.12,6.21,409
2011.11.14 00:00,6.17,6.18,6.02,6.05,325
2011.11.15 00:00,6.01,6.23,6.00,6.13,479
2011.11.16 00:00,6.08,6.08,5.90,5.90,232
2011.11.17 00:00,5.98,6.02,5.79,5.80,471
2011.11.18 00:00,5.85,5.88,5.75,5.78,315
2011.11.21 00:00,5.65,5.67,5.48,5.49,290
2011.11.22 00:00,5.53,5.58,5.32,5.37,365
2011.11.23 00:00,5.29,5.30,5.13,5.14,213
2011.11.24 00:00,5.13,5.13,5.13,5.13,1
2011.11.25 00:00,5.16,5.32,5.12,5.17,206
2011.11.28 00:00,5.49,5.52,5.14,5.24,405
2011.11.29 00:00,5.18,5.27,5.03,5.08,419
2011.11.30 00:00,5.40,5.43,5.18,5.42,637
2011.12.01 00:00,5.37,5.62,5.29,5.53,640
2011.12.02 00:00,5.67,5.87,5.61,5.64,533
2011.12.05 00:00,5.86,5.94,5.73,5.78,500
2011.12.06 00:00,5.73,5.91,5.70,5.78,495
2011.12.07 00:00,5.72,5.91,5.70,5.89,427
2011.12.08 00:00,5.84,5.87,5.53,5.58,596
2011.12.09 00:00,5.67,5.84,5.63,5.71,317
2011.12.12 00:00,5.58,5.59,5.40,5.44,281
2011.12.13 00:00,5.56,5.59,5.22,5.30,345
2011.12.14 00:00,5.23,5.36,5.20,5.22,439
2011.12.15 00:00,5.35,5.36,5.23,5.26,232
2011.12.16 00:00,5.30,5.41,5.16,5.19,208
2011.12.19 00:00,5.21,5.21,4.92,4.98,316
2011.12.20 00:00,5.11,5.21,5.04,5.16,224
2011.12.21 00:00,5.18,5.24,5.10,5.22,281
2011.12.22 00:00,5.26,5.50,5.21,5.47,379
2011.12.23 00:00,5.54,5.63,5.47,5.60,165
2011.12.27 00:00,5.55,5.57,5.46,5.47,203
2011.12.28 00:00,5.44,5.44,5.27,5.28,187
2011.12.29 00:00,5.29,5.47,5.28,5.45,241
2011.12.30 00:00,5.38,5.57,5.37,5.55,158
2012.01.03 00:00,5.75,5.88,5.74,5.80,274
2012.01.04 00:00,5.70,5.87,5.62,5.82,415
2012.01.05 00:00,5.75,6.34,5.71,6.31,818
2012.01.06 00:00,6.20,6.29,6.06,6.17,479
2012.01.09 00:00,6.25,6.36,6.19,6.26,454
2012.01.10 00:00,6.45,6.65,6.44,6.63,434
2012.01.11 00:00,6.60,6.89,6.52,6.86,567
2012.01.12 00:00,6.99,7.01,6.66,6.77,623
2012.01.13 00:00,6.48,6.68,6.41,6.61,770
2012.01.17 00:00,6.62,6.81,6.44,6.47,806
2012.01.18 00:00,6.50,6.79,6.46,6.79,699
2012.01.19 00:00,7.21,7.28,6.90,6.95,846
2012.01.20 00:00,6.94,7.07,6.83,7.06,420
2012.01.23 00:00,7.13,7.36,7.11,7.24,732
2012.01.24 00:00,7.10,7.34,7.06,7.28,481
2012.01.25 00:00,7.21,7.36,7.15,7.34,742
2012.01.26 00:00,7.45,7.49,7.23,7.29,538
2012.01.27 00:00,7.20,7.34,7.20,7.29,403
2012.01.30 00:00,7.12,7.14,7.02,7.06,414
2012.01.31 00:00,7.17,7.19,7.05,7.13,383
2012.02.01 00:00,7.25,7.43,7.21,7.35,562
2012.02.02 00:00,7.42,7.48,7.34,7.44,487
2012.02.03 00:00,7.66,7.88,7.64,7.83,560
2012.02.06 00:00,7.78,7.97,7.77,7.96,406
2012.02.07 00:00,7.95,7.98,7.83,7.84,385
2012.02.08 00:00,7.95,8.14,7.93,8.12,506
2012.02.09 00:00,8.30,8.34,8.10,8.18,811
2012.02.10 00:00,8.04,8.11,7.98,8.07,288
2012.02.13 00:00,8.26,8.30,8.21,8.25,341
2012.02.14 00:00,8.14,8.16,7.95,7.98,457
2012.02.15 00:00,8.00,8.12,7.77,7.77,540
2012.02.16 00:00,7.70,8.12,7.66,8.09,436
2012.02.17 00:00,8.03,8.07,7.94,8.01,342
2012.02.21 00:00,8.02,8.19,8.00,8.10,377
2012.02.22 00:00,8.06,8.12,7.95,7.95,357
2012.02.23 00:00,7.97,8.04,7.90,8.01,219
2012.02.24 00:00,8.05,8.08,7.88,7.88,218
2012.02.27 00:00,7.78,8.04,7.67,8.04,410
2012.02.28 00:00,8.05,8.14,8.00,8.11,266
2012.02.29 00:00,8.16,8.23,7.97,7.97,385
2012.03.01 00:00,8.09,8.16,8.05,8.11,310
2012.03.02 00:00,8.10,8.20,8.09,8.12,205
2012.03.05 00:00,8.09,8.12,7.95,7.96,319
2012.03.06 00:00,7.77,7.78,7.66,7.71,396
2012.03.07 00:00,7.81,8.00,7.77,7.99,300
2012.03.08 00:00,8.07,8.11,8.00,8.05,204
2012.03.09 00:00,8.11,8.18,8.01,8.04,254
2012.03.12 00:00,8.02,8.05,7.91,7.98,286
2012.03.13 00:00,8.07,8.49,8.05,8.49,454
2012.03.14 00:00,8.65,8.89,8.56,8.84,924
2012.03.15 00:00,8.97,9.24,8.85,9.23,938
2012.03.16 00:00,9.41,9.79,9.33,9.78,993
2012.03.19 00:00,9.77,10.09,9.51,9.53,1404
2012.03.20 00:00,9.62,9.96,9.59,9.80,1059
2012.03.21 00:00,9.96,10.02,9.80,9.82,814
2012.03.22 00:00,9.65,9.76,9.52,9.59,616
2012.03.23 00:00,9.46,9.84,9.40,9.83,592
2012.03.26 00:00,10.01,10.03,9.85,9.92,423
2012.03.27 00:00,9.86,9.89,9.58,9.59,365
2012.03.28 00:00,9.62,9.77,9.58,9.73,637
2012.03.29 00:00,9.62,9.67,9.43,9.52,449
2012.03.30 00:00,9.61,9.63,9.35,9.56,327
2012.04.02 00:00,9.54,9.77,9.41,9.66,321
2012.04.03 00:00,9.65,9.66,9.41,9.48,446
2012.04.04 00:00,9.35,9.35,9.15,9.20,320
2012.04.05 00:00,9.13,9.39,9.11,9.23,351
2012.04.09 00:00,9.04,9.04,8.83,8.92,461
2012.04.10 00:00,8.97,9.08,8.50,8.53,685
2012.04.11 00:00,8.77,8.90,8.72,8.86,414
2012.04.12 00:00,8.93,9.17,8.91,9.16,334
2012.04.13 00:00,9.07,9.07,8.68,8.68,553
2012.04.16 00:00,8.89,8.92,8.62,8.78,487
2012.04.17 00:00,8.96,8.99,8.87,8.92,259
2012.04.18 00:00,8.88,8.97,8.84,8.92,178
2012.04.19 00:00,9.16,9.16,8.68,8.76,796
2012.04.20 00:00,8.77,8.77,8.33,8.34,378
2012.04.23 00:00,8.02,8.29,7.95,8.17,521
2012.04.24 00:00,8.25,8.26,8.10,8.20,302
2012.04.25 00:00,8.30,8.34,8.17,8.26,284
2012.04.26 00:00,8.20,8.39,8.17,8.26,257
2012.04.27 00:00,8.33,8.33,8.19,8.24,206
2012.04.30 00:00,8.21,8.23,8.04,8.09,216
2012.05.01 00:00,8.10,8.39,8.08,8.30,305
2012.05.02 00:00,8.20,8.22,8.12,8.16,245
2012.05.03 00:00,8.17,8.17,7.91,7.99,270
2012.05.04 00:00,7.89,7.91,7.70,7.74,333
2012.05.07 00:00,7.69,7.99,7.67,7.96,293
2012.05.08 00:00,7.87,7.89,7.69,7.78,387
2012.05.09 00:00,7.66,7.81,7.65,7.73,445
2012.05.10 00:00,7.90,7.93,7.67,7.69,363
2012.05.11 00:00,7.48,7.76,7.41,7.55,508
2012.05.14 00:00,7.36,7.51,7.35,7.35,290
2012.05.15 00:00,7.36,7.54,7.25,7.30,365
2012.05.16 00:00,7.40,7.46,7.08,7.09,415
2012.05.17 00:00,7.10,7.24,6.93,6.98,587
2012.05.18 00:00,7.01,7.02,6.89,7.01,320
2012.05.21 00:00,7.03,7.10,6.72,6.82,344
2012.05.22 00:00,6.92,7.14,6.86,6.98,337
2012.05.23 00:00,6.88,7.16,6.85,7.16,433
2012.05.24 00:00,7.25,7.32,7.01,7.13,480
2012.05.25 00:00,7.07,7.24,7.07,7.15,258
2012.05.29 00:00,7.28,7.44,7.22,7.43,260
2012.05.30 00:00,7.32,7.40,7.10,7.18,365
2012.05.31 00:00,7.20,7.36,7.04,7.34,347
2012.06.01 00:00,7.11,7.18,6.94,7.01,446
2012.06.04 00:00,7.09,7.09,6.85,6.88,304
2012.06.05 00:00,6.91,7.13,6.90,7.10,256
2012.06.06 00:00,7.23,7.76,7.18,7.63,744
2012.06.07 00:00,7.81,7.89,7.38,7.40,706
2012.06.08 00:00,7.36,7.57,7.20,7.56,582
2012.06.11 00:00,7.73,7.76,7.28,7.28,669
2012.06.12 00:00,7.31,7.49,7.23,7.48,491
2012.06.13 00:00,7.39,7.60,7.35,7.49,432
2012.06.14 00:00,7.52,7.68,7.45,7.65,481
2012.06.15 00:00,7.71,7.88,7.55,7.88,339
2012.06.18 00:00,7.76,7.90,7.73,7.76,412
2012.06.19 00:00,7.88,8.18,7.86,8.11,480
2012.06.20 00:00,8.17,8.21,8.02,8.13,732
2012.06.21 00:00,8.11,8.16,7.80,7.81,566
2012.06.22 00:00,7.96,8.00,7.79,7.92,321
2012.06.25 00:00,7.73,7.73,7.56,7.60,290
2012.06.26 00:00,7.65,7.67,7.48,7.61,335
2012.06.27 00:00,7.67,7.81,7.61,7.76,290
2012.06.28 00:00,7.62,7.74,7.53,7.73,354
2012.06.29 00:00,7.99,8.19,7.95,8.17,380
2012.07.02 00:00,8.19,8.20,7.87,8.03,371
2012.07.03 00:00,8.05,8.11,8.01,8.05,86
2012.07.05 00:00,8.04,8.05,7.82,7.82,175
2012.07.06 00:00,7.68,7.79,7.65,7.66,149
2012.07.09 00:00,7.64,7.69,7.53,7.56,166
2012.07.10 00:00,7.65,7.66,7.40,7.48,182
2012.07.11 00:00,7.50,7.68,7.45,7.62,357
2012.07.12 00:00,7.52,7.54,7.43,7.48,216
2012.07.13 00:00,7.56,7.81,7.56,7.81,295
2012.07.16 00:00,7.92,7.94,7.77,7.81,199
2012.07.17 00:00,7.91,7.92,7.75,7.91,250
2012.07.18 00:00,7.88,7.92,7.50,7.53,430
2012.07.19 00:00,7.55,7.64,7.12,7.27,554
2012.07.20 00:00,7.20,7.20,7.06,7.07,268
2012.07.23 00:00,6.93,7.14,6.90,7.09,380
2012.07.24 00:00,7.16,7.17,6.97,7.04,318
2012.07.25 00:00,7.11,7.16,7.01,7.06,225
2012.07.26 00:00,7.22,7.23,7.11,7.16,207
2012.07.27 00:00,7.19,7.39,7.14,7.31,306
2012.07.30 00:00,7.28,7.37,7.26,7.27,118
2012.07.31 00:00,7.27,7.33,7.21,7.33,125
2012.08.01 00:00,7.34,7.35,7.21,7.21,355
2012.08.02 00:00,7.11,7.25,7.10,7.17,337
2012.08.03 00:00,7.29,7.48,7.27,7.43,200
2012.08.06 00:00,7.44,7.67,7.44,7.64,176
2012.08.07 00:00,7.70,7.84,7.66,7.66,208
2012.08.08 00:00,7.58,7.76,7.57,7.66,178
