Date,Open,High,Low,Close,Volume
2008.12.24 00:00,6.53,6.78,6.51,6.73,6593
2008.12.26 00:00,6.82,7.01,6.65,6.70,8223
2008.12.29 00:00,6.81,6.83,6.49,6.55,11169
2008.12.30 00:00,6.64,6.80,6.51,6.75,13525
2008.12.31 00:00,6.70,6.79,6.60,6.74,6427
2009.01.02 00:00,6.85,7.14,6.73,7.10,13795
2009.01.05 00:00,7.11,7.48,7.01,7.05,17037
2009.01.06 00:00,7.27,7.57,7.26,7.44,15230
2009.01.07 00:00,7.21,7.42,7.06,7.13,12610
2009.01.08 00:00,7.08,7.32,6.96,7.15,12386
2009.01.09 00:00,7.25,7.27,6.64,6.71,16914
2009.01.12 00:00,6.53,6.53,5.35,5.56,32566
2009.01.13 00:00,5.17,5.94,5.04,5.88,34105
2009.01.14 00:00,5.00,5.18,4.42,4.53,43360
2009.01.15 00:00,4.63,4.63,3.34,3.87,69631
2009.01.16 00:00,4.20,4.46,3.42,3.47,52291
2009.01.20 00:00,3.43,3.56,2.78,2.81,38018
2009.01.21 00:00,3.10,3.63,2.95,3.59,30787
2009.01.22 00:00,3.42,3.50,2.99,3.10,25549
2009.01.23 00:00,2.98,3.56,2.96,3.41,25740
2009.01.26 00:00,3.64,3.73,3.28,3.32,19586
2009.01.27 00:00,3.46,3.62,3.31,3.52,14402
2009.01.28 00:00,4.28,4.31,4.02,4.14,33516
2009.01.29 00:00,3.97,4.07,3.88,3.89,16498
2009.01.30 00:00,3.97,3.97,3.53,3.59,19772
2009.02.02 00:00,3.37,3.70,3.30,3.62,13331
2009.02.03 00:00,3.82,3.83,3.37,3.41,11966
2009.02.04 00:00,3.53,3.80,3.43,3.47,11371
2009.02.05 00:00,3.45,3.70,3.18,3.54,15098
2009.02.06 00:00,3.77,4.05,3.70,3.88,20660
2009.02.09 00:00,4.05,4.08,3.85,3.94,15234
2009.02.10 00:00,3.99,4.01,3.24,3.38,24179
2009.02.11 00:00,3.55,3.65,3.36,3.62,12643
2009.02.12 00:00,3.50,3.64,3.39,3.60,12409
2009.02.13 00:00,3.50,3.70,3.48,3.48,11609
2009.02.17 00:00,3.24,3.29,3.08,3.09,14963
2009.02.18 00:00,3.18,3.18,2.83,2.88,14680
2009.02.19 00:00,2.97,2.99,2.48,2.49,20347
2009.02.20 00:00,2.19,2.31,1.59,1.93,52232
2009.02.23 00:00,2.35,2.46,2.04,2.13,32120
2009.02.24 00:00,2.27,2.58,2.04,2.56,25028
2009.02.25 00:00,2.69,2.93,2.14,2.51,32209
2009.02.26 00:00,2.70,2.81,2.33,2.39,20528
2009.02.27 00:00,1.53,1.91,1.38,1.40,73831
2009.03.02 00:00,1.50,1.58,1.13,1.18,39637
2009.03.03 00:00,1.30,1.33,1.19,1.22,23289
2009.03.04 00:00,1.28,1.29,1.13,1.14,28170
2009.03.05 00:00,1.10,1.10,0.95,1.01,30550
2009.03.06 00:00,1.05,1.06,0.98,1.01,20451
2009.03.09 00:00,1.00,1.05,0.97,1.03,15495
2009.03.10 00:00,1.23,1.43,1.21,1.42,53035
2009.03.11 00:00,1.67,1.70,1.44,1.52,43109
2009.03.12 00:00,1.53,1.64,1.46,1.63,24957
2009.03.13 00:00,1.81,1.87,1.62,1.76,39195
2009.03.16 00:00,1.96,2.66,1.90,2.22,91772
2009.03.17 00:00,2.58,2.64,2.29,2.51,43454
2009.03.18 00:00,2.60,3.32,2.50,3.10,92689
2009.03.19 00:00,3.62,3.87,2.58,2.61,104846
2009.03.20 00:00,2.78,2.79,2.38,2.55,42560
2009.03.23 00:00,3.30,3.33,2.81,3.13,60036
2009.03.24 00:00,3.04,3.11,2.84,2.97,33134
2009.03.25 00:00,3.05,3.13,2.65,2.88,39968
2009.03.26 00:00,3.00,3.07,2.74,2.79,24470
2009.03.27 00:00,2.65,2.71,2.52,2.62,29013
2009.03.30 00:00,2.37,2.41,2.23,2.35,27383
2009.03.31 00:00,2.53,2.55,2.42,2.50,16277
2009.04.01 00:00,2.46,2.72,2.41,2.65,18071
2009.04.02 00:00,2.96,2.96,2.68,2.71,30119
2009.04.03 00:00,2.72,2.81,2.63,2.79,16837
2009.04.06 00:00,2.77,2.79,2.64,2.70,14699
2009.04.07 00:00,2.60,2.87,2.59,2.74,18134
2009.04.08 00:00,2.79,2.82,2.65,2.66,12677
2009.04.09 00:00,3.00,3.06,2.88,3.01,34965
2009.04.13 00:00,3.16,3.78,3.10,3.77,58878
2009.04.14 00:00,4.22,4.46,3.83,4.07,89921
2009.04.15 00:00,3.92,3.96,3.49,3.93,43057
2009.04.16 00:00,4.16,4.18,3.95,3.99,40467
2009.04.17 00:00,4.12,4.14,3.53,3.64,70700
2009.04.20 00:00,3.40,3.40,2.78,2.94,58672
2009.04.21 00:00,2.69,3.26,2.59,3.22,36889
2009.04.22 00:00,3.17,3.35,3.04,3.13,22912
2009.04.23 00:00,3.26,3.27,3.07,3.18,15356
2009.04.24 00:00,3.19,3.24,3.07,3.15,19792
2009.04.27 00:00,3.05,3.15,3.00,3.07,16828
2009.04.28 00:00,2.88,2.96,2.84,2.88,20230
2009.04.29 00:00,3.00,3.13,2.98,3.08,17068
2009.04.30 00:00,3.24,3.26,3.04,3.04,16935
2009.05.01 00:00,3.10,3.12,2.94,2.97,10208
2009.05.04 00:00,3.05,3.22,3.03,3.21,23712
2009.05.05 00:00,3.27,3.45,3.24,3.31,31928
2009.05.06 00:00,3.49,3.96,3.43,3.80,76002
2009.05.07 00:00,4.38,4.39,3.60,3.84,86756
2009.05.08 00:00,4.16,4.23,3.91,4.02,58830
2009.05.11 00:00,3.97,4.01,3.77,3.84,31977
2009.05.12 00:00,3.97,3.98,3.65,3.66,23854
2009.05.13 00:00,3.61,3.62,3.39,3.44,23454
2009.05.14 00:00,3.33,3.62,3.32,3.55,21236
2009.05.15 00:00,3.63,3.64,3.43,3.47,14928
2009.05.18 00:00,3.61,3.70,3.56,3.64,18713
2009.05.19 00:00,3.76,3.85,3.64,3.75,24324
2009.05.20 00:00,3.86,3.94,3.60,3.69,21252
2009.05.21 00:00,3.64,3.73,3.58,3.70,11758
2009.05.22 00:00,3.76,3.77,3.65,3.66,10289
2009.05.26 00:00,3.67,3.80,3.66,3.75,11416
2009.05.27 00:00,3.81,3.81,3.68,3.69,13198
2009.05.28 00:00,3.73,3.73,3.63,3.68,11608
2009.05.29 00:00,3.70,3.75,3.66,3.67,11952
2009.06.01 00:00,3.75,3.76,3.64,3.65,17911
2009.06.02 00:00,3.56,3.61,3.44,3.49,21686
2009.06.03 00:00,3.43,3.44,3.30,3.36,16819
2009.06.04 00:00,3.41,3.63,3.37,3.54,14245
2009.06.05 00:00,3.65,3.65,3.49,3.50,11408
2009.06.08 00:00,3.37,3.59,3.35,3.39,13284
2009.06.09 00:00,3.41,3.44,3.36,3.38,11770
2009.06.10 00:00,3.48,3.60,3.44,3.45,14404
2009.06.11 00:00,3.48,3.53,3.44,3.47,11667
2009.06.12 00:00,3.46,3.53,3.42,3.44,9226
2009.06.15 00:00,3.43,3.45,3.33,3.34,9252
2009.06.16 00:00,3.37,3.37,3.23,3.25,11646
2009.06.17 00:00,3.21,3.27,2.98,3.07,16523
2009.06.18 00:00,3.08,3.14,2.98,3.10,10184
2009.06.19 00:00,3.20,3.20,3.11,3.13,12517
2009.06.22 00:00,3.12,3.13,2.96,2.99,13603
2009.06.23 00:00,3.01,3.05,2.88,3.00,12430
2009.06.24 00:00,3.02,3.18,2.96,3.02,8123
2009.06.25 00:00,3.04,3.08,2.97,3.01,9294
2009.06.26 00:00,3.02,3.08,2.94,2.99,5883
2009.06.29 00:00,3.00,3.02,2.97,2.99,7379
2009.06.30 00:00,3.00,3.01,2.91,2.94,10254
2009.07.01 00:00,2.97,3.04,2.94,2.95,8579
2009.07.02 00:00,2.92,2.93,2.87,2.89,9476
2009.07.06 00:00,2.84,2.85,2.71,2.75,14967
2009.07.07 00:00,2.77,2.78,2.64,2.67,10199
2009.07.08 00:00,2.70,2.70,2.53,2.61,12388
2009.07.09 00:00,2.64,2.67,2.61,2.66,8149
2009.07.10 00:00,2.65,2.66,2.54,2.56,8963
2009.07.13 00:00,2.64,2.76,2.59,2.75,12571
2009.07.14 00:00,2.89,2.91,2.81,2.89,13183
2009.07.15 00:00,3.01,3.19,2.96,3.14,18083
2009.07.16 00:00,3.16,3.18,2.99,3.01,16907
2009.07.17 00:00,3.14,3.18,2.95,2.98,16785
2009.07.20 00:00,3.03,3.03,2.72,2.77,20399
2009.07.21 00:00,2.79,2.80,2.61,2.64,16248
2009.07.22 00:00,2.66,2.91,2.59,2.77,12632
2009.07.23 00:00,2.86,2.87,2.73,2.77,12597
2009.07.24 00:00,2.78,2.79,2.65,2.70,10788
2009.07.27 00:00,2.69,2.73,2.54,2.65,19198
2009.07.28 00:00,2.68,3.01,2.65,2.95,28674
2009.07.29 00:00,2.98,3.18,2.93,3.17,29271
2009.07.30 00:00,3.30,3.35,3.01,3.10,30876
2009.07.31 00:00,3.03,3.16,2.97,3.12,34834
2009.08.03 00:00,3.27,3.28,3.12,3.15,28267
2009.08.04 00:00,3.14,3.23,3.09,3.23,27209
2009.08.05 00:00,3.29,3.59,3.27,3.53,67889
2009.08.06 00:00,3.79,3.79,3.59,3.77,44235
2009.08.07 00:00,3.96,4.22,3.81,3.84,81054
2009.08.10 00:00,3.98,4.09,3.89,3.93,40732
2009.08.11 00:00,3.91,3.94,3.55,3.69,42701
2009.08.12 00:00,3.74,3.97,3.71,3.94,36699
2009.08.13 00:00,4.08,4.12,3.96,4.04,39780
2009.08.14 00:00,4.14,4.15,3.89,4.04,41274
2009.08.17 00:00,3.84,4.03,3.78,3.97,33769
2009.08.18 00:00,4.04,4.13,4.00,4.12,28036
2009.08.19 00:00,4.05,4.17,4.03,4.10,25249
2009.08.20 00:00,4.17,4.49,4.14,4.45,52049
2009.08.21 00:00,4.60,4.78,4.56,4.68,54437
2009.08.24 00:00,4.92,4.98,4.74,4.79,60235
2009.08.25 00:00,4.85,4.88,4.64,4.72,33929
2009.08.26 00:00,4.73,4.73,4.56,4.60,35657
2009.08.27 00:00,4.70,5.08,4.64,5.04,59208
2009.08.28 00:00,5.27,5.41,5.04,5.21,67583
2009.08.31 00:00,5.03,5.09,4.82,4.99,42554
2009.09.01 00:00,4.91,5.01,4.50,4.52,60493
2009.09.02 00:00,4.38,4.65,4.28,4.54,47550
2009.09.03 00:00,4.75,4.80,4.63,4.73,30025
2009.09.04 00:00,4.85,4.91,4.78,4.83,25348
2009.09.08 00:00,4.96,4.97,4.61,4.65,35815
2009.09.09 00:00,4.68,4.74,4.54,4.63,28449
2009.09.10 00:00,4.60,4.73,4.51,4.72,28566
2009.09.11 00:00,4.71,4.73,4.59,4.60,20325
2009.09.14 00:00,4.52,4.55,4.34,4.50,29865
2009.09.15 00:00,4.41,4.49,4.09,4.10,58048
2009.09.16 00:00,4.27,4.29,4.13,4.17,35134
2009.09.17 00:00,4.33,4.54,4.27,4.40,45854
2009.09.18 00:00,4.45,4.46,4.28,4.29,33781
2009.09.21 00:00,4.23,4.44,4.22,4.42,22181
2009.09.22 00:00,4.54,4.66,4.52,4.63,36117
2009.09.23 00:00,4.69,4.72,4.50,4.52,30149
2009.09.24 00:00,4.60,4.62,4.37,4.42,26280
2009.09.25 00:00,4.40,4.49,4.34,4.37,17716
2009.09.28 00:00,4.44,4.55,4.42,4.55,18332
2009.09.29 00:00,4.73,4.77,4.64,4.67,25553
2009.09.30 00:00,4.72,4.73,4.48,4.73,29068
2009.10.01 00:00,4.71,4.73,4.50,4.51,28128
2009.10.02 00:00,4.38,4.57,4.29,4.49,27268
2009.10.05 00:00,4.56,4.66,4.53,4.64,20816
2009.10.06 00:00,4.75,4.78,4.62,4.64,22531
2009.10.07 00:00,4.61,4.68,4.54,4.62,14825
2009.10.08 00:00,4.70,4.70,4.61,4.62,15724
2009.10.09 00:00,4.60,4.65,4.57,4.60,14161
2009.10.12 00:00,4.65,4.78,4.62,4.75,21626
2009.10.13 00:00,4.79,4.86,4.72,4.81,23895
2009.10.14 00:00,4.96,4.98,4.88,4.97,30138
2009.10.15 00:00,4.77,4.81,4.62,4.71,38013
2009.10.16 00:00,4.64,4.67,4.56,4.58,27157
2009.10.19 00:00,4.64,4.64,4.49,4.53,17961
2009.10.20 00:00,4.57,4.61,4.39,4.41,21468
2009.10.21 00:00,4.39,4.54,4.38,4.41,17283
2009.10.22 00:00,4.42,4.46,4.37,4.43,15613
2009.10.23 00:00,4.51,4.58,4.45,4.45,17061
2009.10.26 00:00,4.49,4.51,4.22,4.24,23148
2009.10.27 00:00,4.27,4.30,4.21,4.25,15185
2009.10.28 00:00,4.19,4.23,3.98,4.07,25855
2009.10.29 00:00,4.16,4.33,4.15,4.29,19194
2009.10.30 00:00,4.27,4.28,4.00,4.06,22440
2009.11.02 00:00,4.07,4.09,3.79,3.95,42610
2009.11.03 00:00,3.85,4.03,3.82,4.01,18959
2009.11.04 00:00,4.08,4.15,3.94,3.96,16417
2009.11.05 00:00,4.04,4.06,3.98,4.03,11144
2009.11.06 00:00,3.96,4.04,3.94,4.03,12683
2009.11.09 00:00,4.12,4.18,4.08,4.15,17507
2009.11.10 00:00,4.13,4.24,4.12,4.16,12063
2009.11.11 00:00,4.22,4.26,4.12,4.14,13141
2009.11.12 00:00,4.13,4.15,4.03,4.05,14725
2009.11.13 00:00,4.07,4.12,4.01,4.03,11016
2009.11.16 00:00,4.20,4.23,4.16,4.16,18722
2009.11.17 00:00,4.15,4.23,4.14,4.23,13984
2009.11.18 00:00,4.21,4.29,4.21,4.27,13604
2009.11.19 00:00,4.25,4.25,4.18,4.19,11529
2009.11.20 00:00,4.18,4.22,4.17,4.18,10292
2009.11.23 00:00,4.22,4.26,4.21,4.26,12990
2009.11.24 00:00,4.27,4.27,4.19,4.19,11133
2009.11.25 00:00,4.21,4.22,4.12,4.15,13309
2009.11.27 00:00,3.94,4.11,3.93,4.03,14807
2009.11.30 00:00,4.05,4.14,4.04,4.08,18816
2009.12.01 00:00,4.14,4.14,4.03,4.07,14300
2009.12.02 00:00,4.08,4.08,4.00,4.08,13508
2009.12.03 00:00,4.13,4.19,4.01,4.05,16891
2009.12.04 00:00,4.10,4.10,4.03,4.08,21649
2009.12.07 00:00,4.06,4.10,4.01,4.01,13110
2009.12.08 00:00,3.98,4.02,3.83,3.88,26403
2009.12.09 00:00,3.92,3.93,3.77,3.81,21172
2009.12.10 00:00,3.87,3.89,3.82,3.85,17792
2009.12.11 00:00,3.87,3.92,3.85,3.92,15849
2009.12.14 00:00,3.78,3.82,3.64,3.67,40121
2009.12.15 00:00,3.65,3.68,3.49,3.55,54788
2009.12.16 00:00,3.49,3.56,3.42,3.44,49535
2009.12.17 00:00,3.14,3.23,3.11,3.20,101701
2009.12.18 00:00,3.23,3.36,3.19,3.33,56363
2009.12.21 00:00,3.37,3.40,3.34,3.40,34867
2009.12.22 00:00,3.42,3.42,3.32,3.34,23765
2009.12.23 00:00,3.35,3.36,3.24,3.26,25515
2009.12.24 00:00,3.30,3.34,3.29,3.33,10629
2009.12.28 00:00,3.36,3.39,3.29,3.39,18828
2009.12.29 00:00,3.37,3.39,3.33,3.34,16833
2009.12.30 00:00,3.33,3.35,3.28,3.29,16352
2009.12.31 00:00,3.32,3.34,3.29,3.32,8688
2010.01.04 00:00,3.34,3.39,3.32,3.37,20086
2010.01.05 00:00,3.39,3.53,3.39,3.52,26802
2010.01.06 00:00,3.55,3.66,3.49,3.62,34153
2010.01.07 00:00,3.66,3.68,3.59,3.62,25921
2010.01.08 00:00,3.64,3.65,3.49,3.57,27126
2010.01.11 00:00,3.63,3.65,3.58,3.60,17736
2010.01.12 00:00,3.57,3.59,3.46,3.49,30379
2010.01.13 00:00,3.53,3.56,3.48,3.48,21915
2010.01.14 00:00,3.50,3.53,3.48,3.49,13740
2010.01.15 00:00,3.47,3.48,3.38,3.39,26769
2010.01.19 00:00,3.34,3.54,3.28,3.51,26048
2010.01.20 00:00,3.48,3.58,3.43,3.44,19748
2010.01.21 00:00,3.43,3.44,3.18,3.26,46844
2010.01.22 00:00,3.25,3.37,3.20,3.23,28180
2010.01.25 00:00,3.30,3.31,3.19,3.21,17946
2010.01.26 00:00,3.19,3.25,3.13,3.14,24761
2010.01.27 00:00,3.16,3.21,3.12,3.18,23429
2010.01.28 00:00,3.24,3.28,3.18,3.22,19329
2010.01.29 00:00,3.26,3.32,3.25,3.29,24474
2010.02.01 00:00,3.33,3.35,3.29,3.31,14929
2010.02.02 00:00,3.33,3.39,3.30,3.38,14421
2010.02.03 00:00,3.37,3.44,3.35,3.36,12898
2010.02.04 00:00,3.33,3.33,3.15,3.18,21535
2010.02.05 00:00,3.19,3.22,3.13,3.19,30786
2010.02.08 00:00,3.22,3.22,3.13,3.14,13159
2010.02.09 00:00,3.19,3.21,3.09,3.16,16186
2010.02.10 00:00,3.17,3.19,3.12,3.17,17335
2010.02.11 00:00,3.16,3.20,3.15,3.19,11222
2010.02.12 00:00,3.16,3.19,3.13,3.18,12124
2010.02.16 00:00,3.21,3.31,3.19,3.29,17120
2010.02.17 00:00,3.37,3.43,3.34,3.39,24757
2010.02.18 00:00,3.37,3.45,3.37,3.41,18769
2010.02.19 00:00,3.38,3.43,3.37,3.40,12377
2010.02.22 00:00,3.43,3.46,3.39,3.42,13793
2010.02.23 00:00,3.43,3.46,3.33,3.33,12830
2010.02.24 00:00,3.35,3.43,3.35,3.42,14313
2010.02.25 00:00,3.38,3.38,3.34,3.38,12703
2010.02.26 00:00,3.36,3.43,3.36,3.38,10855
2010.03.01 00:00,3.40,3.42,3.32,3.37,10470
2010.03.02 00:00,3.39,3.42,3.37,3.37,10884
2010.03.03 00:00,3.40,3.42,3.37,3.38,9723
2010.03.04 00:00,3.39,3.46,3.37,3.42,18584
2010.03.05 00:00,3.44,3.49,3.43,3.47,15728
2010.03.08 00:00,3.53,3.58,3.52,3.54,24463
2010.03.09 00:00,3.52,3.84,3.52,3.81,48265
2010.03.10 00:00,3.94,4.05,3.90,3.94,60947
2010.03.11 00:00,3.97,4.16,3.93,4.15,58858
2010.03.12 00:00,4.19,4.20,3.92,3.94,55704
2010.03.15 00:00,3.87,3.92,3.81,3.87,25714
2010.03.16 00:00,3.93,4.05,3.90,4.02,27486
2010.03.17 00:00,4.09,4.15,3.97,4.02,29107
2010.03.18 00:00,4.07,4.07,3.98,4.00,23779
2010.03.19 00:00,4.01,4.03,3.90,3.91,34294
2010.03.22 00:00,3.88,4.08,3.86,4.03,31114
2010.03.23 00:00,4.07,4.13,4.06,4.11,24391
2010.03.24 00:00,4.09,4.18,4.08,4.13,23431
2010.03.25 00:00,4.22,4.36,4.21,4.26,49215
2010.03.26 00:00,4.31,4.35,4.24,4.29,32861
2010.03.29 00:00,4.36,4.39,4.09,4.16,46200
2010.03.30 00:00,4.13,4.16,4.03,4.08,31118
2010.03.31 00:00,4.07,4.09,3.99,4.04,27668
2010.04.01 00:00,4.09,4.16,4.00,4.16,22665
2010.04.05 00:00,4.24,4.26,4.21,4.23,20413
2010.04.06 00:00,4.24,4.28,4.23,4.26,19073
2010.04.07 00:00,4.30,4.38,4.28,4.35,27485
2010.04.08 00:00,4.32,4.47,4.29,4.43,30654
2010.04.09 00:00,4.52,4.55,4.50,4.52,30438
2010.04.12 00:00,4.60,4.62,4.56,4.62,45358
2010.04.13 00:00,4.60,4.66,4.57,4.59,28989
2010.04.14 00:00,4.70,4.92,4.68,4.91,50720
2010.04.15 00:00,4.97,5.05,4.72,4.78,83557
2010.04.16 00:00,4.79,4.81,4.39,4.56,107560
2010.04.19 00:00,4.63,4.91,4.62,4.87,79520
2010.04.20 00:00,4.99,5.04,4.90,4.96,58634
2010.04.21 00:00,5.01,5.02,4.80,4.91,47570
2010.04.22 00:00,4.84,4.87,4.75,4.85,40668
2010.04.23 00:00,4.84,4.93,4.81,4.84,33335
2010.04.26 00:00,4.76,4.78,4.58,4.60,70152
2010.04.27 00:00,4.54,4.55,4.31,4.33,67997
2010.04.28 00:00,4.42,4.51,4.38,4.43,3649
2010.04.29 00:00,4.51,4.61,4.47,4.54,3408
2010.04.30 00:00,4.53,4.53,4.36,4.37,2203
2010.05.03 00:00,4.43,4.47,4.36,4.39,2143
2010.05.04 00:00,4.32,4.35,4.21,4.25,27955
2010.05.05 00:00,4.14,4.23,4.03,4.16,39345
2010.05.06 00:00,4.18,4.25,3.88,4.02,66664
2010.05.07 00:00,4.06,4.11,3.90,3.97,59397
2010.05.10 00:00,4.32,4.33,4.14,4.18,51194
2010.05.11 00:00,4.12,4.22,4.09,4.14,35669
2010.05.12 00:00,4.22,4.22,4.11,4.16,38114
2010.05.13 00:00,4.13,4.14,4.06,4.06,32626
2010.05.14 00:00,4.00,4.02,3.89,3.97,51277
2010.05.17 00:00,3.98,3.99,3.74,3.85,56134
2010.05.18 00:00,3.94,3.94,3.69,3.70,40288
2010.05.19 00:00,3.69,3.83,3.69,3.79,40785
2010.05.20 00:00,3.74,3.75,3.58,3.60,51928
2010.05.21 00:00,3.52,3.79,3.51,3.71,57045
2010.05.24 00:00,3.83,3.92,3.75,3.75,33004
2010.05.25 00:00,3.62,3.78,3.54,3.77,41443
2010.05.26 00:00,3.94,4.01,3.84,3.86,44812
2010.05.27 00:00,4.02,4.05,3.96,3.99,27577
2010.05.28 00:00,4.01,4.02,3.93,3.94,25169
2010.06.01 00:00,3.89,3.95,3.83,3.84,23861
2010.06.02 00:00,3.88,3.92,3.83,3.91,20076
2010.06.03 00:00,3.93,4.03,3.91,3.95,11366
2010.06.04 00:00,3.84,3.89,3.75,3.78,41582
2010.06.07 00:00,3.80,3.80,3.60,3.63,34932
2010.06.08 00:00,3.68,3.73,3.63,3.71,31528
2010.06.09 00:00,3.76,3.87,3.74,3.82,43146
2010.06.10 00:00,3.93,3.94,3.85,3.89,30207
