Date,Open,High,Low,Close,Volume
2013.09.30 00:00,157.72,159.08,156.57,158.32,6570
2013.10.01 00:00,158.44,160.29,157.56,158.88,6115
2013.10.02 00:00,157.65,159.51,157.51,158.66,5482
2013.10.03 00:00,158.55,159.11,155.46,156.83,7301
2013.10.04 00:00,157.18,157.18,156.08,156.51,5130
2013.10.07 00:00,155.24,156.16,154.22,154.27,6062
2013.10.08 00:00,154.63,155.16,153.00,153.06,7503
2013.10.09 00:00,153.47,155.32,152.83,154.41,8397
2013.10.10 00:00,156.56,158.18,156.00,158.01,6210
2013.10.11 00:00,158.53,160.44,157.52,159.97,5870
2013.10.14 00:00,158.18,159.88,157.50,159.46,6176
2013.10.15 00:00,159.85,159.93,157.58,157.58,7728
2013.10.16 00:00,158.53,162.49,157.63,162.27,6861
2013.10.17 00:00,156.27,159.07,155.94,158.13,6494
2013.10.18 00:00,158.79,159.62,156.68,158.66,6756
2013.10.21 00:00,158.47,160.63,158.25,159.78,5708
2013.10.22 00:00,160.63,160.63,158.22,159.25,5963
2013.10.23 00:00,157.80,157.97,156.56,157.69,6148
2013.10.24 00:00,159.38,160.34,158.83,159.96,5108
2013.10.25 00:00,159.99,162.19,159.91,162.05,4988
2013.10.28 00:00,161.63,162.16,160.25,161.51,5018
2013.10.29 00:00,161.75,163.02,161.03,162.11,5172
2013.10.30 00:00,162.13,162.91,161.11,162.08,5389
2013.10.31 00:00,161.83,163.22,160.91,160.93,5263
2013.11.01 00:00,160.91,162.49,160.72,162.00,5646
2013.11.04 00:00,162.22,163.21,161.58,163.16,4787
2013.11.05 00:00,161.65,162.63,160.78,161.94,5454
2013.11.06 00:00,162.35,164.23,162.35,163.40,5860
2013.11.07 00:00,163.77,164.14,159.60,159.63,7003
2013.11.08 00:00,160.38,163.68,159.91,163.10,6528
2013.11.11 00:00,162.81,164.72,162.13,163.89,5562
2013.11.12 00:00,162.69,164.37,162.13,162.72,5269
2013.11.13 00:00,161.66,163.69,161.19,162.93,5013
2013.11.14 00:00,163.30,163.93,162.38,163.16,6159
2013.11.15 00:00,162.91,165.41,162.91,164.39,4850
2013.11.18 00:00,164.50,167.63,164.20,165.68,6105
2013.11.19 00:00,165.64,167.99,165.59,166.61,5712
2013.11.20 00:00,166.79,167.22,164.84,164.99,6413
2013.11.21 00:00,165.25,167.30,165.00,166.98,5697
2013.11.22 00:00,166.36,168.21,165.52,168.04,4913
2013.11.25 00:00,168.30,170.49,168.30,169.58,5048
2013.11.26 00:00,169.17,170.68,168.03,168.09,4739
2013.11.27 00:00,167.82,168.63,166.87,168.10,4087
2013.11.29 00:00,167.47,170.36,167.19,168.94,3291
2013.12.02 00:00,169.54,171.57,168.68,169.74,5303
2013.12.03 00:00,169.09,170.72,167.90,168.07,6255
2013.12.04 00:00,167.30,169.90,167.30,168.70,6251
2013.12.05 00:00,167.00,167.91,165.35,165.53,7125
