Date,Open,High,Low,Close,Volume
2012.05.17 00:00,12.57,12.59,12.31,12.39,429
2012.05.18 00:00,12.48,12.48,11.34,11.54,1712
2012.05.21 00:00,11.58,12.70,10.92,12.37,2615
2012.05.22 00:00,12.32,12.40,11.75,11.96,1162
2012.05.23 00:00,11.78,12.36,11.59,12.03,1592
2012.05.24 00:00,11.99,12.14,11.76,11.89,748
2012.05.25 00:00,11.93,12.18,11.89,12.05,649
2012.05.28 00:00,12.08,12.08,12.08,12.08,1
2012.05.29 00:00,12.09,12.13,11.54,11.78,1046
2012.05.30 00:00,11.56,11.56,10.90,11.10,1118
2012.05.31 00:00,10.89,10.91,10.20,10.62,1893
2012.06.01 00:00,9.73,10.07,9.52,9.62,1459
2012.06.04 00:00,9.66,9.77,8.79,8.95,1040
2012.06.05 00:00,9.03,9.77,8.96,9.74,1148
2012.06.06 00:00,9.98,10.72,9.97,10.61,1219
2012.06.07 00:00,10.97,11.02,10.34,10.59,1169
2012.06.08 00:00,10.42,10.74,10.22,10.74,743
2012.06.11 00:00,10.84,10.87,10.25,10.33,566
2012.06.12 00:00,10.51,10.51,9.81,9.92,971
2012.06.13 00:00,9.67,9.95,9.50,9.55,1046
2012.06.14 00:00,9.25,9.44,9.12,9.42,766
2012.06.15 00:00,9.28,10.07,9.08,10.04,1179
2012.06.18 00:00,10.42,11.37,10.32,11.11,1871
2012.06.19 00:00,11.05,11.06,10.52,10.91,1135
2012.06.20 00:00,10.98,11.13,10.59,10.64,812
2012.06.21 00:00,10.80,10.80,10.35,10.48,573
2012.06.22 00:00,10.57,10.60,10.36,10.36,305
2012.06.25 00:00,10.37,10.39,9.73,9.88,459
2012.06.26 00:00,10.09,10.31,9.91,10.24,715
2012.06.27 00:00,10.12,10.35,9.89,10.12,790
2012.06.28 00:00,10.03,10.06,9.58,9.86,383
2012.06.29 00:00,10.13,10.63,9.99,10.60,860
2012.07.02 00:00,10.49,10.49,9.47,9.50,1150
2012.07.03 00:00,9.57,9.57,8.71,8.79,770
2012.07.04 00:00,9.82,9.82,9.82,9.82,1
2012.07.05 00:00,8.76,8.98,8.50,8.81,675
2012.07.06 00:00,8.76,8.79,8.24,8.42,777
2012.07.09 00:00,8.31,8.81,8.27,8.77,949
2012.07.10 00:00,8.81,8.90,8.24,8.28,1017
2012.07.11 00:00,8.30,8.30,7.71,7.74,914
2012.07.12 00:00,7.64,8.00,7.23,7.97,1608
2012.07.13 00:00,7.93,8.08,7.76,7.79,681
2012.07.16 00:00,7.84,8.14,7.60,7.65,821
2012.07.17 00:00,7.72,7.72,7.16,7.18,930
2012.07.18 00:00,7.15,7.27,7.01,7.06,689
2012.07.19 00:00,7.23,7.58,7.16,7.40,633
2012.07.20 00:00,7.34,7.56,7.27,7.37,542
2012.07.23 00:00,7.16,7.40,7.05,7.37,335
2012.07.24 00:00,7.36,7.46,7.15,7.22,395
2012.07.25 00:00,7.31,7.33,7.11,7.21,409
2012.07.26 00:00,6.85,7.05,6.54,6.59,763
2012.07.27 00:00,6.51,8.03,6.51,7.58,1323
2012.07.30 00:00,7.60,7.74,6.80,6.89,758
2012.07.31 00:00,7.05,7.05,6.61,6.64,298
2012.08.01 00:00,6.69,6.70,6.36,6.48,588
2012.08.02 00:00,6.45,6.57,6.34,6.37,386
2012.08.03 00:00,6.61,6.71,6.42,6.56,450
2012.08.06 00:00,6.60,7.27,6.60,7.22,555
2012.08.07 00:00,7.25,7.34,6.88,7.26,753
2012.08.08 00:00,7.03,7.48,6.91,6.92,864
2012.08.09 00:00,7.01,7.01,6.58,6.64,569
2012.08.10 00:00,6.70,7.59,6.65,7.42,1181
2012.08.13 00:00,7.75,8.03,7.24,7.61,2310
2012.08.14 00:00,5.79,5.98,5.45,5.49,1081
2012.08.15 00:00,5.53,5.61,5.27,5.31,502
2012.08.16 00:00,5.17,5.17,4.96,4.98,647
2012.08.17 00:00,4.83,4.83,4.50,4.73,747
2012.08.20 00:00,4.64,4.86,4.49,4.63,712
2012.08.21 00:00,4.40,4.76,4.32,4.52,755
2012.08.22 00:00,4.53,4.62,4.42,4.51,377
2012.08.23 00:00,4.55,4.68,4.48,4.50,309
2012.08.24 00:00,4.48,4.48,4.40,4.43,172
2012.08.27 00:00,4.41,4.45,4.31,4.38,122
2012.08.28 00:00,4.37,4.49,4.34,4.36,126
2012.08.29 00:00,4.37,4.40,4.25,4.30,241
2012.08.30 00:00,4.26,4.34,4.15,4.17,302
2012.08.31 00:00,4.13,4.27,4.11,4.14,280
2012.09.03 00:00,4.15,4.15,4.15,4.15,1
2012.09.04 00:00,4.10,4.25,3.99,4.22,228
2012.09.05 00:00,4.24,4.34,4.15,4.15,206
2012.09.06 00:00,4.18,4.27,4.12,4.21,151
2012.09.07 00:00,4.23,4.34,4.21,4.26,136
2012.09.10 00:00,4.24,4.30,4.22,4.26,152
2012.09.11 00:00,4.25,4.65,4.24,4.59,374
2012.09.12 00:00,4.70,4.77,4.49,4.64,380
2012.09.13 00:00,4.65,4.79,4.53,4.74,205
2012.09.14 00:00,4.84,5.28,4.79,5.26,643
