Date,Open,High,Low,Close,Volume
2010.09.16 00:00,10.42,10.66,10.42,10.57,9132000
2010.09.17 00:00,10.67,10.68,10.52,10.55,10422100
2010.09.20 00:00,10.55,10.75,10.45,10.71,11079200
2010.09.21 00:00,10.65,11.47,10.65,11.29,44490600
2010.09.22 00:00,11.25,11.49,11.18,11.39,24999900
2010.09.23 00:00,11.52,11.98,11.42,11.62,31021800
2010.09.24 00:00,11.88,12.30,11.79,12.26,27174400
2010.09.27 00:00,12.35,12.36,11.84,12.00,24987600
2010.09.28 00:00,12.01,12.14,11.76,11.97,18079800
2010.09.29 00:00,11.86,12.23,11.75,11.88,24372600
2010.09.30 00:00,12.03,12.17,11.58,11.68,19690800
2010.10.01 00:00,11.85,11.87,11.26,11.35,24978000
2010.10.04 00:00,11.24,11.43,11.01,11.24,18737500
2010.10.05 00:00,11.48,11.50,11.29,11.32,18839700
2010.10.06 00:00,11.32,11.37,10.67,10.78,26440100
2010.10.07 00:00,10.83,10.84,10.38,10.70,19037200
2010.10.08 00:00,10.66,10.95,10.51,10.86,17673300
2010.10.11 00:00,10.91,11.00,10.76,10.81,11067000
2010.10.12 00:00,10.72,11.07,10.63,11.02,15130200
2010.10.13 00:00,11.20,11.50,11.08,11.34,24218300
2010.10.14 00:00,11.35,11.37,11.11,11.16,14979300
2010.10.15 00:00,11.34,11.47,11.16,11.29,15998500
2010.10.18 00:00,11.30,11.41,11.10,11.36,11203900
2010.10.19 00:00,11.11,11.37,11.02,11.29,21653400
2010.10.20 00:00,11.30,11.60,11.10,11.29,19088300
2010.10.21 00:00,11.30,11.32,10.92,11.09,25360700
2010.10.22 00:00,11.16,11.89,11.04,11.80,33066900
2010.10.25 00:00,11.89,12.00,11.78,11.91,16828400
2010.10.26 00:00,11.77,12.05,11.67,11.87,16881200
2010.10.27 00:00,11.76,12.08,11.73,12.04,12419900
2010.10.28 00:00,12.20,12.24,11.94,12.05,17611200
2010.10.29 00:00,12.03,12.15,11.90,12.02,13866600
2010.11.01 00:00,12.10,12.29,11.94,12.04,11848000
2010.11.02 00:00,12.09,12.49,12.02,12.29,14525900
2010.11.03 00:00,12.37,12.46,12.05,12.38,16793700
2010.11.04 00:00,12.50,12.63,12.38,12.40,17500400
2010.11.05 00:00,12.49,12.72,12.43,12.61,18377900
2010.11.08 00:00,12.60,12.77,12.50,12.66,15128900
2010.11.09 00:00,12.66,12.76,12.52,12.59,15849100
2010.11.10 00:00,12.68,12.74,12.50,12.74,13025400
2010.11.11 00:00,12.44,12.82,12.27,12.61,27249500
2010.11.12 00:00,13.09,13.68,13.03,13.26,53564000
2010.11.15 00:00,13.32,13.51,13.07,13.10,18338700
2010.11.16 00:00,12.88,13.06,12.69,12.71,18483900
2010.11.17 00:00,12.70,13.07,12.58,12.92,13794100
2010.11.18 00:00,13.09,13.45,13.09,13.32,24828000
2010.11.19 00:00,13.29,13.80,13.27,13.75,17912100
2010.11.22 00:00,13.66,13.84,13.54,13.76,11566700
2010.11.23 00:00,13.60,13.74,13.34,13.44,11445800
2010.11.24 00:00,13.58,13.82,13.57,13.77,9944600
2010.11.26 00:00,13.76,13.84,13.60,13.60,3577600
2010.11.29 00:00,13.54,13.80,13.48,13.75,11704800
2010.11.30 00:00,13.54,13.68,13.36,13.61,18023400
2010.12.01 00:00,13.88,14.30,13.86,14.21,15663400
2010.12.02 00:00,14.21,14.47,14.20,14.38,13232900
2010.12.03 00:00,14.31,14.79,14.28,14.79,15151100
2010.12.06 00:00,14.84,14.87,14.45,14.51,10960600
2010.12.07 00:00,14.85,15.33,14.82,14.98,25670300
2010.12.08 00:00,14.96,15.27,14.85,15.11,15331300
2010.12.09 00:00,14.75,14.96,14.54,14.86,23560200
2010.12.10 00:00,14.86,15.09,14.82,14.95,11297500
2010.12.13 00:00,15.01,15.04,14.53,14.57,15227700
2010.12.14 00:00,14.85,15.12,14.57,14.59,18879000
2010.12.15 00:00,14.62,14.80,14.25,14.27,15604400
2010.12.16 00:00,14.42,14.50,14.25,14.29,15796800
2010.12.17 00:00,14.30,14.45,14.13,14.37,14828900
2010.12.20 00:00,14.42,14.49,14.30,14.31,8602200
2010.12.21 00:00,14.45,14.87,14.44,14.87,11673800
2010.12.22 00:00,14.84,15.05,14.70,15.03,11949700
2010.12.23 00:00,15.03,15.03,14.86,14.92,6844600
2010.12.27 00:00,14.88,15.11,14.61,15.00,6387500
2010.12.28 00:00,15.00,15.10,14.85,14.94,4856500
2010.12.29 00:00,14.93,15.05,14.80,14.94,4441500
2010.12.30 00:00,14.92,15.08,14.87,14.99,4362200
2010.12.31 00:00,15.00,15.42,14.98,15.40,9781300
2011.01.03 00:00,15.52,15.97,15.50,15.82,20436200
2011.01.04 00:00,15.85,15.92,15.42,15.77,16284600
2011.01.05 00:00,16.06,17.00,15.90,16.98,35705400
2011.01.06 00:00,17.42,19.34,17.37,19.33,87332800
2011.01.07 00:00,19.11,19.93,18.68,19.87,64499600
2011.01.10 00:00,19.51,20.67,19.36,20.63,43758700
2011.01.11 00:00,20.91,21.11,19.87,20.31,67777200
2011.01.12 00:00,20.32,23.37,20.25,23.35,85797400
2011.01.13 00:00,23.10,23.84,22.38,23.39,67379800
2011.01.14 00:00,22.99,23.98,22.85,23.59,39883800
2011.01.18 00:00,23.27,23.43,22.47,23.04,45333700
2011.01.19 00:00,23.05,23.60,22.36,22.41,29947400
2011.01.20 00:00,22.19,22.56,21.79,22.43,27785200
2011.01.21 00:00,22.67,22.99,22.18,22.22,18481100
2011.01.24 00:00,23.24,25.05,22.98,24.73,51422500
2011.01.25 00:00,24.62,24.88,23.81,23.97,27171400
2011.01.26 00:00,24.22,25.00,24.05,24.54,26866500
2011.01.27 00:00,24.89,24.95,24.00,24.47,16434900
2011.01.28 00:00,24.53,24.94,23.20,23.76,27369900
2011.01.31 00:00,23.80,24.25,23.41,23.92,18754000
2011.02.01 00:00,24.13,24.65,23.97,24.47,16352600
2011.02.02 00:00,24.33,26.17,24.33,25.58,40165400
2011.02.03 00:00,25.62,25.62,24.55,25.10,25769400
2011.02.04 00:00,25.45,25.87,25.35,25.67,21822500
2011.02.07 00:00,25.32,25.43,24.51,24.60,23355900
2011.02.08 00:00,24.63,24.79,23.76,23.87,26914600
2011.02.09 00:00,23.96,24.20,22.86,23.29,31938000
2011.02.10 00:00,22.77,23.21,22.60,22.82,26058800
2011.02.11 00:00,22.74,24.21,22.37,23.47,33981900
2011.02.14 00:00,23.75,24.50,23.02,23.11,32195700
2011.02.15 00:00,23.15,23.23,22.45,22.55,22174500
2011.02.16 00:00,22.85,23.71,22.77,23.38,32959100
2011.02.17 00:00,22.72,26.01,22.61,25.68,86752400
2011.02.18 00:00,25.54,25.95,25.23,25.63,34860300
2011.02.22 00:00,24.79,24.86,23.13,23.21,34916200
2011.02.23 00:00,23.21,23.43,21.78,22.11,37290100
2011.02.24 00:00,22.22,23.04,22.06,22.65,31153000
2011.02.25 00:00,23.26,23.50,22.94,23.12,19391300
2011.02.28 00:00,23.50,23.51,22.14,22.66,22592400
2011.03.01 00:00,22.70,22.99,21.65,21.65,24711200
2011.03.02 00:00,21.62,22.03,20.25,20.75,42953500
2011.03.03 00:00,21.23,21.35,20.24,20.87,39842600
2011.03.04 00:00,20.89,21.10,20.53,20.76,23994000
2011.03.07 00:00,20.91,20.98,19.95,20.47,25478500
2011.03.08 00:00,20.69,20.80,19.12,19.55,48679600
2011.03.09 00:00,19.49,19.68,18.97,19.14,32974400
2011.03.10 00:00,18.70,18.84,17.90,17.92,43068400
2011.03.11 00:00,18.07,18.55,17.66,18.05,37170800
2011.03.14 00:00,18.19,18.65,17.90,18.20,25084000
2011.03.15 00:00,17.31,17.96,17.01,17.66,31407000
2011.03.16 00:00,17.50,18.35,17.30,17.53,36913000
2011.03.17 00:00,18.00,18.03,17.20,17.86,30962900
2011.03.18 00:00,18.14,18.20,17.60,17.62,22174000
2011.03.21 00:00,18.00,18.18,17.58,17.76,18795800
2011.03.22 00:00,17.71,17.88,17.37,17.45,17958300
2011.03.23 00:00,17.42,17.86,17.04,17.81,19559900
2011.03.24 00:00,18.19,19.45,18.15,19.23,44514800
2011.03.25 00:00,19.40,19.45,18.60,18.63,29909800
2011.03.28 00:00,19.07,19.64,18.90,19.32,30107100
2011.03.29 00:00,19.32,19.39,18.91,19.17,17894100
2011.03.30 00:00,19.32,19.40,18.21,18.45,29408000
2011.03.31 00:00,18.48,18.68,18.12,18.46,16377800
2011.04.01 00:00,18.70,18.72,17.95,18.20,21251800
2011.04.04 00:00,18.20,18.25,17.42,17.55,23108200
2011.04.05 00:00,17.81,17.95,17.54,17.58,20526900
2011.04.06 00:00,17.71,17.73,17.31,17.46,21424600
2011.04.07 00:00,17.50,18.21,17.43,18.10,25530200
2011.04.08 00:00,18.24,18.24,17.50,17.55,18663800
2011.04.11 00:00,17.62,17.71,17.13,17.32,13655200
2011.04.12 00:00,17.15,17.49,16.83,17.37,21018900
2011.04.13 00:00,17.55,17.87,17.33,17.76,18739700
2011.04.14 00:00,17.60,18.52,17.50,18.51,31367600
2011.04.15 00:00,18.37,18.94,18.28,18.71,24243000
2011.04.18 00:00,18.27,18.39,17.80,18.09,18589600
2011.04.19 00:00,18.10,18.17,17.53,18.02,16496500
2011.04.20 00:00,18.68,18.95,18.27,18.57,16262900
2011.04.21 00:00,18.77,18.89,18.48,18.52,10532500
2011.04.25 00:00,18.60,19.12,18.59,18.81,15490300
2011.04.26 00:00,18.97,19.49,18.78,19.30,16916600
2011.04.27 00:00,19.40,19.40,18.90,19.30,11250100
2011.04.28 00:00,19.30,19.90,19.08,19.51,17134100
2011.04.29 00:00,19.64,20.44,19.61,20.00,20900000
2011.05.02 00:00,20.42,20.43,19.63,19.73,15345600
2011.05.03 00:00,19.50,19.56,18.55,18.79,20232100
2011.05.04 00:00,18.85,19.06,18.30,18.65,15983900
2011.05.05 00:00,18.50,18.88,18.25,18.66,13567700
2011.05.06 00:00,19.05,19.50,18.90,19.32,21027000
2011.05.09 00:00,19.38,19.85,19.33,19.75,17658200
2011.05.10 00:00,19.91,19.93,19.58,19.78,17262700
2011.05.11 00:00,19.88,20.08,19.60,19.87,15431100
2011.05.12 00:00,19.80,20.52,19.75,20.50,30400000
2011.05.13 00:00,19.20,19.25,18.12,18.26,50629800
2011.05.16 00:00,18.21,18.25,17.69,17.70,18204700
2011.05.17 00:00,17.64,17.65,17.12,17.63,35509100
2011.05.18 00:00,17.70,18.19,17.64,18.04,16471100
2011.05.19 00:00,18.18,18.19,17.51,17.78,16272100
2011.05.20 00:00,17.74,18.13,17.66,18.09,14395500
2011.05.23 00:00,17.83,18.20,17.60,18.07,14679700
