Date,Open,High,Low,Close,Volume
2010.09.14 00:00,83.08,85.87,82.99,85.10,1076200
2010.09.15 00:00,84.40,85.93,84.25,85.83,721100
2010.09.16 00:00,85.60,86.45,85.45,86.39,1062400
2010.09.17 00:00,86.53,87.77,86.31,87.67,1481700
2010.09.20 00:00,87.68,89.92,87.12,89.82,1059800
2010.09.21 00:00,89.81,90.07,88.45,89.19,1114900
2010.09.22 00:00,89.13,89.45,87.14,87.83,1060900
2010.09.23 00:00,87.51,87.79,85.81,86.04,1327600
2010.09.24 00:00,87.42,89.51,87.42,89.26,921800
2010.09.27 00:00,89.16,90.11,88.79,89.00,643600
2010.09.28 00:00,89.23,91.41,87.95,91.09,677400
2010.09.29 00:00,91.67,91.67,89.86,90.09,716900
2010.09.30 00:00,90.83,91.76,88.99,89.86,955700
2010.10.01 00:00,90.79,90.83,89.34,90.31,704800
2010.10.04 00:00,90.00,91.32,89.66,91.25,1132000
2010.10.05 00:00,92.34,93.37,91.81,92.96,785300
2010.10.06 00:00,92.80,92.99,90.17,91.63,955100
2010.10.07 00:00,92.03,92.63,90.57,91.08,1156100
2010.10.08 00:00,91.01,94.16,90.98,92.91,851500
2010.10.11 00:00,93.07,94.27,93.07,93.72,720200
2010.10.12 00:00,93.28,94.00,92.62,93.72,650400
2010.10.13 00:00,94.37,95.41,93.67,94.40,616800
2010.10.14 00:00,94.41,94.90,93.24,94.07,468600
2010.10.15 00:00,94.86,95.66,93.90,95.27,744000
2010.10.18 00:00,95.40,95.98,94.21,95.66,637300
2010.10.19 00:00,93.48,94.87,92.26,93.14,1152700
2010.10.20 00:00,92.80,94.35,92.73,93.62,655700
2010.10.21 00:00,94.21,95.05,92.35,93.15,516700
2010.10.22 00:00,93.27,94.25,93.14,94.03,437700
2010.10.25 00:00,94.72,95.78,94.67,94.83,744400
2010.10.26 00:00,94.41,96.92,93.91,96.49,1333900
2010.10.27 00:00,95.43,96.00,92.70,94.32,1605800
2010.10.28 00:00,95.17,95.17,92.92,93.92,1072600
2010.10.29 00:00,94.15,97.79,93.97,96.88,1548900
2010.11.01 00:00,97.33,97.44,95.82,96.46,746600
2010.11.02 00:00,97.56,97.62,96.58,97.00,659700
2010.11.03 00:00,96.85,97.22,95.16,96.63,853400
2010.11.04 00:00,97.99,99.40,97.01,99.33,1251000
2010.11.05 00:00,98.89,100.62,98.89,99.62,769700
