Date,Open,High,Low,Close,Volume
2009.05.08 00:00,18.00,18.74,17.84,18.74,107
2009.05.11 00:00,17.98,18.37,17.87,17.89,92
2009.05.12 00:00,18.20,18.31,17.66,17.91,102
2009.05.13 00:00,17.52,17.83,17.00,17.05,120
2009.05.14 00:00,16.67,17.35,16.50,17.08,130
2009.05.15 00:00,17.05,17.18,16.73,16.91,77
2009.05.18 00:00,17.24,18.08,17.05,18.00,131
2009.05.19 00:00,17.96,18.23,17.77,17.77,74
2009.05.20 00:00,18.06,18.17,17.37,17.44,99
2009.05.21 00:00,17.06,17.27,16.42,16.79,144
2009.05.22 00:00,17.11,17.36,16.79,16.97,101
2009.05.26 00:00,16.91,17.73,16.86,17.69,97
2009.05.27 00:00,17.53,17.70,16.58,16.66,138
2009.05.28 00:00,16.93,17.28,16.66,17.15,103
2009.05.29 00:00,17.05,17.76,16.84,17.60,130
2009.06.01 00:00,17.99,19.00,17.69,18.38,224
2009.06.02 00:00,18.03,18.45,18.03,18.24,64
2009.06.03 00:00,18.39,18.39,17.89,18.18,80
2009.06.04 00:00,18.24,18.72,18.20,18.46,83
2009.06.05 00:00,18.75,18.88,17.99,18.12,116
2009.06.08 00:00,18.00,18.25,17.83,18.08,77
2009.06.09 00:00,18.00,18.45,17.98,18.30,65
2009.06.10 00:00,18.42,18.48,17.64,17.92,119
2009.06.11 00:00,17.99,18.06,17.66,17.76,58
2009.06.12 00:00,17.73,18.09,17.31,18.08,122
2009.06.15 00:00,17.76,17.97,17.64,17.84,59
2009.06.16 00:00,17.89,17.99,17.44,17.50,72
2009.06.17 00:00,17.50,17.97,17.27,17.49,140
2009.06.18 00:00,17.42,17.61,17.18,17.46,83
2009.06.19 00:00,17.65,17.93,17.37,17.92,86
2009.06.22 00:00,17.65,17.81,16.98,17.07,109
2009.06.23 00:00,17.09,17.47,17.09,17.18,68
2009.06.24 00:00,17.27,17.48,17.14,17.45,51
2009.06.25 00:00,17.54,17.95,17.30,17.74,111
2009.06.26 00:00,17.67,17.92,17.48,17.81,75
2009.06.29 00:00,17.75,18.00,17.70,17.90,46
2009.06.30 00:00,17.80,17.80,17.22,17.54,91
2009.07.01 00:00,17.50,17.50,17.07,17.23,60
2009.07.02 00:00,17.03,17.23,16.73,16.78,76
2009.07.06 00:00,16.89,17.13,16.67,17.02,80
2009.07.07 00:00,17.01,17.12,16.46,16.49,81
2009.07.08 00:00,16.71,16.83,16.25,16.56,102
2009.07.09 00:00,16.76,16.85,16.50,16.61,56
2009.07.10 00:00,16.49,16.66,16.35,16.47,61
2009.07.13 00:00,16.79,17.51,16.46,17.36,154
2009.07.14 00:00,17.26,17.47,17.14,17.44,49
2009.07.15 00:00,17.60,18.15,17.48,18.09,86
2009.07.16 00:00,18.08,18.18,17.23,17.65,148
2009.07.17 00:00,17.40,17.72,17.00,17.08,113
2009.07.20 00:00,17.11,17.33,16.97,17.16,68
2009.07.21 00:00,17.24,17.27,16.82,17.03,70
2009.07.22 00:00,16.82,17.13,16.82,17.02,43
2009.07.23 00:00,16.90,17.42,16.86,17.23,80
2009.07.24 00:00,16.98,17.00,16.47,16.60,69
2009.07.27 00:00,16.60,17.12,16.57,17.00,71
2009.07.28 00:00,16.89,17.30,16.74,16.99,103
2009.07.29 00:00,16.87,16.97,16.75,16.92,40
2009.07.30 00:00,17.08,18.02,17.01,17.82,129
2009.07.31 00:00,17.61,18.01,17.61,17.87,55
2009.08.03 00:00,18.13,18.25,17.88,18.06,68
2009.08.04 00:00,18.01,18.08,17.53,17.74,84
2009.08.05 00:00,17.78,17.84,17.40,17.71,82
2009.08.06 00:00,17.85,18.80,17.72,18.48,154
2009.08.07 00:00,18.73,19.87,18.51,19.45,201
2009.08.10 00:00,19.51,19.52,18.84,19.15,101
2009.08.11 00:00,19.23,19.24,18.62,18.64,66
2009.08.12 00:00,18.89,18.96,18.56,18.75,67
2009.08.13 00:00,18.74,19.47,18.42,18.61,198
2009.08.14 00:00,18.63,18.73,18.01,18.26,108
2009.08.17 00:00,17.88,17.90,17.37,17.39,58
2009.08.18 00:00,17.46,17.80,17.41,17.64,61
2009.08.19 00:00,17.51,17.88,17.46,17.75,61
2009.08.20 00:00,17.73,17.85,17.55,17.62,50
2009.08.21 00:00,17.81,18.11,17.58,18.01,87
2009.08.24 00:00,18.15,18.23,17.83,17.87,53
2009.08.25 00:00,18.03,18.37,17.88,18.10,92
2009.08.26 00:00,17.96,18.17,17.73,17.85,78
2009.08.27 00:00,17.79,17.87,17.54,17.84,62
2009.08.28 00:00,17.93,17.98,17.61,17.73,55
2009.08.31 00:00,17.43,18.08,17.40,18.06,74
2009.09.01 00:00,17.88,18.29,17.56,17.56,115
2009.09.02 00:00,17.40,17.97,17.33,17.54,115
2009.09.03 00:00,17.55,17.97,17.48,17.90,64
2009.09.04 00:00,17.97,18.13,17.74,18.10,66
2009.09.08 00:00,18.18,18.49,18.18,18.48,33
2009.09.09 00:00,18.47,18.53,18.20,18.48,66
2009.09.10 00:00,18.36,18.45,17.97,18.36,97
2009.09.11 00:00,18.47,18.47,17.86,17.94,70
2009.09.14 00:00,17.85,18.39,17.74,18.37,79
2009.09.15 00:00,18.40,18.42,17.60,17.85,110
2009.09.16 00:00,17.88,18.27,17.83,18.22,55
2009.09.17 00:00,18.13,18.25,17.71,17.74,70
2009.09.18 00:00,17.24,17.69,17.13,17.61,76
2009.09.21 00:00,17.61,18.13,17.40,18.04,104
2009.09.22 00:00,18.19,18.75,18.01,18.64,104
2009.09.23 00:00,18.75,19.17,18.66,18.84,94
2009.09.24 00:00,18.77,19.07,18.48,18.59,101
2009.09.25 00:00,18.56,18.65,18.26,18.45,68
2009.09.28 00:00,18.56,19.15,18.36,19.09,106
2009.09.29 00:00,19.05,19.39,18.90,19.27,77
2009.09.30 00:00,19.34,19.46,18.86,19.15,102
2009.10.01 00:00,18.95,19.09,18.52,18.54,74
2009.10.02 00:00,18.38,18.93,18.26,18.73,100
2009.10.05 00:00,18.84,18.85,18.41,18.46,51
2009.10.06 00:00,18.55,19.33,18.52,19.24,94
2009.10.07 00:00,19.05,19.23,18.95,19.20,42
2009.10.08 00:00,19.23,19.49,19.02,19.07,79
2009.10.09 00:00,19.06,19.54,18.92,19.49,82
2009.10.12 00:00,19.75,19.80,18.96,19.27,121
2009.10.13 00:00,19.10,19.24,18.86,18.98,65
2009.10.14 00:00,19.14,19.51,19.09,19.28,71
2009.10.15 00:00,18.67,18.77,18.01,18.36,122
2009.10.16 00:00,18.22,18.30,17.95,18.21,70
2009.10.19 00:00,18.33,18.73,18.24,18.53,79
2009.10.20 00:00,18.74,18.77,18.26,18.40,69
2009.10.21 00:00,18.15,18.65,17.99,18.02,120
2009.10.22 00:00,17.91,18.13,17.70,18.10,68
2009.10.23 00:00,18.11,18.28,17.84,17.94,72
2009.10.26 00:00,18.22,18.28,17.71,17.76,69
2009.10.27 00:00,17.66,17.92,17.60,17.72,59
2009.10.28 00:00,17.65,17.89,17.48,17.53,71
2009.10.29 00:00,17.76,18.06,17.67,17.99,56
2009.10.30 00:00,17.81,17.91,17.26,17.34,84
2009.11.02 00:00,17.30,17.61,16.92,17.38,131
2009.11.03 00:00,17.19,17.44,17.03,17.24,78
2009.11.04 00:00,17.31,17.38,16.90,16.94,60
2009.11.05 00:00,17.00,17.35,16.95,17.28,53
2009.11.06 00:00,17.05,17.26,16.75,17.13,95
2009.11.09 00:00,17.20,17.83,17.18,17.83,68
2009.11.10 00:00,17.75,17.81,17.35,17.64,82
2009.11.11 00:00,17.86,18.16,17.75,18.10,59
2009.11.12 00:00,18.01,18.11,17.90,18.03,41
2009.11.13 00:00,18.15,18.36,17.89,18.25,85
2009.11.16 00:00,18.37,18.78,18.37,18.68,52
2009.11.17 00:00,18.64,18.84,18.55,18.79,44
2009.11.18 00:00,18.70,18.80,18.46,18.73,66
2009.11.19 00:00,18.60,18.65,18.14,18.31,74
2009.11.20 00:00,18.33,18.33,18.04,18.25,51
2009.11.23 00:00,18.38,18.48,18.00,18.20,79
2009.11.24 00:00,18.11,18.21,17.99,18.15,41
2009.11.25 00:00,18.02,18.35,18.02,18.26,43
2009.11.27 00:00,17.71,18.05,17.68,17.74,72
2009.11.30 00:00,17.75,18.34,17.74,18.33,63
2009.12.01 00:00,18.37,18.50,17.95,18.05,79
2009.12.02 00:00,18.03,18.41,17.99,18.22,66
2009.12.03 00:00,18.34,18.39,17.86,17.88,61
2009.12.04 00:00,18.16,18.59,18.16,18.55,48
2009.12.07 00:00,18.36,18.57,18.16,18.29,76
2009.12.08 00:00,18.23,18.34,18.04,18.23,61
