Date,Open,High,Low,Close,Volume
2009.01.26 00:00,2.43,2.61,2.39,2.49,395
2009.01.27 00:00,2.51,2.55,2.39,2.44,223
2009.01.28 00:00,2.51,2.71,2.48,2.67,261
2009.01.29 00:00,2.56,2.64,2.51,2.56,171
2009.01.30 00:00,2.57,2.61,2.39,2.42,99
2009.02.02 00:00,2.43,2.45,2.31,2.40,116
2009.02.03 00:00,2.42,2.53,2.37,2.52,153
2009.02.04 00:00,2.53,2.64,2.35,2.40,186
2009.02.05 00:00,2.41,2.43,2.22,2.31,185
2009.02.06 00:00,2.32,2.47,2.32,2.45,108
2009.02.09 00:00,2.46,2.51,2.40,2.45,148
2009.02.10 00:00,2.43,2.49,2.12,2.19,286
2009.02.11 00:00,2.31,2.39,2.12,2.36,337
2009.02.12 00:00,2.31,2.53,2.30,2.49,279
2009.02.13 00:00,2.48,2.83,2.46,2.79,259
2009.02.17 00:00,2.63,2.89,2.51,2.76,536
2009.02.18 00:00,2.90,2.94,2.56,2.70,461
2009.02.19 00:00,3.05,3.48,3.01,3.23,1020
2009.02.20 00:00,3.08,3.21,2.98,3.21,530
2009.02.23 00:00,3.34,3.47,3.24,3.30,410
2009.02.24 00:00,3.35,3.59,3.30,3.57,333
2009.02.25 00:00,3.51,3.63,3.37,3.59,381
2009.02.26 00:00,3.63,3.78,3.45,3.45,256
2009.02.27 00:00,3.31,3.47,3.08,3.32,549
2009.03.02 00:00,3.13,3.39,3.07,3.14,278
2009.03.03 00:00,3.24,3.47,3.20,3.26,345
2009.03.04 00:00,3.39,3.57,3.31,3.34,158
2009.03.05 00:00,3.25,3.28,2.99,3.08,219
2009.03.06 00:00,3.11,3.22,2.82,3.01,210
2009.03.09 00:00,3.02,3.22,2.99,3.11,231
2009.03.10 00:00,3.26,3.49,3.25,3.44,200
2009.03.11 00:00,3.65,3.65,3.49,3.53,151
2009.03.12 00:00,3.66,3.87,3.57,3.81,362
2009.03.13 00:00,3.95,4.19,3.81,4.12,342
2009.03.16 00:00,3.99,4.08,3.54,3.58,393
2009.03.17 00:00,3.56,3.58,3.36,3.58,247
2009.03.18 00:00,3.60,3.92,3.60,3.75,473
2009.03.19 00:00,3.92,3.92,3.59,3.76,303
2009.03.20 00:00,3.82,3.87,3.50,3.50,267
2009.03.23 00:00,3.60,3.93,3.54,3.69,439
2009.03.24 00:00,3.62,3.89,3.57,3.67,365
2009.03.25 00:00,3.71,3.80,3.51,3.71,197
2009.03.26 00:00,3.76,3.94,3.65,3.90,255
2009.03.27 00:00,3.84,4.04,3.75,3.96,312
2009.03.30 00:00,3.90,3.90,3.41,3.56,360
2009.03.31 00:00,3.65,3.68,3.50,3.52,231
2009.04.01 00:00,3.55,3.98,3.49,3.97,357
2009.04.02 00:00,4.17,4.56,4.05,4.36,714
2009.04.03 00:00,4.42,4.44,4.07,4.14,453
2009.04.06 00:00,4.10,4.41,4.00,4.39,367
2009.04.07 00:00,4.29,4.48,4.26,4.35,369
2009.04.08 00:00,4.43,4.46,4.14,4.18,337
2009.04.09 00:00,4.34,4.37,4.19,4.28,126
2009.04.13 00:00,4.19,4.24,4.08,4.18,150
2009.04.14 00:00,4.16,4.16,4.00,4.01,205
2009.04.15 00:00,3.99,4.24,3.91,4.23,294
2009.04.16 00:00,4.19,4.22,4.06,4.12,151
2009.04.17 00:00,4.14,4.19,4.02,4.08,156
2009.04.20 00:00,4.07,4.09,3.80,3.85,233
2009.04.21 00:00,3.75,4.26,3.75,4.23,339
2009.04.22 00:00,4.20,4.31,4.15,4.15,179
2009.04.23 00:00,4.16,4.22,3.92,4.20,267
2009.04.24 00:00,4.16,4.21,4.09,4.17,220
2009.04.27 00:00,4.07,4.22,4.05,4.10,190
2009.04.28 00:00,4.07,4.20,4.01,4.16,368
2009.04.29 00:00,4.19,4.40,4.17,4.22,266
2009.04.30 00:00,4.33,4.49,4.26,4.40,380
2009.05.01 00:00,4.41,4.69,4.35,4.68,271
2009.05.04 00:00,5.13,5.47,4.98,4.99,738
2009.05.05 00:00,5.11,5.38,4.91,5.33,493
2009.05.06 00:00,5.48,5.51,5.28,5.34,306
2009.05.07 00:00,5.44,5.48,5.13,5.21,402
2009.05.08 00:00,5.33,5.36,5.05,5.22,369
2009.05.11 00:00,5.12,5.44,5.11,5.40,285
2009.05.12 00:00,5.48,5.59,5.25,5.33,398
2009.05.13 00:00,5.20,5.20,4.90,4.95,357
2009.05.14 00:00,4.96,5.27,4.89,5.21,245
2009.05.15 00:00,5.22,5.35,5.01,5.06,286
2009.05.18 00:00,5.13,5.34,5.05,5.33,301
2009.05.19 00:00,5.39,5.59,5.17,5.51,389
