Date,Open,High,Low,Close,Volume
2008.12.31 00:00,9.32,9.51,9.28,9.43,370
2009.01.02 00:00,9.36,9.85,9.35,9.83,427
2009.01.05 00:00,9.84,10.05,9.60,9.91,1015
2009.01.06 00:00,10.03,10.35,9.95,10.22,780
2009.01.07 00:00,10.14,10.15,9.80,9.97,695
2009.01.08 00:00,9.84,10.19,9.67,10.13,964
2009.01.09 00:00,10.18,10.18,9.61,9.75,982
2009.01.12 00:00,9.76,9.94,9.48,9.60,483
2009.01.13 00:00,9.50,9.78,9.24,9.34,832
2009.01.14 00:00,9.24,9.24,8.83,9.05,642
2009.01.15 00:00,9.04,9.45,8.88,9.27,607
2009.01.16 00:00,9.44,9.54,9.10,9.45,970
2009.01.20 00:00,9.36,9.49,8.85,8.89,1033
2009.01.21 00:00,8.55,9.04,8.52,9.01,962
2009.01.22 00:00,8.94,9.32,8.78,9.10,1398
2009.01.23 00:00,8.93,9.21,8.85,9.07,1322
2009.01.26 00:00,9.00,9.27,8.79,8.98,1248
2009.01.27 00:00,8.96,9.23,8.87,9.15,1062
2009.01.28 00:00,9.29,9.79,9.25,9.63,1564
2009.01.29 00:00,9.31,9.88,9.25,9.65,1198
2009.01.30 00:00,9.69,9.76,9.41,9.46,944
2009.02.02 00:00,9.31,9.64,9.24,9.44,873
2009.02.03 00:00,9.41,9.88,9.24,9.81,928
2009.02.04 00:00,9.87,10.07,9.72,9.79,727
2009.02.05 00:00,9.64,10.17,9.57,10.10,1014
2009.02.06 00:00,10.09,10.62,9.95,10.52,589
2009.02.09 00:00,10.43,10.76,10.21,10.73,574
2009.02.10 00:00,10.59,10.69,9.89,9.92,1211
2009.02.11 00:00,9.98,10.09,9.70,9.99,1167
2009.02.12 00:00,9.86,10.17,9.74,10.16,1343
2009.02.13 00:00,10.12,10.29,9.95,10.11,847
2009.02.17 00:00,9.69,9.77,9.34,9.67,1220
2009.02.18 00:00,9.68,9.75,9.44,9.65,1184
2009.02.19 00:00,9.73,9.94,9.49,9.52,875
2009.02.20 00:00,9.43,9.71,9.25,9.58,1275
2009.02.23 00:00,9.61,9.73,9.11,9.16,695
2009.02.24 00:00,9.17,9.57,9.09,9.50,844
2009.02.25 00:00,9.46,9.61,9.27,9.40,1220
2009.02.26 00:00,9.39,9.54,8.99,9.03,1065
2009.02.27 00:00,8.93,9.23,8.93,9.15,1316
2009.03.02 00:00,8.95,9.13,8.76,8.78,628
2009.03.03 00:00,9.00,9.00,8.52,8.59,781
2009.03.04 00:00,8.67,8.95,8.63,8.81,1043
2009.03.05 00:00,8.68,8.88,8.54,8.57,788
2009.03.06 00:00,8.59,8.65,8.12,8.35,989
2009.03.09 00:00,8.25,8.61,8.21,8.25,934
2009.03.10 00:00,8.40,9.17,8.34,9.13,700
2009.03.11 00:00,9.20,9.39,8.94,9.22,581
2009.03.12 00:00,9.14,10.09,9.13,10.09,753
2009.03.13 00:00,10.06,10.64,10.03,10.56,681
2009.03.16 00:00,10.58,10.99,10.56,10.79,803
2009.03.17 00:00,10.71,11.11,10.71,11.11,846
2009.03.18 00:00,11.05,11.62,10.96,11.46,1329
2009.03.19 00:00,11.68,11.68,11.37,11.59,923
2009.03.20 00:00,11.67,11.87,11.05,11.16,1035
2009.03.23 00:00,11.44,12.00,11.20,12.00,1182
2009.03.24 00:00,11.94,12.05,11.33,11.33,1106
2009.03.25 00:00,11.35,11.60,10.74,11.16,1104
2009.03.26 00:00,11.28,12.42,11.24,12.37,1326
2009.03.27 00:00,12.04,12.15,11.72,11.74,1083
2009.03.30 00:00,11.50,11.59,11.12,11.26,811
2009.03.31 00:00,11.43,11.43,11.05,11.08,649
2009.04.01 00:00,10.89,11.23,10.87,11.14,415
2009.04.02 00:00,11.45,11.99,11.31,11.77,862
2009.04.03 00:00,11.75,11.78,11.47,11.66,565
2009.04.06 00:00,11.49,11.62,11.24,11.40,710
2009.04.07 00:00,11.21,11.30,10.95,11.17,545
2009.04.08 00:00,11.33,11.60,11.32,11.45,589
2009.04.09 00:00,11.74,12.14,11.70,11.99,461
2009.04.13 00:00,11.91,12.10,11.72,12.00,447
2009.04.14 00:00,11.83,11.95,11.75,11.84,379
2009.04.15 00:00,11.15,11.71,11.15,11.68,768
2009.04.16 00:00,11.44,11.68,11.41,11.61,653
2009.04.17 00:00,11.57,12.21,11.55,12.01,638
2009.04.20 00:00,11.60,11.67,11.25,11.40,535
2009.04.21 00:00,11.22,11.82,11.22,11.77,710
2009.04.22 00:00,11.73,12.69,11.58,12.60,958
2009.04.23 00:00,12.50,13.39,12.50,13.38,1063
2009.04.24 00:00,13.34,13.64,13.33,13.48,983
2009.04.27 00:00,13.13,13.62,12.95,13.22,1379
2009.04.28 00:00,12.98,13.98,12.98,13.51,1407
2009.04.29 00:00,13.52,13.96,13.45,13.63,1823
2009.04.30 00:00,13.79,15.43,13.71,14.46,1816
2009.05.01 00:00,14.44,14.47,13.72,13.79,872
2009.05.04 00:00,13.94,14.46,13.90,14.24,768
2009.05.05 00:00,14.19,14.41,14.00,14.19,1108
2009.05.06 00:00,14.27,14.29,13.75,14.00,930
2009.05.07 00:00,14.15,14.48,13.79,13.99,1169
2009.05.08 00:00,14.09,14.22,13.53,13.63,744
2009.05.11 00:00,13.59,13.74,13.06,13.43,1045
2009.05.12 00:00,13.48,13.56,12.91,13.16,873
2009.05.13 00:00,12.99,13.14,12.75,12.75,737
2009.05.14 00:00,12.78,13.07,12.66,12.69,515
2009.05.15 00:00,12.78,13.24,12.52,12.97,698
2009.05.18 00:00,13.07,13.38,12.94,13.38,590
2009.05.19 00:00,13.42,13.66,13.21,13.41,696
2009.05.20 00:00,13.51,14.00,13.43,13.55,1074
2009.05.21 00:00,13.38,13.57,13.33,13.43,740
2009.05.22 00:00,13.51,13.58,12.97,12.98,622
2009.05.26 00:00,12.97,13.60,12.95,13.48,597
2009.05.27 00:00,13.49,13.86,13.30,13.41,859
2009.05.28 00:00,13.42,13.76,13.23,13.74,977
2009.05.29 00:00,13.80,14.34,13.73,14.34,893
2009.06.01 00:00,14.48,14.98,14.47,14.90,717
2009.06.02 00:00,14.83,15.05,14.67,14.78,678
2009.06.03 00:00,14.79,15.24,14.79,15.24,561
2009.06.04 00:00,15.21,15.37,15.02,15.14,561
2009.06.05 00:00,15.33,15.38,15.03,15.09,784
