Date,Open,High,Low,Close,Volume
2010.09.14 00:00,15.02,15.13,14.95,15.00,15443600
2010.09.15 00:00,14.91,15.07,14.85,14.99,12332600
2010.09.16 00:00,14.96,15.01,14.85,14.94,8081800
2010.09.17 00:00,15.01,15.07,14.93,14.98,11661800
2010.09.20 00:00,15.02,15.23,15.00,15.09,7779400
2010.09.21 00:00,15.17,15.19,14.99,15.06,8406400
2010.09.22 00:00,15.09,15.18,14.89,14.91,16752900
2010.09.23 00:00,14.87,15.02,14.76,14.91,9175000
2010.09.24 00:00,15.02,15.18,14.99,15.14,9280900
2010.09.27 00:00,15.19,15.55,15.15,15.42,12677000
2010.09.28 00:00,15.46,15.72,15.15,15.55,11260100
2010.09.29 00:00,15.45,15.75,15.44,15.61,9941300
2010.09.30 00:00,15.72,15.72,15.09,15.13,20876400
2010.10.01 00:00,15.35,15.54,15.25,15.40,13780800
2010.10.04 00:00,15.39,15.40,14.88,15.02,10611900
2010.10.05 00:00,15.22,15.34,15.03,15.28,11402100
2010.10.06 00:00,15.25,15.31,14.76,14.93,12439300
2010.10.07 00:00,14.96,15.19,14.90,15.03,8795600
2010.10.08 00:00,15.01,15.17,14.97,15.01,7958800
2010.10.11 00:00,14.99,15.25,14.98,15.17,7230000
2010.10.12 00:00,15.11,15.44,14.98,15.39,9664300
2010.10.13 00:00,15.50,15.76,15.44,15.60,9964900
2010.10.14 00:00,15.60,15.71,15.40,15.56,8250700
2010.10.15 00:00,15.61,15.80,15.48,15.73,9742200
2010.10.18 00:00,15.69,15.75,15.54,15.61,6294300
2010.10.19 00:00,15.48,15.58,15.27,15.51,8095800
2010.10.20 00:00,15.54,15.72,15.52,15.59,7111800
2010.10.21 00:00,15.68,15.94,15.45,15.56,9810800
2010.10.22 00:00,15.66,15.81,15.45,15.70,8482900
2010.10.25 00:00,15.80,15.90,15.67,15.78,6570000
2010.10.26 00:00,15.66,15.95,15.54,15.89,6989500
2010.10.27 00:00,15.71,15.88,15.61,15.80,11734400
2010.10.28 00:00,16.55,16.69,16.32,16.45,24884500
2010.10.29 00:00,16.36,16.48,16.18,16.19,9516500
2010.11.01 00:00,16.28,16.66,16.27,16.38,7040700
2010.11.02 00:00,16.53,16.87,16.49,16.69,11124000
2010.11.03 00:00,16.69,16.73,16.20,16.36,13999100
2010.11.04 00:00,16.51,16.60,16.40,16.57,7009100
2010.11.05 00:00,17.30,17.64,16.99,17.21,16357800
2010.11.08 00:00,17.18,17.58,16.96,17.56,20219600
2010.11.09 00:00,17.90,18.24,17.47,17.56,16354900
2010.11.10 00:00,17.49,17.68,17.27,17.67,12727400
2010.11.11 00:00,17.45,17.49,16.81,17.07,19847300
2010.11.12 00:00,16.90,17.32,16.89,17.23,15995300
2010.11.15 00:00,17.25,17.42,17.02,17.08,9655900
2010.11.16 00:00,16.87,17.03,16.70,16.71,11773600
2010.11.17 00:00,16.67,17.06,16.67,16.93,8449100
2010.11.18 00:00,17.12,17.40,17.04,17.14,7739600
2010.11.19 00:00,17.14,17.31,17.12,17.23,6276100
2010.11.22 00:00,17.15,17.23,16.94,17.05,10079400
2010.11.23 00:00,16.79,17.04,16.57,16.73,9937900
2010.11.24 00:00,16.96,17.37,16.86,17.20,7407800
2010.11.26 00:00,17.03,17.13,16.97,16.99,3135800
2010.11.29 00:00,16.82,16.90,16.46,16.68,11002800
2010.11.30 00:00,16.50,16.91,16.48,16.80,14524700
2010.12.01 00:00,17.06,17.29,16.98,17.14,8796900
2010.12.02 00:00,17.16,17.35,17.06,17.25,9952100
2010.12.03 00:00,17.17,17.32,17.00,17.09,7428000
2010.12.06 00:00,17.03,17.14,16.94,17.01,8686800
2010.12.07 00:00,17.20,17.20,16.92,16.94,7874200
2010.12.08 00:00,17.03,17.05,16.82,17.02,8017900
2010.12.09 00:00,17.08,17.20,16.89,16.96,7682700
2010.12.10 00:00,17.01,17.24,16.86,17.20,7350000
2010.12.13 00:00,17.21,17.37,17.09,17.13,7114600
2010.12.14 00:00,17.14,17.37,17.11,17.26,8677100
2010.12.15 00:00,17.19,17.35,17.08,17.15,6514800
2010.12.16 00:00,17.21,17.42,17.09,17.27,6173700
2010.12.17 00:00,17.25,17.26,16.90,16.94,12820800
2010.12.20 00:00,16.95,17.00,16.67,16.70,8968600
2010.12.21 00:00,16.70,16.90,16.61,16.70,6645100
2010.12.22 00:00,16.67,16.78,16.67,16.71,5691500
2010.12.23 00:00,16.69,16.74,16.48,16.52,4711000
2010.12.27 00:00,16.48,16.82,16.32,16.77,4305000
