Date,Open,High,Low,Close,Volume
2013.09.17 02:00,165.57,168.42,163.36,166.23,947
2013.09.18 02:00,167.07,167.45,164.20,166.22,566
2013.09.19 02:00,170.75,180.47,169.08,177.92,1562
2013.09.20 02:00,178.90,185.83,178.56,183.39,1006
2013.09.23 02:00,184.48,185.48,177.11,181.11,1338
2013.09.24 01:00,179.13,184.89,177.65,182.35,1127
2013.09.25 01:00,183.11,186.18,180.50,185.22,926
2013.09.26 01:00,186.29,189.59,185.60,188.63,565
2013.09.27 01:00,186.68,191.18,186.54,190.81,516
2013.09.30 01:00,188.34,194.43,188.34,193.37,716
2013.10.01 01:00,193.39,194.13,188.36,192.94,1110
2013.10.02 01:00,189.60,191.74,175.40,180.90,2399
2013.10.03 01:00,173.27,179.61,168.00,173.10,2306
2013.10.04 01:00,176.18,181.05,172.65,180.94,1205
2013.10.07 01:00,181.77,186.65,180.25,183.02,1156
2013.10.08 01:00,184.04,185.82,173.19,174.70,1593
2013.10.09 01:00,174.28,174.73,161.50,168.68,2087
2013.10.10 01:00,173.41,175.49,169.69,172.79,1099
2013.10.11 01:00,171.55,179.21,171.33,178.70,862
2013.10.14 01:00,175.07,182.27,174.08,179.55,1191
2013.10.15 01:00,186.36,188.56,183.08,183.79,840
2013.10.16 01:00,185.51,187.13,182.52,183.40,712
2013.10.17 01:00,184.34,184.57,180.86,182.69,578
2013.10.18 01:00,184.02,185.78,182.51,183.25,578
2013.10.21 01:00,182.59,182.95,170.86,172.42,1402
2013.10.22 01:00,169.48,177.56,166.00,171.39,2122
2013.10.23 01:00,168.65,171.47,160.04,164.33,1855
2013.10.24 01:00,165.75,174.34,162.81,172.91,1591
2013.10.25 01:00,171.30,173.09,166.75,169.50,1089
2013.10.28 01:00,168.30,169.44,162.13,162.69,902
2013.10.29 01:00,161.80,165.16,152.88,164.37,2200
2013.10.30 01:00,164.50,167.42,158.16,159.06,1309
2013.10.31 01:00,155.04,162.25,153.26,159.88,1315
2013.11.01 01:00,162.03,165.75,160.32,162.05,1085
2013.11.04 01:00,165.10,175.18,164.94,175.06,1053
2013.11.05 01:00,178.97,181.19,171.26,176.60,1750
2013.11.06 01:00,156.45,160.51,146.31,151.05,2301
2013.11.07 01:00,144.21,145.47,137.50,139.67,1141
2013.11.08 01:00,136.93,140.27,132.22,137.73,1531
2013.11.11 01:00,139.05,145.22,137.03,144.53,1091
2013.11.12 01:00,143.67,144.21,136.07,137.65,1027
2013.11.13 01:00,140.92,142.18,136.22,138.58,959
2013.11.14 01:00,139.12,140.23,134.00,137.41,1076
2013.11.15 01:00,136.57,137.78,134.23,135.25,579
2013.11.18 01:00,134.94,134.94,119.50,121.40,1735
2013.11.19 01:00,121.18,128.85,120.47,125.92,1203
2013.11.20 01:00,126.01,127.24,118.97,120.99,1153
2013.11.21 01:00,122.39,124.60,120.22,121.86,824
2013.11.22 01:00,121.50,122.53,117.82,121.21,914
2013.11.25 01:00,124.56,125.61,120.18,120.65,696
2013.11.26 01:00,119.54,122.56,115.97,120.41,1232
2013.11.27 01:00,121.00,126.80,119.42,126.78,899
2013.11.29 01:00,129.21,130.43,126.87,127.23,515
2013.12.02 01:00,125.67,128.34,123.81,124.06,746
2013.12.03 01:00,132.40,144.77,131.46,144.51,1452
2013.12.04 01:00,142.64,142.91,137.12,138.79,774
2013.12.05 01:00,140.72,143.19,139.50,140.30,697
2013.12.06 01:00,141.62,142.24,136.22,137.21,764
2013.12.09 01:00,136.94,141.52,134.08,141.39,1044
2013.12.10 01:00,140.00,145.64,139.92,141.99,946
2013.12.11 01:00,141.31,142.88,139.34,139.45,523
2013.12.12 01:00,140.22,148.04,138.46,147.16,1223
2013.12.13 01:00,147.76,151.53,147.17,147.47,844
2013.12.16 01:00,149.20,150.21,145.94,147.72,707
2013.12.17 01:00,146.83,154.44,146.17,152.32,1106
2013.12.18 01:00,152.37,154.71,145.93,147.79,1299
2013.12.19 01:00,146.56,146.73,138.95,140.49,950
2013.12.20 01:00,142.07,144.16,141.90,143.03,357
2013.12.23 01:00,144.56,145.99,142.51,143.35,576
2013.12.24 01:00,150.72,154.78,149.84,151.01,960
2013.12.26 01:00,154.76,157.82,154.23,155.32,663
2013.12.27 01:00,154.24,154.52,150.63,151.01,456
2013.12.30 01:00,150.88,154.63,150.63,152.17,672
2013.12.31 01:00,152.00,152.98,149.26,149.94,539
2014.01.02 01:00,149.09,152.30,146.41,149.93,1095
2014.01.03 01:00,150.03,151.95,148.47,149.36,630
2014.01.06 01:00,150.09,150.18,145.09,146.77,687
2014.01.07 01:00,147.41,150.18,145.08,149.14,848
2014.01.08 01:00,149.07,153.48,148.69,151.13,753
2014.01.09 01:00,153.08,153.18,146.70,147.39,728
2014.01.10 01:00,148.38,148.65,142.19,145.53,1008
2014.01.13 01:00,145.46,146.78,137.69,138.99,1172
2014.01.14 01:00,140.60,161.79,136.62,161.00,2995
2014.01.15 01:00,167.40,171.98,162.00,163.96,1653
2014.01.16 01:00,162.74,172.41,162.71,170.81,1134
2014.01.17 01:00,169.52,172.93,167.84,169.85,986
2014.01.21 01:00,171.83,177.08,171.55,176.47,643
2014.01.22 01:00,177.20,180.11,174.65,178.33,980
2014.01.23 01:00,176.68,182.16,173.27,181.35,1312
2014.01.24 01:00,177.75,180.20,173.44,174.42,1020
2014.01.27 01:00,174.60,177.69,164.68,169.51,2094
2014.01.28 01:00,171.32,178.81,171.31,178.20,813
2014.01.29 01:00,174.99,178.86,173.04,174.99,1165
2014.01.30 01:00,177.86,184.57,176.98,182.69,1036
2014.01.31 01:00,179.59,185.80,178.90,181.25,1215
2014.02.03 01:00,182.70,184.63,175.04,176.91,1340
2014.02.04 01:00,179.08,181.41,176.20,178.56,991
2014.02.05 01:00,178.01,180.30,169.30,174.23,1823
2014.02.06 01:00,176.06,179.89,176.00,178.19,566
2014.02.07 01:00,181.19,186.45,179.50,186.37,873
2014.02.10 01:00,190.26,199.11,190.26,196.36,1161
2014.02.11 01:00,199.48,201.91,192.53,196.43,1572
2014.02.12 01:00,194.94,197.98,194.28,195.15,720
2014.02.13 01:00,193.22,202.55,193.12,199.45,1264
2014.02.14 01:00,197.18,201.59,196.98,198.03,838
2014.02.18 01:00,203.42,205.65,201.09,203.28,899
2014.02.19 01:00,202.33,202.45,193.11,193.29,965
2014.02.20 01:00,211.50,214.21,206.02,209.61,1450
2014.02.21 01:00,210.52,213.77,209.04,209.42,837
