Date,Open,High,Low,Close,Volume
2010.09.14 00:00,43.51,44.54,43.30,43.80,1783300
2010.09.15 00:00,43.54,43.91,43.31,43.87,1324800
2010.09.16 00:00,43.34,44.43,43.33,44.42,2073000
2010.09.17 00:00,44.58,45.06,44.24,44.98,2171800
2010.09.20 00:00,45.12,46.33,44.97,46.18,2440300
2010.09.21 00:00,46.24,46.27,45.00,45.57,2944100
2010.09.22 00:00,45.35,45.90,45.14,45.56,2054100
2010.09.23 00:00,43.47,45.07,43.20,44.69,4078800
2010.09.24 00:00,45.39,45.65,45.21,45.51,2492900
2010.09.27 00:00,45.62,46.12,45.33,45.86,1635200
2010.09.28 00:00,46.04,47.17,45.32,47.11,2813800
2010.09.29 00:00,47.01,47.01,46.50,46.71,1639300
2010.09.30 00:00,46.88,47.20,46.27,46.99,1637400
2010.10.01 00:00,47.72,47.72,46.48,46.97,1495100
2010.10.04 00:00,46.77,46.89,45.92,46.45,2072300
2010.10.05 00:00,46.98,48.00,46.73,47.74,2004500
2010.10.06 00:00,47.67,47.85,47.11,47.46,1254400
2010.10.07 00:00,47.80,48.23,47.15,47.79,1799600
2010.10.08 00:00,47.94,49.05,47.88,48.51,1875700
2010.10.11 00:00,48.63,49.61,48.63,49.26,1362400
2010.10.12 00:00,49.01,50.19,48.67,49.83,2280000
2010.10.13 00:00,50.27,50.56,49.51,49.90,1867000
2010.10.14 00:00,49.83,49.87,48.97,49.44,1983000
2010.10.15 00:00,50.01,50.59,49.53,50.54,2090600
2010.10.18 00:00,50.33,50.83,50.18,50.61,1537100
2010.10.19 00:00,49.99,50.24,49.19,49.40,2613400
2010.10.20 00:00,49.42,50.14,49.38,49.85,1341400
2010.10.21 00:00,50.16,51.45,49.94,50.54,1811000
2010.10.22 00:00,50.58,50.88,50.20,50.48,1001100
2010.10.25 00:00,51.00,51.79,50.99,51.50,1400200
2010.10.26 00:00,51.10,52.88,51.10,52.41,2337100
2010.10.27 00:00,51.94,52.28,50.99,51.59,1968900
2010.10.28 00:00,51.85,52.17,50.85,51.50,1478600
2010.10.29 00:00,51.54,53.00,51.46,53.00,1982300
2010.11.01 00:00,53.12,53.97,52.96,53.48,2297600
2010.11.02 00:00,53.74,54.48,53.71,54.10,2536000
2010.11.03 00:00,54.17,54.29,53.18,53.90,1725600
2010.11.04 00:00,54.44,55.94,54.26,55.87,2475700
2010.11.05 00:00,55.97,57.38,55.80,56.95,1624200
2010.11.08 00:00,56.64,57.04,56.20,56.97,1247900
2010.11.09 00:00,57.25,57.79,56.52,56.84,1921800
2010.11.10 00:00,56.80,57.69,56.36,57.67,1578200
2010.11.11 00:00,56.90,57.78,56.80,57.04,1965100
2010.11.12 00:00,57.02,57.73,55.40,55.66,2511000
2010.11.15 00:00,56.13,57.24,56.09,56.21,1503900
2010.11.16 00:00,55.83,56.90,54.20,54.54,3846200
2010.11.17 00:00,54.65,56.20,54.65,55.66,2089000
2010.11.18 00:00,56.59,57.35,55.54,56.87,1643000
2010.11.19 00:00,56.89,58.07,56.30,58.03,1718900
2010.11.22 00:00,57.88,59.59,57.65,59.22,3492500
2010.11.23 00:00,58.50,59.03,57.25,58.27,4595800
2010.11.24 00:00,60.41,61.58,59.75,61.33,6792200
2010.11.26 00:00,61.16,61.19,60.31,60.60,1581200
2010.11.29 00:00,60.48,60.98,59.89,60.64,2117500
2010.11.30 00:00,60.11,62.67,59.90,62.10,3075700
