Date,Open,High,Low,Close,Volume
2013.11.07 00:00,40.00,50.01,40.00,44.89,22790
2013.11.08 00:00,46.01,46.88,40.69,41.60,9378
2013.11.11 00:00,40.59,42.98,39.41,42.92,5296
2013.11.12 00:00,43.65,43.65,41.83,41.90,2782
2013.11.13 00:00,40.99,42.84,40.76,42.42,3279
2013.11.14 00:00,42.23,45.63,42.23,44.75,4873
2013.11.15 00:00,45.16,45.16,43.44,43.91,3349
2013.11.18 00:00,43.42,43.90,40.85,41.00,3973
2013.11.19 00:00,41.25,41.83,40.04,41.70,4336
2013.11.20 00:00,41.27,41.68,40.51,41.02,2503
2013.11.21 00:00,41.22,42.47,40.37,42.06,4493
2013.11.22 00:00,41.76,42.13,40.97,40.97,2741
2013.11.25 00:00,40.90,41.09,38.80,39.06,4700
2013.11.26 00:00,39.15,40.54,38.92,40.15,3670
2013.11.27 00:00,40.36,41.38,40.34,40.89,2033
2013.11.29 00:00,41.27,41.57,40.91,41.55,1673
2013.12.02 00:00,41.76,41.91,40.40,40.73,3195
2013.12.03 00:00,40.56,41.59,40.56,41.42,2713
2013.12.04 00:00,41.26,43.90,41.26,43.65,5096
2013.12.05 00:00,43.43,46.33,42.83,45.34,5834
2013.12.06 00:00,45.68,45.75,44.53,44.95,3777
2013.12.09 00:00,45.34,49.82,45.02,49.13,9286
2013.12.10 00:00,48.73,52.55,48.70,51.99,11810
2013.12.11 00:00,52.36,53.86,51.00,52.33,12691
2013.12.12 00:00,52.09,55.85,50.70,55.30,15103
2013.12.13 00:00,56.13,59.39,55.45,59.22,18685
2013.12.16 00:00,57.84,60.19,55.76,56.58,19063
2013.12.17 00:00,56.93,57.37,54.62,56.41,9636
2013.12.18 00:00,56.88,56.94,54.23,55.38,7476
2013.12.19 00:00,54.99,57.74,54.99,57.43,8674
2013.12.20 00:00,58.46,60.24,58.01,59.91,9308
2013.12.23 00:00,59.79,64.95,59.70,64.56,11846
2013.12.24 00:00,66.30,70.84,65.57,69.82,16160
2013.12.26 00:00,72.81,74.70,69.13,73.20,25617
2013.12.27 00:00,70.03,71.20,63.69,63.75,18843
2013.12.30 00:00,60.26,63.70,58.57,60.50,19319
2013.12.31 00:00,62.44,65.20,61.65,64.29,6577
2014.01.02 00:00,64.77,67.38,64.40,67.34,10700
2014.01.03 00:00,69.00,70.42,68.47,68.94,12250
2014.01.06 00:00,64.81,66.80,63.50,66.29,10319
2014.01.07 00:00,67.51,67.70,63.20,63.63,6643
2014.01.08 00:00,58.65,61.24,57.99,59.29,11746
2014.01.09 00:00,59.41,60.80,55.59,57.02,11663
2014.01.10 00:00,57.55,58.74,55.88,56.93,9983
2014.01.13 00:00,59.95,60.37,57.29,57.79,9109
2014.01.14 00:00,58.81,58.99,57.40,58.17,6480
2014.01.15 00:00,59.03,61.73,58.32,61.56,9510
2014.01.16 00:00,61.34,62.39,60.46,60.56,7409
2014.01.17 00:00,63.60,64.67,61.61,62.18,10060
2014.01.21 00:00,63.26,63.39,61.50,62.50,6535
2014.01.22 00:00,62.95,63.79,61.76,62.43,6458
2014.01.23 00:00,61.09,62.80,60.88,62.80,5419
2014.01.24 00:00,62.07,63.60,61.30,61.73,6904
2014.01.27 00:00,61.68,61.70,56.10,57.86,10398
2014.01.28 00:00,57.26,60.82,57.26,60.45,6858
2014.01.29 00:00,59.69,60.90,58.60,59.44,6529
2014.01.30 00:00,63.90,65.23,62.80,63.45,7981
2014.01.31 00:00,63.16,65.36,62.65,64.48,6643
2014.02.03 00:00,65.90,66.42,64.20,65.23,8254
2014.02.04 00:00,66.06,66.34,64.55,66.31,6053
2014.02.05 00:00,67.02,67.19,64.80,65.55,8398
2014.02.06 00:00,52.81,53.82,49.92,49.95,8959
2014.02.07 00:00,51.19,54.83,50.92,54.21,10261
2014.02.10 00:00,54.48,54.56,52.34,52.84,7182
2014.02.11 00:00,53.15,54.37,53.10,53.97,6550
2014.02.12 00:00,54.98,56.98,54.76,56.71,9354
2014.02.13 00:00,56.02,58.92,55.46,56.23,12082
2014.02.14 00:00,57.00,57.84,56.72,57.44,5650
2014.02.18 00:00,57.81,58.63,56.77,58.26,5060
2014.02.19 00:00,58.45,58.92,54.61,55.40,8788
2014.02.20 00:00,55.81,57.04,54.66,56.63,6435
2014.02.21 00:00,57.02,57.17,55.70,55.88,4189
2014.02.24 00:00,56.01,56.41,55.30,55.76,5329
2014.02.25 00:00,55.92,55.92,54.50,54.95,5345
2014.02.26 00:00,55.00,56.97,54.90,55.86,6702
2014.02.27 00:00,56.16,56.67,55.40,55.76,5239
2014.02.28 00:00,55.94,55.97,54.12,54.87,5497
2014.03.03 00:00,53.80,54.39,52.90,53.67,6444
2014.03.04 00:00,54.25,55.26,54.12,54.22,4845
2014.03.05 00:00,54.45,54.96,53.75,54.35,4566
2014.03.06 00:00,54.93,56.05,54.70,54.83,5889
2014.03.07 00:00,55.07,55.17,53.31,53.51,4549
2014.03.10 00:00,54.07,54.53,53.38,53.84,4326
2014.03.11 00:00,54.14,55.83,53.80,54.02,6703
2014.03.12 00:00,54.18,55.29,53.88,54.43,4822
2014.03.13 00:00,54.77,55.42,53.20,53.55,5983
2014.03.14 00:00,53.35,53.90,51.80,51.90,5462
