Date,Open,High,Low,Close,Volume
2011.11.21 00:00,24.10,24.46,23.77,24.30,1462
2011.11.22 00:00,24.05,24.32,23.66,23.89,1660
2011.11.23 00:00,23.18,23.22,22.54,22.60,1606
2011.11.25 00:00,22.33,22.55,21.67,21.78,1811
2011.11.28 00:00,22.74,22.92,22.43,22.77,1323
2011.11.29 00:00,22.27,22.62,22.08,22.12,1415
2011.11.30 00:00,23.33,23.58,22.82,23.24,1082
2011.12.01 00:00,23.09,23.52,22.96,23.12,1072
2011.12.02 00:00,23.73,23.90,23.33,23.46,1513
2011.12.05 00:00,24.01,24.24,23.90,24.16,1036
2011.12.06 00:00,23.85,24.15,23.68,23.91,1147
2011.12.07 00:00,23.76,23.76,22.72,22.93,1254
2011.12.08 00:00,22.62,22.70,21.91,22.00,1982
2011.12.09 00:00,22.18,22.88,22.06,22.76,1460
2011.12.12 00:00,22.06,22.11,21.65,21.94,1037
2011.12.13 00:00,22.05,22.24,21.24,21.40,2131
2011.12.14 00:00,21.21,21.55,20.97,21.08,1809
2011.12.15 00:00,21.39,21.42,20.86,20.94,1601
2011.12.16 00:00,21.07,21.21,20.85,21.05,1455
2011.12.19 00:00,20.93,21.06,20.41,20.46,1689
2011.12.20 00:00,21.08,21.61,21.06,21.47,1223
2011.12.21 00:00,21.16,21.62,20.96,21.48,1690
2011.12.22 00:00,21.52,22.01,21.41,21.97,1100
2011.12.23 00:00,21.96,22.11,21.84,22.09,690
2011.12.27 00:00,21.80,22.03,21.80,21.97,769
2011.12.28 00:00,21.76,21.79,21.07,21.19,1054
2011.12.29 00:00,21.24,21.39,21.10,21.24,698
2011.12.30 00:00,21.27,21.55,21.26,21.41,470
2012.01.03 00:00,22.59,23.38,22.49,23.16,959
2012.01.04 00:00,23.09,23.48,22.91,23.34,914
2012.01.05 00:00,22.96,23.02,22.56,22.70,1068
2012.01.06 00:00,22.72,22.74,22.14,22.31,913
2012.01.09 00:00,22.63,22.64,22.24,22.44,1092
2012.01.10 00:00,23.17,23.25,22.76,22.82,929
2012.01.11 00:00,22.78,23.22,22.71,23.14,833
2012.01.12 00:00,23.19,23.25,22.79,23.24,1276
2012.01.13 00:00,22.68,22.69,22.14,22.56,1709
2012.01.17 00:00,23.33,23.95,23.20,23.79,1155
2012.01.18 00:00,23.97,24.48,23.84,24.42,1425
2012.01.19 00:00,24.21,24.53,24.20,24.47,969
2012.01.20 00:00,24.25,24.44,24.07,24.15,976
2012.01.24 00:00,24.07,24.50,23.67,24.46,1568
2012.01.25 00:00,24.31,25.25,24.08,25.00,1763
2012.01.26 00:00,25.08,25.30,24.30,24.59,1599
2012.01.27 00:00,24.50,24.82,24.47,24.69,1385
2012.01.31 00:00,25.44,25.60,24.87,25.26,1523
2012.02.01 00:00,25.90,26.38,25.74,26.01,1483
2012.02.02 00:00,26.21,26.51,26.05,26.25,1326
2012.02.03 00:00,26.59,26.82,26.44,26.57,908
2012.02.07 00:00,26.46,26.54,26.09,26.46,1039
2012.02.08 00:00,26.64,26.67,26.26,26.36,1084
2012.02.09 00:00,26.18,26.21,25.87,26.14,1172
2012.02.10 00:00,25.55,25.70,25.32,25.69,1061
2012.02.14 00:00,26.00,26.04,25.39,25.71,909
2012.02.15 00:00,25.75,25.78,24.93,25.19,1309
2012.02.16 00:00,24.74,25.49,24.58,25.28,1299
2012.02.17 00:00,25.55,25.56,24.70,24.95,916
2012.02.21 00:00,25.10,25.42,25.05,25.14,966
2012.02.22 00:00,25.30,25.31,24.92,25.04,1156
2012.02.23 00:00,25.28,25.61,24.97,25.49,1537
2012.02.24 00:00,25.80,25.99,25.59,25.65,758
2012.02.27 00:00,25.49,25.56,25.27,25.45,923
2012.02.28 00:00,25.58,25.89,25.26,25.84,1049
2012.02.29 00:00,25.91,26.19,25.14,25.14,1601
2012.03.01 00:00,25.41,25.80,25.33,25.59,1105
2012.03.02 00:00,25.48,25.70,25.29,25.63,913
2012.03.05 00:00,25.22,25.24,24.56,24.68,1124
2012.03.06 00:00,23.77,23.80,23.02,23.32,1561
2012.03.07 00:00,22.83,23.15,22.56,23.01,1192
2012.03.08 00:00,23.39,23.53,22.99,23.23,1012
2012.03.09 00:00,23.12,23.33,22.88,23.01,878
2012.03.12 00:00,22.54,22.85,22.19,22.43,1076
2012.03.13 00:00,22.54,23.65,22.48,23.59,1395
2012.03.14 00:00,23.44,23.64,22.94,23.33,1375
2012.03.15 00:00,23.87,23.88,23.53,23.63,1098
2012.03.16 00:00,23.62,23.79,23.56,23.70,765
2012.03.19 00:00,23.65,23.90,23.61,23.74,837
2012.03.20 00:00,23.01,23.31,22.75,23.26,1119
2012.03.21 00:00,23.21,23.26,22.95,23.17,946
2012.03.22 00:00,22.77,22.93,22.51,22.69,1225
2012.03.23 00:00,22.71,22.97,22.63,22.82,1121
2012.03.26 00:00,23.07,23.12,22.87,23.12,651
2012.03.27 00:00,23.25,23.54,23.18,23.21,937
2012.03.28 00:00,23.13,23.14,22.66,22.75,977
2012.03.29 00:00,22.45,23.02,22.31,22.98,1100
2012.03.30 00:00,23.26,23.35,23.07,23.27,940
2012.04.02 00:00,23.26,24.13,23.26,23.89,1008
2012.04.03 00:00,24.02,24.03,23.23,23.43,1303
2012.04.04 00:00,23.00,23.16,22.86,22.88,688
2012.04.05 00:00,22.83,23.16,22.63,22.85,866
2012.04.09 00:00,22.51,22.81,22.41,22.68,896
2012.04.10 00:00,22.45,22.58,22.00,22.29,1368
2012.04.11 00:00,22.76,22.79,22.29,22.36,911
2012.04.12 00:00,22.90,23.93,22.82,23.80,1595
2012.04.16 00:00,23.33,23.36,22.63,22.63,1780
2012.04.17 00:00,22.98,23.32,22.76,23.20,1074
2012.04.18 00:00,22.92,23.49,22.92,23.16,1493
2012.04.19 00:00,23.01,23.16,22.73,22.93,1654
2012.04.23 00:00,22.45,22.66,22.18,22.65,1116
2012.04.24 00:00,22.78,22.90,22.57,22.70,1118
2012.04.25 00:00,22.92,22.97,22.26,22.52,1147
2012.04.26 00:00,21.91,22.86,21.89,22.74,1299
2012.04.27 00:00,22.60,22.71,22.13,22.44,1097
2012.04.30 00:00,22.42,22.44,21.99,22.16,932
2012.05.01 00:00,22.38,22.61,22.11,22.35,764
2012.05.02 00:00,22.23,22.34,21.98,22.29,871
2012.05.03 00:00,22.27,22.28,21.88,22.21,988
2012.05.04 00:00,21.82,21.85,21.19,21.50,1144
2012.05.07 00:00,21.32,21.53,21.18,21.40,856
2012.05.08 00:00,21.11,21.14,20.42,20.85,1311
2012.05.09 00:00,20.31,20.77,20.15,20.45,1892
2012.05.10 00:00,20.78,20.94,20.48,20.50,1278
2012.05.11 00:00,20.17,20.64,19.92,19.95,1241
2012.05.14 00:00,19.34,19.48,19.23,19.27,875
2012.05.15 00:00,19.34,19.51,18.92,18.97,1129
2012.05.16 00:00,19.34,19.36,18.33,18.53,1623
2012.05.17 00:00,18.50,18.61,17.80,17.89,1981
2012.05.18 00:00,17.86,18.18,17.65,18.05,1942
2012.05.21 00:00,18.17,18.51,18.13,18.47,1314
2012.05.22 00:00,18.24,18.59,17.86,18.00,1944
2012.05.23 00:00,17.83,18.33,17.58,18.31,1916
2012.05.24 00:00,18.56,18.57,18.01,18.18,1750
2012.05.25 00:00,18.36,18.38,18.09,18.23,1658
2012.05.29 00:00,18.85,19.00,18.59,18.73,1499
2012.05.30 00:00,18.20,18.44,18.19,18.38,1368
2012.05.31 00:00,18.47,18.55,17.92,18.41,1499
2012.06.01 00:00,18.01,18.41,17.92,18.03,1368
2012.06.04 00:00,18.01,18.14,17.68,17.91,1216
2012.06.05 00:00,18.06,18.22,17.89,18.13,1230
2012.06.06 00:00,18.33,18.73,18.25,18.70,799
2012.06.07 00:00,19.21,20.01,19.12,19.20,1718
2012.06.08 00:00,18.69,18.85,18.56,18.80,1011
2012.06.11 00:00,19.09,19.10,18.28,18.30,1259
2012.06.12 00:00,18.50,18.63,18.36,18.60,1107
2012.06.13 00:00,18.52,18.83,18.51,18.59,1057
2012.06.14 00:00,18.49,18.82,18.39,18.76,1194
2012.06.15 00:00,18.97,19.39,18.91,19.36,703
2012.06.18 00:00,19.05,19.36,19.03,19.31,822
2012.06.19 00:00,19.47,20.21,19.34,20.05,785
2012.06.20 00:00,20.16,20.43,19.91,20.11,1634
2012.06.21 00:00,19.95,19.97,19.20,19.21,1022
2012.06.22 00:00,19.55,19.55,18.96,19.10,1007
2012.06.25 00:00,18.74,18.84,18.53,18.65,760
2012.06.26 00:00,18.83,19.30,18.66,19.09,1276
2012.06.27 00:00,19.20,19.24,18.73,18.96,1060
2012.06.28 00:00,18.83,18.85,18.29,18.72,862
2012.06.29 00:00,19.56,19.87,19.47,19.81,904
2012.07.02 00:00,19.96,20.07,19.79,20.05,716
2012.07.03 00:00,20.21,20.62,20.16,20.55,703
2012.07.05 00:00,20.32,20.67,20.13,20.49,957
2012.07.06 00:00,20.19,20.25,19.73,19.86,1068
2012.07.09 00:00,19.76,19.84,19.57,19.71,807
2012.07.10 00:00,20.06,20.09,19.24,19.36,1163
2012.07.11 00:00,19.45,19.64,19.13,19.31,1503
2012.07.12 00:00,18.84,19.32,18.72,19.18,1152
2012.07.13 00:00,19.40,19.73,19.40,19.60,845
2012.07.16 00:00,19.56,19.60,19.28,19.36,749
2012.07.17 00:00,19.43,19.50,19.10,19.43,1039
2012.07.18 00:00,19.14,19.51,18.96,19.45,1041
2012.07.19 00:00,19.34,19.56,19.34,19.52,983
2012.07.20 00:00,19.20,19.30,18.92,19.03,970
2012.07.23 00:00,18.18,18.40,18.00,18.33,840
2012.07.24 00:00,18.30,18.32,17.37,17.50,1089
2012.07.25 00:00,17.61,17.62,17.02,17.35,912
2012.07.26 00:00,17.31,17.74,16.84,17.61,955
2012.07.27 00:00,18.05,18.45,17.97,18.35,1138
2012.07.30 00:00,18.16,18.33,17.95,18.22,937
2012.07.31 00:00,18.23,18.35,17.97,18.01,910
2012.08.01 00:00,18.14,18.35,17.80,18.15,1438
2012.08.02 00:00,17.81,18.19,17.66,17.79,1506
2012.08.03 00:00,18.27,18.44,18.13,18.24,788
2012.08.06 00:00,18.30,18.66,18.23,18.46,713
2012.08.07 00:00,18.58,18.73,18.40,18.44,765
2012.08.08 00:00,18.48,18.78,18.38,18.65,737
2012.08.09 00:00,18.79,19.05,18.76,18.90,812
2012.08.10 00:00,18.75,19.18,18.64,19.16,952
2012.08.13 00:00,19.01,19.20,18.90,19.04,703
2012.08.14 00:00,18.94,18.97,18.17,18.27,757
2012.08.15 00:00,18.22,18.25,17.88,17.97,663
2012.08.16 00:00,18.11,18.16,17.87,18.13,464
2012.08.17 00:00,18.04,18.14,17.73,17.76,584
2012.08.20 00:00,17.67,18.02,17.40,17.94,692
2012.08.21 00:00,18.21,18.35,17.73,17.81,662
2012.08.22 00:00,17.70,17.95,17.57,17.83,926
