Date,Open,High,Low,Close,Volume
2010.09.13 00:00,13.72,13.72,13.69,13.69,4
2010.09.14 00:00,13.66,13.66,13.56,13.58,13
2010.09.15 00:00,13.95,14.30,13.73,14.22,88
2010.09.16 00:00,14.18,14.18,13.94,14.14,45
2010.09.17 00:00,14.27,14.27,13.86,13.86,42
2010.09.20 00:00,13.91,14.00,13.80,13.81,31
2010.09.21 00:00,13.91,14.20,13.88,14.14,42
2010.09.22 00:00,14.17,14.19,13.92,14.01,39
2010.09.23 00:00,13.89,14.18,13.89,14.13,35
2010.09.24 00:00,14.23,14.46,14.20,14.43,33
2010.09.27 00:00,14.39,14.47,14.21,14.22,36
2010.09.28 00:00,14.28,14.40,14.10,14.37,52
2010.09.29 00:00,14.32,14.32,14.02,14.29,58
2010.09.30 00:00,14.20,14.30,13.95,14.13,64
2010.10.01 00:00,14.18,14.30,14.09,14.23,38
2010.10.04 00:00,14.18,14.27,14.09,14.23,32
2010.10.05 00:00,14.39,14.72,14.36,14.56,56
2010.10.06 00:00,14.50,14.65,14.30,14.47,68
2010.10.07 00:00,14.54,14.56,14.10,14.19,58
2010.10.08 00:00,14.20,14.51,14.14,14.43,52
2010.10.11 00:00,14.40,14.53,14.34,14.37,36
2010.10.12 00:00,14.32,14.42,14.23,14.39,32
2010.10.13 00:00,14.51,15.43,14.46,15.20,126
2010.10.14 00:00,16.69,16.70,15.71,15.89,119
2010.10.15 00:00,16.15,16.67,15.86,16.21,157
2010.10.18 00:00,16.17,16.23,15.71,15.88,76
2010.10.19 00:00,15.65,15.75,15.33,15.46,66
2010.10.20 00:00,15.75,16.20,15.74,15.76,92
2010.10.21 00:00,15.84,15.95,15.69,15.94,43
2010.10.22 00:00,15.85,16.36,15.82,16.27,67
2010.10.25 00:00,16.24,16.39,16.11,16.37,44
2010.10.26 00:00,16.18,16.43,16.16,16.41,32
2010.10.27 00:00,16.35,16.38,16.16,16.38,42
2010.10.28 00:00,16.41,16.41,16.27,16.35,23
2010.10.29 00:00,16.31,16.47,16.29,16.45,23
2010.11.01 00:00,16.47,16.47,16.04,16.10,50
2010.11.02 00:00,16.24,16.35,16.14,16.15,34
2010.11.03 00:00,16.17,16.18,15.97,16.11,37
2010.11.04 00:00,16.28,16.30,15.98,16.21,58
2010.11.05 00:00,16.16,16.35,16.14,16.22,37
2010.11.08 00:00,16.23,16.45,16.21,16.40,32
2010.11.09 00:00,17.12,17.55,16.83,16.89,122
2010.11.10 00:00,16.92,16.95,16.71,16.89,46
2010.11.11 00:00,16.63,16.81,16.49,16.75,53
2010.11.12 00:00,16.67,16.69,16.36,16.49,49
2010.11.15 00:00,16.53,16.84,16.29,16.55,109
2010.11.16 00:00,16.43,16.44,16.06,16.16,50
2010.11.17 00:00,16.17,16.28,16.07,16.11,37
2010.11.18 00:00,16.34,17.12,16.25,16.96,113
