Date,Open,High,Low,Close,Volume
2015.12.14 18:30,25.84,25.89,25.62,25.81,550
2015.12.14 19:30,25.82,25.91,25.70,25.91,494
2015.12.14 20:30,25.90,25.93,25.83,25.89,322
2015.12.14 21:30,25.88,25.93,25.72,25.79,297
2015.12.14 22:30,25.80,25.82,25.53,25.57,109
2015.12.15 16:30,25.80,26.26,25.76,25.84,1236
2015.12.15 17:30,25.83,26.05,25.62,25.97,525
2015.12.15 18:30,25.98,26.49,25.98,26.47,429
2015.12.15 19:30,26.46,26.52,26.06,26.09,332
2015.12.15 20:30,26.08,26.25,26.02,26.24,267
2015.12.15 21:30,26.25,26.31,26.04,26.13,237
2015.12.15 22:30,26.12,26.18,26.06,26.16,124
2015.12.16 16:30,26.29,26.61,26.25,26.50,754
2015.12.16 17:30,26.49,26.89,26.47,26.87,674
2015.12.16 18:30,26.86,26.97,26.72,26.79,635
2015.12.16 19:30,26.78,26.99,26.76,26.92,519
2015.12.16 20:30,26.91,27.03,26.65,26.83,616
2015.12.16 21:30,26.80,27.05,26.74,26.98,521
2015.12.16 22:30,26.99,27.02,26.78,26.80,168
2015.12.17 16:30,26.97,26.97,26.04,26.17,1419
2015.12.17 17:30,26.18,26.24,25.74,25.89,763
2015.12.17 18:30,25.88,26.11,25.83,25.87,359
2015.12.17 19:30,25.87,26.01,25.77,25.93,281
2015.12.17 20:30,25.92,25.96,25.89,25.92,132
2015.12.17 21:30,25.93,26.04,25.85,25.98,173
2015.12.17 22:30,25.97,26.04,25.85,25.88,107
2015.12.18 16:30,25.67,26.07,25.42,25.42,1548
2015.12.18 17:30,25.41,25.56,25.21,25.50,1242
2015.12.18 18:30,25.49,25.74,25.43,25.51,359
2015.12.18 19:30,25.51,25.59,25.32,25.39,407
2015.12.18 20:30,25.40,25.47,25.32,25.47,311
2015.12.18 21:30,25.48,25.49,25.34,25.36,322
2015.12.18 22:30,25.35,25.43,25.27,25.28,132
2015.12.21 16:30,25.36,25.66,25.18,25.28,1300
2015.12.21 17:30,25.29,25.49,25.26,25.37,499
2015.12.21 18:30,25.36,25.37,25.21,25.28,506
2015.12.21 19:30,25.29,25.49,25.29,25.48,323
2015.12.21 20:30,25.49,25.49,25.36,25.46,162
2015.12.21 21:30,25.45,25.54,25.41,25.48,204
2015.12.21 22:30,25.49,25.53,25.42,25.53,185
2015.12.22 16:30,25.58,27.21,25.58,26.72,2967
2015.12.22 17:30,26.71,27.15,26.63,27.08,955
2015.12.22 18:30,27.07,27.15,26.97,27.04,595
2015.12.22 19:30,27.03,27.12,26.88,27.06,562
2015.12.22 20:30,27.05,27.09,26.87,26.99,472
2015.12.22 21:30,27.00,27.24,26.88,27.21,429
2015.12.22 22:30,27.20,27.22,27.08,27.21,155
2015.12.23 16:30,27.28,27.47,26.73,27.23,1408
2015.12.23 17:30,27.24,27.80,27.24,27.56,1089
2015.12.23 18:30,27.56,27.70,27.50,27.55,346
2015.12.23 19:30,27.54,27.62,27.41,27.49,211
2015.12.23 20:30,27.50,27.50,27.35,27.39,218
2015.12.23 21:30,27.41,27.44,27.24,27.31,250
2015.12.23 22:30,27.30,27.41,27.30,27.40,59
2015.12.24 16:30,27.38,27.51,26.68,26.86,1179
2015.12.24 17:30,26.87,27.09,26.76,27.03,346
2015.12.24 18:30,27.04,27.30,27.04,27.29,301
2015.12.24 19:30,27.28,27.33,27.14,27.18,140
2015.12.28 16:30,27.03,27.52,27.03,27.37,1095
2015.12.28 17:30,27.36,27.58,27.28,27.44,729
2015.12.28 18:30,27.45,27.58,27.35,27.57,398
