Date,Open,High,Low,Close,Volume
2015.12.14 17:30,16.61,16.68,16.51,16.54,301
2015.12.14 18:30,16.53,16.78,16.49,16.78,226
2015.12.14 19:30,16.79,16.81,16.70,16.76,190
2015.12.14 20:30,16.75,16.81,16.69,16.74,148
2015.12.14 21:30,16.73,16.79,16.68,16.72,118
2015.12.14 22:30,16.71,16.80,16.68,16.79,71
2015.12.15 16:30,17.05,17.15,16.98,17.13,212
2015.12.15 17:30,17.14,17.27,17.09,17.22,151
2015.12.15 18:30,17.23,17.28,17.20,17.27,109
2015.12.15 19:30,17.28,17.38,17.28,17.31,154
2015.12.15 20:30,17.32,17.46,17.30,17.42,119
2015.12.15 21:30,17.43,17.48,17.40,17.41,39
2015.12.15 22:30,17.40,17.44,17.38,17.42,47
2015.12.16 16:30,17.71,17.72,17.46,17.49,353
2015.12.16 17:30,17.48,17.52,17.37,17.39,202
2015.12.16 18:30,17.40,17.57,17.40,17.44,107
2015.12.16 19:30,17.45,17.53,17.42,17.52,100
2015.12.16 20:30,17.51,17.76,17.31,17.32,1329
2015.12.16 21:30,17.31,17.72,17.22,17.71,439
2015.12.16 22:30,17.72,17.74,17.69,17.71,67
2015.12.17 16:30,17.75,17.76,17.52,17.55,347
2015.12.17 17:30,17.56,17.62,17.37,17.45,150
2015.12.17 18:30,17.44,17.49,17.35,17.38,165
2015.12.17 19:30,17.37,17.43,17.32,17.40,134
2015.12.17 20:30,17.39,17.51,17.39,17.48,122
2015.12.17 21:30,17.49,17.49,17.36,17.40,104
2015.12.17 22:30,17.39,17.44,17.29,17.29,59
2015.12.18 16:30,17.13,17.25,17.04,17.07,440
2015.12.18 17:30,17.06,17.16,17.02,17.10,181
2015.12.18 18:30,17.11,17.11,16.93,16.98,116
2015.12.18 19:30,16.97,16.97,16.91,16.93,129
2015.12.18 20:30,16.92,17.12,16.90,17.09,151
2015.12.18 21:30,17.08,17.09,16.88,16.91,128
2015.12.18 22:30,16.92,16.95,16.76,16.76,50
2015.12.21 16:30,16.98,17.01,16.87,16.93,353
2015.12.21 17:30,16.94,16.96,16.86,16.90,115
2015.12.21 18:30,16.89,16.89,16.77,16.80,112
2015.12.21 19:30,16.81,16.94,16.81,16.93,95
2015.12.21 20:30,16.94,16.96,16.86,16.87,38
2015.12.21 21:30,16.86,16.89,16.82,16.85,58
2015.12.21 22:30,16.86,16.95,16.84,16.95,49
2015.12.22 16:30,17.08,17.08,16.90,16.97,274
2015.12.22 17:30,16.98,16.98,16.85,16.87,82
2015.12.22 18:30,16.88,16.98,16.87,16.97,70
2015.12.22 19:30,16.98,17.06,16.98,17.06,59
2015.12.22 20:30,17.05,17.07,17.02,17.02,32
2015.12.22 21:30,17.03,17.09,17.02,17.07,51
2015.12.22 22:30,17.06,17.08,17.00,17.06,35
2015.12.23 16:30,17.17,17.18,17.08,17.15,186
2015.12.23 17:30,17.14,17.22,17.14,17.20,63
2015.12.23 18:30,17.21,17.24,17.19,17.24,42
