Date,Open,High,Low,Close,Volume
2015.12.14 18:30,42.07,42.29,41.97,42.26,635
2015.12.14 19:30,42.27,42.34,42.07,42.14,375
2015.12.14 20:30,42.15,42.18,42.06,42.08,220
2015.12.14 21:30,42.07,42.22,42.04,42.17,279
2015.12.14 22:30,42.16,42.49,42.15,42.42,253
2015.12.15 16:30,42.84,43.23,42.81,43.04,528
2015.12.15 17:30,43.03,43.09,42.85,42.97,216
2015.12.15 18:30,42.98,43.00,42.76,42.97,265
2015.12.15 19:30,42.98,43.18,42.98,43.04,245
2015.12.15 20:30,43.05,43.13,42.97,43.01,158
2015.12.15 21:30,43.02,43.11,42.97,43.01,155
2015.12.15 22:30,43.00,43.10,42.96,43.07,129
2015.12.16 16:30,43.36,43.49,43.25,43.39,421
2015.12.16 17:30,43.38,43.57,43.38,43.40,185
2015.12.16 18:30,43.41,43.66,43.40,43.64,152
2015.12.16 19:30,43.64,43.68,43.57,43.63,145
2015.12.16 20:30,43.62,43.76,43.25,43.67,1712
2015.12.16 21:30,43.66,43.77,43.55,43.76,637
2015.12.16 22:30,43.77,43.89,43.76,43.82,155
2015.12.17 16:30,43.77,43.80,43.42,43.72,859
2015.12.17 17:30,43.73,43.88,43.65,43.72,410
2015.12.17 18:30,43.71,43.83,43.65,43.79,323
2015.12.17 19:30,43.80,43.86,43.70,43.82,288
2015.12.17 20:30,43.81,43.84,43.70,43.75,219
2015.12.17 21:30,43.76,43.76,43.60,43.65,204
2015.12.17 22:30,43.64,43.74,43.46,43.46,186
2015.12.18 16:30,43.17,43.26,42.71,42.75,1782
2015.12.18 17:30,42.74,42.93,42.65,42.84,421
2015.12.18 18:30,42.84,42.89,42.65,42.69,310
2015.12.18 19:30,42.68,42.86,42.64,42.79,310
2015.12.18 20:30,42.80,42.97,42.76,42.97,335
2015.12.18 21:30,42.96,42.96,42.61,42.70,421
2015.12.18 22:30,42.69,42.70,42.49,42.50,188
2015.12.21 16:30,42.69,42.93,42.64,42.88,900
2015.12.21 17:30,42.87,42.87,42.54,42.58,234
2015.12.21 18:30,42.57,42.59,42.46,42.47,343
2015.12.21 19:30,42.48,42.57,42.47,42.52,207
2015.12.21 20:30,42.53,42.63,42.51,42.57,192
2015.12.21 21:30,42.56,42.64,42.47,42.49,193
2015.12.21 22:30,42.48,42.78,42.47,42.77,205
2015.12.22 16:30,42.84,42.97,42.70,42.93,911
2015.12.22 17:30,42.92,42.97,42.75,42.75,219
2015.12.22 18:30,42.76,42.97,42.76,42.96,229
2015.12.22 19:30,42.95,43.00,42.90,42.90,228
2015.12.22 20:30,42.91,43.02,42.88,43.01,105
2015.12.22 21:30,43.00,43.34,42.96,43.34,221
2015.12.22 22:30,43.35,43.38,43.14,43.26,153
2015.12.23 16:30,43.47,43.67,43.38,43.40,688
2015.12.23 17:30,43.39,43.61,43.39,43.59,257
2015.12.23 18:30,43.60,43.65,43.51,43.61,190
2015.12.23 19:30,43.62,43.65,43.45,43.47,152
2015.12.23 20:30,43.48,43.65,43.43,43.65,200
2015.12.23 21:30,43.66,43.72,43.60,43.61,153
2015.12.23 22:30,43.60,43.67,43.56,43.66,78
2015.12.24 16:30,43.55,43.71,43.39,43.64,421
2015.12.24 17:30,43.64,43.64,43.52,43.58,141
2015.12.24 18:30,43.59,43.64,43.54,43.61,141
2015.12.24 19:30,43.60,43.63,43.52,43.53,126
2015.12.28 16:30,43.42,43.51,43.32,43.45,458
2015.12.28 17:30,43.44,43.47,43.32,43.35,108
2015.12.28 18:30,43.36,43.38,43.32,43.35,120
2015.12.28 19:30,43.36,43.42,43.31,43.40,152
2015.12.28 20:30,43.41,43.45,43.36,43.45,146
2015.12.28 21:30,43.44,43.47,43.38,43.45,110
2015.12.28 22:30,43.46,43.46,43.39,43.46,45
2015.12.29 16:30,43.58,43.74,43.50,43.65,575
2015.12.29 17:30,43.66,43.73,43.63,43.72,72
2015.12.29 18:30,43.73,43.78,43.70,43.76,120
2015.12.29 19:30,43.75,43.76,43.65,43.65,81
2015.12.29 20:30,43.66,43.71,43.63,43.67,81
2015.12.29 21:30,43.66,43.77,43.60,43.75,122
2015.12.29 22:30,43.76,43.76,43.64,43.67,72
2015.12.30 16:30,43.69,43.71,43.47,43.52,331
2015.12.30 17:30,43.51,43.64,43.49,43.61,143
2015.12.30 18:30,43.60,43.68,43.56,43.67,91
2015.12.30 19:30,43.68,43.73,43.65,43.67,78
2015.12.30 20:30,43.68,43.74,43.68,43.71,60
2015.12.30 21:30,43.70,43.71,43.64,43.68,43
2015.12.30 22:30,43.67,43.67,43.45,43.55,144
2015.12.31 16:30,43.15,43.15,42.86,42.95,764
2015.12.31 17:30,42.94,43.13,42.89,43.11,189
2015.12.31 18:30,43.10,43.22,43.04,43.21,136
2015.12.31 19:30,43.20,43.26,43.08,43.11,128
2015.12.31 20:30,43.12,43.19,43.11,43.15,50
2016.01.04 16:30,42.33,42.48,42.18,42.26,1248
2016.01.04 17:30,42.25,42.32,42.11,42.15,347
2016.01.04 18:30,42.14,42.18,42.01,42.04,289
2016.01.04 19:30,42.04,42.29,42.03,42.18,339
2016.01.04 20:30,42.17,42.19,42.00,42.13,259
2016.01.04 21:30,42.14,42.14,41.96,42.04,371
2016.01.04 22:30,42.05,42.39,42.04,42.38,249
2016.01.05 16:30,42.30,42.61,42.17,42.17,527
2016.01.05 17:30,42.18,42.42,42.17,42.36,211
2016.01.05 18:30,42.35,42.43,42.27,42.31,271
2016.01.05 19:30,42.32,42.36,42.21,42.26,308
2016.01.05 20:30,42.27,42.56,42.23,42.54,246
2016.01.05 21:30,42.54,42.56,42.29,42.38,191
2016.01.05 22:30,42.39,42.56,42.35,42.53,200
2016.01.06 16:30,42.22,42.47,42.17,42.46,982
2016.01.06 17:30,42.45,42.48,42.22,42.42,257
2016.01.06 18:30,42.43,42.46,42.32,42.40,177
2016.01.06 19:30,42.41,42.51,42.33,42.39,232
2016.01.06 20:30,42.38,42.48,42.28,42.42,333
2016.01.06 21:30,42.41,42.42,42.13,42.34,392
2016.01.06 22:30,42.35,42.39,42.23,42.31,162
2016.01.07 16:30,41.72,42.04,41.67,41.92,858
2016.01.07 17:30,41.93,42.11,41.93,41.95,361
2016.01.07 18:30,41.96,42.01,41.81,41.81,265
2016.01.07 19:30,41.82,41.93,41.58,41.67,384
