Date,Open,High,Low,Close,Volume
2015.12.11 18:30,177.93,178.71,177.57,177.67,2482
2015.12.11 19:30,177.67,177.76,177.02,177.18,2034
2015.12.11 20:30,177.17,177.54,176.85,177.10,2407
2015.12.11 21:30,177.11,177.27,175.43,176.05,2436
2015.12.11 22:30,176.04,176.75,175.64,176.38,1991
2015.12.14 16:30,176.94,178.47,175.64,175.75,5590
2015.12.14 17:30,175.75,176.13,173.20,173.76,4485
2015.12.14 18:30,173.76,175.59,172.89,175.51,3453
2015.12.14 19:30,175.52,175.98,174.67,174.86,3297
2015.12.14 20:30,174.85,175.01,174.07,174.38,3145
2015.12.14 21:30,174.37,175.46,174.10,175.43,2783
2015.12.14 22:30,175.42,176.19,174.85,176.15,2001
2015.12.15 16:30,179.47,180.85,178.74,180.66,2700
2015.12.15 17:30,180.67,181.94,180.21,181.83,2727
2015.12.15 18:30,181.84,182.04,180.79,181.45,3071
2015.12.15 19:30,181.42,182.49,181.38,181.83,3581
2015.12.15 20:30,181.86,183.22,181.67,182.87,3098
2015.12.15 21:30,182.86,183.20,182.22,182.33,2278
2015.12.15 22:30,182.34,182.44,181.90,181.99,1952
2015.12.16 16:30,184.45,185.24,183.13,183.48,2656
2015.12.16 17:30,183.47,183.63,182.19,182.52,3148
2015.12.16 18:30,182.52,183.62,182.51,183.19,2379
2015.12.16 19:30,183.18,183.61,182.62,183.06,2371
2015.12.16 20:30,183.07,185.33,181.65,182.88,4090
2015.12.16 21:30,182.92,186.41,182.14,186.34,5179
2015.12.16 22:30,186.34,186.82,186.07,186.09,1859
2015.12.17 16:30,187.20,187.76,184.01,184.40,3583
2015.12.17 17:30,184.39,184.86,182.72,183.36,3262
2015.12.17 18:30,183.35,184.19,182.94,183.59,2818
2015.12.17 19:30,183.59,184.17,182.89,183.82,2651
2015.12.17 20:30,183.81,184.74,183.81,184.37,2659
2015.12.17 21:30,184.38,184.56,183.03,183.35,2492
2015.12.17 22:30,183.34,183.93,182.52,182.53,2248
2015.12.18 16:30,180.89,181.53,178.84,178.98,6922
2015.12.18 17:30,178.98,179.14,177.75,178.33,6308
2015.12.18 18:30,178.33,178.73,177.25,177.48,4247
2015.12.18 19:30,177.44,177.71,177.00,177.06,3835
2015.12.18 20:30,177.05,178.07,176.97,177.86,3672
2015.12.18 21:30,177.87,177.87,175.42,175.92,3101
2015.12.18 22:30,175.91,176.28,175.32,175.45,2916
2015.12.21 16:30,177.37,178.12,176.50,177.81,5731
2015.12.21 17:30,177.81,178.06,176.23,176.52,4635
2015.12.21 18:30,176.51,176.51,175.78,176.27,5286
2015.12.21 19:30,176.26,177.01,176.22,176.96,3976
2015.12.21 20:30,176.97,177.32,176.84,177.00,3123
2015.12.21 21:30,176.98,177.03,176.28,176.64,3672
2015.12.21 22:30,176.65,177.76,176.46,177.66,2695
2015.12.22 16:30,178.39,178.64,177.06,177.93,4598
2015.12.22 17:30,177.94,178.18,177.36,177.45,4860
2015.12.22 18:30,177.44,178.73,177.44,178.57,2842
2015.12.22 19:30,178.58,179.69,178.57,179.63,2392
