Date,Open,High,Low,Close,Volume
2015.12.14 18:30,31.73,32.36,31.61,32.35,994
2015.12.14 19:30,32.36,32.40,32.03,32.17,547
2015.12.14 20:30,32.16,32.21,31.92,32.03,548
2015.12.14 21:30,32.02,32.24,31.99,32.15,380
2015.12.14 22:30,32.14,32.24,32.05,32.24,201
2015.12.15 16:30,32.81,33.17,32.78,33.13,882
2015.12.15 17:30,33.12,33.25,32.97,33.13,499
2015.12.15 18:30,33.14,33.17,32.85,32.95,477
2015.12.15 19:30,32.96,33.24,32.96,33.02,402
2015.12.15 20:30,33.03,33.24,32.96,33.17,372
2015.12.15 21:30,33.18,33.25,33.14,33.21,217
2015.12.15 22:30,33.20,33.27,33.11,33.16,152
2015.12.16 16:30,33.73,33.79,33.24,33.39,870
2015.12.16 17:30,33.38,33.45,32.82,32.90,594
2015.12.16 18:30,32.89,33.14,32.89,32.99,509
2015.12.16 19:30,33.00,33.25,32.95,33.24,379
2015.12.16 20:30,33.23,33.73,32.92,33.11,2642
2015.12.16 21:30,33.12,33.85,32.81,33.82,1678
2015.12.16 22:30,33.83,33.99,33.77,33.80,257
2015.12.17 16:30,34.01,34.06,33.39,33.50,1288
2015.12.17 17:30,33.51,33.57,33.07,33.22,702
2015.12.17 18:30,33.21,33.42,33.14,33.24,575
2015.12.17 19:30,33.25,33.39,33.09,33.31,556
2015.12.17 20:30,33.30,33.50,33.28,33.43,430
2015.12.17 21:30,33.44,33.46,33.28,33.35,388
2015.12.17 22:30,33.34,33.45,33.17,33.17,256
2015.12.18 16:30,32.85,33.02,32.47,32.53,1458
2015.12.18 17:30,32.52,32.70,32.42,32.60,749
2015.12.18 18:30,32.59,32.61,32.22,32.31,489
2015.12.18 19:30,32.30,32.35,32.14,32.21,486
2015.12.18 20:30,32.20,32.43,32.15,32.39,523
2015.12.18 21:30,32.40,32.40,31.99,32.06,516
2015.12.18 22:30,32.05,32.14,31.89,31.91,276
2015.12.21 16:30,32.26,32.38,32.00,32.22,1260
2015.12.21 17:30,32.23,32.34,32.04,32.10,482
2015.12.21 18:30,32.09,32.09,31.86,31.93,468
2015.12.21 19:30,31.94,32.09,31.94,32.06,330
2015.12.21 20:30,32.07,32.13,32.03,32.04,254
2015.12.21 21:30,32.03,32.04,31.88,31.96,244
2015.12.21 22:30,31.95,32.20,31.93,32.19,179
2015.12.22 16:30,32.43,32.43,32.14,32.40,1227
2015.12.22 17:30,32.41,32.45,32.31,32.35,366
2015.12.22 18:30,32.36,32.54,32.35,32.53,339
2015.12.22 19:30,32.54,32.68,32.53,32.67,204
2015.12.22 20:30,32.68,32.79,32.60,32.71,275
2015.12.22 21:30,32.72,32.95,32.70,32.90,222
2015.12.22 22:30,32.90,32.96,32.80,32.88,174
2015.12.23 16:30,33.08,33.15,32.72,33.01,1084
2015.12.23 17:30,33.02,33.14,32.97,32.99,442
2015.12.23 18:30,33.00,33.09,32.92,33.03,250
2015.12.23 19:30,33.04,33.07,32.93,32.96,229
2015.12.23 20:30,32.97,33.04,32.90,33.02,230
2015.12.23 21:30,33.01,33.10,32.96,32.99,192
2015.12.23 22:30,32.98,33.06,32.93,33.03,147
2015.12.24 16:30,33.01,33.10,32.92,33.07,431
2015.12.24 17:30,33.08,33.15,33.06,33.11,209
2015.12.24 18:30,33.12,33.20,33.03,33.18,149
2015.12.24 19:30,33.19,33.25,33.03,33.03,111
2015.12.28 16:30,32.84,32.86,32.65,32.74,784
2015.12.28 17:30,32.73,32.79,32.60,32.74,269
2015.12.28 18:30,32.75,32.90,32.72,32.88,348
2015.12.28 19:30,32.89,32.97,32.82,32.96,229
2015.12.28 20:30,32.97,33.04,32.89,33.02,261
2015.12.28 21:30,33.01,33.10,32.96,33.06,223
2015.12.28 22:30,33.05,33.09,33.03,33.08,69
2015.12.29 16:30,33.46,33.57,33.38,33.53,659
2015.12.29 17:30,33.54,33.57,33.40,33.43,250
2015.12.29 18:30,33.44,33.46,33.28,33.32,244
2015.12.29 19:30,33.33,33.49,33.28,33.42,258
2015.12.29 20:30,33.43,33.53,33.38,33.50,214
2015.12.29 21:30,33.49,33.57,33.43,33.57,183
2015.12.29 22:30,33.56,33.59,33.41,33.53,108
2015.12.30 16:30,33.49,33.63,33.34,33.49,484
2015.12.30 17:30,33.48,33.71,33.46,33.67,221
2015.12.30 18:30,33.65,33.65,33.57,33.61,167
2015.12.30 19:30,33.60,33.61,33.39,33.42,159
2015.12.30 20:30,33.43,33.47,33.40,33.43,120
2015.12.30 21:30,33.44,33.46,33.38,33.38,129
2015.12.30 22:30,33.37,33.38,33.21,33.21,197
2015.12.31 16:30,32.89,33.14,32.85,32.95,750
2015.12.31 17:30,32.95,33.18,32.88,33.09,251
2015.12.31 18:30,33.08,33.40,33.06,33.36,186
2015.12.31 19:30,33.37,33.46,33.24,33.28,243
2015.12.31 20:30,33.29,33.41,33.28,33.39,69
2016.01.04 16:30,31.87,32.07,31.66,31.84,1518
2016.01.04 17:30,31.83,31.83,31.46,31.56,540
2016.01.04 18:30,31.55,31.77,31.55,31.61,495
2016.01.04 19:30,31.62,31.84,31.55,31.75,535
2016.01.04 20:30,31.74,31.80,31.63,31.74,345
2016.01.04 21:30,31.75,31.76,31.57,31.63,407
2016.01.04 22:30,31.64,31.98,31.64,31.97,214
2016.01.05 16:30,32.03,32.22,31.81,31.81,818
2016.01.05 17:30,31.80,32.04,31.70,31.73,391
