Date,Open,High,Low,Close,Volume
2015.12.09 20:30,3.77,3.78,3.73,3.73,17
2015.12.09 21:30,3.74,3.80,3.73,3.74,29
2015.12.09 22:30,3.75,3.75,3.72,3.73,8
2015.12.10 16:30,3.79,3.89,3.79,3.88,62
2015.12.10 17:30,3.87,3.93,3.87,3.93,27
2015.12.10 18:30,3.92,3.93,3.89,3.92,37
2015.12.10 19:30,3.91,3.94,3.91,3.93,9
2015.12.10 20:30,3.94,3.94,3.90,3.92,13
2015.12.10 21:30,3.91,3.93,3.90,3.93,21
2015.12.10 22:30,3.92,3.93,3.89,3.93,9
2015.12.11 16:30,3.85,3.88,3.81,3.83,35
2015.12.11 17:30,3.84,3.86,3.80,3.80,15
2015.12.11 18:30,3.79,3.79,3.71,3.71,17
2015.12.11 19:30,3.72,3.73,3.70,3.71,6
2015.12.11 20:30,3.70,3.70,3.65,3.66,17
2015.12.11 21:30,3.65,3.70,3.64,3.64,24
2015.12.11 22:30,3.65,3.65,3.63,3.64,6
2015.12.14 16:30,3.62,3.63,3.51,3.54,42
2015.12.14 17:30,3.55,3.56,3.54,3.54,9
2015.12.14 18:30,3.53,3.55,3.51,3.55,19
2015.12.14 19:30,3.54,3.55,3.52,3.53,16
2015.12.14 20:30,3.54,3.55,3.51,3.52,17
2015.12.14 21:30,3.53,3.55,3.53,3.53,11
2015.12.14 22:30,3.52,3.52,3.50,3.50,6
2015.12.15 16:30,3.52,3.55,3.50,3.55,20
2015.12.15 17:30,3.54,3.54,3.54,3.54,1
2015.12.15 18:30,3.55,3.56,3.54,3.55,5
2015.12.15 19:30,3.56,3.59,3.55,3.55,14
2015.12.15 21:30,3.54,3.55,3.54,3.54,7
2015.12.15 22:30,3.52,3.53,3.51,3.51,7
2015.12.16 16:30,3.55,3.62,3.53,3.61,26
2015.12.16 17:30,3.62,3.64,3.62,3.63,8
2015.12.16 18:30,3.62,3.65,3.62,3.62,8
2015.12.16 19:30,3.63,3.64,3.63,3.64,2
2015.12.16 20:30,3.63,3.65,3.61,3.63,44
2015.12.16 21:30,3.62,3.68,3.62,3.66,19
2015.12.16 22:30,3.67,3.69,3.67,3.67,11
2015.12.17 16:30,3.70,3.71,3.60,3.64,68
2015.12.17 17:30,3.63,3.64,3.61,3.64,14
2015.12.17 18:30,3.65,3.66,3.64,3.64,8
2015.12.17 19:30,3.65,3.65,3.62,3.63,7
2015.12.17 20:30,3.64,3.64,3.63,3.63,2
2015.12.17 21:30,3.62,3.63,3.61,3.62,15
2015.12.17 22:30,3.60,3.60,3.59,3.59,2
2015.12.18 16:30,3.58,3.61,3.56,3.60,38
2015.12.18 17:30,3.59,3.60,3.58,3.58,16
2015.12.18 18:30,3.59,3.60,3.55,3.56,14
2015.12.18 19:30,3.55,3.59,3.55,3.57,15
2015.12.18 20:30,3.58,3.61,3.57,3.60,37
2015.12.18 21:30,3.61,3.66,3.61,3.64,34
2015.12.18 22:30,3.63,3.64,3.60,3.64,16
2015.12.21 16:30,3.65,3.66,3.59,3.61,25
2015.12.21 17:30,3.60,3.62,3.59,3.59,16
2015.12.21 18:30,3.58,3.58,3.58,3.58,1
2015.12.21 19:30,3.59,3.65,3.59,3.64,10
2015.12.21 20:30,3.65,3.67,3.62,3.62,16
2015.12.21 21:30,3.61,3.61,3.60,3.61,3
2015.12.21 22:30,3.60,3.61,3.60,3.61,2
2015.12.22 16:30,3.62,3.70,3.61,3.69,49
2015.12.22 17:30,3.68,3.69,3.68,3.68,3
2015.12.22 18:30,3.69,3.69,3.65,3.67,11
2015.12.22 19:30,3.68,3.69,3.67,3.69,4
2015.12.22 20:30,3.70,3.72,3.70,3.70,11
2015.12.22 21:30,3.71,3.72,3.70,3.72,6
2015.12.22 22:30,3.71,3.72,3.70,3.72,6
2015.12.23 16:30,3.73,3.79,3.73,3.78,35
2015.12.23 17:30,3.79,3.79,3.77,3.78,8
2015.12.23 18:30,3.79,3.79,3.78,3.78,2
2015.12.23 19:30,3.79,3.79,3.78,3.79,3
2015.12.23 20:30,3.79,3.83,3.79,3.82,16
2015.12.23 21:30,3.83,3.85,3.81,3.85,7
2015.12.23 22:30,3.86,3.90,3.84,3.90,22
2015.12.24 16:30,3.89,3.91,3.83,3.87,59
2015.12.24 17:30,3.86,3.86,3.82,3.84,13
2015.12.24 18:30,3.83,3.83,3.83,3.83,1
2015.12.24 19:30,3.82,3.82,3.81,3.82,3
2015.12.28 16:30,3.79,3.85,3.78,3.82,30
2015.12.28 17:30,3.83,3.84,3.81,3.82,8
2015.12.28 18:30,3.81,3.83,3.80,3.80,8
2015.12.28 19:30,3.81,3.83,3.81,3.82,4
2015.12.28 21:30,3.81,3.81,3.81,3.81,1
2015.12.28 22:30,3.80,3.80,3.79,3.80,3
2015.12.29 16:30,3.83,3.85,3.82,3.84,14
2015.12.29 17:30,3.83,3.85,3.82,3.85,11
2015.12.29 18:30,3.86,3.86,3.82,3.83,6
2015.12.29 19:30,3.82,3.83,3.82,3.82,41
2015.12.29 20:30,3.83,3.84,3.82,3.82,5
2015.12.29 21:30,3.84,3.84,3.83,3.83,2
2015.12.29 22:30,3.82,3.84,3.82,3.84,7
2015.12.30 16:30,3.81,3.86,3.80,3.80,16
2015.12.30 17:30,3.79,3.81,3.78,3.80,13
2015.12.30 18:30,3.79,3.79,3.75,3.75,5
2015.12.30 19:30,3.74,3.74,3.68,3.71,17
2015.12.30 20:30,3.70,3.70,3.68,3.69,14
2015.12.30 21:30,3.70,3.70,3.65,3.66,11
2015.12.30 22:30,3.65,3.68,3.61,3.62,15
2015.12.31 16:30,3.61,3.64,3.55,3.56,37
2015.12.31 17:30,3.57,3.58,3.54,3.57,9
2015.12.31 18:30,3.56,3.56,3.56,3.56,1
2015.12.31 19:30,3.55,3.58,3.55,3.58,4
2015.12.31 20:30,3.59,3.61,3.59,3.60,6
2016.01.04 16:30,3.50,3.57,3.49,3.51,60
2016.01.04 17:30,3.50,3.51,3.45,3.46,13
2016.01.04 18:30,3.45,3.46,3.43,3.45,11
2016.01.04 19:30,3.46,3.52,3.46,3.51,10
2016.01.04 20:30,3.50,3.50,3.48,3.49,18
2016.01.04 21:30,3.48,3.53,3.48,3.50,17
