Date,Open,High,Low,Close,Volume
2015.12.11 18:30,19.71,19.77,19.63,19.66,142
2015.12.11 19:30,19.67,19.75,19.66,19.66,98
2015.12.11 20:30,19.65,19.69,19.58,19.66,89
2015.12.11 21:30,19.67,19.70,19.61,19.65,104
2015.12.11 22:30,19.67,19.68,19.61,19.64,50
2015.12.14 16:30,19.65,19.76,19.50,19.54,660
2015.12.14 17:30,19.53,19.59,19.45,19.50,231
2015.12.14 18:30,19.49,19.55,19.46,19.54,212
2015.12.14 19:30,19.55,19.65,19.50,19.57,175
2015.12.14 20:30,19.56,19.60,19.51,19.55,112
2015.12.14 21:30,19.54,19.57,19.48,19.50,153
2015.12.14 22:30,19.49,19.53,19.47,19.53,56
2015.12.15 16:30,20.11,20.19,19.95,20.15,301
2015.12.15 17:30,20.14,20.21,20.14,20.21,54
2015.12.15 18:30,20.20,20.31,20.19,20.31,35
2015.12.15 19:30,20.30,20.36,20.29,20.29,56
2015.12.15 20:30,20.28,20.36,20.22,20.36,60
2015.12.15 21:30,20.35,20.35,20.25,20.25,31
2015.12.15 22:30,20.26,20.27,20.14,20.17,43
2015.12.16 16:30,20.31,20.39,20.17,20.18,251
2015.12.16 17:30,20.18,20.35,20.16,20.27,161
2015.12.16 18:30,20.26,20.31,20.25,20.28,121
2015.12.16 19:30,20.27,20.30,20.23,20.26,64
2015.12.16 20:30,20.25,20.39,20.16,20.32,783
2015.12.16 21:30,20.31,20.49,20.28,20.48,236
2015.12.16 22:30,20.49,20.53,20.45,20.46,22
2015.12.17 16:30,20.54,20.56,20.34,20.40,186
2015.12.17 17:30,20.41,20.41,20.16,20.23,107
2015.12.17 18:30,20.22,20.29,20.20,20.21,78
2015.12.17 19:30,20.22,20.31,20.16,20.28,81
2015.12.17 20:30,20.29,20.34,20.26,20.29,89
2015.12.17 21:30,20.28,20.29,20.21,20.25,54
2015.12.17 22:30,20.24,20.27,20.14,20.16,42
2015.12.18 16:30,20.07,20.28,20.07,20.20,402
2015.12.18 17:30,20.19,20.21,20.14,20.19,127
2015.12.18 18:30,20.20,20.23,20.15,20.20,85
2015.12.18 19:30,20.19,20.24,20.16,20.20,94
2015.12.18 20:30,20.19,20.31,20.19,20.30,64
2015.12.18 21:30,20.31,20.35,20.25,20.25,95
2015.12.18 22:30,20.26,20.28,20.19,20.19,32
2015.12.21 16:30,20.26,20.36,20.23,20.33,246
2015.12.21 17:30,20.32,20.32,20.28,20.30,39
2015.12.21 18:30,20.29,20.31,20.22,20.30,104
2015.12.21 19:30,20.29,20.33,20.29,20.32,52
2015.12.21 20:30,20.31,20.36,20.31,20.32,26
