Date,Open,High,Low,Close,Volume
2015.12.15 16:30,74.75,75.09,74.25,74.27,1142
2015.12.15 17:30,74.26,74.33,73.80,73.98,994
2015.12.15 18:30,73.99,74.48,73.99,74.32,760
2015.12.15 19:30,74.33,74.65,74.01,74.02,674
2015.12.15 20:30,74.02,74.66,74.00,74.63,794
2015.12.15 21:30,74.64,74.74,74.37,74.40,602
2015.12.15 22:30,74.39,74.49,74.26,74.31,579
2015.12.16 16:30,74.75,75.47,74.66,75.30,655
2015.12.16 17:30,75.29,75.36,74.69,74.71,622
2015.12.16 18:30,74.70,74.94,74.54,74.60,428
2015.12.16 19:30,74.61,74.85,74.60,74.76,411
2015.12.16 20:30,74.77,75.36,74.35,74.77,1156
2015.12.16 21:30,74.74,75.42,74.62,75.41,761
2015.12.16 22:30,75.40,75.60,75.35,75.46,443
2015.12.17 16:30,75.07,75.39,74.24,74.26,1161
2015.12.17 17:30,74.25,74.31,73.21,73.35,668
2015.12.17 18:30,73.34,73.96,73.29,73.71,771
2015.12.17 19:30,73.70,73.82,73.51,73.66,662
2015.12.17 20:30,73.63,73.79,73.53,73.72,529
2015.12.17 21:30,73.71,73.76,73.32,73.53,629
2015.12.17 22:30,73.52,73.58,73.17,73.18,557
2015.12.18 16:30,72.78,72.81,71.90,72.33,1566
2015.12.18 17:30,72.33,72.52,71.86,72.52,1409
2015.12.18 18:30,72.53,72.74,72.11,72.20,882
2015.12.18 19:30,72.20,72.38,72.02,72.34,677
2015.12.18 20:30,72.35,72.54,72.09,72.54,697
2015.12.18 21:30,72.53,72.54,72.01,72.07,718
2015.12.18 22:30,72.08,72.20,71.78,71.79,537
2015.12.21 16:30,72.97,74.16,72.84,74.10,1965
2015.12.21 17:30,74.11,74.85,74.11,74.59,1445
2015.12.21 18:30,74.59,74.71,74.10,74.13,1268
2015.12.21 19:30,74.16,74.55,74.03,74.26,742
2015.12.21 20:30,74.27,74.48,73.97,74.11,597
2015.12.21 21:30,74.09,74.35,73.96,74.26,923
2015.12.21 22:30,74.27,74.46,74.21,74.44,641
2015.12.22 16:30,74.53,75.68,74.50,74.98,1653
2015.12.22 17:30,74.97,75.53,74.79,75.49,1417
2015.12.22 18:30,75.48,76.09,75.41,75.89,1107
2015.12.22 19:30,75.88,76.05,75.72,76.04,723
2015.12.22 20:30,76.05,76.33,75.85,76.16,504
2015.12.22 21:30,76.15,76.37,75.96,76.24,485
2015.12.22 22:30,76.25,76.26,75.72,75.95,604
2015.12.23 16:30,76.40,77.71,76.35,77.65,1761
2015.12.23 17:30,77.65,78.56,77.65,77.84,1123
2015.12.23 18:30,77.84,78.09,77.56,77.92,749
2015.12.23 19:30,77.91,77.96,77.61,77.65,670
2015.12.23 20:30,77.67,77.77,77.36,77.72,534
2015.12.23 21:30,77.73,78.05,77.64,77.82,592
2015.12.23 22:30,77.83,77.89,77.58,77.73,577
2015.12.24 16:30,77.45,77.74,76.88,76.98,835
2015.12.24 17:30,76.96,77.03,76.61,76.80,521
2015.12.24 18:30,76.82,77.03,76.66,76.99,427
2015.12.24 19:30,77.00,77.29,76.96,76.96,496
2015.12.28 16:30,76.74,77.06,75.92,76.25,804
2015.12.28 17:30,76.25,76.26,75.78,76.02,567
2015.12.28 18:30,76.02,76.39,75.93,76.39,466
2015.12.28 19:30,76.41,76.72,76.20,76.72,470
2015.12.28 20:30,76.72,76.74,76.19,76.31,510
2015.12.28 21:30,76.32,76.51,76.28,76.47,549
2015.12.28 22:30,76.47,76.59,76.43,76.57,402
2015.12.29 16:30,76.99,78.04,76.89,78.02,1203
2015.12.29 17:30,78.06,78.57,77.90,78.17,1126
2015.12.29 18:30,78.17,78.24,77.95,78.17,706
2015.12.29 19:30,78.17,78.21,77.75,77.84,399
2015.12.29 20:30,77.84,77.84,77.59,77.70,436
2015.12.29 21:30,77.68,77.75,77.35,77.41,457
2015.12.29 22:30,77.40,77.68,77.40,77.57,366
2015.12.30 16:30,77.26,77.78,77.21,77.27,642
2015.12.30 17:30,77.27,77.52,77.10,77.40,547
2015.12.30 18:30,77.40,77.47,77.13,77.13,833
2015.12.30 19:30,77.12,77.20,76.97,77.13,365
2015.12.30 20:30,77.14,77.43,77.14,77.34,509
2015.12.30 21:30,77.32,77.34,77.14,77.28,283
2015.12.30 22:30,77.27,77.28,76.98,77.01,658
2015.12.31 16:30,76.52,77.46,76.51,76.91,997
2015.12.31 17:30,76.90,77.23,76.64,77.06,623
2015.12.31 18:30,77.06,77.09,76.72,76.93,484
2015.12.31 19:30,76.93,76.97,76.68,76.81,500
