Date,Open,High,Low,Close,Volume
2015.12.14 18:30,82.45,84.02,82.04,84.00,1519
2015.12.14 19:30,84.01,84.11,83.42,83.74,886
2015.12.14 20:30,83.73,83.81,83.24,83.46,794
2015.12.14 21:30,83.45,84.17,83.39,83.88,759
2015.12.14 22:30,83.88,83.90,83.34,83.75,651
2015.12.15 16:30,84.69,85.84,84.02,85.77,1371
2015.12.15 17:30,85.77,86.52,85.51,86.08,827
2015.12.15 18:30,86.09,86.67,85.80,86.66,922
2015.12.15 19:30,86.67,87.07,86.53,86.53,666
2015.12.15 20:30,86.53,86.85,86.35,86.58,464
2015.12.15 21:30,86.59,86.91,85.94,86.13,582
2015.12.15 22:30,86.13,86.13,85.76,85.88,596
2015.12.16 16:30,86.64,87.43,86.64,86.93,1141
2015.12.16 17:30,86.92,86.92,85.77,85.81,913
2015.12.16 18:30,85.82,86.10,85.26,85.33,629
2015.12.16 19:30,85.32,85.83,85.17,85.70,484
2015.12.16 20:30,85.71,85.74,84.44,85.32,1106
2015.12.16 21:30,85.31,86.70,85.06,86.67,1106
2015.12.16 22:30,86.68,86.98,86.65,86.82,516
2015.12.17 16:30,86.95,87.15,85.64,85.94,1357
2015.12.17 17:30,85.97,86.06,85.19,85.69,834
2015.12.17 18:30,85.69,86.49,85.50,86.16,824
2015.12.17 19:30,86.15,86.54,86.07,86.34,652
2015.12.17 20:30,86.33,86.40,85.83,85.92,472
2015.12.17 21:30,85.91,86.10,85.41,85.57,653
2015.12.17 22:30,85.59,85.76,85.30,85.34,515
2015.12.18 16:30,85.03,85.59,84.48,84.50,2339
2015.12.18 17:30,84.51,84.65,84.06,84.24,1769
2015.12.18 18:30,84.25,84.74,84.23,84.47,1004
2015.12.18 19:30,84.47,84.49,83.99,84.12,1121
2015.12.18 20:30,84.12,84.54,83.83,84.49,1098
2015.12.18 21:30,84.49,84.49,83.95,84.05,1020
2015.12.18 22:30,84.04,84.61,84.04,84.28,1084
2015.12.21 16:30,85.00,85.02,83.10,84.15,1605
2015.12.21 17:30,84.16,84.99,83.98,84.44,760
2015.12.21 18:30,84.42,84.43,83.61,83.83,840
2015.12.21 19:30,83.83,84.34,83.80,84.19,515
2015.12.21 20:30,84.20,84.34,83.91,83.96,455
2015.12.21 21:30,83.93,83.97,83.54,83.57,564
2015.12.21 22:30,83.57,84.11,83.49,84.09,435
2015.12.22 16:30,83.64,84.36,83.01,84.23,1432
2015.12.22 17:30,84.23,84.40,83.80,83.91,863
2015.12.22 18:30,83.91,84.18,83.33,83.39,841
2015.12.22 19:30,83.36,84.00,83.36,83.81,1119
2015.12.22 20:30,83.82,84.48,83.81,84.33,915
2015.12.22 21:30,84.35,84.64,84.19,84.36,848
2015.12.22 22:30,84.38,84.60,84.06,84.33,829
2015.12.23 16:30,84.34,84.94,83.66,84.65,1559
2015.12.23 17:30,84.65,85.00,84.48,84.59,730
2015.12.23 18:30,84.60,84.87,84.40,84.79,720
2015.12.23 19:30,84.79,84.88,84.27,84.87,571
2015.12.23 20:30,84.88,85.05,84.64,84.79,633
2015.12.23 21:30,84.80,85.12,84.77,85.00,472
2015.12.23 22:30,84.99,85.04,84.69,84.81,274
2015.12.24 16:30,84.65,85.36,84.55,84.64,1084
2015.12.24 17:30,84.65,85.88,84.65,85.81,770
2015.12.24 18:30,85.80,85.80,85.29,85.44,532
2015.12.24 19:30,85.43,85.74,85.35,85.43,380
2015.12.28 16:30,84.96,85.45,84.28,84.68,1017
2015.12.28 17:30,84.67,84.95,84.17,84.48,1289
2015.12.28 18:30,84.47,85.42,84.41,84.94,650
2015.12.28 19:30,84.93,85.33,84.60,85.21,919
2015.12.28 20:30,85.21,85.44,84.66,85.00,1466
2015.12.28 21:30,85.01,85.16,84.88,85.00,943
2015.12.28 22:30,85.01,85.16,84.93,85.15,520
2015.12.29 16:30,85.68,86.85,85.68,86.49,1219
2015.12.29 17:30,86.50,86.58,85.95,86.35,924
2015.12.29 18:30,86.35,86.48,85.75,86.11,741
2015.12.29 19:30,86.11,86.45,86.04,86.40,542
2015.12.29 20:30,86.40,86.82,86.22,86.80,527
2015.12.29 21:30,86.80,86.80,86.49,86.61,520
2015.12.29 22:30,86.62,86.65,86.36,86.48,440
2015.12.30 16:30,86.48,86.62,85.93,86.27,1207
2015.12.30 17:30,86.26,86.75,86.15,86.28,510
2015.12.30 18:30,86.28,86.64,86.25,86.48,434
2015.12.30 19:30,86.47,86.56,86.16,86.33,594
2015.12.30 20:30,86.33,86.67,86.29,86.41,497
2015.12.30 21:30,86.41,86.52,86.33,86.43,397
2015.12.30 22:30,86.42,86.46,86.06,86.11,513
2015.12.31 16:30,85.97,86.05,85.37,85.65,1999
2015.12.31 17:30,85.66,85.98,85.47,85.79,638
2015.12.31 18:30,85.79,86.51,85.71,86.48,834
2015.12.31 19:30,86.48,86.55,85.82,85.93,604
2015.12.31 20:30,85.94,86.06,85.86,85.92,136
2016.01.04 16:30,83.38,83.46,82.01,82.91,2415
2016.01.04 17:30,82.91,83.18,82.27,82.56,1670
2016.01.04 18:30,82.56,83.00,82.40,82.51,1157
2016.01.04 19:30,82.51,83.07,82.23,83.06,1127
2016.01.04 20:30,83.05,83.31,82.84,82.97,1056
2016.01.04 21:30,82.96,82.99,82.04,82.13,1912
