Date,Open,High,Low,Close,Volume
2015.12.14 18:30,32.38,32.67,32.20,32.63,773
2015.12.14 19:30,32.64,32.77,32.59,32.64,476
2015.12.14 20:30,32.63,32.71,32.49,32.56,330
2015.12.14 21:30,32.54,32.67,32.49,32.54,310
2015.12.14 22:30,32.55,32.59,32.42,32.57,224
2015.12.15 16:30,32.59,33.20,32.56,33.04,1132
2015.12.15 17:30,33.05,33.31,33.03,33.24,511
2015.12.15 18:30,33.25,33.34,33.09,33.29,403
2015.12.15 19:30,33.28,33.38,33.18,33.21,375
2015.12.15 20:30,33.22,33.27,33.13,33.24,334
2015.12.15 21:30,33.23,33.25,33.03,33.03,256
2015.12.15 22:30,33.02,33.07,32.98,33.01,239
2015.12.16 16:30,33.35,33.39,33.14,33.27,921
2015.12.16 17:30,33.26,33.26,33.08,33.14,516
2015.12.16 18:30,33.15,33.24,33.02,33.03,300
2015.12.16 19:30,33.04,33.09,32.93,32.96,362
2015.12.16 20:30,32.97,33.38,32.89,33.30,1657
2015.12.16 21:30,33.29,33.67,33.23,33.65,791
2015.12.16 22:30,33.66,33.86,33.61,33.77,333
2015.12.17 16:30,33.96,34.06,33.49,33.53,1073
2015.12.17 17:30,33.54,33.57,33.10,33.22,728
2015.12.17 18:30,33.21,33.43,33.17,33.32,434
2015.12.17 19:30,33.31,33.35,33.21,33.32,515
2015.12.17 20:30,33.33,33.51,33.32,33.40,373
2015.12.17 21:30,33.39,33.45,33.27,33.40,781
2015.12.17 22:30,33.39,33.46,33.22,33.22,320
2015.12.18 16:30,33.05,33.49,33.05,33.39,2103
2015.12.18 17:30,33.38,33.57,33.24,33.56,754
2015.12.18 18:30,33.55,33.61,33.31,33.32,428
2015.12.18 19:30,33.31,33.32,33.04,33.11,400
2015.12.18 20:30,33.12,33.14,32.92,33.07,317
2015.12.18 21:30,33.06,33.07,32.86,32.89,398
2015.12.18 22:30,32.90,33.14,32.86,32.94,318
2015.12.21 16:30,33.13,33.27,32.92,33.14,1044
2015.12.21 17:30,33.15,33.21,32.81,32.88,486
2015.12.21 18:30,32.87,32.92,32.78,32.82,313
2015.12.21 19:30,32.81,33.02,32.81,32.97,233
2015.12.21 20:30,32.98,33.00,32.82,32.82,210
2015.12.21 21:30,32.81,32.85,32.68,32.79,329
2015.12.21 22:30,32.80,32.95,32.79,32.95,161
2015.12.22 16:30,33.02,33.53,32.95,33.47,980
2015.12.22 17:30,33.46,33.49,33.31,33.42,279
2015.12.22 18:30,33.43,33.53,33.35,33.45,180
2015.12.22 19:30,33.46,33.68,33.46,33.64,160
2015.12.22 20:30,33.65,33.90,33.64,33.82,173
2015.12.22 21:30,33.83,34.14,33.82,34.11,485
2015.12.22 22:30,34.10,34.19,34.02,34.16,285
2015.12.23 16:30,34.22,34.26,33.99,34.14,1344
2015.12.23 17:30,34.15,34.36,34.13,34.17,264
2015.12.23 18:30,34.18,34.49,34.11,34.45,255
2015.12.23 19:30,34.44,34.46,34.18,34.29,133
2015.12.23 20:30,34.30,34.51,34.28,34.50,139
2015.12.23 21:30,34.51,34.56,34.39,34.54,223
2015.12.23 22:30,34.53,34.57,34.39,34.43,126
2015.12.24 16:30,34.41,34.71,34.21,34.33,732
2015.12.24 17:30,34.32,34.32,34.15,34.20,156
2015.12.24 18:30,34.21,34.21,34.11,34.15,172
2015.12.24 19:30,34.14,34.17,34.10,34.10,96
2015.12.28 16:30,33.81,33.83,33.46,33.53,1007
2015.12.28 17:30,33.52,33.52,33.34,33.36,239
2015.12.28 18:30,33.35,33.56,33.35,33.52,175
2015.12.28 19:30,33.53,33.64,33.49,33.60,210
2015.12.28 20:30,33.61,33.63,33.49,33.49,133
2015.12.28 21:30,33.50,33.64,33.47,33.63,154
2015.12.28 22:30,33.64,33.64,33.49,33.56,99
2015.12.29 16:30,33.79,33.85,33.71,33.79,563
2015.12.29 17:30,33.80,33.89,33.70,33.84,155
2015.12.29 18:30,33.85,33.85,33.67,33.72,181
2015.12.29 19:30,33.73,33.78,33.68,33.77,159
2015.12.29 20:30,33.78,34.00,33.75,33.88,169
2015.12.29 21:30,33.87,34.14,33.82,34.13,209
2015.12.29 22:30,34.12,34.16,34.02,34.02,180
2015.12.30 16:30,33.97,33.99,33.70,33.74,536
2015.12.30 17:30,33.73,33.74,33.56,33.60,230
2015.12.30 18:30,33.61,33.79,33.57,33.78,152
2015.12.30 19:30,33.77,33.77,33.61,33.65,146
2015.12.30 20:30,33.64,33.68,33.53,33.55,77
2015.12.30 21:30,33.56,33.57,33.42,33.49,92
2015.12.30 22:30,33.48,33.48,33.34,33.34,97
2015.12.31 16:30,33.23,33.53,33.21,33.31,753
2015.12.31 17:30,33.32,33.59,33.28,33.57,291
2015.12.31 18:30,33.56,33.61,33.50,33.57,160
2015.12.31 19:30,33.56,33.65,33.56,33.64,213
2015.12.31 20:30,33.63,33.67,33.60,33.60,82
2016.01.04 16:30,32.29,32.29,31.50,31.50,1473
2016.01.04 17:30,31.51,31.52,31.14,31.19,502
