Date,Open,High,Low,Close,Volume
1995.12.01 04:00,15.91,17.13,15.69,16.19,261
1996.01.01 04:00,16.06,16.84,14.69,16.84,353
1996.02.01 04:00,16.84,18.34,16.59,17.81,254
1996.03.01 04:00,18.06,19.78,17.31,19.38,363
1996.04.01 04:00,19.50,20.09,18.06,18.94,351
1996.05.01 04:00,18.78,19.41,17.44,18.81,392
1996.06.01 04:00,18.81,19.88,18.16,18.94,332
1996.07.01 04:00,18.94,20.03,18.00,19.91,310
1996.08.01 04:00,20.00,21.31,19.38,19.38,325
1996.09.01 04:00,19.19,20.72,18.97,20.53,217
1996.10.01 04:00,20.53,22.94,20.53,22.88,248
1996.11.01 04:00,22.81,25.97,22.63,25.69,381
1996.12.01 04:00,25.50,25.88,23.28,24.94,465
1997.01.01 04:00,24.88,28.31,23.84,27.91,592
1997.02.01 04:00,27.91,30.75,27.88,28.44,522
1997.03.01 04:00,28.22,30.94,25.78,26.50,861
1997.04.01 04:00,25.19,29.47,24.78,29.22,536
1997.05.01 04:00,29.09,30.28,28.25,29.22,394
1997.06.01 04:00,29.47,34.50,28.75,32.31,867
1997.07.01 04:00,32.31,38.50,32.31,37.75,695
1997.08.01 04:00,37.69,37.69,32.63,32.94,538
1997.09.01 04:00,32.56,38.94,32.56,36.69,864
1997.10.01 04:00,37.25,40.63,33.13,35.94,1370
1997.11.01 04:00,37.00,38.38,34.31,36.50,765
1997.12.01 04:00,37.19,40.97,34.50,36.50,1226
1998.01.01 04:00,36.63,37.00,30.75,35.53,1141
1998.02.01 04:00,36.25,38.91,35.75,38.75,383
1998.03.01 04:00,38.75,43.56,37.50,41.31,957
1998.04.01 04:00,41.34,48.00,39.75,42.69,1516
1998.05.01 04:00,43.00,44.34,40.41,41.34,621
1998.06.01 04:00,41.00,44.63,40.63,43.25,576
1998.07.01 04:00,43.59,50.06,43.38,44.88,1208
1998.08.01 04:00,45.13,45.44,31.91,32.25,1419
1998.09.01 04:00,32.63,34.44,26.41,30.06,1350
1998.10.01 04:00,26.00,29.22,22.00,28.75,1170
1998.11.01 04:00,28.72,33.31,27.50,32.59,776
1998.12.01 04:00,32.41,32.91,27.50,30.06,848
1999.01.01 04:00,29.88,35.47,29.75,33.44,789
1999.02.01 04:00,33.31,33.81,29.78,32.66,742
1999.03.01 04:00,32.66,37.25,32.50,35.31,686
1999.04.01 04:00,35.25,38.06,34.41,35.78,678
1999.05.01 04:00,35.59,36.44,30.75,32.34,814
1999.06.01 04:00,32.44,37.44,30.94,36.66,879
1999.07.01 04:00,36.66,38.19,33.19,33.19,654
1999.08.01 04:00,33.63,33.78,29.53,30.25,513
1999.09.01 04:00,30.19,31.53,26.63,27.84,746
1999.10.01 04:00,27.78,32.84,24.03,32.22,1319
1999.11.01 04:00,32.25,33.75,28.16,29.30,824
1999.12.01 04:00,28.56,29.50,23.81,25.09,792
2000.01.01 04:00,25.13,25.28,22.25,24.22,516
2000.02.01 04:00,24.06,24.50,21.50,23.00,495
2000.03.01 04:00,23.00,27.59,21.16,26.22,965
2000.04.01 04:00,26.03,28.28,24.06,24.50,692
2000.05.01 04:00,24.53,28.06,23.16,27.72,662
2000.06.01 04:00,27.75,30.50,21.49,21.50,1178
2000.07.01 04:00,21.88,24.56,21.81,23.69,370
2000.08.01 04:00,23.84,27.50,23.34,26.79,538
2000.09.01 04:00,26.78,28.81,25.94,26.19,516
2000.10.01 04:00,26.31,27.38,20.13,24.03,1223
2000.11.01 04:00,23.78,25.69,19.00,19.97,958
2000.12.01 04:00,20.00,23.63,18.16,22.94,801
2001.01.01 04:00,22.66,27.97,22.50,26.91,670
2001.02.01 04:00,26.95,27.44,22.83,25.35,763
2001.03.01 04:00,24.43,27.38,23.78,27.38,426
2001.04.01 04:00,27.23,28.75,24.33,28.00,808
2001.05.01 04:00,27.88,30.00,26.73,29.63,480
2001.06.01 04:00,29.75,31.09,28.57,30.02,478
2001.07.01 04:00,30.02,32.35,27.60,31.81,772
2001.08.01 04:00,31.87,32.77,29.88,30.75,467
2001.09.01 04:00,30.38,31.40,25.13,29.20,1137
2001.10.01 04:00,29.23,30.68,26.05,29.50,900
2001.11.01 04:00,29.60,32.49,29.18,30.69,554
2001.12.01 04:00,30.50,32.08,30.20,31.48,279
2002.01.01 04:00,31.16,32.17,29.54,31.52,491
2002.02.01 04:00,31.28,32.37,28.76,31.98,653
2002.03.01 04:00,32.03,34.81,32.03,34.01,359
2002.04.01 04:00,33.53,36.50,33.42,36.24,346
2002.05.01 04:00,36.02,38.55,35.76,37.91,370
2002.06.01 04:00,37.89,38.13,33.41,35.18,674
2002.07.01 04:00,35.18,36.35,27.56,33.25,1566
2002.08.01 04:00,33.13,36.05,30.90,35.04,840
2002.09.01 04:00,34.35,35.00,30.70,31.90,616
2002.10.01 04:00,31.91,35.60,26.98,34.90,1426
2002.11.01 04:00,34.60,36.00,33.13,35.04,531
2002.12.01 04:00,35.05,35.65,33.55,34.78,394
2003.01.01 04:00,34.96,36.25,34.05,35.03,434
2003.02.01 04:00,35.03,35.26,33.28,34.62,356
2003.03.01 04:00,34.73,35.25,32.13,33.42,494
2003.04.01 04:00,33.73,37.41,33.60,37.03,433
2003.05.01 04:00,37.03,37.63,36.02,37.10,316
2003.06.01 04:00,37.35,40.00,37.01,39.52,382
2003.07.01 04:00,39.45,42.45,39.28,41.29,451
2003.08.01 04:00,41.28,41.28,38.60,39.63,372
2003.09.01 04:00,39.63,40.00,37.29,39.02,482
2003.10.01 04:00,39.23,41.38,36.23,37.87,895
2003.11.01 04:00,37.88,38.49,36.86,37.72,311
2003.12.01 04:00,37.33,40.27,37.33,40.22,300
2004.01.01 04:00,39.88,41.48,38.80,40.73,452
2004.02.01 04:00,40.73,41.43,40.35,40.96,194
2004.03.01 04:00,41.07,41.50,39.00,40.49,443
2004.04.01 04:00,40.73,41.09,39.55,40.24,260
2004.05.01 04:00,40.12,41.68,38.51,41.57,490
2004.06.01 04:00,41.40,42.84,41.08,42.31,262
2004.07.01 04:00,42.32,42.86,41.77,42.51,200
2004.08.01 04:00,42.40,44.99,41.70,44.98,401
2004.09.01 04:00,44.45,44.81,43.05,43.33,241
2004.10.01 04:00,43.53,45.69,42.94,44.79,425
2004.11.01 04:00,44.92,47.47,44.61,46.27,438
2004.12.01 04:00,45.80,47.22,45.20,46.99,286
2005.01.01 04:00,46.66,46.95,44.40,46.37,482
2005.02.01 04:00,46.36,47.09,45.16,46.65,358
2005.03.01 04:00,46.65,47.20,43.40,44.10,506
2005.04.01 04:00,44.42,45.80,43.47,45.04,405
2005.05.01 04:00,44.83,46.80,44.73,46.32,266
2005.06.01 04:00,45.97,47.44,45.56,45.61,341
2005.07.01 04:00,45.61,46.05,43.60,43.60,290
2005.08.01 04:00,43.77,44.15,42.45,43.03,267
2005.09.01 04:00,43.04,43.69,41.13,42.10,419
2005.10.01 04:00,42.47,44.09,41.38,43.74,416
2005.11.01 04:00,43.75,47.15,43.27,45.89,563
2005.12.01 04:00,46.00,47.25,45.42,46.15,352
2006.01.01 04:00,46.92,47.24,43.49,44.23,482
2006.02.01 04:00,44.10,46.05,42.75,45.85,486
2006.03.01 04:00,45.35,47.14,44.90,45.54,430
2006.04.01 04:00,45.85,49.98,45.26,49.92,538
2006.05.01 04:00,49.84,50.50,47.90,48.40,377
2006.06.01 04:00,48.40,49.48,45.86,48.10,695
2006.07.01 04:00,48.19,51.90,47.59,51.53,529
2006.08.01 04:00,51.34,52.75,50.70,51.47,398
2006.09.01 04:00,51.83,54.00,50.80,53.57,467
2006.10.01 04:00,53.53,54.87,52.75,53.87,391
2006.11.01 04:00,54.15,55.08,53.22,53.85,343
