Date,Open,High,Low,Close,Volume
2005.09.01 00:00,43.98,45.85,43.98,45.51,86922
2005.10.01 00:00,45.73,46.23,43.98,45.77,96447
2005.11.01 00:00,45.91,49.74,45.19,48.53,84330
2005.12.01 00:00,48.94,49.71,48.23,48.41,76853
2006.01.01 00:00,48.67,49.31,45.63,46.57,66374
2006.02.01 00:00,46.59,47.12,44.83,46.37,61094
2006.03.01 00:00,46.38,47.99,45.79,47.35,78398
2006.04.01 00:00,47.39,49.92,47.14,49.84,76769
2006.05.01 00:00,49.99,50.71,48.41,49.26,89535
2006.06.01 00:00,49.36,50.39,47.45,48.25,95554
2006.07.01 00:00,48.59,49.72,46.20,48.31,83300
2006.08.01 00:00,48.30,49.70,47.20,49.32,74523
2006.09.01 00:00,49.68,50.34,48.40,49.68,80057
2006.10.01 00:00,49.66,51.32,49.26,50.14,123532
2006.11.01 00:00,50.45,50.94,49.41,49.60,96934
2006.12.01 00:00,49.59,56.65,48.81,55.67,171095
2007.01.01 00:00,55.65,56.26,53.48,55.11,173185
2007.02.01 00:00,54.88,55.48,49.59,50.37,168204
2007.03.01 00:00,49.80,52.48,49.68,51.29,251673
2007.04.01 00:00,51.30,54.70,50.39,53.60,180951
2007.05.01 00:00,53.79,55.51,52.56,54.47,200704
2007.06.01 00:00,54.64,54.74,50.46,51.22,232954
2007.07.01 00:00,51.28,52.96,46.48,46.48,293089
2007.08.01 00:00,46.39,49.88,44.64,46.76,480586
2007.09.01 00:00,46.94,48.98,44.81,46.65,229958
2007.10.01 00:00,45.91,48.76,40.42,41.81,439054
2007.11.01 00:00,38.63,39.32,29.63,33.28,667404
2007.12.01 00:00,33.29,35.27,28.78,29.15,418367
2008.01.01 00:00,29.72,29.87,22.36,28.16,600060
2008.02.01 00:00,28.27,29.71,23.47,23.65,399554
2008.03.01 00:00,23.71,24.34,17.96,21.32,639350
2008.04.01 00:00,22.59,27.32,22.16,25.25,467087
2008.05.01 00:00,25.22,26.98,20.99,21.85,357428
2008.06.01 00:00,21.69,21.84,16.55,16.71,380189
2008.07.01 00:00,16.55,22.19,13.99,18.64,623232
2008.08.01 00:00,18.87,20.48,16.82,18.92,317976
2008.09.01 00:00,19.61,22.50,12.83,20.73,1121699
2008.10.01 00:00,20.84,23.48,11.52,13.71,1412535
2008.11.01 00:00,13.66,14.78,3.03,8.31,883974
2008.12.01 00:00,7.89,8.98,6.32,6.74,520190
2009.01.01 00:00,6.85,7.57,2.78,3.59,543793
2009.02.01 00:00,3.37,4.08,1.38,1.40,434438
2009.03.01 00:00,1.50,3.87,0.95,2.50,923490
2009.04.01 00:00,2.46,4.46,2.41,3.04,673207
2009.05.01 00:00,3.10,4.39,2.94,3.67,537395
2009.06.01 00:00,3.75,3.76,2.88,2.94,269508
2009.07.01 00:00,2.97,3.35,2.53,3.12,365767
2009.08.01 00:00,3.27,5.41,3.09,4.99,942546
2009.09.01 00:00,4.91,5.01,4.09,4.73,684649
2009.10.01 00:00,4.71,4.98,3.98,4.06,479490
2009.11.01 00:00,4.07,4.29,3.79,4.08,309451
2009.12.01 00:00,4.14,4.19,3.11,3.32,618659
2010.01.01 00:00,3.34,3.68,3.12,3.29,475386
2010.02.01 00:00,3.33,3.46,3.09,3.38,302112
2010.03.01 00:00,3.40,4.39,3.32,4.04,720004
2010.04.01 00:00,4.09,5.05,4.00,4.37,874048
2010.05.01 00:00,4.44,4.47,3.51,3.94,822569
2010.06.01 00:00,3.89,4.05,3.60,3.74,575335
2010.07.01 00:00,3.80,4.27,3.60,4.08,393781
2010.08.01 00:00,4.17,4.19,3.61,3.70,136388
2010.09.01 00:00,3.74,4.01,3.72,3.88,167218
2010.10.01 00:00,3.96,4.29,3.89,4.15,165243
2010.11.01 00:00,4.16,4.51,4.08,4.17,148997
2010.12.01 00:00,4.26,4.84,4.24,4.73,194224
2011.01.01 00:00,4.77,5.13,4.70,4.80,177512
2011.02.01 00:00,4.82,4.92,4.56,4.67,34527
2011.03.01 00:00,4.68,4.68,4.33,4.42,774
2011.04.01 00:00,4.44,4.67,4.34,4.56,862
2011.05.01 00:00,4.57,45.09,4.45,41.13,39656
2011.06.01 00:00,40.97,41.99,36.75,41.59,108327
2011.07.01 00:00,41.50,43.05,36.90,38.26,97168
2011.08.01 00:00,39.34,39.36,25.39,31.01,181806
2011.09.01 00:00,30.95,31.03,23.18,25.60,127535
2011.10.01 00:00,25.10,34.38,21.38,31.56,149353
2011.11.01 00:00,23.62,27.48,23.51,27.43,105178
2011.12.01 00:00,27.09,30.12,24.39,26.28,63645
2012.01.01 00:00,27.17,32.07,27.15,30.70,47292
2012.02.01 00:00,31.29,34.72,31.06,33.29,38852
2012.03.01 00:00,33.53,38.37,31.85,36.51,43466
2012.04.01 00:00,36.40,37.12,32.45,33.03,42795
2012.05.01 00:00,32.92,33.89,25.74,26.51,59662
2012.06.01 00:00,25.86,29.29,24.60,27.39,59763
2012.07.01 00:00,27.49,27.91,24.90,27.11,38229
2012.08.01 00:00,27.26,31.09,25.99,29.70,38058
2012.09.01 00:00,29.54,35.23,29.54,32.69,36276
2012.10.01 00:00,32.98,38.70,32.69,37.37,47670
2012.11.01 00:00,37.55,38.48,34.03,34.54,40281
2012.12.01 00:00,34.95,40.15,34.06,38.98,35609
2013.01.01 00:00,40.95,43.32,40.69,42.15,41896
2013.02.01 00:00,42.48,44.69,40.26,41.95,43918
2013.03.01 00:00,41.60,47.90,41.01,44.23,59699
2013.04.01 00:00,44.27,47.66,41.59,46.65,63705
2013.05.01 00:00,46.44,53.55,45.48,51.99,63793
2013.06.01 00:00,52.00,52.59,45.05,47.95,99564
2013.07.01 00:00,48.43,53.27,47.14,52.15,56400
2013.08.01 00:00,52.79,53.18,47.64,48.32,48724
2013.09.01 00:00,50.67,52.84,47.82,48.49,46145
2013.10.01 00:00,48.77,51.55,47.59,48.78,50444
2013.11.01 00:00,48.84,53.66,48.22,52.91,38082
2013.12.01 00:00,52.97,53.38,50.26,51.84,35692
2014.01.01 00:00,52.02,55.26,47.28,47.42,53802
2014.02.01 00:00,47.81,50.13,46.18,48.61,43362
2014.03.01 00:00,49.29,50.77,46.78,50.02,66204
2014.04.01 00:00,48.07,48.59,45.17,47.84,47786
2014.05.01 00:00,47.80,48.33,46.09,47.55,26802
2014.06.01 00:00,47.56,49.57,46.91,47.08,24597
2014.07.01 00:00,47.38,50.57,46.55,48.90,31761
2014.08.01 00:00,48.56,52.37,47.64,51.63,32443
2014.09.01 00:00,51.75,54.12,51.11,51.81,42204
2014.10.01 00:00,51.72,53.88,48.09,53.50,90445
2014.11.01 00:00,53.45,54.50,52.61,53.95,25832
2014.12.01 00:00,53.78,56.93,51.09,54.42,60151
2015.01.01 00:00,54.41,54.66,46.61,46.94,86852
2015.02.01 00:00,47.16,52.84,46.89,52.42,72286
2015.03.01 00:00,52.39,54.70,50.46,51.57,49868
2015.04.01 00:00,51.31,54.44,50.99,53.28,48526
2015.05.01 00:00,53.66,55.35,52.34,54.11,69320
2015.06.01 00:00,54.77,57.61,54.11,55.28,132845
2015.07.01 00:00,55.96,60.93,52.75,58.42,67389
2015.08.01 00:00,58.53,59.24,47.15,53.46,117850
2015.09.01 00:00,52.06,52.99,48.46,49.63,125054
2015.10.01 00:00,49.66,55.04,47.70,53.22,87151
2015.11.01 00:00,53.45,56.44,52.49,54.10,86364
2015.12.01 00:00,54.36,55.32,50.50,52.24,130121
2016.01.01 00:00,50.53,51.60,39.44,42.53,159857
2016.02.01 00:00,42.47,42.82,34.52,38.86,161033
2016.03.01 00:00,39.25,44.25,39.11,41.76,126446
2016.04.01 00:00,41.51,47.81,39.95,46.28,107664
2016.05.01 00:00,46.53,47.58,42.79,46.58,112826
2016.06.01 00:00,45.86,47.05,38.31,42.37,110892
2016.07.01 00:00,42.10,44.89,40.02,43.79,75152
2016.08.01 00:00,43.85,48.16,42.49,47.70,62295
2016.09.01 00:00,47.87,48.16,45.16,47.22,92151
2016.10.01 00:00,47.02,50.58,46.76,49.15,88029
2016.11.01 00:00,49.57,56.81,47.68,56.41,159062
2016.12.01 00:00,56.69,61.28,55.92,59.41,145843
2017.01.01 00:00,60.66,61.61,55.41,55.82,99634
2017.02.01 00:00,56.74,60.85,55.21,60.47,58961
