Date,Open,High,Low,Close,Volume
1999.10.01 00:00,59.00,59.38,58.25,59.00,227
1999.11.01 00:00,58.25,68.44,56.06,67.31,4498
1999.12.01 00:00,66.69,69.00,57.38,58.25,5846
2000.01.01 00:00,57.31,66.86,55.25,57.44,6010
2000.02.01 00:00,57.75,58.38,47.56,48.63,5703
2000.03.01 00:00,49.19,51.81,42.88,46.94,6549
2000.04.01 00:00,47.44,52.36,44.75,47.25,6309
2000.05.01 00:00,46.63,55.00,45.94,53.38,4831
2000.06.01 00:00,53.19,60.88,51.06,57.44,5021
2000.07.01 00:00,58.13,63.00,55.25,61.31,3729
2000.08.01 00:00,61.81,64.00,51.50,52.63,4961
2000.09.01 00:00,54.00,57.06,49.19,55.13,5525
2000.10.01 00:00,55.48,60.94,53.75,60.38,6238
2000.11.01 00:00,60.81,63.06,55.25,62.61,5165
2000.12.01 00:00,62.06,63.38,53.50,60.94,5494
2001.01.01 00:00,60.31,62.19,55.19,58.00,5435
2001.02.01 00:00,57.25,60.99,51.41,53.03,4195
2001.03.01 00:00,53.48,53.90,43.76,45.16,5440
2001.04.01 00:00,45.40,48.45,42.37,46.19,4548
2001.05.01 00:00,46.30,49.35,44.60,47.40,3487
2001.06.01 00:00,47.45,47.90,42.59,45.00,2922
2001.07.01 00:00,44.79,47.20,43.65,44.60,3118
2001.08.01 00:00,44.70,49.85,43.50,48.67,3237
2001.09.01 00:00,48.92,50.70,45.25,46.85,3095
2001.10.01 00:00,46.50,49.49,44.01,47.88,3384
2001.11.01 00:00,47.40,50.45,46.46,46.96,2500
2001.12.01 00:00,46.35,48.80,45.45,47.15,2458
2002.01.01 00:00,46.80,47.65,43.50,43.75,2977
2002.02.01 00:00,43.73,48.00,43.70,47.39,2678
2002.03.01 00:00,46.96,52.68,46.35,52.26,2509
2002.04.01 00:00,52.00,56.04,51.50,55.51,3210
2002.05.01 00:00,55.76,57.91,53.80,55.56,3105
2002.06.01 00:00,54.90,57.45,52.95,56.00,3720
2002.07.01 00:00,56.25,57.50,43.60,49.94,5965
2002.08.01 00:00,49.85,53.40,47.55,51.00,5043
2002.09.01 00:00,50.40,51.59,46.41,47.96,4007
2002.10.01 00:00,48.40,53.10,44.57,46.48,5470
2002.11.01 00:00,46.48,47.16,44.21,45.64,3448
2002.12.01 00:00,46.18,46.80,42.90,43.84,6783
2003.01.01 00:00,44.13,46.01,39.15,40.46,7434
