Date,Open,High,Low,Close,Volume
1995.11.01 00:00,19.19,20.31,18.56,20.00,270
1995.12.01 00:00,20.00,20.56,19.25,19.81,244
1996.01.01 00:00,19.69,21.81,19.38,21.56,300
1996.02.01 00:00,21.50,22.75,21.00,21.44,345
1996.03.01 00:00,21.50,22.31,17.38,19.00,737
1996.04.01 00:00,19.19,21.56,18.75,21.06,376
1996.05.01 00:00,21.00,22.19,20.81,21.19,258
1996.06.01 00:00,21.06,21.88,19.75,21.00,421
1996.07.01 00:00,21.00,21.44,17.25,18.31,570
1996.08.01 00:00,18.38,20.56,18.38,20.38,237
1996.09.01 00:00,20.13,20.75,19.19,19.44,244
1996.10.01 00:00,19.44,20.38,19.13,19.63,232
1996.11.01 00:00,19.56,22.00,19.50,20.94,363
1996.12.01 00:00,20.88,21.13,18.75,19.94,383
1997.01.01 00:00,19.94,20.56,19.19,20.38,231
1997.02.01 00:00,20.44,23.13,20.00,22.75,396
1997.03.01 00:00,23.00,24.00,20.94,23.06,607
1997.04.01 00:00,22.19,23.06,21.13,21.94,362
1997.05.01 00:00,21.94,24.69,21.81,24.44,327
1997.06.01 00:00,24.63,26.38,23.75,26.13,377
1997.07.01 00:00,26.13,26.31,22.00,24.75,725
1997.08.01 00:00,24.38,24.94,22.63,23.50,375
1997.09.01 00:00,23.44,25.38,22.63,25.00,395
1997.10.01 00:00,25.75,28.50,24.38,26.00,800
1997.11.01 00:00,26.25,29.69,25.75,29.28,486
1997.12.01 00:00,29.31,30.31,27.25,29.31,613
1998.01.01 00:00,29.19,30.97,27.63,29.78,610
1998.02.01 00:00,29.75,33.09,28.78,33.00,538
1998.03.01 00:00,33.03,37.81,32.84,33.84,914
1998.04.01 00:00,33.97,35.94,32.50,34.16,670
1998.05.01 00:00,34.28,37.22,33.38,35.94,603
1998.06.01 00:00,36.00,37.81,34.13,35.25,662
1998.07.01 00:00,35.69,37.56,34.75,35.00,494
1998.08.01 00:00,35.19,36.75,33.13,33.53,559
1998.09.01 00:00,33.56,40.06,30.75,36.00,1619
1998.10.01 00:00,36.25,39.28,34.53,38.38,738
1998.11.01 00:00,38.47,41.44,36.00,36.50,892
1998.12.01 00:00,36.50,42.66,35.81,42.06,815
1999.01.01 00:00,42.00,42.38,36.88,41.94,1095
1999.02.01 00:00,41.94,44.00,38.66,42.91,972
1999.03.01 00:00,42.81,50.34,40.50,49.06,1344
1999.04.01 00:00,49.16,57.31,48.63,51.28,1525
1999.05.01 00:00,51.28,56.72,51.22,56.38,591
1999.06.01 00:00,56.38,57.47,52.19,53.00,719
1999.07.01 00:00,53.00,54.50,49.44,51.69,882
1999.08.01 00:00,51.88,54.88,43.25,44.38,1577
1999.09.01 00:00,44.00,55.69,42.63,54.25,1588
1999.10.01 00:00,55.00,75.06,54.00,74.56,2257
1999.11.01 00:00,74.63,75.94,69.25,69.38,814
1999.12.01 00:00,70.13,71.50,63.44,67.31,1331
2000.01.01 00:00,67.44,67.81,59.00,64.63,1482
2000.02.01 00:00,63.56,66.25,57.19,61.00,1557
2000.03.01 00:00,60.94,64.94,55.13,63.00,1757
2000.04.01 00:00,63.25,64.63,55.81,61.50,1590
2000.05.01 00:00,61.50,64.81,53.06,60.50,2251
2000.06.01 00:00,60.50,67.00,50.98,51.00,2255
2000.07.01 00:00,53.50,54.81,34.50,35.63,2276
2000.08.01 00:00,35.88,38.44,30.25,33.52,1403
2000.09.01 00:00,33.50,34.06,24.31,29.31,1532
2000.10.01 00:00,29.56,29.56,21.88,25.50,1131
2000.11.01 00:00,24.50,26.75,21.00,23.00,1001
2000.12.01 00:00,23.63,25.81,19.63,20.31,905
2001.01.01 00:00,20.50,29.31,20.44,24.80,1345
2001.02.01 00:00,24.80,25.57,20.50,22.36,771
2001.03.01 00:00,21.85,23.19,20.34,21.99,557
2001.04.01 00:00,22.20,23.87,20.20,21.38,653
2001.05.01 00:00,21.35,23.51,19.06,20.31,787
2001.06.01 00:00,20.90,21.52,19.41,21.36,377
2001.07.01 00:00,21.60,23.66,20.91,23.34,377
2001.08.01 00:00,23.80,24.60,21.21,23.34,633
2001.09.01 00:00,23.74,24.15,19.50,24.01,904
2001.10.01 00:00,23.80,24.39,18.80,20.00,739
2001.11.01 00:00,19.95,22.50,19.62,21.79,393
2001.12.01 00:00,21.63,22.05,18.50,20.08,556
2002.01.01 00:00,20.30,20.47,16.80,17.70,475
2002.02.01 00:00,17.76,17.80,12.51,14.09,692
2002.03.01 00:00,14.60,16.30,14.28,15.29,336
2002.04.01 00:00,15.15,16.98,13.30,15.85,667
2002.05.01 00:00,15.90,17.53,14.78,16.45,496
2002.06.01 00:00,16.45,16.79,8.80,10.61,1015
2002.07.01 00:00,10.50,12.81,6.65,9.35,1118
2002.08.01 00:00,9.50,13.15,8.90,11.60,641
2002.09.01 00:00,11.30,11.38,8.40,9.12,379
2002.10.01 00:00,9.30,13.03,7.96,12.42,703
2002.11.01 00:00,12.20,14.60,11.99,14.58,285
2002.12.01 00:00,14.46,15.40,13.53,14.48,373
2003.01.01 00:00,14.68,16.76,11.13,12.14,873
2003.02.01 00:00,12.16,13.32,11.70,12.70,271
2003.03.01 00:00,12.80,12.93,11.06,11.75,270
2003.04.01 00:00,11.78,12.71,10.22,11.51,472
2003.05.01 00:00,11.50,13.59,11.35,13.56,243
2003.06.01 00:00,13.60,15.10,13.13,14.40,315
2003.07.01 00:00,14.40,15.70,14.12,14.12,289
2003.08.01 00:00,14.38,14.99,13.55,14.77,250
2003.09.01 00:00,14.85,16.20,14.53,15.10,310
2003.10.01 00:00,15.14,16.50,14.79,16.00,257
2003.11.01 00:00,16.00,16.48,14.72,14.99,252
2003.12.01 00:00,15.05,16.45,14.75,16.42,204
2004.01.01 00:00,16.48,19.51,16.25,17.41,560
2004.02.01 00:00,17.30,19.02,16.76,17.73,410
2004.03.01 00:00,18.13,19.35,15.74,18.43,693
2004.04.01 00:00,18.58,19.99,17.66,17.89,398
2004.05.01 00:00,17.80,18.21,17.03,17.76,233
2004.06.01 00:00,17.60,17.96,16.83,17.60,227
2004.07.01 00:00,17.73,19.15,17.10,18.68,316
2004.08.01 00:00,18.70,19.71,17.80,19.68,285
2004.09.01 00:00,19.68,20.54,19.11,20.13,242
2004.10.01 00:00,20.13,21.10,19.81,20.95,177
2004.11.01 00:00,20.95,23.10,20.92,22.81,251
2004.12.01 00:00,22.81,25.80,22.43,24.85,471
2005.01.01 00:00,24.83,25.16,22.17,23.83,499
2005.02.01 00:00,24.00,24.85,22.92,23.68,355
2005.03.01 00:00,23.80,24.29,21.80,22.75,394
2005.04.01 00:00,22.82,24.54,22.00,22.26,453
2005.05.01 00:00,22.30,23.71,21.57,23.69,290
2005.06.01 00:00,23.62,25.87,23.55,25.09,318
2005.07.01 00:00,25.32,27.05,24.47,26.90,359
2005.08.01 00:00,27.02,27.20,24.88,25.93,356
2005.09.01 00:00,25.83,26.00,23.10,23.78,376
2005.10.01 00:00,23.90,23.93,22.15,23.31,298
2005.11.01 00:00,23.48,25.82,23.16,25.04,377
2005.12.01 00:00,25.05,25.51,23.31,23.36,272
2006.01.01 00:00,23.47,24.05,22.54,22.89,245
2006.02.01 00:00,22.80,25.01,22.47,24.03,386
2006.03.01 00:00,24.03,26.25,24.02,25.84,266
2006.04.01 00:00,25.97,26.89,23.94,24.80,474
2006.05.01 00:00,25.00,25.26,20.95,21.21,484
2006.06.01 00:00,21.34,21.72,19.33,19.99,344
2006.07.01 00:00,19.96,20.80,18.96,19.80,353
2006.08.01 00:00,19.65,20.15,15.92,16.92,574
2006.09.01 00:00,17.00,17.59,16.25,17.15,254
2006.10.01 00:00,17.20,19.30,16.75,18.69,362
2006.11.01 00:00,18.68,20.63,18.57,19.51,330
2006.12.01 00:00,19.50,19.92,18.61,18.89,202
2007.01.01 00:00,19.03,19.78,16.93,17.83,451
2007.02.01 00:00,17.85,19.81,17.57,19.30,304
2007.03.01 00:00,19.10,20.42,18.48,18.96,375
2007.04.01 00:00,19.05,21.00,18.89,20.03,325
2007.05.01 00:00,19.95,23.02,19.76,22.85,363
2007.06.01 00:00,23.00,23.42,20.55,20.71,346
2007.07.01 00:00,21.08,22.64,20.24,20.53,426
2007.08.01 00:00,20.53,21.05,17.55,18.92,540
2007.09.01 00:00,18.70,19.21,17.24,19.00,365
2007.10.01 00:00,19.09,19.70,16.74,17.10,394
2007.11.01 00:00,16.30,17.46,14.22,15.52,571
2007.12.01 00:00,15.59,15.92,12.96,13.13,347
2008.01.01 00:00,13.09,13.16,8.07,10.53,763
2008.02.01 00:00,10.66,10.91,7.08,7.11,412
2008.03.01 00:00,7.21,7.27,5.48,6.69,307
2008.04.01 00:00,6.88,8.29,6.00,7.99,348
2008.05.01 00:00,7.99,9.94,7.58,9.36,336
2008.06.01 00:00,9.40,9.83,7.61,9.50,435
2008.07.01 00:00,9.41,9.75,7.86,8.14,252
2008.08.01 00:00,8.19,9.42,7.00,8.73,3959
2008.09.01 00:00,8.97,9.01,5.75,6.13,14273
2008.10.01 00:00,6.11,6.71,2.87,3.50,22619
2008.11.01 00:00,3.35,4.49,1.35,2.80,10982
2008.12.01 00:00,2.81,2.87,1.57,1.84,6943
2009.01.01 00:00,1.86,2.93,1.83,2.42,4563
2009.02.01 00:00,2.43,3.78,2.12,3.32,6533
2009.03.01 00:00,3.13,4.19,2.82,3.52,6338
2009.04.01 00:00,3.55,4.56,3.49,4.40,6121
2009.05.01 00:00,4.41,5.91,4.35,5.13,6944
2009.06.01 00:00,5.18,5.77,4.45,4.82,5675
2009.07.01 00:00,4.76,4.90,3.81,4.00,4083
2009.08.01 00:00,4.03,4.10,3.50,3.67,1769
2009.09.01 00:00,3.71,4.47,3.49,3.94,3496
2009.10.01 00:00,3.90,4.04,2.89,2.95,2935
2009.11.01 00:00,3.02,3.97,2.78,3.71,2827
2009.12.01 00:00,3.75,4.40,3.62,3.66,2283
2010.01.01 00:00,3.71,4.22,3.25,3.26,3345
2010.02.01 00:00,3.32,3.69,3.10,3.34,3439
2010.03.01 00:00,3.35,4.13,3.23,3.80,2921
2010.04.01 00:00,3.88,4.46,3.81,4.24,2687
2010.05.01 00:00,4.23,5.30,3.83,5.13,7200
2010.06.01 00:00,4.98,5.07,4.22,4.23,5352
2010.07.01 00:00,4.22,5.08,4.05,4.56,5152
2010.08.01 00:00,4.67,4.72,3.82,4.06,2772
2010.09.01 00:00,4.16,4.68,4.08,4.62,2448
2010.10.01 00:00,4.61,4.87,4.12,4.12,2229
2010.11.01 00:00,4.18,4.24,3.70,3.78,1657
2010.12.01 00:00,3.84,4.45,3.76,4.23,1856
2011.01.01 00:00,4.30,4.68,4.18,4.52,2368
2011.02.01 00:00,4.50,4.61,4.12,4.36,2319
2011.03.01 00:00,4.35,5.24,4.17,4.65,4416
2011.04.01 00:00,4.69,124.89,1.01,5.17,2822
2011.05.01 00:00,5.25,6.04,5.03,5.85,3814
2011.06.01 00:00,5.79,6.14,4.98,5.38,4435
2011.07.01 00:00,5.41,5.74,4.14,4.22,2889
2011.08.01 00:00,4.30,4.31,2.98,3.74,7132
2011.09.01 00:00,3.78,3.82,2.94,3.04,3732
2011.10.01 00:00,3.03,3.37,2.10,2.56,5186
2011.11.01 00:00,2.52,2.93,2.34,2.68,1765
2011.12.01 00:00,2.70,2.84,2.15,2.33,1263
2012.01.01 00:00,2.28,2.40,2.10,2.12,822
2012.02.01 00:00,2.14,2.59,2.12,2.47,1154
2012.03.01 00:00,2.49,3.02,2.36,2.85,1992
2012.04.01 00:00,2.88,2.89,2.30,2.47,1722
2012.05.01 00:00,2.49,2.66,2.32,2.58,1354
2012.06.01 00:00,2.53,3.32,2.44,3.25,2223
2012.07.01 00:00,3.26,4.58,3.15,4.37,3590
2012.08.01 00:00,4.39,5.48,4.14,4.85,4795
