Date,Open,High,Low,Close,Volume
2011.11.06 02:00,58.68,59.04,52.73,56.48,8723
2011.11.13 02:00,55.71,57.54,46.36,47.22,14194
2011.11.20 02:00,46.80,47.03,43.33,43.33,12320
2011.11.27 02:00,46.08,49.95,46.08,48.99,15677
2011.12.04 02:00,49.80,50.87,48.47,50.37,16438
2011.12.11 02:00,49.46,49.74,45.92,46.47,14841
2011.12.18 02:00,46.93,49.73,45.00,48.53,18035
2011.12.25 02:00,48.92,49.19,47.67,48.82,10716
2012.01.01 02:00,49.50,50.23,44.47,44.86,14096
2012.01.08 02:00,43.49,45.78,43.22,44.95,26397
2012.01.15 02:00,45.32,47.90,44.38,44.50,17943
2012.01.22 02:00,44.62,47.55,43.76,47.16,17583
2012.01.29 02:00,46.37,47.44,40.31,40.84,19443
2012.02.05 02:00,40.41,45.78,40.28,45.07,18733
2012.02.12 02:00,44.99,50.34,43.44,48.47,18664
2012.02.19 02:00,48.53,48.91,46.82,48.13,14998
2012.02.26 02:00,47.61,48.68,45.66,48.27,18281
2012.03.04 02:00,48.04,51.12,47.44,50.78,16346
2012.03.11 02:00,50.41,54.00,50.31,52.47,9053
2012.03.18 02:00,52.23,53.23,49.92,51.20,6842
2012.03.25 02:00,50.17,51.94,48.88,49.59,9746
2012.04.01 02:00,50.33,52.72,49.45,49.93,8976
2012.04.08 02:00,48.94,49.08,46.74,47.13,13887
2012.04.15 02:00,47.32,49.67,46.02,49.02,11015
2012.04.22 02:00,48.25,51.28,46.99,50.88,12708
2012.04.29 02:00,50.66,53.92,49.75,50.56,13320
2012.05.06 02:00,50.01,50.01,45.24,46.63,12436
2012.05.13 02:00,46.10,46.74,35.66,35.87,10188
2012.05.20 02:00,36.07,36.86,34.44,36.22,10696
2012.05.27 02:00,36.29,36.50,31.83,32.11,7871
2012.06.03 02:00,32.07,33.30,31.27,32.12,9579
2012.06.10 02:00,32.54,32.57,30.25,31.55,9536
2012.06.17 02:00,31.18,32.42,30.28,30.71,10405
2012.06.24 02:00,30.19,34.68,29.50,34.12,10710
2012.07.01 02:00,34.74,35.12,33.09,33.52,7512
2012.07.08 02:00,33.24,35.69,32.45,35.45,11113
2012.07.15 02:00,35.20,36.93,33.82,36.68,8227
2012.07.22 02:00,35.70,36.99,34.65,36.72,6546
2012.07.29 02:00,36.14,36.43,28.60,29.36,7054
