Date,Open,High,Low,Close,Volume
2002.11.18 00:00,34.67,36.00,33.30,35.64,444
2002.11.18 04:00,34.67,36.00,33.30,35.64,444
2002.11.25 04:00,35.64,36.00,34.72,35.04,197
2002.12.02 04:00,35.05,35.65,33.55,34.12,328
2002.12.09 04:00,34.05,35.03,33.90,34.13,219
2002.12.16 04:00,34.28,35.35,33.95,35.15,194
2002.12.23 04:00,34.90,35.45,34.45,34.59,170
2002.12.30 04:00,34.67,35.42,34.32,35.12,176
2003.01.06 04:00,34.83,36.23,34.51,35.90,238
2003.01.13 04:00,36.03,36.25,35.18,35.74,186
2003.01.20 04:00,35.63,35.95,34.78,34.81,153
2003.01.27 04:00,34.80,35.17,34.05,35.03,202
2003.02.03 04:00,35.03,35.24,33.81,33.97,181
2003.02.10 04:00,33.97,34.59,33.28,34.44,216
2003.02.17 04:00,34.44,35.26,34.44,35.18,91
2003.02.24 04:00,35.00,35.17,33.82,34.62,233
2003.03.03 04:00,34.73,35.13,33.56,34.49,291
2003.03.10 04:00,34.13,34.23,32.13,33.66,374
2003.03.17 04:00,33.66,35.25,33.34,35.25,224
2003.03.24 04:00,34.63,34.95,33.82,34.29,193
2003.03.31 04:00,33.51,35.10,33.41,35.00,190
2003.04.07 04:00,35.35,36.00,34.63,35.67,243
2003.04.14 04:00,35.77,36.48,35.33,36.44,164
2003.04.21 04:00,36.44,37.41,36.19,36.29,230
2003.04.28 04:00,36.33,37.49,36.30,37.46,126
2003.05.05 04:00,37.28,37.46,36.65,37.00,135
2003.05.12 04:00,36.92,37.37,36.76,37.08,107
2003.05.19 04:00,37.08,37.08,36.02,36.88,193
2003.05.26 04:00,36.63,37.63,36.52,37.10,176
2003.06.02 04:00,37.35,39.00,37.01,38.46,288
2003.06.09 04:00,38.15,39.37,37.76,39.24,214
2003.06.16 04:00,39.32,40.00,39.15,39.46,157
2003.06.23 04:00,39.46,39.94,37.89,39.81,376
2003.06.30 04:00,39.81,40.36,39.28,40.01,197
2003.07.07 04:00,40.10,41.44,40.05,41.44,145
2003.07.14 04:00,41.70,42.45,40.62,41.58,355
2003.07.21 04:00,41.58,41.98,40.87,41.77,204
2003.07.28 04:00,41.60,41.90,40.28,40.37,202
2003.08.04 04:00,40.37,40.85,39.76,40.65,191
2003.08.11 04:00,40.52,40.85,40.05,40.75,138
2003.08.18 04:00,40.58,41.09,39.12,39.19,256
2003.08.25 04:00,39.25,39.65,38.60,39.63,173
2003.09.01 04:00,39.63,39.95,37.78,38.08,280
2003.09.08 04:00,38.28,38.61,37.29,37.92,229
2003.09.15 04:00,38.04,40.00,37.91,39.61,262
2003.09.22 04:00,39.13,39.69,39.03,39.40,106
2003.09.29 04:00,39.00,40.12,38.77,39.78,193
2003.10.06 04:00,39.92,40.76,39.70,40.56,149
2003.10.13 04:00,40.64,41.38,40.63,40.85,130
2003.10.20 04:00,40.15,40.99,40.15,40.93,91
2003.10.27 04:00,37.13,37.92,36.23,37.87,265
2003.11.03 04:00,37.88,38.49,37.30,38.08,219
2003.11.10 04:00,38.05,38.12,37.26,37.36,104
2003.11.17 04:00,37.20,37.39,36.86,37.17,104
