Date,Open,High,Low,Close,Volume
1997.07.20 00:00,68.88,70.88,67.75,70.13,502
1997.07.27 00:00,70.00,70.38,68.25,68.63,290
1997.08.03 00:00,68.38,69.25,62.63,62.63,750
1997.08.10 00:00,63.50,63.50,58.00,58.75,626
1997.08.17 00:00,59.38,61.75,58.00,60.63,626
1997.08.24 00:00,60.50,61.25,57.13,57.25,500
1997.09.01 00:00,57.63,60.63,57.00,59.88,502
1997.09.07 00:00,60.00,60.63,55.00,57.00,827
1997.09.14 00:00,57.13,60.13,57.00,59.13,427
1997.09.21 00:00,59.63,62.00,59.38,61.88,300
1997.09.28 00:00,62.50,63.69,60.88,62.38,551
1997.10.05 00:00,63.00,64.25,60.88,61.69,544
1997.10.12 00:00,61.63,62.19,57.06,58.50,714
1997.10.19 00:00,58.50,60.19,55.13,55.50,713
1997.10.26 00:00,55.50,58.94,50.00,56.63,1676
1997.11.02 00:00,57.13,58.69,55.94,57.00,538
1997.11.09 00:00,57.25,57.81,55.63,57.56,406
1997.11.16 00:00,58.44,63.81,58.25,63.75,582
1997.11.23 00:00,63.19,64.31,62.38,62.50,318
1997.11.30 00:00,62.88,66.50,62.56,66.06,471
1997.12.07 00:00,65.25,65.31,62.88,64.94,456
1997.12.14 00:00,65.00,66.38,62.25,65.44,783
1997.12.21 00:00,65.56,66.69,64.38,64.38,345
1997.12.28 00:00,65.38,67.19,65.31,66.94,221
1998.01.04 00:00,66.81,67.00,64.06,64.13,321
1998.01.11 00:00,62.50,66.19,62.25,65.00,539
1998.01.19 00:00,65.25,66.00,63.63,63.81,331
1998.01.25 00:00,64.31,65.56,62.38,64.75,593
1998.02.01 00:00,65.44,68.06,65.25,67.19,388
1998.02.08 00:00,67.44,69.56,67.00,68.56,401
1998.02.16 00:00,68.69,69.81,68.13,69.56,250
1998.02.22 00:00,69.69,69.75,68.06,68.63,233
1998.03.01 00:00,68.38,70.75,67.56,70.50,427
1998.03.08 00:00,70.56,73.19,70.38,70.56,563
1998.03.15 00:00,70.86,77.48,70.81,77.48,673
1998.03.22 00:00,76.00,76.94,74.88,75.06,319
1998.03.29 00:00,76.50,81.38,76.31,80.44,621
1998.04.05 00:00,80.69,81.31,77.25,78.56,600
1998.04.12 00:00,78.25,78.31,73.69,76.81,781
1998.04.19 00:00,76.56,77.13,73.00,73.63,534
1998.04.26 00:00,72.88,76.31,71.94,76.19,544
1998.05.03 00:00,76.19,77.50,74.81,76.44,514
1998.05.10 00:00,77.00,78.44,76.75,76.88,327
1998.05.17 00:00,77.19,80.94,76.88,78.81,651
1998.05.25 00:00,78.94,79.69,76.50,78.38,583
1998.05.31 00:00,78.61,82.04,78.44,82.04,378
1998.06.07 00:00,82.00,82.75,79.25,80.69,570
1998.06.14 00:00,80.44,81.69,77.75,80.38,783
1998.06.21 00:00,80.19,86.50,80.19,85.81,701
1998.06.28 00:00,86.44,86.81,84.75,85.38,307
1998.07.05 00:00,85.38,87.94,85.00,87.19,408
1998.07.12 00:00,87.19,88.94,86.00,86.13,483
1998.07.19 00:00,86.13,86.13,82.81,83.44,396
1998.07.26 00:00,83.19,85.75,79.38,80.50,1006
1998.08.02 00:00,80.63,83.63,77.63,80.44,1182
1998.08.09 00:00,80.13,81.63,75.56,76.81,883
1998.08.16 00:00,75.81,80.13,75.75,79.31,527
1998.08.23 00:00,79.38,81.44,72.06,72.75,1214
1998.08.30 00:00,72.81,73.25,59.88,62.13,1607
1998.09.07 00:00,65.00,65.00,60.06,62.44,733
