Date,Open,High,Low,Close,Volume
2011.06.12 00:00,13.29,13.56,13.25,13.43,61343700
2011.06.19 00:00,12.66,13.03,12.65,12.94,308345300
2011.06.26 00:00,13.35,13.55,13.09,13.46,298488000
2011.07.03 00:00,14.07,14.18,13.91,14.10,227929500
2011.07.10 00:00,13.64,13.69,13.26,13.32,250437000
2011.07.17 00:00,13.02,13.06,12.63,12.90,223359600
2011.07.24 00:00,13.04,13.24,13.01,13.17,406443900
2011.07.31 00:00,12.75,12.81,12.21,12.35,590301400
2011.08.07 00:00,10.02,10.42,9.87,9.93,693118700
2011.08.14 00:00,11.29,11.37,11.17,11.35,326045700
2011.08.21 00:00,10.39,10.39,9.81,10.01,287899600
2011.08.28 00:00,10.64,10.95,10.61,10.93,294399800
2011.09.04 00:00,10.02,10.27,10.00,10.22,225349900
2011.09.11 00:00,9.86,10.14,9.85,10.11,273884500
2011.09.18 00:00,10.34,10.62,10.30,10.54,327822600
2011.09.25 00:00,9.96,10.09,9.70,10.08,272284900
2011.10.02 00:00,9.66,9.92,9.36,9.37,446932700
2011.10.09 00:00,10.93,11.23,10.90,11.21,316092400
2011.10.16 00:00,11.71,11.76,11.32,11.40,338492100
2011.10.23 00:00,12.31,12.65,12.30,12.51,497565000
2011.10.30 00:00,11.80,11.91,11.68,11.68,41699400
2011.11.06 00:00,11.29,11.54,10.73,11.10,2100
2011.11.13 00:00,11.13,11.16,9.94,10.09,2180
2011.11.20 00:00,9.96,10.14,9.26,9.26,1687
2011.11.27 00:00,10.14,11.09,9.90,10.90,2377
2011.12.04 00:00,11.12,11.41,10.65,11.02,2512
2011.12.11 00:00,10.84,11.03,10.10,10.23,1968
2011.12.18 00:00,10.25,10.98,9.99,10.93,1495
2011.12.25 00:00,10.80,10.83,10.43,10.75,841
2012.01.01 00:00,11.01,11.79,11.01,11.72,1651
2012.01.08 00:00,11.81,12.17,11.63,12.03,2039
2012.01.15 00:00,12.19,12.71,11.96,12.59,1422
2012.01.22 00:00,12.65,13.04,11.88,12.21,2166
2012.01.29 00:00,12.01,12.79,12.01,12.79,1638
2012.02.05 00:00,12.84,12.99,12.36,12.43,1521
2012.02.12 00:00,12.63,12.84,12.33,12.74,1373
2012.02.19 00:00,12.71,12.73,12.16,12.22,1066
2012.02.26 00:00,12.11,12.93,11.99,12.71,1575
2012.03.04 00:00,12.64,12.72,12.00,12.58,1022
2012.03.11 00:00,12.54,13.02,12.37,12.54,1045
2012.03.18 00:00,12.52,12.67,12.18,12.32,864
2012.03.25 00:00,12.43,12.59,12.05,12.47,1079
2012.04.01 00:00,12.51,12.93,12.33,12.46,1169
2012.04.08 00:00,12.24,12.28,11.66,11.91,1398
2012.04.15 00:00,11.98,12.03,11.39,11.39,1123
2012.04.22 00:00,11.15,12.03,11.15,11.59,1211
2012.04.29 00:00,11.41,11.45,10.64,10.66,1317
2012.05.06 00:00,10.55,10.84,10.40,10.57,1545
2012.05.13 00:00,10.41,10.51,9.96,10.00,1207
2012.05.20 00:00,10.02,10.67,10.00,10.59,1446
2012.05.27 00:00,10.70,10.87,10.06,10.11,1171
2012.06.03 00:00,10.13,10.77,9.91,10.65,1215
2012.06.10 00:00,10.74,10.78,10.21,10.32,1135
2012.06.17 00:00,10.34,10.73,10.19,10.19,1244
2012.06.24 00:00,10.12,10.16,9.45,9.58,782
2012.07.01 00:00,9.46,9.77,9.30,9.49,770
2012.07.08 00:00,9.42,9.54,9.12,9.27,783
2012.07.15 00:00,9.18,9.51,9.13,9.20,592
2012.07.22 00:00,9.07,9.23,8.83,9.00,765
2012.07.29 00:00,9.05,9.39,8.82,9.09,739
2012.08.05 00:00,9.12,9.45,9.09,9.34,489
2012.08.12 00:00,9.35,9.76,9.26,9.63,550
2012.08.19 00:00,9.57,9.69,9.40,9.48,547
2012.08.26 00:00,9.50,9.51,9.25,9.35,332
2012.09.02 00:00,9.36,10.22,9.36,10.13,328
2012.09.09 00:00,10.08,10.55,10.07,10.51,508
2012.09.16 00:00,10.27,10.65,10.26,10.37,466
2012.09.23 00:00,10.28,10.38,9.83,9.85,592
2012.09.30 00:00,9.91,10.27,9.71,10.14,652
2012.10.07 00:00,10.06,10.25,9.95,10.12,600
2012.10.14 00:00,10.13,10.56,10.09,10.17,553
2012.10.21 00:00,10.15,10.48,9.97,10.35,782
2012.10.28 00:00,10.67,11.36,10.63,11.18,558
2012.11.04 00:00,11.12,11.58,10.73,10.93,964
2012.11.11 00:00,11.01,11.13,10.38,10.50,863
2012.11.18 00:00,10.69,11.09,10.66,11.07,448
2012.11.25 00:00,11.05,11.58,10.98,11.44,678
2012.12.02 00:00,11.54,11.68,11.19,11.47,858
2012.12.09 00:00,11.41,11.55,11.03,11.09,565
2012.12.16 00:00,11.13,11.84,11.13,11.79,733
2012.12.23 00:00,11.71,12.86,11.69,12.86,1210
2012.12.30 00:00,12.83,13.68,12.77,13.55,947
2013.01.06 00:00,13.50,14.05,13.20,13.99,818
2013.01.13 00:00,14.01,14.29,13.87,14.09,787
2013.01.20 00:00,14.06,14.18,13.64,13.65,493
2013.01.27 00:00,13.45,13.81,12.70,13.01,972
2013.02.03 00:00,12.94,13.30,12.86,13.08,549
2013.02.10 00:00,13.05,13.19,12.97,13.02,384
2013.02.17 00:00,13.06,13.07,12.30,12.47,391
2013.02.24 00:00,12.54,12.86,12.11,12.61,644
2013.03.03 00:00,12.54,12.99,12.54,12.96,2435
2013.03.10 00:00,12.90,13.46,12.89,13.44,4655
2013.03.17 00:00,13.14,13.41,12.78,13.26,6511
2013.03.24 00:00,13.28,13.39,13.09,13.14,3384
2013.03.31 00:00,12.98,13.18,12.13,12.42,5699
2013.04.07 00:00,12.44,13.57,12.39,13.52,5000
2013.04.14 00:00,13.28,13.45,12.65,12.92,7252
2013.04.21 00:00,12.93,13.75,12.80,13.67,7100
2013.04.28 00:00,13.74,13.82,13.34,13.82,4680
2013.05.05 00:00,13.82,14.25,13.82,14.10,4195
2013.05.12 00:00,14.09,15.14,13.91,15.05,5476
2013.05.19 00:00,15.02,15.31,14.35,14.79,10819
2013.05.26 00:00,15.18,16.03,15.09,15.68,7170
2013.06.02 00:00,15.92,16.08,15.06,15.73,10553
2013.06.09 00:00,15.85,15.89,15.18,15.35,8886
2013.06.16 00:00,15.52,15.71,14.59,14.99,10463
2013.06.23 00:00,14.65,15.69,14.30,15.46,9317
2013.06.30 00:00,15.58,16.74,15.55,16.69,7650
2013.07.07 00:00,16.83,17.09,16.65,17.09,3818
2013.07.14 00:00,17.23,17.28,16.41,16.75,2897
2013.07.21 00:00,16.86,17.66,16.82,17.02,3710
2013.07.28 00:00,17.05,17.49,16.84,17.48,3165
2013.08.04 00:00,17.41,17.49,16.72,17.01,2701
2013.08.11 00:00,16.90,17.20,16.22,16.29,2534
2013.08.18 00:00,16.27,16.51,15.82,16.44,2229
2013.08.25 00:00,16.43,16.65,15.71,16.18,2779
2013.09.01 00:00,16.42,17.34,16.21,16.99,2865
2013.09.08 00:00,17.10,17.67,17.10,17.33,2311
2013.09.15 00:00,17.52,17.77,17.29,17.38,2270
2013.09.22 00:00,17.26,17.39,16.98,17.03,2732
2013.09.29 00:00,16.76,17.33,16.69,17.07,2826
2013.10.06 00:00,16.85,17.10,16.35,17.10,2771
2013.10.13 00:00,16.93,17.54,16.91,17.52,1997
2013.10.20 00:00,17.58,18.01,17.39,17.60,2274
2013.10.27 00:00,17.64,17.71,16.76,16.89,4207
2013.11.03 00:00,16.97,17.19,16.53,16.84,2518
2013.11.10 00:00,16.86,17.20,16.64,17.05,2090
2013.11.17 00:00,17.07,17.16,16.82,17.00,2027
2013.11.24 00:00,17.09,17.17,16.81,17.07,923
2013.12.01 00:00,17.12,17.19,16.42,16.69,2418
2013.12.08 00:00,16.68,16.78,16.20,16.59,1656
2013.12.15 00:00,16.71,16.98,15.17,15.41,3147
2013.12.22 00:00,15.48,15.48,15.12,15.28,544
2013.12.29 00:00,15.35,15.62,15.25,15.50,835
2014.01.05 00:00,15.69,16.10,15.35,16.07,1815
2014.01.12 00:00,16.38,16.77,16.08,16.51,1603
2014.01.19 00:00,16.63,16.67,15.77,15.84,1599
2014.01.26 00:00,15.88,15.99,14.90,14.95,3370
2014.02.02 00:00,14.96,15.12,14.40,14.97,3266
2014.02.09 00:00,15.04,15.35,14.78,15.23,1554
2014.02.16 00:00,15.38,15.48,15.11,15.16,1506
2014.02.23 00:00,15.17,15.43,15.06,15.38,1602
2014.03.02 00:00,15.19,15.82,15.03,15.61,1658
2014.03.09 00:00,15.49,15.63,15.06,15.07,1928
2014.03.16 00:00,15.17,15.72,15.16,15.46,1660
2014.03.23 00:00,15.47,15.57,15.17,15.44,2021
2014.03.30 00:00,15.60,16.48,15.48,16.13,2353
2014.04.06 00:00,16.06,16.16,15.59,15.63,2797
2014.04.13 00:00,15.70,16.09,15.53,16.00,1619
