Date,Open,High,Low,Close,Volume
2013.09.29 00:00,157.72,160.29,155.46,156.51,30598
2013.10.06 00:00,155.24,160.44,152.83,159.97,34042
2013.10.13 00:00,158.18,162.49,155.94,158.66,34015
2013.10.20 00:00,158.47,162.19,156.56,162.05,27915
2013.10.27 00:00,161.63,163.22,160.25,162.00,26488
2013.11.03 00:00,162.22,164.23,159.60,163.10,29632
2013.11.10 00:00,162.81,165.41,161.19,164.39,26853
2013.11.17 00:00,164.50,168.21,164.20,168.04,28840
2013.11.24 00:00,168.30,170.68,166.87,168.94,17165
2013.12.01 00:00,169.54,171.57,164.80,167.21,30592
2013.12.08 00:00,167.42,172.14,166.15,168.45,32175
2013.12.15 00:00,168.91,175.78,168.91,175.40,34407
2013.12.22 00:00,175.79,176.71,175.19,176.32,14352
2013.12.29 00:00,176.51,178.78,175.26,178.16,16194
2014.01.05 00:00,178.79,181.09,176.60,178.39,26728
2014.01.12 00:00,177.62,179.70,174.50,176.00,29331
2014.01.19 00:00,175.08,175.49,167.23,167.92,27356
2014.01.26 00:00,166.86,167.53,163.27,164.28,46697
2014.02.02 00:00,165.15,165.49,159.75,161.80,41916
2014.02.09 00:00,161.00,165.20,160.27,163.65,33227
2014.02.16 00:00,164.04,166.16,162.62,164.49,25756
2014.02.23 00:00,164.00,167.78,160.76,166.27,36406
2014.03.02 00:00,164.03,175.57,163.63,174.22,34313
2014.03.09 00:00,173.23,174.44,165.01,165.36,36792
2014.03.16 00:00,166.18,170.38,166.18,166.94,34219
2014.03.23 00:00,167.09,167.85,160.76,162.28,37646
2014.03.30 00:00,163.10,167.57,162.22,163.19,32451
2014.04.06 00:00,162.90,163.01,151.63,152.90,39336
2014.04.13 00:00,154.60,161.30,153.10,157.46,27924
2014.04.20 00:00,157.21,162.05,156.22,158.27,25029
2014.04.27 00:00,157.90,161.81,154.00,158.96,28723
2014.05.04 00:00,156.26,158.19,153.69,157.19,28367
2014.05.11 00:00,157.90,160.88,154.85,156.40,23946
2014.05.18 00:00,155.72,160.43,155.60,160.18,23109
2014.05.25 00:00,160.69,163.41,159.16,159.82,17703
2014.06.01 00:00,159.19,166.25,157.91,166.22,18538
2014.06.08 00:00,165.81,167.20,164.68,165.84,22309
2014.06.15 00:00,165.39,171.07,164.83,169.91,26128
2014.06.22 00:00,170.07,170.56,166.36,166.80,29638
2014.06.29 00:00,166.78,169.86,166.31,169.41,20421
2014.07.06 00:00,168.80,168.80,161.58,164.75,31854
2014.07.13 00:00,167.15,171.77,166.44,171.47,38961
2014.07.20 00:00,170.10,177.25,170.03,175.40,34089
2014.07.27 00:00,174.85,177.47,169.38,170.13,42835
