Date,Open,High,Low,Close,Volume
2012.05.13 00:00,12.57,12.59,11.34,11.54,2141
2012.05.20 00:00,11.58,12.70,10.92,12.05,6766
2012.05.27 00:00,12.08,12.13,9.52,9.62,5517
2012.06.03 00:00,9.66,11.02,8.79,10.74,5319
2012.06.10 00:00,10.84,10.87,9.08,10.04,4528
2012.06.17 00:00,10.42,11.37,10.32,10.36,4696
2012.06.24 00:00,10.37,10.63,9.58,10.60,3207
2012.07.01 00:00,10.49,10.49,8.24,8.42,3373
2012.07.08 00:00,8.31,8.90,7.23,7.79,5169
2012.07.15 00:00,7.84,8.14,7.01,7.37,3615
2012.07.22 00:00,7.16,8.03,6.51,7.58,3225
2012.07.29 00:00,7.60,7.74,6.34,6.56,2480
2012.08.05 00:00,6.60,7.59,6.58,7.42,3922
2012.08.12 00:00,7.75,8.03,4.50,4.73,5287
2012.08.19 00:00,4.64,4.86,4.32,4.43,2325
2012.08.26 00:00,4.41,4.49,4.11,4.14,1071
2012.09.02 00:00,4.15,4.34,3.99,4.26,722
2012.09.09 00:00,4.24,5.28,4.22,5.26,1754
2012.09.16 00:00,5.14,5.45,4.64,5.27,2947
2012.09.23 00:00,5.16,5.25,4.58,4.75,1538
2012.09.30 00:00,4.79,5.35,4.55,5.23,1210
2012.10.07 00:00,5.12,5.48,4.96,5.27,2633
2012.10.14 00:00,5.31,5.38,4.63,4.67,1240
2012.10.21 00:00,4.70,4.74,4.32,4.45,1326
2012.10.28 00:00,4.47,4.49,3.67,3.81,600
2012.11.04 00:00,3.86,4.03,2.70,2.75,1446
2012.11.11 00:00,2.74,2.99,2.59,2.97,749
2012.11.18 00:00,3.06,4.08,3.00,3.90,1577
2012.11.25 00:00,3.83,4.57,3.69,4.15,2272
2012.12.02 00:00,4.17,4.76,3.69,4.68,2052
2012.12.09 00:00,4.45,5.08,4.21,4.91,1894
2012.12.16 00:00,4.95,5.15,4.42,4.80,1934
2012.12.23 00:00,4.77,4.89,4.55,4.76,805
2012.12.30 00:00,4.70,5.31,4.69,5.24,1036
2013.01.06 00:00,5.25,5.43,4.92,5.33,1736
2013.01.13 00:00,5.34,5.57,4.90,4.92,1420
2013.01.20 00:00,4.97,5.33,4.78,5.25,1083
2013.01.27 00:00,5.29,5.74,5.15,5.63,1039
2013.02.03 00:00,5.56,5.62,5.02,5.46,1381
2013.02.10 00:00,5.45,6.05,5.27,5.93,1448
2013.02.17 00:00,5.96,6.15,5.52,5.71,1260
2013.02.24 00:00,5.75,6.10,4.23,5.08,2451
2013.03.03 00:00,4.95,5.98,4.92,5.48,2933
2013.03.10 00:00,5.44,5.58,5.03,5.37,1234
2013.03.17 00:00,5.28,5.72,5.22,5.71,1120
2013.03.24 00:00,5.72,6.34,5.71,6.10,1435
2013.03.31 00:00,6.13,6.14,5.46,6.06,1369
2013.04.07 00:00,6.05,6.53,5.87,6.53,1490
2013.04.14 00:00,6.45,6.64,6.06,6.34,1998
2013.04.21 00:00,6.37,6.64,6.25,6.36,1529
2013.04.28 00:00,6.41,6.48,5.80,5.82,1170
2013.05.05 00:00,5.87,6.46,5.36,6.22,2000
2013.05.12 00:00,6.13,7.36,6.13,6.96,2814
2013.05.19 00:00,6.99,7.33,6.88,7.20,1873
2013.05.26 00:00,7.26,7.70,7.26,7.67,890
2013.06.02 00:00,7.74,7.74,6.57,6.92,2602
2013.06.09 00:00,7.07,8.01,6.79,7.60,2504
2013.06.16 00:00,7.69,8.08,7.52,7.94,2228
2013.06.23 00:00,7.90,8.67,7.61,8.54,2276
2013.06.30 00:00,8.57,9.41,8.55,9.10,1939
2013.07.07 00:00,9.17,9.25,8.33,8.51,2372
2013.07.14 00:00,8.52,8.98,8.25,8.83,1719
2013.07.21 00:00,8.81,9.34,8.61,9.32,2119
2013.07.28 00:00,9.33,9.33,8.57,8.68,2838
2013.08.04 00:00,8.70,11.20,8.50,10.61,4455
2013.08.11 00:00,10.51,10.93,9.35,9.59,4129
2013.08.18 00:00,9.53,10.06,9.26,9.85,3135
2013.08.25 00:00,9.94,10.56,9.79,10.13,4407
2013.09.01 00:00,10.26,11.02,9.95,10.75,3124
2013.09.08 00:00,10.88,12.15,10.84,11.67,4431
2013.09.15 00:00,11.36,12.74,11.09,12.63,5209
2013.09.22 00:00,12.16,12.18,11.50,11.63,4142
2013.09.29 00:00,11.28,12.29,10.84,11.43,4772
2013.10.06 00:00,11.25,11.39,9.87,11.10,6153
2013.10.13 00:00,10.83,11.52,10.53,10.63,5017
2013.10.20 00:00,10.66,10.73,9.39,9.78,3399
2013.10.27 00:00,9.80,9.93,8.97,9.91,3509
2013.11.03 00:00,10.24,10.66,9.39,10.10,6103
2013.11.10 00:00,10.09,10.94,9.75,10.70,3603
2013.11.17 00:00,10.69,10.83,9.09,9.11,4115
2013.11.24 00:00,9.12,9.35,8.59,9.05,1688
2013.12.01 00:00,8.71,9.30,8.39,9.07,2552
2013.12.08 00:00,9.08,10.60,9.08,10.21,3473
2013.12.15 00:00,10.27,11.75,10.07,11.67,4667
2013.12.22 00:00,11.71,12.17,11.51,11.69,2188
2013.12.29 00:00,11.64,12.17,11.13,12.07,2343
2014.01.05 00:00,12.26,12.40,11.30,11.54,2969
2014.01.12 00:00,11.52,11.52,10.78,10.81,2980
2014.01.19 00:00,10.90,10.94,10.21,10.26,1765
2014.01.26 00:00,10.28,11.00,9.89,10.44,3343
2014.02.02 00:00,10.59,10.88,10.10,10.86,3467
2014.02.09 00:00,10.87,11.19,10.04,10.49,3509
2014.02.16 00:00,10.55,10.62,7.99,8.02,2829
2014.02.23 00:00,8.11,8.76,7.66,8.30,3080
2014.03.02 00:00,8.33,8.71,8.24,8.58,1816
2014.03.09 00:00,8.56,8.64,8.12,8.35,2180
2014.03.16 00:00,8.40,8.54,8.14,8.26,1872
2014.03.23 00:00,8.28,8.28,7.60,7.83,2822
2014.03.30 00:00,7.87,8.22,7.65,7.83,2058
2014.04.06 00:00,7.79,7.81,6.87,6.93,3316
2014.04.13 00:00,7.01,7.47,6.69,7.40,1764
2014.04.20 00:00,7.41,7.73,7.10,7.17,1803
2014.04.27 00:00,7.22,7.22,6.84,7.07,2021
2014.05.04 00:00,7.06,7.06,5.17,6.03,2121
2014.05.11 00:00,6.08,6.44,5.83,6.00,1468
2014.05.18 00:00,6.02,6.30,5.81,6.28,853
2014.05.25 00:00,6.30,6.45,5.82,5.86,660
2014.06.01 00:00,5.89,5.91,5.45,5.81,771
2014.06.08 00:00,5.83,6.37,5.83,6.22,1100
2014.06.15 00:00,6.21,6.43,6.11,6.14,913
2014.06.22 00:00,6.22,7.14,6.17,6.66,1948
2014.06.29 00:00,6.69,6.78,6.49,6.65,918
2014.07.06 00:00,6.66,6.80,6.21,6.56,1959
2014.07.13 00:00,6.61,6.64,6.15,6.28,1584
2014.07.20 00:00,6.38,6.38,6.08,6.20,1010
2014.07.27 00:00,6.18,6.55,6.16,6.45,1398
2014.08.03 00:00,6.48,7.06,5.67,5.94,2587
2014.08.10 00:00,5.99,6.02,5.74,5.98,657
2014.08.17 00:00,6.02,6.29,5.99,6.28,749
2014.08.24 00:00,6.29,6.94,6.27,6.79,750
2014.08.31 00:00,6.91,7.26,6.81,6.81,977
2014.09.07 00:00,6.80,7.21,6.30,7.14,2057
2014.09.14 00:00,7.17,7.20,6.80,6.95,1274
2014.09.21 00:00,6.92,6.92,6.48,6.65,1332
2014.09.28 00:00,6.58,6.76,6.38,6.72,1157
2014.10.05 00:00,6.73,6.84,5.77,5.92,1540
2014.10.12 00:00,5.87,6.38,5.71,6.11,2391
2014.10.19 00:00,6.13,6.30,5.95,6.03,1213
2014.10.26 00:00,6.02,7.50,5.72,7.29,3293
2014.11.02 00:00,7.30,8.04,7.20,7.49,3476
2014.11.09 00:00,7.50,8.26,7.24,7.83,3016
2014.11.16 00:00,7.84,7.86,7.15,7.49,2839
2014.11.23 00:00,7.46,7.61,7.44,7.56,754
2014.11.30 00:00,7.87,7.88,7.20,7.25,1915
2014.12.07 00:00,7.06,7.33,6.94,7.19,1952
2014.12.14 00:00,7.27,7.93,6.81,7.90,3168
2014.12.21 00:00,7.94,8.41,7.80,8.13,1477
2014.12.28 00:00,8.10,8.41,7.90,8.00,1256
2015.01.04 00:00,7.94,8.21,7.61,7.72,2763
2015.01.11 00:00,7.74,7.78,7.11,7.32,1779
2015.01.18 00:00,7.37,7.53,7.04,7.30,1552
2015.01.25 00:00,7.29,7.40,6.74,7.14,1595
2015.02.01 00:00,7.16,7.59,7.03,7.38,2863
2015.02.08 00:00,7.35,8.15,7.34,7.96,2957
2015.02.15 00:00,7.94,8.15,7.76,8.14,1462
2015.02.22 00:00,8.12,8.35,7.99,8.17,1392
2015.03.01 00:00,8.18,8.26,7.79,7.87,1556
2015.03.08 00:00,7.88,8.04,7.62,7.75,1838
2015.03.15 00:00,7.79,7.91,7.56,7.59,909
2015.03.22 00:00,7.58,7.83,7.51,7.59,1238
2015.03.29 00:00,7.61,7.64,6.95,7.04,847
2015.04.05 00:00,7.02,7.43,6.98,7.37,1101
2015.04.12 00:00,7.40,7.43,7.14,7.18,1053
2015.04.19 00:00,7.51,7.52,7.01,7.10,1049
2015.04.26 00:00,7.16,7.17,6.60,6.76,1091
2015.05.03 00:00,6.79,7.17,6.17,6.62,2657
2015.05.10 00:00,6.69,6.85,6.51,6.60,2141
2015.05.17 00:00,6.55,6.67,6.41,6.53,1522
2015.05.24 00:00,6.39,6.50,6.34,6.36,1663
2015.05.31 00:00,6.39,6.41,5.71,6.08,14621
2015.06.07 00:00,6.10,6.12,5.75,5.76,11723
2015.06.14 00:00,5.68,5.72,5.32,5.42,3469
2015.06.21 00:00,5.45,5.47,5.15,5.17,623
2015.06.28 00:00,5.11,5.15,4.83,4.84,316
2015.07.05 00:00,4.76,4.99,4.74,4.82,396
2015.07.12 00:00,4.99,5.31,4.97,5.09,513
2015.07.19 00:00,5.14,5.15,4.68,4.94,690
2015.07.26 00:00,4.88,5.01,4.78,4.80,510
2015.08.02 00:00,4.77,4.83,4.28,4.37,956
2015.08.09 00:00,4.33,4.38,4.13,4.30,866
2015.08.16 00:00,4.29,4.50,3.94,4.07,715
2015.08.23 00:00,3.66,4.61,3.51,4.58,1263
2015.08.30 00:00,4.56,4.57,4.19,4.24,763
2015.09.06 00:00,4.31,4.36,4.13,4.21,362
2015.09.13 00:00,4.19,4.32,4.13,4.28,433
2015.09.20 00:00,4.29,4.29,3.54,3.58,422
2015.09.27 00:00,3.56,3.58,3.17,3.41,814
2015.10.04 00:00,3.46,3.93,3.46,3.86,828
2015.10.11 00:00,3.89,3.89,3.61,3.81,713
2015.10.18 00:00,3.78,3.79,3.60,3.60,600
2015.10.25 00:00,3.54,3.73,3.37,3.70,518
2015.11.01 00:00,3.69,4.04,2.65,2.72,824
2015.11.08 00:00,2.75,2.76,2.54,2.56,376
2015.11.15 00:00,2.55,2.84,2.54,2.70,627
2015.11.22 00:00,2.74,2.92,2.73,2.89,318
2015.11.29 00:00,2.87,3.17,2.84,3.04,566
2015.12.06 00:00,3.04,3.19,2.74,2.96,565
2015.12.13 00:00,3.06,3.23,2.98,3.14,654
2015.12.20 00:00,3.15,3.34,3.03,3.27,360
2015.12.27 00:00,3.22,3.25,3.08,3.08,547
2016.01.03 00:00,3.00,3.14,2.76,2.76,693
2016.01.10 00:00,2.78,2.80,2.40,2.60,865
2016.01.17 00:00,2.64,2.66,2.23,2.64,797
2016.01.24 00:00,2.64,2.86,2.59,2.71,874
2016.01.31 00:00,2.68,2.74,2.34,2.42,826
2016.02.07 00:00,2.37,2.95,2.08,2.88,1013
2016.02.14 00:00,3.32,4.44,3.26,4.08,4321
2016.02.21 00:00,4.31,4.67,3.96,4.48,2586
2016.02.28 00:00,4.59,5.27,4.43,4.77,2971
2016.03.06 00:00,4.82,4.99,4.02,4.13,2122
2016.03.13 00:00,4.12,4.28,3.78,4.04,1742
2016.03.20 00:00,4.01,4.18,3.76,3.93,905
2016.03.27 00:00,3.97,4.06,3.81,3.91,885
2016.04.03 00:00,4.08,4.52,4.03,4.21,2090
2016.04.10 00:00,4.25,4.68,4.11,4.59,1843
2016.04.17 00:00,4.46,4.64,4.41,4.47,1247
2016.04.24 00:00,4.49,4.70,3.48,3.51,1427
2016.05.01 00:00,3.51,3.52,3.19,3.29,979
2016.05.08 00:00,3.25,3.64,3.22,3.37,842
2016.05.15 00:00,3.39,3.47,3.29,3.43,771
2016.05.22 00:00,3.44,3.58,3.38,3.54,784
2016.05.29 00:00,3.56,3.68,3.46,3.51,450
2016.06.05 00:00,3.54,3.64,3.09,3.16,888
2016.06.12 00:00,3.14,3.33,3.06,3.26,371
2016.06.19 00:00,3.30,3.35,3.13,3.13,361
2016.06.26 00:00,3.09,3.31,2.91,3.29,367
2016.07.03 00:00,3.26,3.40,3.17,3.37,352
2016.07.10 00:00,3.42,3.56,3.38,3.47,279
2016.07.17 00:00,3.74,3.91,3.70,3.70,755
2016.07.24 00:00,3.77,5.01,3.67,4.81,2872
2016.07.31 00:00,4.67,5.76,4.58,5.68,3116
2016.08.07 00:00,5.79,5.92,5.53,5.71,2495
2016.08.14 00:00,5.70,5.78,5.46,5.52,1222
2016.08.21 00:00,5.50,5.63,5.26,5.37,1300
2016.08.28 00:00,5.29,5.47,5.26,5.34,1233
2016.09.04 00:00,5.41,5.52,5.24,5.28,590
2016.09.11 00:00,5.11,5.24,4.99,5.16,1022
2016.09.18 00:00,5.17,5.51,5.07,5.31,867
2016.09.25 00:00,5.30,5.43,5.05,5.13,762
2016.10.02 00:00,5.17,5.37,5.07,5.12,755
2016.10.09 00:00,5.19,5.20,4.80,4.99,462
2016.10.16 00:00,5.27,5.36,4.93,5.01,791
2016.10.23 00:00,5.05,5.34,4.01,4.04,1620
2016.10.30 00:00,4.10,4.11,3.76,3.76,1439
2016.11.06 00:00,3.84,4.14,3.80,4.13,3281
2016.11.13 00:00,4.14,4.15,3.86,3.92,2400
2016.11.20 00:00,3.94,4.16,3.91,4.09,1573
2016.11.27 00:00,4.12,4.12,3.71,3.77,1871
2016.12.04 00:00,3.81,3.98,3.73,3.85,1887
2016.12.11 00:00,3.87,3.87,3.56,3.60,1888
2016.12.18 00:00,3.59,3.68,3.46,3.49,534
2016.12.25 00:00,3.50,3.63,3.28,3.30,412
2017.01.01 00:00,3.45,3.71,3.39,3.52,571
2017.01.08 00:00,3.54,3.71,3.38,3.56,819
2017.01.15 00:00,3.65,3.69,3.41,3.43,598
2017.01.22 00:00,3.45,3.52,3.37,3.42,440
2017.01.29 00:00,3.41,3.51,3.26,3.48,624
2017.02.05 00:00,3.47,3.59,3.41,3.55,333
2017.02.12 00:00,3.56,4.61,3.53,4.56,1998
