Date,Open,High,Low,Close,Volume
2011.11.06 00:00,158.11,160.11,138.04,154.81,10346
2011.11.13 00:00,152.12,157.48,145.24,146.11,13891
2011.11.20 00:00,141.30,143.86,138.06,138.85,13131
2011.11.27 00:00,143.60,147.87,139.66,144.61,16818
2011.12.04 00:00,145.88,151.95,143.54,147.02,17214
2011.12.11 00:00,143.69,145.97,136.98,138.93,14548
2011.12.18 00:00,138.68,140.03,135.30,138.80,13605
2011.12.25 00:00,138.78,140.95,136.44,138.06,7715
2012.01.01 00:00,140.15,144.10,136.13,140.64,8936
2012.01.08 00:00,144.03,147.61,141.10,143.54,14009
2012.01.15 00:00,144.06,147.73,139.01,146.80,10199
2012.01.22 00:00,142.86,152.38,142.27,151.45,11128
2012.01.29 00:00,149.74,156.80,148.53,154.83,9893
2012.02.05 00:00,155.32,178.32,153.72,172.54,12751
2012.02.12 00:00,172.34,176.52,170.59,174.39,11600
2012.02.19 00:00,174.13,174.27,170.82,173.34,10526
2012.02.26 00:00,171.10,178.16,171.10,176.59,11863
2012.03.04 00:00,176.04,177.79,168.89,176.36,10801
2012.03.11 00:00,176.11,181.85,175.69,177.69,6036
2012.03.18 00:00,176.73,178.87,171.25,174.14,6439
2012.03.25 00:00,171.37,177.04,171.37,173.93,8596
2012.04.01 00:00,173.03,178.94,171.65,178.02,7072
2012.04.08 00:00,173.16,177.11,168.95,172.44,10418
2012.04.15 00:00,172.07,173.98,168.13,171.03,9377
2012.04.22 00:00,168.43,174.58,162.33,173.10,10327
2012.04.29 00:00,172.02,177.25,167.74,168.46,9005
2012.05.06 00:00,168.06,170.70,154.26,160.52,10765
2012.05.13 00:00,158.90,159.80,140.39,141.50,10051
2012.05.20 00:00,142.09,155.49,141.68,149.77,11362
2012.05.27 00:00,150.77,152.23,140.36,141.64,7827
2012.06.03 00:00,141.71,145.77,140.08,144.82,9926
2012.06.10 00:00,146.10,146.18,138.53,145.90,8782
2012.06.17 00:00,144.77,149.21,142.02,142.77,10144
2012.06.24 00:00,140.36,142.25,134.41,139.89,10372
2012.07.01 00:00,140.01,149.45,138.76,144.25,7354
2012.07.08 00:00,143.76,145.87,134.27,140.83,12010
2012.07.15 00:00,140.08,153.89,138.70,148.96,9788
2012.07.22 00:00,145.40,149.65,139.76,148.09,8039
2012.07.29 00:00,148.16,149.32,136.68,145.64,7984
2012.08.05 00:00,146.32,156.09,143.60,150.10,9397
2012.08.12 00:00,149.81,160.46,149.22,159.63,9787
2012.08.19 00:00,159.08,160.59,155.44,159.49,8193
2012.08.26 00:00,159.20,160.41,156.02,158.47,4944
2012.09.02 00:00,158.36,161.89,154.33,161.08,2843
2012.09.09 00:00,160.05,164.19,152.51,162.73,2918
2012.09.16 00:00,162.40,163.16,155.00,155.74,3346
2012.09.23 00:00,155.11,155.11,147.81,151.32,3166
2012.09.30 00:00,151.67,159.84,150.64,157.48,3084
2012.10.07 00:00,155.86,159.16,154.16,154.84,3013
2012.10.14 00:00,156.14,165.17,156.05,161.95,3177
2012.10.21 00:00,156.98,159.79,150.51,152.58,3638
2012.10.28 00:00,155.15,163.69,152.11,160.06,1394
2012.11.04 00:00,159.38,161.48,149.69,151.27,3268
2012.11.11 00:00,151.31,153.74,148.62,151.47,3537
2012.11.18 00:00,153.93,159.73,153.86,159.61,2413
2012.11.25 00:00,159.00,163.52,156.57,157.20,3907
2012.12.02 00:00,157.64,159.31,150.91,155.38,4013
2012.12.09 00:00,154.84,154.92,148.39,150.05,3242
2012.12.16 00:00,150.16,154.53,147.72,151.24,3151
2012.12.23 00:00,150.67,151.27,143.96,146.53,3288
2012.12.30 00:00,146.27,159.54,146.21,159.46,2583
2013.01.06 00:00,160.49,167.87,159.60,165.83,3389
2013.01.13 00:00,165.53,168.43,165.15,167.62,4390
2013.01.20 00:00,167.56,170.27,161.09,170.02,5560
2013.01.27 00:00,169.76,169.87,161.11,161.29,6713
2013.02.03 00:00,162.39,179.09,161.56,177.46,4776
2013.02.10 00:00,177.20,178.09,173.25,175.94,4290
2013.02.17 00:00,175.69,177.53,169.92,170.98,2705
