Date,Open,High,Low,Close,Volume
2004.10.18 00:00,9.00,9.18,8.74,8.81,70
2004.10.25 00:00,8.77,9.36,8.72,9.15,91
2004.11.01 00:00,9.13,9.90,9.12,9.72,98
2004.11.08 00:00,9.67,10.45,9.30,10.43,155
2004.11.15 00:00,10.48,10.71,10.13,10.29,98
2004.11.22 00:00,10.30,11.00,10.07,10.91,126
2004.11.29 00:00,10.98,11.25,10.61,10.90,121
2004.12.06 00:00,10.90,11.35,10.51,11.26,133
2004.12.13 00:00,11.28,12.03,11.24,11.75,112
2004.12.20 00:00,11.74,12.16,11.62,11.95,88
2004.12.27 00:00,11.94,12.12,11.74,11.96,75
2005.01.03 00:00,11.80,11.95,11.23,11.47,112
2005.01.10 00:00,11.40,11.55,10.89,11.12,105
2005.01.17 00:00,11.11,11.60,10.75,10.95,155
2005.01.24 00:00,11.10,11.37,11.00,11.10,75
2005.01.31 00:00,11.20,11.36,10.15,10.38,161
2005.02.07 00:00,10.48,10.89,10.33,10.77,84
2005.02.14 00:00,10.81,11.10,10.69,10.73,75
2005.02.21 00:00,10.58,10.80,10.49,10.72,49
2005.02.28 00:00,10.62,11.13,10.44,10.93,108
2005.03.07 00:00,10.89,11.20,10.81,10.90,78
2005.03.14 00:00,10.90,10.99,10.46,10.46,63
2005.03.21 00:00,10.50,10.53,10.00,10.01,58
2005.03.28 00:00,10.02,10.66,9.98,10.45,94
2005.04.04 00:00,10.46,10.77,10.42,10.59,58
2005.04.11 00:00,10.62,10.76,10.00,10.12,103
2005.04.18 00:00,10.12,10.36,9.65,9.90,121
2005.04.25 00:00,9.94,10.47,9.91,10.35,72
2005.05.02 00:00,10.35,10.85,9.99,10.33,171
2005.05.09 00:00,10.70,11.08,10.61,10.90,75
2005.05.16 00:00,10.89,11.75,10.80,11.54,126
2005.05.23 00:00,11.53,11.66,11.15,11.33,83
2005.05.30 00:00,11.35,11.86,11.18,11.68,104
2005.06.06 00:00,11.68,11.97,11.63,11.72,65
2005.06.13 00:00,11.64,11.89,11.37,11.73,96
2005.06.20 00:00,11.63,12.00,11.48,11.60,102
2005.06.27 00:00,11.56,11.61,11.23,11.33,54
2005.07.04 00:00,11.29,13.80,11.20,12.50,400
2005.07.11 00:00,12.50,12.86,12.30,12.74,89
2005.07.18 00:00,12.80,14.23,12.80,13.81,186
2005.07.25 00:00,13.79,13.95,13.32,13.70,118
2005.08.01 00:00,13.71,14.08,13.13,13.28,148
