Date,Open,High,Low,Close,Volume
2002.11.18 00:00,13.85,14.45,13.40,14.16,180
2002.11.25 00:00,14.30,14.60,14.11,14.58,71
2002.12.02 00:00,14.46,15.40,14.35,15.09,148
2002.12.09 00:00,15.10,15.10,13.53,14.18,223
2002.12.16 00:00,14.25,15.20,14.09,14.40,208
2002.12.23 00:00,14.38,14.99,13.86,13.98,187
2002.12.30 00:00,13.99,15.54,13.98,15.42,170
2003.01.06 00:00,15.15,16.76,15.15,15.75,263
2003.01.13 00:00,15.95,16.10,14.78,14.90,160
2003.01.20 00:00,15.15,15.18,12.67,12.80,268
2003.01.27 00:00,12.80,13.42,11.13,12.14,393
2003.02.03 00:00,12.16,13.32,11.84,12.05,286
2003.02.10 00:00,12.15,12.75,11.70,12.30,196
2003.02.17 00:00,12.60,13.30,12.36,13.10,139
2003.02.24 00:00,13.00,13.18,12.60,12.70,87
2003.03.03 00:00,12.80,12.93,11.88,11.90,121
2003.03.10 00:00,11.80,12.00,11.06,11.79,188
2003.03.17 00:00,11.69,12.00,11.42,11.98,88
2003.03.24 00:00,11.55,12.21,11.55,11.99,89
2003.03.31 00:00,11.80,12.71,11.48,11.60,227
2003.04.07 00:00,11.90,12.09,11.22,11.62,147
2003.04.14 00:00,11.62,11.87,10.93,11.05,132
2003.04.21 00:00,11.14,11.48,10.22,11.00,239
2003.04.28 00:00,10.92,11.98,10.85,11.97,122
2003.05.05 00:00,11.99,12.00,11.35,11.57,89
2003.05.12 00:00,11.38,12.51,11.37,12.05,162
2003.05.19 00:00,12.05,13.11,11.75,13.11,167
2003.05.26 00:00,12.95,13.59,12.82,13.56,94
2003.06.02 00:00,13.60,14.24,13.13,14.05,178
2003.06.09 00:00,13.95,14.42,13.43,13.97,197
2003.06.16 00:00,13.96,15.10,13.90,14.79,158
2003.06.23 00:00,14.79,14.95,14.29,14.50,104
2003.06.30 00:00,14.50,15.58,14.35,15.22,175
2003.07.07 00:00,15.23,15.70,14.95,15.15,143
2003.07.14 00:00,15.35,15.35,14.27,14.64,146
2003.07.21 00:00,14.67,15.25,14.41,15.19,117
2003.07.28 00:00,15.20,15.40,14.12,14.42,179
2003.08.04 00:00,14.42,14.59,13.55,14.00,167
2003.08.11 00:00,14.08,14.62,14.02,14.21,108
2003.08.18 00:00,14.21,14.99,14.13,14.40,154
2003.08.25 00:00,14.32,14.80,14.20,14.77,76
2003.09.01 00:00,14.85,15.28,14.53,14.90,146
2003.09.08 00:00,14.90,15.14,14.68,15.04,79
2003.09.15 00:00,14.98,16.20,14.55,16.11,218
2003.09.22 00:00,16.00,16.11,14.82,15.30,189
2003.09.29 00:00,15.25,15.35,14.79,15.00,88
2003.10.06 00:00,15.05,15.90,14.95,15.65,131
2003.10.13 00:00,15.90,16.50,15.41,16.16,193
2003.10.20 00:00,16.25,16.39,15.55,15.79,123
2003.10.27 00:00,15.90,16.09,15.71,16.00,67
2003.11.03 00:00,16.00,16.48,15.20,15.24,181
2003.11.10 00:00,15.20,15.73,15.15,15.38,99
2003.11.17 00:00,15.28,15.46,14.72,15.38,139
2003.11.24 00:00,15.34,15.57,14.97,14.99,86
2003.12.01 00:00,15.05,15.48,14.93,15.25,91
2003.12.08 00:00,15.17,15.48,14.75,14.93,123
2003.12.15 00:00,14.95,15.95,14.78,15.84,146
2003.12.22 00:00,15.90,16.00,15.61,15.85,74
