Date,Open,High,Low,Close,Volume
2010.03.14 00:00,23.57,24.05,23.47,23.74,1930
2010.03.21 00:00,23.65,24.28,23.37,23.78,3105
2010.03.28 00:00,23.81,23.95,23.39,23.70,2286
2010.04.04 00:00,23.61,24.46,23.61,24.29,2558
2010.04.11 00:00,24.36,24.64,23.66,24.27,3166
2010.04.18 00:00,24.09,24.66,23.85,24.58,3864
2010.04.25 00:00,24.63,24.99,23.36,23.53,5944
2010.05.02 00:00,23.52,23.96,20.65,21.66,15966
2010.05.09 00:00,22.39,23.13,21.87,22.11,8681
2010.05.16 00:00,22.20,22.48,20.87,21.54,15718
2010.05.23 00:00,21.47,21.80,20.56,21.50,10245
2010.05.30 00:00,21.22,22.06,21.05,21.15,6685
2010.06.06 00:00,21.21,21.89,19.96,21.73,8672
2010.06.13 00:00,21.87,22.63,21.71,21.96,4802
2010.06.20 00:00,22.10,22.28,19.83,20.08,5464
2010.06.27 00:00,20.12,20.23,18.82,19.17,6482
2010.07.04 00:00,19.31,19.67,18.88,19.67,4363
2010.07.11 00:00,19.68,20.41,19.29,19.30,4826
2010.07.18 00:00,19.32,20.15,19.23,19.99,5453
2010.07.25 00:00,19.95,20.65,19.52,20.32,5833
2010.08.01 00:00,20.54,20.96,19.75,20.17,4284
2010.08.08 00:00,20.25,20.40,19.06,19.10,5070
2010.08.15 00:00,19.01,19.80,18.62,18.92,5224
2010.08.22 00:00,18.93,19.06,17.65,18.03,5934
2010.08.29 00:00,18.00,19.43,17.45,19.14,5581
2010.09.05 00:00,19.13,19.48,18.63,19.44,3341
2010.09.12 00:00,19.54,19.87,19.29,19.49,4310
2010.09.19 00:00,19.60,20.61,19.50,20.59,4899
2010.09.26 00:00,20.45,21.24,20.34,20.71,6130
2010.10.03 00:00,20.66,21.16,20.23,20.58,6091
2010.10.10 00:00,20.60,20.98,20.41,20.80,4802
2010.10.17 00:00,20.88,20.88,19.87,20.60,4052
