Date,Open,High,Low,Close,Volume
2011.11.06 00:00,7.43,17.48,6.76,17.08,3214
2011.11.13 00:00,16.06,17.34,7.29,16.19,3932
2011.11.20 00:00,16.00,16.00,14.84,15.33,2869
2011.11.27 00:00,15.67,16.40,15.57,16.10,3505
2011.12.04 00:00,16.35,16.72,15.64,16.19,3952
2011.12.11 00:00,15.96,16.09,15.22,15.46,3088
2011.12.18 00:00,15.46,15.81,14.94,15.78,1863
2011.12.25 00:00,15.84,15.88,15.58,15.65,1045
2012.01.01 00:00,16.10,16.17,15.58,15.80,1518
2012.01.08 00:00,15.78,16.41,15.55,15.88,2300
2012.01.15 00:00,16.14,16.88,16.10,16.78,1913
2012.01.22 00:00,16.85,17.20,16.39,17.08,3298
2012.01.29 00:00,16.85,17.72,16.79,17.62,2916
2012.02.05 00:00,17.47,18.05,17.33,17.78,2457
2012.02.12 00:00,17.89,18.19,17.71,17.95,2987
2012.02.19 00:00,17.99,18.20,17.67,17.88,1863
2012.02.26 00:00,17.67,18.04,17.59,17.73,2622
2012.03.04 00:00,17.68,17.79,17.07,17.72,2077
2012.03.11 00:00,17.74,18.29,17.67,18.16,1559
2012.03.18 00:00,18.10,18.46,17.81,18.21,1030
2012.03.25 00:00,18.24,18.73,17.66,18.70,1392
2012.04.01 00:00,18.59,18.83,18.06,18.31,1237
2012.04.08 00:00,18.02,18.37,17.55,18.07,1794
2012.04.15 00:00,18.16,18.48,18.02,18.13,1958
2012.04.22 00:00,17.97,18.11,15.95,16.47,1500
2012.04.29 00:00,16.49,16.67,15.79,15.83,1493
2012.05.06 00:00,15.68,15.98,15.44,15.44,2159
2012.05.13 00:00,14.57,15.62,14.57,14.74,2062
2012.05.20 00:00,14.70,15.14,14.63,15.08,2315
2012.05.27 00:00,15.19,15.33,14.38,14.40,1864
2012.06.03 00:00,14.37,14.89,14.26,14.56,1919
2012.06.10 00:00,14.70,14.80,14.21,14.75,1614
2012.06.17 00:00,14.54,15.11,14.40,14.45,1987
2012.06.24 00:00,14.30,14.59,13.71,14.58,1140
2012.07.01 00:00,14.47,14.80,14.02,14.11,1024
2012.07.08 00:00,14.10,14.15,13.26,13.44,1143
2012.07.15 00:00,13.38,13.87,13.16,13.57,1098
2012.07.22 00:00,13.29,16.01,13.06,15.92,1562
2012.07.29 00:00,15.85,16.86,15.32,16.77,1602
2012.08.05 00:00,16.81,17.43,16.81,17.26,1641
2012.08.12 00:00,17.56,18.08,17.03,18.00,1545
2012.08.19 00:00,17.91,18.05,17.61,17.71,1482
2012.08.26 00:00,17.77,17.89,17.51,17.87,1162
2012.09.02 00:00,17.74,19.15,17.70,18.90,890
2012.09.09 00:00,18.84,19.53,18.81,19.13,1072
2012.09.16 00:00,18.97,19.10,18.53,18.53,857
2012.09.23 00:00,18.40,18.58,17.62,17.97,1024
2012.09.30 00:00,17.99,18.35,17.74,18.02,1108
2012.10.07 00:00,17.93,18.07,17.50,17.88,1013
2012.10.14 00:00,17.79,18.35,17.40,17.43,922
2012.10.21 00:00,17.35,19.04,17.02,18.39,1644
2012.10.28 00:00,18.34,18.88,18.10,18.79,721
2012.11.04 00:00,18.69,19.03,17.92,17.98,1512
2012.11.11 00:00,17.99,18.05,17.39,17.97,1477
2012.11.18 00:00,18.10,18.48,17.86,18.47,880
2012.11.25 00:00,18.33,18.82,17.71,18.81,1287
2012.12.02 00:00,18.84,19.07,18.44,18.94,1204
2012.12.09 00:00,18.84,19.23,18.42,18.67,942
2012.12.16 00:00,18.69,18.99,18.25,18.53,1096
2012.12.23 00:00,17.92,18.59,17.86,18.19,912
2012.12.30 00:00,18.06,19.71,17.99,19.61,958
2013.01.06 00:00,19.70,20.01,19.24,19.93,905
2013.01.13 00:00,19.89,21.12,19.79,20.67,1084
2013.01.20 00:00,20.61,22.11,20.51,22.11,1464
2013.01.27 00:00,21.97,22.23,21.67,22.12,1275
2013.02.03 00:00,21.90,22.65,21.63,22.58,1467
2013.02.10 00:00,22.53,22.90,22.41,22.53,1288
2013.02.17 00:00,22.45,22.94,22.18,22.92,1002
2013.02.24 00:00,22.96,23.74,22.19,23.65,1441
2013.03.03 00:00,23.61,24.89,23.61,24.56,14999
2013.03.10 00:00,24.17,24.82,23.95,24.54,13203
2013.03.17 00:00,24.14,24.66,24.00,24.62,15864
2013.03.24 00:00,24.51,24.80,24.22,24.67,14239
2013.03.31 00:00,24.69,24.79,23.69,24.29,15144
2013.04.07 00:00,24.12,24.54,23.33,24.24,13793
2013.04.14 00:00,23.82,24.31,22.77,23.54,22214
2013.04.21 00:00,23.25,24.61,23.25,24.41,18234
2013.04.28 00:00,24.25,24.99,21.88,24.82,13981
2013.05.05 00:00,24.70,25.25,23.50,24.34,18170
2013.05.12 00:00,24.17,24.68,23.94,24.29,11449
2013.05.19 00:00,24.16,24.39,22.30,22.84,16922
2013.05.26 00:00,22.90,23.14,22.02,22.40,11579
2013.06.02 00:00,22.41,22.55,21.40,21.84,12365
2013.06.09 00:00,22.16,22.65,21.85,22.35,11534
2013.06.16 00:00,22.29,22.98,21.99,22.22,16788
2013.06.23 00:00,21.99,22.72,21.99,22.48,1936
2013.06.30 00:00,22.54,23.01,22.21,23.00,2502
2013.07.07 00:00,23.02,23.84,22.55,23.83,4281
2013.07.14 00:00,23.86,24.42,23.74,23.99,2133
2013.07.21 00:00,23.98,24.33,23.87,24.26,1790
2013.07.28 00:00,24.09,26.88,23.98,26.50,4366
2013.08.04 00:00,26.40,27.09,26.26,26.82,3174
2013.08.11 00:00,26.60,27.04,26.16,26.24,4126
2013.08.18 00:00,26.15,26.56,25.84,26.32,3941
2013.08.25 00:00,26.25,26.39,25.27,25.60,3805
2013.09.01 00:00,25.88,26.34,24.97,25.35,2920
2013.09.08 00:00,25.40,25.69,24.36,25.07,3315
2013.09.15 00:00,25.25,25.64,25.09,25.13,2679
2013.09.22 00:00,25.01,25.19,24.39,24.73,2838
2013.09.29 00:00,24.50,24.91,24.16,24.83,4265
2013.10.06 00:00,24.55,25.15,24.37,25.08,4791
2013.10.13 00:00,24.94,25.40,24.81,25.38,3608
2013.10.20 00:00,25.47,25.60,20.89,22.02,4289
2013.10.27 00:00,22.04,22.94,21.96,22.78,2625
2013.11.03 00:00,22.95,23.22,22.56,23.15,2700
2013.11.10 00:00,23.07,23.68,22.24,23.57,3516
