Date,Open,High,Low,Close,Volume
2010.07.02 02:00,19.00,30.42,17.54,19.20,2557
2010.07.09 02:00,20.00,20.00,14.98,17.40,745
2010.07.16 02:00,17.96,21.50,16.90,20.64,653
2010.07.23 02:00,21.20,22.25,19.50,21.29,542
2010.07.30 02:00,21.44,21.50,19.55,19.94,241
2010.08.06 02:00,20.40,22.18,19.52,19.59,452
2010.08.13 02:00,19.98,19.98,17.39,18.32,353
2010.08.20 02:00,18.50,19.59,18.26,19.10,207
2010.08.27 02:00,19.09,20.39,18.56,19.70,306
2010.09.03 02:00,19.70,21.30,19.33,21.05,260
2010.09.10 02:00,20.60,21.05,19.76,20.17,216
2010.09.17 02:00,20.89,23.16,19.80,20.23,607
2010.09.24 02:00,20.67,21.55,19.50,20.10,354
2010.10.01 02:00,20.28,22.15,20.05,20.60,389
2010.10.08 02:00,20.32,21.28,20.30,20.43,186
2010.10.15 02:00,20.35,21.03,20.03,20.54,182
2010.10.22 02:00,20.51,20.95,20.00,20.72,170
2010.10.29 02:00,20.88,21.87,20.51,21.84,177
2010.11.05 02:00,21.94,25.33,21.05,24.44,607
2010.11.12 02:00,24.53,30.50,24.03,29.84,764
2010.11.19 02:00,30.30,32.94,28.42,30.99,836
2010.11.26 02:00,31.50,36.00,31.50,35.32,519
2010.12.03 02:00,35.73,36.42,30.87,31.49,687
2010.12.10 02:00,31.35,32.92,29.56,31.52,656
2010.12.17 02:00,31.64,31.77,27.76,31.36,775
2010.12.23 02:00,31.60,32.86,29.92,30.09,438
2010.12.31 02:00,28.25,28.58,25.00,26.63,555
2011.01.07 02:00,26.84,28.58,25.90,28.24,397
2011.01.14 02:00,28.17,28.71,25.61,25.75,379
2011.01.21 02:00,25.48,25.64,22.37,23.04,411
2011.01.28 02:00,23.53,25.08,23.23,24.01,323
2011.02.04 02:00,24.05,24.73,23.15,23.46,258
2011.02.11 02:00,23.26,25.25,22.79,23.25,492
2011.02.18 02:00,23.15,25.49,22.56,23.18,584
2011.02.25 02:00,22.88,23.85,21.11,23.61,476
2011.03.04 02:00,23.74,24.99,23.50,24.95,178
2011.03.11 02:00,24.93,25.40,23.53,24.07,289
2011.03.18 02:00,23.82,24.00,21.80,22.96,355
2011.03.25 02:00,23.05,23.05,21.77,22.75,227
2011.04.01 02:00,22.70,28.71,22.55,26.66,837
2011.04.08 02:00,26.83,27.94,25.23,26.49,509
2011.04.15 02:00,26.53,26.53,24.20,25.58,372
2011.04.21 02:00,25.13,26.98,24.36,26.74,364
2011.04.29 02:00,26.70,27.87,25.97,27.60,291
2011.05.06 02:00,27.60,27.80,25.75,27.12,363
2011.05.13 02:00,27.00,28.95,26.65,27.55,406
2011.05.20 02:00,27.99,28.44,25.52,27.97,583
2011.05.27 02:00,27.62,29.76,26.17,29.55,526
2011.06.03 02:00,29.69,31.50,28.38,30.13,581
2011.06.10 02:00,30.10,30.13,27.02,27.86,399
2011.06.17 02:00,28.07,29.70,25.74,26.50,636
2011.06.24 02:00,26.29,28.25,25.50,27.56,424
2011.07.01 02:00,27.73,29.60,27.31,29.02,330
2011.07.08 02:00,29.02,30.00,28.55,28.81,270
2011.07.15 02:00,28.40,29.09,27.25,27.58,287
2011.07.22 02:00,27.34,30.44,26.63,29.29,568
2011.07.29 02:00,29.01,29.25,27.50,28.17,267
2011.08.05 02:00,28.67,29.20,22.83,24.24,832
2011.08.12 02:00,23.10,27.14,23.10,26.31,488
2011.08.19 02:00,26.62,26.75,22.00,22.30,519
2011.08.26 02:00,23.11,23.95,21.50,23.73,429
2011.09.02 02:00,24.22,25.50,22.68,23.07,450
2011.09.09 02:00,22.50,24.03,22.29,22.97,302
2011.09.16 02:00,22.50,25.84,22.45,25.80,349
2011.09.23 02:00,24.95,26.95,23.82,26.38,484
2011.09.30 02:00,26.52,26.99,23.49,24.39,488
2011.10.07 02:00,24.95,27.60,22.93,26.99,731
2011.10.14 02:00,27.31,28.55,27.00,28.05,237
2011.10.21 02:00,27.86,28.43,26.71,28.03,328
2011.10.28 02:00,27.87,30.00,27.40,29.87,321
2011.11.04 02:00,29.50,32.49,28.00,32.31,618
2011.11.11 02:00,31.64,34.50,30.30,33.64,641
2011.11.18 02:00,33.00,35.00,32.54,32.60,453
2011.11.25 02:00,32.44,32.79,31.05,31.66,271
2011.12.02 02:00,32.00,33.99,31.63,33.30,343
2011.12.09 02:00,33.53,35.00,29.61,31.04,830
2011.12.16 02:00,30.44,30.93,27.98,28.00,347
2011.12.23 02:00,28.09,28.50,26.03,27.90,476
2011.12.30 02:00,27.66,29.34,27.64,28.56,251
2012.01.06 02:00,28.94,29.50,26.41,26.91,416
2012.01.13 02:00,27.00,28.62,22.64,22.79,776
2012.01.20 02:00,26.66,27.74,26.25,26.60,293
2012.01.27 02:00,26.81,29.72,26.44,29.33,405
2012.02.03 02:00,29.49,31.33,28.53,31.15,395
2012.02.10 02:00,31.10,32.90,29.84,31.10,613
2012.02.17 02:00,31.55,34.97,30.90,34.97,473
2012.02.24 02:00,34.87,34.97,32.50,33.75,383
2012.03.02 02:00,33.41,34.50,33.00,34.04,238
2012.03.09 02:00,34.35,35.31,32.62,34.74,500
2012.03.16 02:00,34.69,36.59,34.60,35.32,336
2012.03.23 02:00,35.26,35.32,33.15,34.08,317
2012.03.30 02:00,35.59,39.95,35.04,37.24,818
2012.04.05 02:00,37.33,38.47,34.41,34.48,528
2012.04.13 02:00,34.10,34.48,32.01,33.59,444
2012.04.20 02:00,33.41,33.73,31.53,33.16,416
2012.04.27 02:00,32.86,33.63,31.00,33.34,479
2012.05.04 02:00,33.27,34.39,31.40,31.83,455
2012.05.11 02:00,31.96,34.68,29.37,32.25,1034
2012.05.18 02:00,31.92,32.13,26.83,27.56,625
2012.05.25 02:00,27.58,31.34,27.12,29.81,622
2012.06.01 02:00,30.01,31.93,27.76,28.15,649
2012.06.08 02:00,28.03,30.19,27.11,30.08,412
2012.06.15 02:00,30.31,31.00,28.62,29.91,437
2012.06.22 02:00,29.94,34.50,29.50,33.78,617
2012.06.29 02:00,33.94,34.12,30.62,31.29,436
2012.07.06 02:00,31.35,31.80,30.19,30.99,287
2012.07.13 02:00,30.94,34.40,30.67,34.25,416
2012.07.20 02:00,34.32,36.00,31.06,31.79,736
2012.07.27 02:00,31.05,31.30,27.64,29.51,579
2012.08.03 02:00,29.51,30.25,25.52,27.27,723
2012.08.10 02:00,27.55,30.90,27.55,29.94,432
2012.08.17 02:00,29.69,31.30,28.81,30.01,467
2012.08.24 02:00,30.15,30.85,29.00,29.50,306
2012.08.31 02:00,29.57,29.70,28.00,28.52,236
2012.09.07 02:00,28.52,29.57,27.81,29.35,270
2012.09.14 02:00,29.20,30.65,27.30,30.39,552
2012.09.21 02:00,32.35,32.78,29.54,30.02,416
2012.09.28 02:00,29.51,31.03,27.48,29.28,688
2012.10.05 02:00,29.50,30.10,28.65,28.89,230
2012.10.12 02:00,28.86,29.40,27.50,27.64,259
2012.10.19 02:00,28.02,28.99,26.86,27.74,399
2012.10.26 02:00,27.99,28.56,27.02,27.38,248
2012.11.02 02:00,27.70,29.55,27.37,28.92,315
2012.11.09 02:00,29.80,32.05,29.33,30.32,493
2012.11.16 02:00,30.29,32.12,30.16,31.84,238
2012.11.23 02:00,32.07,33.47,31.70,32.13,349
2012.11.30 02:00,32.10,34.29,31.52,33.82,383
2012.12.07 02:00,33.89,35.00,33.50,34.17,273
2012.12.14 02:00,34.43,35.80,32.75,33.81,549
2012.12.21 02:00,33.77,35.26,33.58,34.00,314
2012.12.28 02:00,33.64,34.50,33.00,33.22,259
2013.01.04 02:00,33.00,35.45,33.00,34.40,351
2013.01.11 02:00,34.80,34.80,32.11,32.91,350
2013.01.18 02:00,33.08,34.85,32.85,34.52,257
2013.01.25 02:00,34.56,37.72,34.26,36.98,451
2013.02.01 02:00,36.86,38.71,36.86,38.30,227
2013.02.08 02:00,38.40,40.00,37.59,39.24,399
2013.02.15 02:00,37.98,39.15,36.95,37.04,347
2013.02.22 02:00,37.36,39.65,34.54,36.11,898
2013.03.01 02:00,36.15,36.75,33.80,34.65,441
2013.03.08 02:00,34.77,39.44,34.70,38.47,579
2013.03.15 02:00,38.87,39.49,35.21,35.29,499
2013.03.22 02:00,35.30,37.06,34.92,36.62,297
2013.03.28 02:00,37.10,38.52,36.77,37.89,272
2013.04.05 02:00,42.24,46.68,40.21,41.37,1208
2013.04.12 02:00,41.97,45.14,40.33,43.75,785
2013.04.19 02:00,43.50,49.88,42.51,47.83,1042
2013.04.26 02:00,48.60,53.74,47.75,51.20,939
2013.05.03 02:00,51.76,58.18,51.20,54.55,1118
2013.05.10 02:00,56.39,81.00,55.12,76.76,3140
2013.05.17 02:00,80.62,97.12,78.11,91.50,2715
2013.05.24 02:00,91.12,97.95,83.05,97.08,2385
2013.05.31 02:00,101.99,114.90,97.73,97.76,3012
2013.06.07 02:00,97.50,102.90,88.25,102.04,2477
2013.06.14 02:00,99.32,102.52,94.05,100.30,1597
2013.06.21 02:00,103.60,107.13,97.50,99.55,1522
2013.06.28 02:00,96.50,110.25,95.30,107.36,1905
2013.07.05 02:00,109.36,121.89,109.15,120.09,1476
2013.07.12 02:00,121.93,129.94,118.82,129.90,1428
2013.07.19 02:00,132.99,133.26,104.50,119.68,4422
2013.07.26 02:00,120.36,130.68,119.56,129.39,1322
2013.08.02 02:00,129.32,138.25,128.18,138.00,1147
2013.08.09 02:00,140.10,158.88,132.36,153.00,4015
2013.08.16 02:00,149.43,150.50,135.00,142.00,2358
2013.08.23 02:00,143.43,162.30,142.83,161.84,2054
2013.08.30 02:00,165.44,173.00,160.25,169.00,2195
2013.09.06 02:00,173.40,173.70,165.15,166.97,1068
2013.09.13 02:00,163.12,167.90,158.51,165.54,1637
2013.09.22 01:00,179.13,191.18,177.65,190.81,1539
2013.09.29 01:00,188.34,194.43,168.00,180.94,4547
2013.10.06 01:00,181.77,186.65,161.50,178.70,4724
2013.10.13 01:00,175.07,188.56,174.08,183.25,2079
2013.10.20 01:00,182.59,182.95,160.04,169.50,3274
2013.10.27 01:00,168.30,169.44,152.88,162.05,2688
2013.11.03 01:00,165.10,181.19,132.22,137.73,7058
2013.11.10 01:00,139.05,145.22,134.00,135.25,1865
2013.11.17 01:00,134.94,134.94,117.82,121.21,2052
2013.11.24 01:00,124.56,130.43,115.97,127.23,2626
2013.12.01 01:00,125.67,144.77,123.81,137.21,3039
2013.12.08 01:00,136.94,151.53,134.08,147.47,2438
2013.12.15 01:00,149.20,154.71,138.95,143.03,2536
2013.12.22 01:00,144.56,157.82,142.51,151.01,2418
2013.12.29 01:00,150.88,154.63,146.41,149.36,1493
2014.01.05 01:00,150.09,153.48,142.19,145.53,1803
2014.01.12 01:00,145.46,172.93,136.62,169.85,4824
2014.01.19 01:00,171.83,182.16,171.55,174.42,1864
2014.01.26 01:00,174.60,185.80,164.68,181.25,3560
2014.02.02 01:00,182.70,186.45,169.30,186.37,3064
2014.02.09 01:00,190.26,202.55,190.26,198.03,1682
2014.02.16 01:00,203.42,214.21,193.11,209.42,3621
2014.02.23 01:00,208.56,264.61,208.56,244.39,7628
2014.03.02 01:00,235.73,259.54,235.73,245.84,3752
2014.03.09 01:00,240.96,244.21,228.69,230.51,2060
