Date,Open,High,Low,Close,Volume
2013.11.03 00:00,40.00,50.01,40.00,41.60,32168
2013.11.10 00:00,40.59,45.63,39.41,43.91,19579
2013.11.17 00:00,43.42,43.90,40.04,40.97,18046
2013.11.24 00:00,40.90,41.57,38.80,41.55,12076
2013.12.01 00:00,41.76,46.33,40.40,44.95,20615
2013.12.08 00:00,45.34,59.39,45.02,59.22,67575
2013.12.15 00:00,57.84,60.24,54.23,59.91,54157
2013.12.22 00:00,59.79,74.70,59.70,63.75,72466
2013.12.29 00:00,60.26,70.42,58.57,68.94,48846
2014.01.05 00:00,64.81,67.70,55.59,56.93,50354
2014.01.12 00:00,59.95,64.67,57.29,62.18,42568
2014.01.19 00:00,63.26,63.79,60.88,61.73,25316
2014.01.26 00:00,61.68,65.36,56.10,64.48,38409
2014.02.02 00:00,65.90,67.19,49.92,54.21,41925
2014.02.09 00:00,54.48,58.92,52.34,57.44,40818
2014.02.16 00:00,57.81,58.92,54.61,55.88,24472
2014.02.23 00:00,56.01,56.97,54.12,54.87,28112
2014.03.02 00:00,53.80,56.05,52.90,53.51,26293
2014.03.09 00:00,54.07,55.83,51.80,51.90,27296
2014.03.16 00:00,52.04,52.43,49.51,50.26,27601
2014.03.23 00:00,50.83,50.90,43.31,47.22,37402
2014.03.30 00:00,47.52,47.72,42.38,43.11,28106
2014.04.06 00:00,42.82,44.57,39.69,40.04,33743
2014.04.13 00:00,41.26,46.54,40.11,45.06,33308
2014.04.20 00:00,45.05,47.06,41.31,41.56,26477
2014.04.27 00:00,41.77,43.93,37.24,38.99,33594
2014.05.04 00:00,38.52,39.58,29.51,31.99,39731
2014.05.11 00:00,33.09,34.09,32.03,32.25,25462
2014.05.18 00:00,32.03,32.43,30.45,30.46,23691
2014.05.25 00:00,30.98,35.13,30.38,32.44,21602
2014.06.01 00:00,32.88,34.88,31.61,33.33,20499
2014.06.08 00:00,33.24,37.25,33.11,36.86,26650
2014.06.15 00:00,36.86,39.28,36.70,39.18,25680
2014.06.22 00:00,39.01,41.99,38.01,40.85,29248
2014.06.29 00:00,40.79,42.94,40.35,41.35,20617
2014.07.06 00:00,41.05,41.45,36.11,38.32,42600
2014.07.13 00:00,38.61,39.36,35.95,37.04,29805
2014.07.20 00:00,37.19,38.99,36.86,38.15,22765
2014.07.27 00:00,38.28,47.99,37.56,44.11,52955
2014.08.03 00:00,43.66,44.52,42.51,43.11,39000
2014.08.10 00:00,43.45,45.50,42.71,44.75,25943
2014.08.17 00:00,45.06,46.14,44.76,46.00,15893
2014.08.24 00:00,46.16,50.34,45.70,49.68,26779
2014.08.31 00:00,50.00,51.83,49.05,50.67,26512
2014.09.07 00:00,51.73,53.63,50.22,52.06,42368
2014.09.14 00:00,51.60,52.23,48.31,52.23,42216
2014.09.21 00:00,52.32,53.33,51.06,51.87,42374
2014.09.28 00:00,51.00,54.72,49.15,53.94,49982
2014.10.05 00:00,53.93,55.97,50.30,50.39,66386
2014.10.12 00:00,50.51,51.79,46.67,48.76,68141
2014.10.19 00:00,49.00,51.90,48.87,49.93,40841
2014.10.26 00:00,49.90,50.23,39.94,41.42,43944
2014.11.02 00:00,40.53,41.77,39.70,40.28,27198
2014.11.09 00:00,40.35,43.94,38.81,41.82,48696
2014.11.16 00:00,41.42,41.67,39.21,39.92,23834
2014.11.23 00:00,39.97,42.07,39.56,41.69,17548
2014.11.30 00:00,41.25,41.26,38.34,38.46,21725
2014.12.07 00:00,38.07,38.10,34.61,37.11,32789
2014.12.14 00:00,38.13,38.36,34.95,37.06,39706
2014.12.21 00:00,37.46,39.24,37.29,37.59,26671
2014.12.28 00:00,37.39,37.50,35.46,36.53,20942
2015.01.04 00:00,36.21,40.33,35.64,40.19,53897
2015.01.11 00:00,40.24,40.94,36.85,37.28,49772
2015.01.18 00:00,37.59,39.96,36.54,39.40,32823
2015.01.25 00:00,39.28,40.11,36.07,37.54,37195
2015.02.01 00:00,37.64,48.49,36.92,48.03,81280
2015.02.08 00:00,46.73,48.81,45.57,48.51,76736
2015.02.15 00:00,48.16,49.87,47.36,49.09,55022
2015.02.22 00:00,49.03,50.00,47.96,48.08,77422
2015.03.01 00:00,48.25,48.78,46.41,46.74,77692
2015.03.08 00:00,47.14,48.07,45.13,46.63,79621
