Date,Open,High,Low,Close,Volume
2011.11.20 00:00,24.10,24.46,21.67,21.78,6539
2011.11.27 00:00,22.74,23.90,22.08,23.46,6405
2011.12.04 00:00,24.01,24.24,21.91,22.76,6879
2011.12.11 00:00,22.06,22.24,20.85,21.05,8033
2011.12.18 00:00,20.93,22.11,20.41,22.09,6392
2011.12.25 00:00,21.80,22.03,21.07,21.41,2991
2012.01.01 00:00,22.59,23.48,22.14,22.31,3854
2012.01.08 00:00,22.63,23.25,22.14,22.56,5839
2012.01.15 00:00,23.33,24.53,23.20,24.15,4525
2012.01.22 00:00,24.07,25.30,23.67,24.69,6315
2012.01.29 00:00,25.44,26.82,24.87,26.57,5240
2012.02.05 00:00,26.46,26.67,25.32,25.69,4356
2012.02.12 00:00,26.00,26.04,24.58,24.95,4433
2012.02.19 00:00,25.10,25.99,24.92,25.65,4417
2012.02.26 00:00,25.49,26.19,25.14,25.63,5591
2012.03.04 00:00,25.22,25.24,22.56,23.01,5767
2012.03.11 00:00,22.54,23.88,22.19,23.70,5709
2012.03.18 00:00,23.65,23.90,22.51,22.82,5248
2012.03.25 00:00,23.07,23.54,22.31,23.27,4605
2012.04.01 00:00,23.26,24.13,22.63,22.85,3865
2012.04.08 00:00,22.51,23.93,22.00,23.80,4770
2012.04.15 00:00,23.33,23.49,22.63,22.93,6001
2012.04.22 00:00,22.45,22.97,21.89,22.44,5777
2012.04.29 00:00,22.42,22.61,21.19,21.50,4699
2012.05.06 00:00,21.32,21.53,19.92,19.95,6578
2012.05.13 00:00,19.34,19.51,17.65,18.05,7550
2012.05.20 00:00,18.17,18.59,17.58,18.23,8582
2012.05.27 00:00,18.85,19.00,17.92,18.03,5734
2012.06.03 00:00,18.01,20.01,17.68,18.80,5974
2012.06.10 00:00,19.09,19.39,18.28,19.36,5320
2012.06.17 00:00,19.05,20.43,18.96,19.10,5270
2012.06.24 00:00,18.74,19.87,18.29,19.81,4862
2012.07.01 00:00,19.96,20.67,19.73,19.86,3444
2012.07.08 00:00,19.76,20.09,18.72,19.60,5470
2012.07.15 00:00,19.56,19.60,18.92,19.03,4782
2012.07.22 00:00,18.18,18.45,16.84,18.35,4934
2012.07.29 00:00,18.16,18.44,17.66,18.24,5579
2012.08.05 00:00,18.30,19.18,18.23,19.16,3979
2012.08.12 00:00,19.01,19.20,17.73,17.76,3171
2012.08.19 00:00,17.67,18.35,16.60,16.95,3706
2012.08.26 00:00,16.70,16.89,15.76,16.32,2348
2012.09.02 00:00,16.28,18.29,15.73,17.97,2603
2012.09.09 00:00,17.75,19.71,17.66,19.32,6818
2012.09.16 00:00,19.12,19.63,18.56,18.59,5455
2012.09.23 00:00,18.44,18.69,17.68,17.85,6098
2012.09.30 00:00,18.01,18.36,17.31,17.66,6049
2012.10.07 00:00,17.58,18.62,17.50,18.15,5377
2012.10.14 00:00,18.23,19.14,17.98,18.07,4694
2012.10.21 00:00,18.12,18.48,17.33,18.23,4601
2012.10.28 00:00,18.32,18.94,18.19,18.50,2430
2012.11.04 00:00,18.66,18.91,17.88,18.05,5426
2012.11.11 00:00,18.03,18.07,16.88,17.06,5601
2012.11.18 00:00,17.35,17.53,16.99,17.49,3183
2012.11.25 00:00,17.38,17.82,17.00,17.39,5043
2012.12.02 00:00,17.62,18.08,17.11,17.94,5582
2012.12.09 00:00,18.01,19.69,17.91,19.66,2545
2012.12.16 00:00,19.74,20.50,19.71,20.04,3747
2012.12.23 00:00,20.10,20.69,19.96,20.48,3063
2012.12.30 00:00,20.52,21.83,20.52,21.02,3737
2013.01.06 00:00,20.89,20.89,20.07,20.27,3069
2013.01.13 00:00,20.41,20.44,19.69,19.96,1974
2013.01.20 00:00,19.82,20.23,19.43,19.51,1730
2013.01.27 00:00,19.52,20.60,19.27,20.46,3165
2013.02.03 00:00,20.15,20.36,19.65,19.81,3407
2013.02.10 00:00,19.74,20.04,19.34,19.46,1820
2013.02.17 00:00,19.64,19.65,18.01,18.05,2109
2013.02.24 00:00,18.13,19.27,17.74,18.50,4470
2013.03.03 00:00,18.06,19.36,17.78,18.59,4090
2013.03.10 00:00,18.46,18.89,17.31,17.51,3667
2013.03.17 00:00,17.19,17.52,16.80,17.12,3396
2013.03.24 00:00,17.11,17.44,16.73,17.25,2518
2013.03.31 00:00,17.17,17.44,16.44,17.28,3777
2013.04.07 00:00,17.27,18.50,16.81,17.41,6103
2013.04.14 00:00,16.83,16.85,15.43,15.97,6798
2013.04.21 00:00,15.96,17.33,15.71,16.66,5393
2013.04.28 00:00,16.79,17.08,16.41,16.81,4409
2013.05.05 00:00,16.79,17.67,16.66,16.90,4612
