Date,Open,High,Low,Close,Volume
2010.09.12 00:00,13.72,14.30,13.56,13.86,135
2010.09.19 00:00,13.91,14.46,13.80,14.43,180
2010.09.26 00:00,14.39,14.47,13.95,14.23,248
2010.10.03 00:00,14.18,14.72,14.09,14.43,266
2010.10.10 00:00,14.40,16.70,14.23,16.21,470
2010.10.17 00:00,16.17,16.36,15.33,16.27,344
2010.10.24 00:00,16.24,16.47,16.11,16.45,164
2010.10.31 00:00,16.47,16.47,15.97,16.22,216
2010.11.07 00:00,16.23,17.55,16.21,16.49,302
2010.11.14 00:00,16.53,17.12,16.06,16.53,357
2010.11.21 00:00,16.38,16.60,16.00,16.23,218
2010.11.28 00:00,16.04,16.40,15.73,16.30,278
2010.12.05 00:00,16.41,17.17,16.26,16.97,243
2010.12.12 00:00,16.84,16.94,16.30,16.32,224
2010.12.19 00:00,16.35,16.73,16.11,16.68,188
2010.12.26 00:00,16.60,16.72,16.29,16.57,173
2011.01.02 00:00,16.74,17.30,16.29,16.85,366
2011.01.09 00:00,16.73,16.87,16.46,16.76,193
2011.01.16 00:00,16.54,16.63,15.89,15.92,167
2011.01.23 00:00,15.95,16.31,15.37,15.78,391
2011.01.30 00:00,15.79,16.86,15.75,16.79,294
2011.02.06 00:00,16.78,16.95,16.31,16.81,241
2011.02.13 00:00,16.77,17.80,16.69,17.62,338
2011.02.20 00:00,17.08,17.34,16.00,16.45,447
2011.02.27 00:00,16.34,17.15,16.03,17.04,369
2011.03.06 00:00,17.01,17.65,16.45,17.43,492
2011.03.13 00:00,17.20,17.39,15.77,15.97,534
2011.03.20 00:00,16.13,17.00,15.94,16.91,416
2011.03.27 00:00,16.94,17.01,16.49,16.78,299
2011.04.03 00:00,16.84,17.24,16.73,16.73,310
2011.04.10 00:00,16.85,16.91,16.25,16.57,412
2011.04.17 00:00,16.31,17.16,16.02,16.80,345
2011.04.24 00:00,17.02,17.64,16.91,17.62,335
2011.05.01 00:00,17.73,18.79,17.53,18.66,1905
2011.05.08 00:00,18.61,18.83,15.96,16.55,6992
2011.05.15 00:00,16.66,16.68,15.63,16.30,3492
2011.05.22 00:00,16.07,16.58,15.88,16.02,2289
2011.05.29 00:00,16.15,16.58,15.63,15.68,2464
2011.06.05 00:00,15.63,15.84,14.94,15.19,3018
2011.06.12 00:00,15.19,15.55,14.50,14.69,3617
2011.06.19 00:00,14.65,15.53,14.65,14.88,3751
2011.06.26 00:00,14.89,15.49,14.64,15.44,2237
2011.07.03 00:00,15.36,15.92,15.25,15.61,2148
2011.07.10 00:00,15.42,15.43,14.60,14.69,3017
2011.07.17 00:00,14.68,14.68,13.36,13.96,3388
2011.07.24 00:00,13.80,14.04,13.05,13.10,3439
2011.07.31 00:00,13.25,13.33,11.41,11.74,6220
2011.08.07 00:00,11.41,13.62,11.10,13.58,12179
2011.08.14 00:00,13.64,13.68,12.72,12.92,3959
2011.08.21 00:00,13.22,13.34,12.52,12.74,5296
2011.08.28 00:00,12.85,13.97,12.69,12.87,4060
2011.09.04 00:00,12.52,14.56,12.45,14.48,6341
2011.09.11 00:00,14.21,15.39,13.92,14.98,5536
2011.09.18 00:00,14.77,14.82,13.69,14.70,6840
2011.09.25 00:00,14.79,14.99,13.11,13.17,7192
2011.10.02 00:00,13.68,16.13,13.38,15.48,11942
2011.10.09 00:00,15.86,16.22,15.54,15.90,5752
2011.10.16 00:00,15.96,16.39,15.11,16.11,6229
2011.10.23 00:00,16.52,16.75,15.86,16.54,5597
2011.10.30 00:00,16.03,16.06,14.75,15.24,11680
2011.11.06 00:00,15.25,16.49,15.25,16.25,5104
2011.11.13 00:00,16.19,16.30,15.20,15.38,4726
2011.11.20 00:00,15.18,15.24,14.75,15.10,3288
2011.11.27 00:00,15.23,16.45,15.21,16.04,4436
2011.12.04 00:00,16.07,16.12,15.53,15.93,3892
2011.12.11 00:00,15.70,15.73,14.80,14.96,2631
2011.12.18 00:00,14.95,16.39,14.57,16.19,3378
2011.12.25 00:00,16.15,16.22,15.67,16.12,1309
2012.01.01 00:00,16.28,16.38,15.44,15.51,1809
2012.01.08 00:00,15.61,15.73,15.36,15.48,1598
2012.01.15 00:00,15.59,16.14,15.39,16.01,1445
2012.01.22 00:00,15.86,15.91,15.41,15.73,1896
2012.01.29 00:00,15.62,15.97,15.41,15.92,1163
2012.02.05 00:00,15.87,16.30,15.72,16.12,1360
2012.02.12 00:00,16.13,16.23,14.92,15.00,2810
2012.02.19 00:00,15.02,15.06,14.36,14.88,1051
2012.02.26 00:00,14.74,14.97,14.66,14.71,1195
2012.03.04 00:00,14.65,14.95,14.35,14.63,1338
2012.03.11 00:00,14.69,15.17,14.39,15.17,3112
2012.03.18 00:00,15.10,15.61,14.92,15.38,3386
2012.03.25 00:00,15.46,15.55,15.11,15.21,1398
2012.04.01 00:00,15.19,15.50,15.00,15.06,1562
2012.04.08 00:00,15.01,15.24,14.84,14.86,1891
2012.04.15 00:00,15.01,15.69,14.73,15.61,2417
2012.04.22 00:00,15.38,15.61,15.29,15.56,1659
2012.04.29 00:00,15.55,15.76,15.09,15.14,1552
2012.05.06 00:00,15.32,15.53,14.80,15.19,2651
2012.05.13 00:00,15.47,15.86,14.85,15.41,2647
2012.05.20 00:00,15.98,15.98,15.10,15.34,3638
2012.05.27 00:00,15.42,15.54,14.85,14.92,2075
2012.06.03 00:00,14.90,15.67,14.81,15.64,1978
2012.06.10 00:00,15.72,15.72,15.25,15.36,2383
2012.06.17 00:00,15.30,15.79,15.27,15.60,1904
2012.06.24 00:00,15.52,15.82,15.19,15.82,1806
2012.07.01 00:00,15.78,15.98,15.68,15.79,1210
2012.07.08 00:00,15.76,15.97,15.54,15.74,2167
2012.07.15 00:00,15.70,15.93,15.42,15.90,1976
