Date,Open,High,Low,Close,Volume
2016.06.29 16:30,44.34,44.50,44.29,44.44,324
2016.06.29 17:00,44.45,44.67,44.45,44.67,115
2016.06.29 17:30,44.66,44.68,44.46,44.50,100
2016.06.29 18:00,44.51,44.51,44.42,44.44,109
2016.06.29 18:30,44.44,44.47,44.39,44.43,86
2016.06.29 19:00,44.44,44.48,44.43,44.43,40
2016.06.29 19:30,44.44,44.45,44.36,44.38,31
2016.06.29 20:00,44.39,44.42,44.31,44.31,31
2016.06.29 20:30,44.30,44.32,44.23,44.26,39
2016.06.29 21:00,44.25,44.35,44.24,44.30,38
2016.06.29 21:30,44.32,44.37,44.31,44.36,48
2016.06.29 22:00,44.37,44.47,44.35,44.47,59
2016.06.29 22:30,44.48,44.49,44.33,44.40,84
2016.06.30 16:30,44.57,44.73,44.47,44.66,310
2016.06.30 17:00,44.67,44.91,44.66,44.87,103
2016.06.30 17:30,44.88,45.20,44.85,45.06,219
2016.06.30 18:00,45.05,45.08,44.96,45.04,133
2016.06.30 18:30,45.05,45.08,44.96,45.07,99
2016.06.30 19:00,45.06,45.27,45.06,45.22,135
2016.06.30 19:30,45.21,45.27,45.13,45.27,82
2016.06.30 20:00,45.26,45.29,45.20,45.21,58
2016.06.30 20:30,45.20,45.22,45.15,45.18,49
2016.06.30 21:00,45.19,45.28,45.16,45.16,74
2016.06.30 21:30,45.17,45.28,45.10,45.24,81
2016.06.30 22:00,45.25,45.26,45.17,45.25,55
2016.06.30 22:30,45.25,45.31,45.13,45.31,106
2016.07.01 16:30,45.37,45.39,45.23,45.31,292
2016.07.01 17:00,45.32,45.33,45.18,45.22,147
2016.07.01 17:30,45.21,45.29,45.11,45.14,92
2016.07.01 18:00,45.15,45.33,45.09,45.32,103
2016.07.01 18:30,45.33,45.34,45.14,45.15,70
2016.07.01 19:00,45.13,45.25,45.13,45.20,69
2016.07.01 19:30,45.20,45.27,45.20,45.23,53
2016.07.01 20:00,45.24,45.29,45.18,45.19,57
2016.07.01 20:30,45.18,45.22,45.14,45.18,72
2016.07.01 21:00,45.19,45.25,45.14,45.24,62
2016.07.01 21:30,45.25,45.25,45.13,45.17,59
2016.07.01 22:00,45.18,45.22,45.16,45.19,72
2016.07.01 22:30,45.18,45.18,45.06,45.10,99
2016.07.05 16:30,45.25,45.50,45.22,45.28,329
2016.07.05 17:00,45.29,45.65,45.29,45.61,99
2016.07.05 17:30,45.62,45.62,45.51,45.59,83
2016.07.05 18:00,45.58,45.62,45.48,45.57,102
2016.07.05 18:30,45.56,45.64,45.50,45.50,93
2016.07.05 19:00,45.49,45.55,45.44,45.53,67
2016.07.05 19:30,45.52,45.55,45.49,45.55,68
2016.07.05 20:00,45.54,45.56,45.50,45.54,45
2016.07.05 20:30,45.54,45.57,45.51,45.51,62
2016.07.05 21:00,45.52,45.59,45.52,45.53,91
2016.07.05 21:30,45.53,45.56,45.41,45.42,75
2016.07.05 22:00,45.41,45.49,45.41,45.48,74
2016.07.05 22:30,45.47,45.51,45.38,45.39,91
2016.07.06 16:30,45.50,45.53,44.99,45.01,465
