Date,Open,High,Low,Close,Volume
2016.06.21 18:00,13.28,13.32,13.27,13.31,25
2016.06.21 18:30,13.31,13.31,13.26,13.26,11
2016.06.21 19:00,13.26,13.28,13.25,13.27,11
2016.06.21 19:30,13.27,13.28,13.26,13.26,4
2016.06.21 20:00,13.26,13.28,13.26,13.27,7
2016.06.21 20:30,13.27,13.27,13.22,13.22,52
2016.06.21 21:00,13.23,13.23,13.19,13.20,31
2016.06.21 21:30,13.21,13.23,13.19,13.21,48
2016.06.21 22:00,13.20,13.23,13.17,13.20,57
2016.06.21 22:30,13.22,13.22,13.17,13.20,14
2016.06.22 16:30,13.21,13.24,13.14,13.22,105
2016.06.22 17:00,13.23,13.28,13.21,13.28,45
2016.06.22 17:30,13.27,13.29,13.25,13.29,31
2016.06.22 18:00,13.29,13.29,13.23,13.25,29
2016.06.22 18:30,13.25,13.25,13.18,13.21,39
2016.06.22 19:00,13.20,13.20,13.18,13.20,12
2016.06.22 19:30,13.20,13.20,13.18,13.19,11
2016.06.22 20:00,13.19,13.19,13.14,13.16,29
2016.06.22 20:30,13.16,13.18,13.14,13.18,11
2016.06.22 21:00,13.18,13.19,13.16,13.18,15
2016.06.22 21:30,13.19,13.19,13.17,13.17,9
2016.06.22 22:00,13.19,13.19,13.16,13.16,7
2016.06.22 22:30,13.16,13.17,13.14,13.16,20
2016.06.23 16:30,13.28,13.35,13.27,13.35,118
2016.06.23 17:00,13.34,13.39,13.33,13.35,51
2016.06.23 17:30,13.34,13.35,13.33,13.35,23
2016.06.23 18:00,13.35,13.38,13.34,13.37,27
2016.06.23 18:30,13.38,13.38,13.37,13.37,7
2016.06.23 19:00,13.38,13.38,13.37,13.37,7
2016.06.23 19:30,13.37,13.38,13.37,13.38,3
2016.06.23 20:00,13.37,13.38,13.37,13.38,2
2016.06.23 20:30,13.37,13.37,13.36,13.37,4
2016.06.23 21:00,13.36,13.37,13.35,13.35,5
2016.06.23 21:30,13.37,13.38,13.35,13.38,5
2016.06.23 22:00,13.38,13.38,13.36,13.36,3
2016.06.23 22:30,13.39,13.39,13.36,13.36,2
2016.06.24 16:30,12.72,12.87,12.70,12.83,363
2016.06.24 17:00,12.84,12.89,12.74,12.76,139
2016.06.24 17:30,12.77,12.79,12.69,12.69,111
2016.06.24 18:00,12.69,12.69,12.56,12.60,136
2016.06.24 18:30,12.61,12.63,12.57,12.63,60
2016.06.24 19:00,12.63,12.63,12.57,12.59,40
2016.06.24 19:30,12.59,12.59,12.51,12.53,50
2016.06.24 20:00,12.52,12.53,12.49,12.49,7
2016.06.24 20:30,12.50,12.54,12.50,12.52,42
2016.06.24 21:00,12.52,12.55,12.51,12.51,35
2016.06.24 21:30,12.51,12.51,12.49,12.49,26
2016.06.24 22:00,12.50,12.50,12.44,12.44,36
2016.06.24 22:30,12.45,12.53,12.44,12.50,83
2016.06.27 16:30,12.37,12.37,12.12,12.18,85
2016.06.27 17:00,12.17,12.17,12.02,12.03,28
2016.06.27 17:30,12.02,12.06,11.99,11.99,26
2016.06.27 18:00,12.00,12.07,12.00,12.03,35
2016.06.27 18:30,12.07,12.11,12.05,12.09,58
2016.06.27 19:00,12.08,12.11,12.07,12.10,55
2016.06.27 19:30,12.10,12.10,12.06,12.09,26
2016.06.27 20:00,12.09,12.11,12.09,12.11,21
2016.06.27 20:30,12.10,12.10,12.05,12.08,26
2016.06.27 21:00,12.07,12.08,12.04,12.06,23
2016.06.27 21:30,12.06,12.09,12.06,12.07,31
2016.06.27 22:00,12.08,12.08,12.04,12.06,36
