Date,Open,High,Low,Close,Volume
2016.06.13 16:30,3.14,3.19,3.10,3.19,54
2016.06.13 17:00,3.18,3.18,3.17,3.17,2
2016.06.13 18:00,3.17,3.17,3.15,3.15,7
2016.06.13 18:30,3.14,3.14,3.13,3.13,3
2016.06.13 19:00,3.12,3.14,3.12,3.14,8
2016.06.13 19:30,3.14,3.14,3.14,3.14,1
2016.06.13 20:00,3.15,3.15,3.15,3.15,1
2016.06.13 20:30,3.14,3.14,3.13,3.13,6
2016.06.13 21:00,3.12,3.12,3.11,3.12,4
2016.06.13 21:30,3.13,3.13,3.11,3.11,4
2016.06.13 22:30,3.10,3.11,3.10,3.11,5
2016.06.14 16:30,3.06,3.13,3.06,3.09,25
2016.06.14 17:00,3.10,3.10,3.09,3.09,5
2016.06.14 17:30,3.08,3.08,3.08,3.08,3
2016.06.14 18:00,3.08,3.08,3.07,3.08,14
2016.06.14 18:30,3.08,3.11,3.08,3.09,10
2016.06.14 19:00,3.09,3.09,3.09,3.09,2
2016.06.14 19:30,3.10,3.10,3.10,3.10,1
2016.06.14 20:30,3.12,3.12,3.11,3.11,3
2016.06.14 21:00,3.12,3.12,3.10,3.10,4
2016.06.14 21:30,3.11,3.11,3.11,3.11,3
2016.06.14 22:00,3.11,3.12,3.10,3.12,6
2016.06.14 22:30,3.12,3.15,3.12,3.15,5
2016.06.15 16:30,3.18,3.20,3.16,3.16,9
2016.06.15 17:00,3.17,3.22,3.17,3.21,9
2016.06.15 17:30,3.22,3.24,3.22,3.24,10
2016.06.15 18:00,3.24,3.27,3.24,3.26,16
2016.06.15 18:30,3.26,3.32,3.25,3.31,15
2016.06.15 19:00,3.30,3.30,3.29,3.29,3
2016.06.15 20:00,3.28,3.28,3.27,3.27,3
2016.06.15 20:30,3.27,3.27,3.27,3.27,2
2016.06.15 21:00,3.27,3.28,3.26,3.26,9
2016.06.15 21:30,3.26,3.26,3.26,3.26,1
2016.06.15 22:00,3.26,3.27,3.26,3.27,6
2016.06.15 22:30,3.26,3.26,3.24,3.24,4
2016.06.16 16:30,3.25,3.25,3.21,3.24,13
2016.06.16 17:00,3.25,3.26,3.23,3.23,5
2016.06.16 17:30,3.22,3.22,3.20,3.20,4
2016.06.16 18:00,3.20,3.25,3.20,3.24,9
2016.06.16 18:30,3.23,3.23,3.22,3.23,5
2016.06.16 19:00,3.23,3.23,3.23,3.23,1
2016.06.16 19:30,3.23,3.23,3.23,3.23,1
2016.06.16 20:00,3.24,3.24,3.24,3.24,2
2016.06.16 20:30,3.24,3.24,3.23,3.24,4
2016.06.16 21:00,3.24,3.26,3.24,3.26,3
2016.06.16 21:30,3.26,3.28,3.26,3.28,6
2016.06.16 22:00,3.28,3.28,3.28,3.28,1
2016.06.16 22:30,3.28,3.29,3.28,3.28,3
2016.06.17 16:30,3.29,3.33,3.29,3.30,22
2016.06.17 17:00,3.31,3.32,3.30,3.31,10
2016.06.17 17:30,3.30,3.31,3.30,3.30,5
2016.06.17 18:00,3.29,3.29,3.29,3.29,2
2016.06.17 18:30,3.31,3.31,3.29,3.29,3
2016.06.17 20:00,3.29,3.29,3.27,3.28,4
2016.06.17 21:00,3.28,3.28,3.28,3.28,1
2016.06.17 21:30,3.29,3.29,3.28,3.28,2
2016.06.17 22:00,3.27,3.27,3.27,3.27,1
2016.06.17 22:30,3.26,3.26,3.26,3.26,1
2016.06.20 16:30,3.30,3.34,3.29,3.30,24
2016.06.20 17:00,3.31,3.31,3.29,3.31,5
2016.06.20 17:30,3.31,3.31,3.31,3.31,2
2016.06.20 18:00,3.31,3.31,3.31,3.31,1
2016.06.20 18:30,3.31,3.31,3.31,3.31,1
2016.06.20 19:00,3.33,3.33,3.33,3.33,1
2016.06.20 20:00,3.32,3.33,3.32,3.33,3
2016.06.20 21:00,3.32,3.32,3.31,3.31,2
2016.06.20 21:30,3.31,3.31,3.31,3.31,1
2016.06.20 22:00,3.30,3.30,3.29,3.29,3
2016.06.21 16:30,3.31,3.31,3.28,3.31,11
2016.06.21 17:00,3.30,3.31,3.29,3.30,5
2016.06.21 17:30,3.29,3.29,3.29,3.29,1
2016.06.21 18:00,3.29,3.31,3.29,3.31,6
2016.06.21 18:30,3.31,3.31,3.29,3.29,5
2016.06.21 20:00,3.30,3.30,3.30,3.30,1
2016.06.21 20:30,3.29,3.29,3.28,3.29,5
2016.06.21 21:30,3.30,3.31,3.30,3.31,3
2016.06.21 22:00,3.31,3.31,3.31,3.31,2
2016.06.22 16:30,3.33,3.34,3.31,3.32,16
2016.06.22 17:00,3.31,3.32,3.31,3.32,2
2016.06.22 17:30,3.33,3.35,3.32,3.34,9
2016.06.22 18:00,3.33,3.33,3.32,3.33,4
2016.06.22 18:30,3.32,3.33,3.32,3.33,2
2016.06.22 19:00,3.32,3.32,3.31,3.31,6
2016.06.22 19:30,3.30,3.30,3.28,3.28,4
2016.06.22 20:00,3.27,3.27,3.26,3.26,3
2016.06.22 21:00,3.26,3.26,3.26,3.26,1
2016.06.22 21:30,3.26,3.26,3.25,3.25,3
2016.06.22 22:00,3.25,3.25,3.24,3.24,3
2016.06.22 22:30,3.23,3.23,3.23,3.23,1
2016.06.23 16:30,3.30,3.33,3.29,3.31,17
2016.06.23 17:00,3.32,3.33,3.32,3.32,7
2016.06.23 17:30,3.31,3.31,3.31,3.31,1
2016.06.23 18:30,3.33,3.33,3.31,3.33,10
2016.06.23 19:00,3.33,3.35,3.33,3.34,12
