Date,Open,High,Low,Close,Volume
2016.06.23 21:00,8.84,8.84,8.84,8.84,1
2016.06.23 21:30,8.84,8.84,8.84,8.84,3
2016.06.23 22:30,8.85,8.92,8.85,8.92,12
2016.06.24 16:30,8.59,8.72,8.59,8.72,340
2016.06.24 17:00,8.73,8.76,8.71,8.72,129
2016.06.24 17:30,8.73,8.75,8.71,8.71,55
2016.06.24 18:00,8.72,8.72,8.67,8.68,24
2016.06.24 18:30,8.70,8.71,8.63,8.66,33
2016.06.24 19:00,8.65,8.65,8.61,8.61,17
2016.06.24 19:30,8.61,8.61,8.57,8.58,21
2016.06.24 20:00,8.59,8.60,8.57,8.59,23
2016.06.24 20:30,8.59,8.59,8.56,8.58,10
2016.06.24 21:00,8.60,8.62,8.58,8.60,26
2016.06.24 21:30,8.59,8.60,8.57,8.58,20
2016.06.24 22:00,8.59,8.62,8.59,8.60,8
2016.06.24 22:30,8.62,8.71,8.60,8.69,34
2016.06.27 16:30,8.54,8.55,8.36,8.41,75
2016.06.27 17:00,8.40,8.40,8.27,8.29,45
2016.06.27 17:30,8.30,8.30,8.12,8.14,70
2016.06.27 18:00,8.13,8.18,8.12,8.13,28
2016.06.27 18:30,8.14,8.18,8.13,8.15,54
2016.06.27 19:00,8.16,8.16,8.13,8.16,29
2016.06.27 19:30,8.17,8.18,8.14,8.17,36
2016.06.27 20:00,8.17,8.21,8.15,8.19,20
2016.06.27 20:30,8.19,8.19,8.12,8.12,39
2016.06.27 21:00,8.13,8.15,8.09,8.13,39
2016.06.27 21:30,8.14,8.14,8.06,8.06,42
2016.06.27 22:00,8.07,8.11,8.04,8.06,36
2016.06.27 22:30,8.06,8.10,8.04,8.04,38
2016.06.28 16:30,8.19,8.31,8.17,8.31,207
2016.06.28 17:00,8.30,8.35,8.28,8.35,49
2016.06.28 17:30,8.35,8.36,8.32,8.33,21
2016.06.28 18:00,8.36,8.41,8.35,8.38,29
2016.06.28 18:30,8.38,8.40,8.36,8.40,15
2016.06.28 19:00,8.42,8.43,8.38,8.38,22
2016.06.28 19:30,8.40,8.40,8.38,8.39,3
