Date,Open,High,Low,Close,Volume
2016.06.29 16:30,16.54,16.69,16.31,16.54,327
2016.06.29 17:00,16.55,16.66,16.48,16.48,106
2016.06.29 17:30,16.49,16.62,16.45,16.59,104
2016.06.29 18:00,16.60,16.66,16.55,16.64,78
2016.06.29 18:30,16.65,16.71,16.58,16.61,62
2016.06.29 19:00,16.64,16.69,16.59,16.69,37
2016.06.29 19:30,16.68,16.74,16.59,16.60,56
2016.06.29 20:00,16.63,16.64,16.56,16.64,45
2016.06.29 20:30,16.67,16.70,16.62,16.68,41
2016.06.29 21:00,16.67,16.76,16.67,16.72,30
2016.06.29 21:30,16.75,16.82,16.71,16.78,50
2016.06.29 22:00,16.79,16.94,16.78,16.85,76
2016.06.29 22:30,16.84,16.88,16.75,16.76,62
2016.06.30 16:30,16.74,16.86,16.60,16.66,473
2016.06.30 17:00,16.65,16.70,16.61,16.67,160
2016.06.30 17:30,16.66,16.86,16.64,16.85,140
2016.06.30 18:00,16.86,16.87,16.78,16.82,105
2016.06.30 18:30,16.83,16.85,16.73,16.76,88
2016.06.30 19:00,16.77,16.84,16.68,16.76,62
2016.06.30 19:30,16.77,16.84,16.75,16.79,56
2016.06.30 20:00,16.80,16.82,16.69,16.69,36
2016.06.30 20:30,16.70,16.75,16.68,16.71,34
2016.06.30 21:00,16.72,16.81,16.71,16.75,38
2016.06.30 21:30,16.76,16.85,16.75,16.84,59
2016.06.30 22:00,16.85,16.88,16.77,16.81,50
2016.06.30 22:30,16.84,16.86,16.79,16.82,52
2016.07.01 16:30,16.82,17.21,16.79,17.20,253
2016.07.01 17:00,17.19,17.45,17.19,17.30,137
2016.07.01 17:30,17.31,17.31,17.22,17.27,107
2016.07.01 18:00,17.26,17.32,17.08,17.08,90
2016.07.01 18:30,17.09,17.29,17.09,17.25,90
2016.07.01 19:00,17.26,17.29,17.06,17.09,80
2016.07.01 19:30,17.08,17.13,17.01,17.01,46
2016.07.01 20:00,17.09,17.13,16.99,17.10,46
2016.07.01 20:30,17.09,17.16,17.06,17.11,64
2016.07.01 21:00,17.12,17.18,17.11,17.12,38
2016.07.01 21:30,17.15,17.15,17.09,17.13,29
2016.07.01 22:00,17.13,17.18,17.12,17.14,36
2016.07.01 22:30,17.17,17.29,17.13,17.20,75
2016.07.05 16:30,17.14,17.14,16.67,16.78,422
2016.07.05 17:00,16.76,16.81,16.64,16.77,187
2016.07.05 17:30,16.78,16.85,16.76,16.81,146
2016.07.05 18:00,16.82,16.88,16.71,16.83,137
2016.07.05 18:30,16.82,16.82,16.72,16.78,76
2016.07.05 19:00,16.81,16.90,16.75,16.87,61
2016.07.05 19:30,16.88,16.90,16.80,16.84,56
2016.07.05 20:00,16.82,16.85,16.79,16.79,37
2016.07.05 20:30,16.78,16.82,16.73,16.82,46
2016.07.05 21:00,16.81,16.94,16.81,16.89,51
2016.07.05 21:30,16.88,16.98,16.86,16.95,46
2016.07.05 22:00,16.94,17.08,16.92,17.05,59
2016.07.05 22:30,17.06,17.13,17.06,17.06,61
2016.07.06 16:30,16.72,16.97,16.69,16.89,412
2016.07.06 17:00,16.90,16.96,16.73,16.84,225
2016.07.06 17:30,16.83,17.08,16.78,17.07,146
2016.07.06 18:00,17.06,17.28,17.06,17.15,116
2016.07.06 18:30,17.16,17.20,17.11,17.17,80
2016.07.06 19:00,17.16,17.25,17.14,17.18,96
2016.07.06 19:30,17.21,17.21,17.09,17.12,65
2016.07.06 20:00,17.10,17.22,17.10,17.18,70
2016.07.06 20:30,17.19,17.19,17.07,17.07,58
2016.07.06 21:00,17.15,17.15,17.03,17.10,98
2016.07.06 21:30,17.12,17.15,17.07,17.12,65
2016.07.06 22:00,17.15,17.15,17.05,17.05,70
2016.07.06 22:30,17.06,17.14,17.05,17.12,57
2016.07.07 16:30,17.25,17.55,17.23,17.37,278
2016.07.07 17:00,17.38,17.52,17.32,17.46,183
2016.07.07 17:30,17.47,17.53,17.34,17.35,112
2016.07.07 18:00,17.34,17.43,17.28,17.34,140
2016.07.07 18:30,17.33,17.40,17.28,17.35,112
