Date,Open,High,Low,Close,Volume
2013.01.17 16:30,41.53,41.59,40.89,41.00,2120
2013.01.17 20:30,41.01,41.41,40.90,41.23,829
2013.01.18 16:30,41.28,41.67,41.09,41.45,1225
2013.01.18 20:30,41.47,41.72,41.37,41.67,257
2013.01.22 16:30,41.41,41.76,40.81,41.73,1099
2013.01.22 20:30,41.72,41.79,41.61,41.75,301
2013.01.23 16:30,41.87,42.20,41.52,42.13,1149
2013.01.23 20:30,42.12,42.16,41.97,41.99,349
2013.01.24 16:30,42.14,43.16,42.03,42.57,2194
2013.01.24 20:30,42.56,42.87,42.36,42.79,537
2013.01.25 16:30,43.13,43.32,42.61,42.91,1410
2013.01.25 20:30,42.92,42.93,42.68,42.87,502
2013.01.28 16:30,42.91,42.95,42.22,42.47,1477
2013.01.28 20:30,42.45,42.55,42.26,42.32,389
2013.01.29 16:30,42.05,42.58,41.94,42.06,1285
2013.01.29 20:30,42.07,42.29,42.05,42.15,294
2013.01.30 16:30,41.97,42.16,41.80,42.12,1186
2013.01.30 20:30,42.13,42.15,41.75,41.93,772
2013.01.31 16:30,41.83,42.13,41.61,42.11,1490
2013.01.31 20:30,42.12,42.27,42.05,42.15,285
2013.02.01 16:30,42.48,42.94,42.20,42.92,1368
2013.02.01 20:30,42.91,43.18,42.91,43.00,339
2013.02.04 16:30,42.32,42.88,42.20,42.34,2213
2013.02.04 20:30,42.36,42.41,42.17,42.19,572
2013.02.05 16:30,42.44,42.98,42.34,42.97,1555
2013.02.05 20:30,42.95,43.18,42.91,42.92,353
2013.02.06 16:30,42.54,42.98,42.52,42.54,1542
2013.02.06 20:30,42.53,43.03,42.51,43.03,439
2013.02.07 16:30,43.11,43.47,42.31,42.75,2444
2013.02.07 20:30,42.76,42.91,42.69,42.84,672
2013.02.08 16:30,42.97,43.06,42.54,42.57,1331
2013.02.08 20:30,42.58,42.76,42.58,42.65,257
2013.02.11 16:30,42.63,43.38,42.48,43.19,1419
2013.02.11 20:30,43.18,43.34,43.08,43.12,330
2013.02.12 16:30,43.27,44.47,42.99,44.47,1592
2013.02.12 20:30,44.48,44.48,44.24,44.33,319
2013.02.13 16:30,44.49,44.66,44.01,44.13,1415
2013.02.13 20:30,44.14,44.17,43.75,43.97,437
2013.02.14 16:30,43.90,44.32,43.74,44.19,1083
2013.02.14 20:30,44.20,44.40,44.19,44.31,226
2013.02.15 16:30,44.44,44.48,43.89,43.95,1187
2013.02.15 20:30,43.97,44.03,43.62,43.80,477
2013.02.19 16:30,43.99,44.69,43.94,44.56,1031
2013.02.19 20:30,44.57,44.67,44.30,44.45,418
2013.02.20 16:30,44.38,44.39,43.74,43.84,1193
2013.02.20 20:30,43.83,43.91,43.11,43.20,1077
2013.02.21 16:30,42.72,42.78,41.93,42.20,2246
2013.02.21 20:30,42.19,42.57,41.93,42.31,653
2013.02.22 16:30,42.83,42.95,42.40,42.61,1433
2013.02.22 20:30,42.62,42.77,42.43,42.77,348
2013.02.25 16:30,43.06,43.34,42.07,42.34,2733
2013.02.25 20:30,42.33,42.33,41.03,41.14,1322
2013.02.26 16:30,41.39,41.56,40.26,40.99,3200
2013.02.26 20:30,41.00,41.41,40.99,41.29,1147
2013.02.27 16:30,41.26,41.95,41.01,41.88,2312
2013.02.27 20:30,41.89,42.32,41.82,42.15,641
2013.02.28 16:30,42.06,42.34,41.74,42.33,1965
2013.02.28 20:30,42.34,42.67,41.95,41.95,629
2013.03.01 16:30,41.60,42.50,41.01,42.20,3479
2013.03.01 20:30,42.22,42.23,41.95,42.09,892
2013.03.04 16:30,41.97,42.70,41.95,42.37,2410
2013.03.04 20:30,42.36,42.92,42.26,42.92,665
2013.03.05 16:30,43.40,44.01,43.09,43.81,2746
2013.03.05 20:30,43.80,43.91,43.49,43.58,771
2013.03.06 16:30,43.94,44.36,43.89,44.27,1776
2013.03.06 20:30,44.26,44.73,44.23,44.57,570
2013.03.07 16:30,44.56,44.95,44.44,44.78,1850
2013.03.07 20:30,44.77,45.11,44.58,44.99,680
2013.03.08 16:30,45.93,46.18,45.36,46.06,2855
2013.03.08 20:30,46.07,46.68,46.00,46.66,749
2013.03.11 15:30,46.60,47.34,46.39,47.33,1839
2013.03.11 19:30,47.34,47.90,47.31,47.58,950
2013.03.12 15:30,47.34,47.42,46.40,46.63,2038
2013.03.12 19:30,46.64,46.98,46.39,46.93,858
2013.03.13 15:30,46.86,46.87,46.32,46.84,1653
2013.03.13 19:30,46.83,46.98,46.70,46.95,611
2013.03.14 15:30,47.07,47.56,47.04,47.41,1648
2013.03.14 19:30,47.40,47.58,47.34,47.45,455
2013.03.15 15:30,47.52,47.53,46.91,47.30,2187
2013.03.15 19:30,47.31,47.53,47.14,47.30,528
2013.03.18 15:30,46.03,46.45,45.91,46.28,1989
2013.03.18 19:30,46.29,46.54,46.05,46.20,900
2013.03.19 15:30,46.46,46.93,45.39,45.53,2755
2013.03.19 19:30,45.54,45.95,45.49,45.78,1717
2013.03.20 15:30,46.19,46.44,45.95,46.31,1679
2013.03.20 19:30,46.32,46.43,46.05,46.08,1101
2013.03.21 15:30,45.86,46.43,45.55,45.58,2448
2013.03.21 19:30,45.59,45.69,45.20,45.22,1178
2013.03.22 15:30,45.50,45.52,44.94,45.39,1813
2013.03.22 19:30,45.40,45.42,45.01,45.23,512
2013.03.25 15:30,45.70,45.80,44.45,44.59,2595
2013.03.25 19:30,44.58,44.80,44.32,44.48,1079
2013.03.26 15:30,44.72,45.06,44.34,44.61,2164
2013.03.26 19:30,44.59,44.88,44.59,44.82,372
2013.03.27 15:30,44.41,44.57,44.15,44.34,2178
2013.03.27 19:30,44.32,44.62,44.28,44.47,695
2013.03.28 15:30,44.45,44.73,44.04,44.20,1907
2013.03.28 19:30,44.19,44.32,44.15,44.23,407
2013.04.01 16:30,44.27,44.68,43.84,44.04,1553
2013.04.01 20:30,44.05,44.07,43.65,43.78,519
2013.04.02 16:30,43.95,44.38,43.87,44.34,1249
2013.04.02 20:30,44.36,44.45,44.00,44.08,493
2013.04.03 16:30,43.97,44.08,42.91,42.91,2455
2013.04.03 20:30,42.90,42.91,42.19,42.50,853
