Date,Open,High,Low,Close,Volume
2013.01.22 20:30,14.14,14.18,14.13,14.16,36
2013.01.23 16:30,13.99,13.99,13.79,13.82,100
2013.01.23 20:30,13.81,13.90,13.81,13.87,54
2013.01.24 16:30,13.79,13.96,13.79,13.88,81
2013.01.24 20:30,13.87,13.91,13.81,13.87,40
2013.01.25 16:30,13.79,13.79,13.65,13.72,70
2013.01.25 20:30,13.73,13.73,13.64,13.65,35
2013.01.28 16:30,13.45,13.81,13.45,13.76,79
2013.01.28 20:30,13.74,13.81,13.68,13.80,77
2013.01.29 16:30,13.52,13.57,12.92,12.95,140
2013.01.29 20:30,12.96,13.14,12.92,13.14,186
2013.01.30 16:30,13.00,13.19,12.92,12.97,100
2013.01.30 20:30,12.95,12.97,12.88,12.90,80
2013.01.31 16:30,12.85,12.95,12.70,12.93,129
2013.01.31 20:30,12.94,13.01,12.92,12.96,97
2013.02.01 16:30,13.07,13.10,12.95,13.06,58
2013.02.01 20:30,13.07,13.07,13.00,13.01,26
2013.02.04 16:30,12.94,12.99,12.86,12.89,56
2013.02.04 20:30,12.88,12.94,12.86,12.87,32
2013.02.05 16:30,12.96,13.11,12.95,13.09,49
2013.02.05 20:30,13.10,13.24,13.10,13.18,49
2013.02.06 16:30,13.12,13.24,13.06,13.16,99
2013.02.06 20:30,13.15,13.21,13.13,13.19,61
2013.02.07 16:30,13.24,13.30,13.00,13.06,76
2013.02.07 20:30,13.05,13.12,13.03,13.06,71
2013.02.08 16:30,13.07,13.13,13.05,13.09,43
2013.02.08 20:30,13.08,13.09,13.06,13.08,13
2013.02.11 16:30,13.05,13.18,13.03,13.11,55
2013.02.11 20:30,13.10,13.11,13.08,13.10,11
2013.02.12 16:30,13.11,13.19,13.10,13.13,47
2013.02.12 20:30,13.12,13.12,13.05,13.06,17
2013.02.13 16:30,13.10,13.13,12.99,13.00,39
2013.02.13 20:30,13.01,13.06,13.00,13.02,21
2013.02.14 16:30,12.98,13.16,12.97,13.11,75
2013.02.14 20:30,13.10,13.12,13.08,13.10,17
2013.02.15 16:30,13.13,13.13,13.04,13.06,39
2013.02.15 20:30,13.05,13.06,13.01,13.02,63
2013.02.19 16:30,13.06,13.07,12.90,12.90,28
2013.02.19 20:30,12.91,12.98,12.91,12.98,30
2013.02.20 16:30,12.95,12.97,12.58,12.67,79
2013.02.20 20:30,12.66,12.66,12.58,12.59,67
2013.02.21 16:30,12.50,12.50,12.32,12.35,66
2013.02.21 20:30,12.33,12.42,12.30,12.37,51
2013.02.22 16:30,12.42,12.48,12.32,12.48,42
2013.02.22 20:30,12.49,12.49,12.41,12.47,28
2013.02.25 16:30,12.54,12.56,12.29,12.31,66
2013.02.25 20:30,12.30,12.31,12.12,12.12,97
2013.02.26 16:30,12.22,12.28,12.11,12.22,72
2013.02.26 20:30,12.23,12.33,12.23,12.33,59
2013.02.27 16:30,12.33,12.73,12.33,12.72,55
2013.02.27 20:30,12.73,12.84,12.73,12.75,62
2013.02.28 16:30,12.79,12.86,12.72,12.84,49
2013.02.28 20:30,12.83,12.84,12.60,12.60,58
2013.03.01 16:30,12.52,12.74,12.40,12.65,78
2013.03.01 20:30,12.63,12.63,12.57,12.61,48
2013.03.04 16:30,12.54,12.70,12.54,12.68,53
2013.03.04 20:30,12.67,12.74,12.64,12.74,31
2013.03.05 16:30,12.85,12.97,12.79,12.96,526
2013.03.05 20:30,12.96,12.97,12.86,12.87,129
2013.03.06 16:30,12.97,12.99,12.89,12.90,501
2013.03.06 20:30,12.89,12.91,12.85,12.88,102
2013.03.07 16:30,12.86,12.90,12.77,12.85,508
2013.03.07 20:30,12.84,12.86,12.82,12.82,55
2013.03.08 16:30,12.93,12.97,12.80,12.94,452
2013.03.08 20:30,12.94,12.98,12.93,12.96,78
2013.03.11 15:30,12.90,13.28,12.89,13.28,704
2013.03.11 19:30,13.28,13.39,13.28,13.34,181
2013.03.12 15:30,13.37,13.46,13.17,13.28,850
2013.03.12 19:30,13.27,13.44,13.27,13.39,437
2013.03.13 15:30,13.36,13.44,13.35,13.44,654
2013.03.13 19:30,13.43,13.44,13.37,13.39,82
2013.03.14 15:30,13.40,13.44,13.36,13.40,625
2013.03.14 19:30,13.39,13.42,13.39,13.42,36
2013.03.15 15:30,13.29,13.41,13.25,13.33,907
2013.03.15 19:30,13.33,13.44,13.33,13.44,179
2013.03.18 15:30,13.14,13.38,12.78,13.31,2760
2013.03.18 19:30,13.31,13.35,13.24,13.26,308
2013.03.19 15:30,13.26,13.34,13.09,13.14,719
2013.03.19 19:30,13.13,13.20,13.12,13.16,308
2013.03.20 15:30,13.21,13.29,13.18,13.28,531
2013.03.20 19:30,13.28,13.39,13.27,13.36,229
2013.03.21 15:30,13.24,13.41,13.24,13.32,727
2013.03.21 19:30,13.31,13.33,13.23,13.27,407
2013.03.22 15:30,13.22,13.30,13.21,13.26,397
2013.03.22 19:30,13.26,13.27,13.20,13.26,125
2013.03.25 15:30,13.28,13.39,13.26,13.30,683
2013.03.25 19:30,13.29,13.37,13.27,13.30,284
2013.03.26 15:30,13.30,13.36,13.23,13.27,627
2013.03.26 19:30,13.27,13.33,13.26,13.30,130
2013.03.27 15:30,13.23,13.24,13.09,13.17,1002
2013.03.27 19:30,13.17,13.23,13.17,13.21,144
2013.03.28 15:30,13.23,13.23,13.10,13.13,461
2013.03.28 19:30,13.12,13.16,13.11,13.14,53
2013.04.01 15:30,12.98,13.14,12.91,12.97,812
2013.04.01 19:30,12.97,12.99,12.90,12.90,168
2013.04.02 15:30,12.96,13.18,12.95,13.06,1203
2013.04.02 19:30,13.05,13.10,12.99,13.01,198
2013.04.03 15:30,13.00,13.03,12.66,12.66,770
2013.04.03 19:30,12.66,12.72,12.59,12.67,446
2013.04.04 15:30,12.67,12.77,12.64,12.66,643
2013.04.04 19:30,12.65,12.69,12.60,12.65,182
2013.04.05 15:30,12.38,12.49,12.13,12.35,1056
2013.04.05 19:30,12.35,12.49,12.35,12.42,221
2013.04.08 16:30,12.44,12.70,12.39,12.70,717
2013.04.08 20:30,12.70,12.82,12.66,12.77,170
2013.04.09 16:30,12.81,12.95,12.75,12.86,860
2013.04.09 20:30,12.86,12.88,12.78,12.79,166
2013.04.10 16:30,12.84,13.09,12.82,13.08,743
2013.04.10 20:30,13.08,13.12,13.06,13.11,134
2013.04.11 16:30,13.10,13.48,13.10,13.47,723
2013.04.11 20:30,13.47,13.57,13.46,13.54,187
2013.04.12 16:30,13.40,13.53,13.25,13.41,1050
2013.04.12 20:30,13.40,13.54,13.40,13.52,250
2013.04.15 16:30,13.28,13.45,13.12,13.15,736
2013.04.15 20:30,13.14,13.14,12.90,12.95,500
2013.04.16 16:30,13.14,13.23,12.99,13.08,1140
2013.04.16 20:30,13.08,13.11,12.99,13.11,170
2013.04.17 16:30,12.96,13.04,12.80,12.80,1191
2013.04.17 20:30,12.80,12.96,12.80,12.92,424
2013.04.18 16:30,12.94,12.97,12.65,12.87,1243
2013.04.18 20:30,12.86,12.87,12.68,12.75,373
2013.04.19 16:30,12.88,12.90,12.75,12.89,1208
2013.04.19 20:30,12.88,12.96,12.88,12.92,267
2013.04.22 16:30,12.93,13.01,12.80,12.97,921
2013.04.22 20:30,12.96,13.07,12.94,13.05,206
2013.04.23 16:30,13.13,13.44,13.10,13.34,1286
2013.04.23 20:30,13.33,13.40,13.30,13.36,375
2013.04.24 16:30,13.47,13.53,13.12,13.29,2073
2013.04.24 20:30,13.28,13.37,13.28,13.32,230
2013.04.25 16:30,13.39,13.54,13.34,13.50,737
2013.04.25 20:30,13.50,13.54,13.45,13.48,150
2013.04.26 16:30,13.49,13.71,13.45,13.71,889
2013.04.26 20:30,13.70,13.75,13.65,13.67,233
2013.04.29 16:30,13.74,13.74,13.57,13.65,464
2013.04.29 20:30,13.65,13.68,13.63,13.64,56
2013.04.30 16:30,13.65,13.69,13.52,13.66,687
2013.04.30 20:30,13.65,13.73,13.65,13.70,144
2013.05.01 16:30,13.55,13.77,13.40,13.53,1006
2013.05.01 20:30,13.52,13.58,13.34,13.37,376
2013.05.02 16:30,13.53,13.54,13.38,13.45,945
2013.05.02 20:30,13.45,13.47,13.38,13.40,114
2013.05.03 16:30,13.57,13.79,13.56,13.77,768
2013.05.03 20:30,13.76,13.82,13.74,13.82,120
2013.05.06 16:30,13.82,14.11,13.82,14.09,907
2013.05.06 20:30,14.09,14.14,14.08,14.09,176
2013.05.07 16:30,14.16,14.24,14.08,14.16,644
2013.05.07 20:30,14.16,14.20,14.16,14.18,186
2013.05.08 16:30,14.16,14.23,14.10,14.22,387
2013.05.08 20:30,14.21,14.22,14.19,14.22,134
2013.05.09 16:30,14.20,14.24,14.15,14.21,407
2013.05.09 20:30,14.21,14.25,14.19,14.19,242
2013.05.10 16:30,14.19,14.22,14.02,14.09,922
2013.05.10 20:30,14.08,14.11,14.03,14.10,190
2013.05.13 16:30,14.09,14.11,13.91,13.96,595
2013.05.13 20:30,13.95,14.00,13.92,14.00,94
2013.05.14 16:30,14.00,14.24,13.97,14.21,562
2013.05.14 20:30,14.21,14.29,14.20,14.27,67
2013.05.15 16:30,14.28,14.76,14.25,14.68,1041
2013.05.15 20:30,14.68,14.71,14.62,14.65,309
2013.05.16 16:30,14.76,14.82,14.63,14.77,1013
2013.05.16 20:30,14.77,14.84,14.60,14.64,304
2013.05.17 16:30,14.78,15.14,14.75,15.07,1258
2013.05.17 20:30,15.06,15.12,15.02,15.05,233
2013.05.20 16:30,15.02,15.22,14.99,15.04,1024
2013.05.20 20:30,15.04,15.08,15.00,15.04,339
2013.05.21 16:30,15.07,15.21,14.74,14.99,1222
2013.05.21 20:30,14.98,15.03,14.95,14.95,306
2013.05.22 16:30,15.07,15.31,15.05,15.20,1506
2013.05.22 20:30,15.19,15.20,14.86,14.96,1136
2013.05.23 16:30,14.44,14.94,14.35,14.80,3113
2013.05.23 20:30,14.80,14.89,14.77,14.80,638
2013.05.24 16:30,14.70,14.87,14.66,14.81,1356
2013.05.24 20:30,14.80,14.81,14.75,14.79,179
2013.05.28 16:30,15.18,15.34,15.17,15.28,1175
2013.05.28 20:30,15.27,15.28,15.09,15.27,413
2013.05.29 16:30,15.24,15.67,15.23,15.67,1894
2013.05.29 20:30,15.66,15.71,15.59,15.63,470
2013.05.30 16:30,15.76,16.01,15.74,15.96,1357
2013.05.30 20:30,15.95,15.99,15.87,15.90,292
2013.05.31 16:30,15.85,16.03,15.81,15.95,1122
2013.05.31 20:30,15.94,15.95,15.68,15.68,447
2013.06.03 16:30,15.92,16.07,15.51,15.68,2109
2013.06.03 20:30,15.67,15.91,15.63,15.87,478
2013.06.04 16:30,15.98,16.08,15.81,15.82,1359
2013.06.04 20:30,15.81,15.84,15.63,15.78,898
2013.06.05 16:30,15.66,15.70,15.22,15.39,2372
2013.06.05 20:30,15.38,15.44,15.18,15.25,791
2013.06.06 16:30,15.23,15.47,15.06,15.15,1940
2013.06.06 20:30,15.15,15.44,15.15,15.44,497
2013.06.07 16:30,15.59,15.67,15.56,15.63,49
2013.06.07 20:30,15.64,15.75,15.62,15.73,60
2013.06.10 16:30,15.85,15.89,15.60,15.70,1406
2013.06.10 20:30,15.69,15.76,15.66,15.70,271
2013.06.11 16:30,15.52,15.67,15.40,15.56,1304
2013.06.11 20:30,15.55,15.60,15.47,15.50,453
2013.06.12 16:30,15.63,15.70,15.44,15.52,1363
2013.06.12 20:30,15.52,15.53,15.31,15.36,465
2013.06.13 16:30,15.29,15.43,15.18,15.40,1476
2013.06.13 20:30,15.40,15.59,15.37,15.57,450
2013.06.14 16:30,15.48,15.56,15.35,15.37,1287
2013.06.14 20:30,15.37,15.46,15.35,15.35,411
2013.06.17 16:30,15.52,15.71,15.50,15.65,736
2013.06.17 20:30,15.64,15.67,15.44,15.54,436
2013.06.18 16:30,15.51,15.67,15.43,15.63,1302
2013.06.18 20:30,15.62,15.70,15.61,15.66,357
2013.06.19 16:30,15.59,15.62,15.45,15.54,840
2013.06.19 20:30,15.53,15.54,15.30,15.31,1343
2013.06.20 16:30,15.19,15.27,14.87,14.98,1990
2013.06.20 20:30,14.98,14.99,14.74,14.83,665
2013.06.21 16:30,14.99,15.05,14.59,14.90,1989
2013.06.21 20:30,14.89,15.04,14.80,14.99,805
2013.06.24 16:30,14.65,14.68,14.30,14.54,2565
2013.06.24 20:30,14.54,14.82,14.52,14.67,909
2013.06.25 16:30,14.81,14.99,14.81,14.89,1502
2013.06.25 20:30,14.88,14.99,14.88,14.96,364
2013.06.26 16:30,15.13,15.27,15.09,15.27,1253
2013.06.26 20:30,15.28,15.30,15.20,15.29,327
2013.06.27 16:30,15.39,15.65,15.38,15.65,689
2013.06.27 20:30,15.65,15.69,15.61,15.65,206
2013.06.28 16:30,15.55,15.65,15.46,15.59,1220
2013.06.28 20:30,15.59,15.62,15.46,15.46,282
2013.07.01 16:30,15.58,15.78,15.55,15.72,1131
2013.07.01 20:30,15.71,15.78,15.68,15.73,334
2013.07.02 16:30,15.75,16.19,15.69,16.19,1934
2013.07.02 20:30,16.18,16.20,16.05,16.18,832
2013.07.03 16:30,16.13,16.44,16.13,16.39,1368
2013.07.03 20:30,16.34,16.34,16.34,16.34,1
2013.07.05 16:30,16.46,16.74,16.46,16.65,1807
2013.07.05 20:30,16.64,16.73,16.58,16.69,243
2013.07.08 16:30,16.83,16.92,16.75,16.79,535
2013.07.08 20:30,16.79,16.84,16.79,16.80,148
2013.07.09 16:30,16.87,16.93,16.72,16.91,585
2013.07.09 20:30,16.92,16.93,16.81,16.83,194
2013.07.10 16:30,16.76,16.87,16.65,16.71,583
2013.07.10 20:30,16.72,16.79,16.66,16.72,353
2013.07.11 16:30,16.94,16.97,16.85,16.91,560
2013.07.11 20:30,16.90,16.98,16.88,16.98,204
2013.07.12 16:30,16.98,17.08,16.96,17.05,539
2013.07.12 20:30,17.06,17.09,17.03,17.09,117
2013.07.15 16:30,17.23,17.28,17.15,17.23,318
2013.07.15 20:30,17.22,17.26,17.10,17.10,91
2013.07.16 16:30,16.89,16.89,16.41,16.44,771
2013.07.16 20:30,16.44,16.61,16.44,16.59,190
2013.07.17 16:30,16.65,16.82,16.62,16.76,510
2013.07.17 20:30,16.75,16.79,16.75,16.76,70
2013.07.18 16:30,16.83,16.94,16.78,16.94,335
2013.07.18 20:30,16.95,16.97,16.89,16.93,79
2013.07.19 16:30,16.85,16.86,16.65,16.71,460
2013.07.19 20:30,16.72,16.76,16.71,16.75,73
2013.07.22 16:30,16.86,16.98,16.83,16.96,306
2013.07.22 20:30,16.96,17.03,16.96,17.03,17
2013.07.23 16:30,17.14,17.14,16.82,16.95,427
2013.07.23 20:30,16.96,17.00,16.91,16.95,117
2013.07.24 16:30,17.45,17.66,17.24,17.42,1130
2013.07.24 20:30,17.41,17.42,17.27,17.37,343
2013.07.25 16:30,17.25,17.25,16.88,16.93,700
2013.07.25 20:30,16.93,16.97,16.88,16.94,115
2013.07.26 16:30,16.91,17.12,16.91,17.06,361
2013.07.26 20:30,17.07,17.08,17.00,17.02,194
2013.07.29 16:30,17.05,17.18,17.05,17.13,480
2013.07.29 20:30,17.12,17.16,17.06,17.08,89
2013.07.30 16:30,17.19,17.24,17.08,17.08,442
2013.07.30 20:30,17.07,17.13,17.06,17.09,142
2013.07.31 16:30,17.07,17.14,17.01,17.02,447
2013.07.31 20:30,17.01,17.09,16.84,16.88,420
2013.08.01 16:30,17.05,17.16,16.95,17.16,544
2013.08.01 20:30,17.16,17.20,17.16,17.18,78
2013.08.02 16:30,17.12,17.43,17.12,17.41,426
2013.08.02 20:30,17.40,17.49,17.39,17.48,97
2013.08.05 16:30,17.41,17.49,17.11,17.13,606
2013.08.05 20:30,17.14,17.21,17.12,17.17,308
2013.08.06 16:30,17.15,17.22,17.03,17.08,342
2013.08.06 20:30,17.07,17.07,16.99,17.02,78
2013.08.07 16:30,16.95,16.95,16.72,16.89,323
2013.08.07 20:30,16.89,16.90,16.76,16.76,122
2013.08.08 16:30,16.96,17.02,16.87,16.94,408
2013.08.08 20:30,16.95,16.97,16.92,16.97,127
2013.08.09 16:30,16.95,17.06,16.94,17.04,276
2013.08.09 20:30,17.04,17.10,17.00,17.01,111
2013.08.12 16:30,16.90,17.13,16.90,17.08,273
2013.08.12 20:30,17.08,17.10,17.05,17.07,69
2013.08.13 16:30,17.13,17.20,16.95,17.09,466
2013.08.13 20:30,17.10,17.10,17.03,17.05,60
2013.08.14 16:30,17.03,17.05,16.85,16.88,292
2013.08.14 20:30,16.87,16.90,16.85,16.88,76
2013.08.15 16:30,16.72,16.72,16.22,16.35,615
2013.08.15 20:30,16.34,16.48,16.31,16.42,209
2013.08.16 16:30,16.44,16.59,16.30,16.31,376
2013.08.16 20:30,16.32,16.32,16.22,16.29,98
2013.08.19 16:30,16.27,16.30,16.15,16.21,313
2013.08.19 20:30,16.22,16.22,16.11,16.11,99
2013.08.20 16:30,16.05,16.29,15.82,16.28,419
2013.08.20 20:30,16.29,16.35,16.24,16.31,127
2013.08.21 16:30,16.28,16.37,16.18,16.24,290
2013.08.21 20:30,16.25,16.41,16.11,16.24,266
2013.08.22 16:30,16.27,16.47,16.25,16.38,280
2013.08.22 20:30,16.39,16.44,16.35,16.41,52
2013.08.23 16:30,16.47,16.51,16.36,16.38,353
2013.08.23 20:30,16.37,16.44,16.37,16.44,30
2013.08.26 16:30,16.43,16.61,16.43,16.58,207
2013.08.26 20:30,16.57,16.57,16.38,16.41,106
2013.08.27 16:30,16.16,16.16,15.92,15.94,465
2013.08.27 20:30,15.95,16.03,15.85,15.86,122
2013.08.28 16:30,15.86,16.14,15.71,16.09,475
2013.08.28 20:30,16.08,16.08,15.99,16.03,72
2013.08.29 16:30,16.19,16.61,16.15,16.57,427
2013.08.29 20:30,16.56,16.65,16.46,16.51,126
2013.08.30 16:30,16.55,16.58,16.12,16.23,576
2013.08.30 20:30,16.23,16.26,16.13,16.18,203
2013.09.03 16:30,16.42,16.53,16.21,16.26,545
2013.09.03 20:30,16.25,16.35,16.23,16.33,180
2013.09.04 16:30,16.38,16.97,16.37,16.96,499
2013.09.04 20:30,16.97,17.01,16.88,16.90,164
2013.09.05 16:30,17.08,17.29,17.03,17.28,459
2013.09.05 20:30,17.29,17.34,17.26,17.28,83
2013.09.06 16:30,17.33,17.33,16.82,17.13,795
2013.09.06 20:30,17.12,17.19,16.99,16.99,140
2013.09.09 16:30,17.10,17.38,17.10,17.35,387
2013.09.09 20:30,17.36,17.40,17.29,17.30,82
2013.09.10 16:30,17.48,17.67,17.36,17.56,412
2013.09.10 20:30,17.56,17.60,17.51,17.55,126
2013.09.11 16:30,17.48,17.57,17.39,17.51,415
2013.09.11 20:30,17.51,17.53,17.46,17.52,68
2013.09.12 16:30,17.53,17.55,17.31,17.40,362
2013.09.12 20:30,17.41,17.46,17.34,17.38,88
2013.09.13 16:30,17.44,17.48,17.28,17.38,313
2013.09.13 20:30,17.37,17.38,17.33,17.33,58
2013.09.16 16:30,17.52,17.58,17.40,17.41,296
2013.09.16 20:30,17.40,17.40,17.29,17.34,98
2013.09.17 16:30,17.36,17.43,17.30,17.42,199
2013.09.17 20:30,17.41,17.44,17.37,17.44,55
2013.09.18 16:30,17.36,17.43,17.34,17.36,312
2013.09.18 20:30,17.35,17.76,17.34,17.62,420
2013.09.19 16:30,17.75,17.77,17.51,17.63,387
2013.09.19 20:30,17.62,17.69,17.62,17.66,35
2013.09.20 16:30,17.67,17.68,17.42,17.44,313
2013.09.20 20:30,17.43,17.45,17.30,17.38,155
2013.09.23 16:30,17.26,17.34,16.98,17.19,451
2013.09.23 20:30,17.18,17.24,17.14,17.20,122
2013.09.24 16:30,17.24,17.39,17.08,17.37,384
2013.09.24 20:30,17.37,17.39,17.22,17.25,75
2013.09.25 16:30,17.26,17.39,17.16,17.26,466
2013.09.25 20:30,17.25,17.27,17.17,17.20,209
2013.09.26 16:30,17.28,17.37,17.12,17.27,432
2013.09.26 20:30,17.26,17.27,17.17,17.26,121
2013.09.27 16:30,17.16,17.19,17.05,17.08,393
2013.09.27 20:30,17.09,17.10,17.00,17.03,79
2013.09.30 16:30,16.76,17.00,16.69,16.96,473
2013.09.30 20:30,16.97,16.99,16.80,16.86,193
2013.10.01 16:30,16.96,17.33,16.96,17.17,540
2013.10.01 20:30,17.16,17.19,17.09,17.17,123
2013.10.02 16:30,17.07,17.16,16.95,17.15,366
2013.10.02 20:30,17.14,17.21,17.07,17.20,77
2013.10.03 16:30,17.08,17.16,16.76,17.00,534
2013.10.03 20:30,17.01,17.02,16.88,16.94,199
2013.10.04 16:30,16.96,17.09,16.94,17.03,284
2013.10.04 20:30,17.04,17.13,17.04,17.07,37
2013.10.07 16:30,16.85,16.94,16.81,16.87,295
2013.10.07 20:30,16.88,16.90,16.80,16.81,93
2013.10.08 16:30,16.81,16.84,16.57,16.61,483
2013.10.08 20:30,16.60,16.60,16.45,16.50,189
2013.10.09 16:30,16.51,16.71,16.35,16.66,578
2013.10.09 20:30,16.67,16.73,16.59,16.62,307
2013.10.10 16:30,16.86,16.99,16.83,16.87,324
2013.10.10 20:30,16.88,16.97,16.85,16.92,75
2013.10.11 16:30,17.01,17.09,16.88,17.07,356
2013.10.11 20:30,17.08,17.10,17.04,17.10,71
2013.10.14 16:30,16.93,17.19,16.91,17.19,355
2013.10.14 20:30,17.20,17.24,17.13,17.18,150
2013.10.15 16:30,17.17,17.20,17.00,17.01,440
2013.10.15 20:30,17.00,17.09,16.95,16.97,174
2013.10.16 16:30,17.10,17.24,17.03,17.24,359
2013.10.16 20:30,17.24,17.28,17.21,17.28,44
2013.10.17 16:30,17.25,17.48,17.24,17.46,208
2013.10.17 20:30,17.45,17.47,17.41,17.44,43
2013.10.18 16:30,17.52,17.54,17.43,17.49,197
2013.10.18 20:30,17.48,17.54,17.48,17.52,27
2013.10.21 16:30,17.58,17.59,17.41,17.50,176
2013.10.21 20:30,17.51,17.52,17.42,17.49,54
2013.10.22 16:30,17.55,17.67,17.44,17.56,301
2013.10.22 20:30,17.55,17.65,17.53,17.60,68
2013.10.23 16:30,17.64,17.70,17.39,17.43,281
2013.10.23 20:30,17.42,17.54,17.40,17.50,68
2013.10.24 16:30,18.01,18.01,17.64,17.82,749
2013.10.24 20:30,17.81,17.86,17.74,17.75,88
2013.10.25 16:30,17.84,17.84,17.42,17.55,419
2013.10.25 20:30,17.55,17.63,17.55,17.60,70
2013.10.28 16:30,17.64,17.71,17.54,17.60,373
2013.10.28 20:30,17.59,17.63,17.52,17.56,66
2013.10.29 15:30,17.55,17.58,17.41,17.50,274
2013.10.29 16:30,17.55,17.58,17.41,17.49,301
2013.10.29 19:30,17.49,17.53,17.45,17.53,53
2013.10.29 20:30,17.49,17.61,17.49,17.61,43
2013.10.30 15:30,17.60,17.62,17.25,17.27,472
2013.10.30 16:30,17.60,17.62,17.32,17.37,321
2013.10.30 20:30,17.36,17.40,17.25,17.33,239
2013.10.30 21:30,17.28,17.36,17.27,17.33,88
2013.10.31 16:30,17.28,17.32,17.10,17.18,439
2013.10.31 17:30,17.21,17.24,17.11,17.23,214
2013.10.31 20:30,17.19,17.23,17.11,17.11,87
2013.10.31 21:30,17.22,17.23,17.11,17.11,62
2013.11.01 16:30,17.21,17.21,16.81,16.81,604
2013.11.01 17:30,17.01,17.08,16.76,16.86,326
2013.11.01 20:30,16.80,16.95,16.76,16.89,159
2013.11.01 21:30,16.85,16.95,16.82,16.89,86
2013.11.04 16:30,16.97,17.00,16.78,16.96,312
2013.11.04 17:30,16.95,16.99,16.87,16.97,126
